Date,Open,High,Low,Close,Volume
2012-01-03,1238.0,1252.0,1224.04,1234.0,3184976
2012-01-04,1232.0,1239.0,1226.0,1229.0,1700236
2012-01-05,1230.0,1230.0,1208.0,1212.0,1984323
2012-01-06,1209.0,1233.0,1209.0,1229.0,1749258
2012-01-09,1228.0,1235.0,1217.11,1226.0,1178562
2012-01-10,1234.0,1240.1,1223.0,1237.0,1475488
2012-01-11,1232.0,1239.0,1222.0,1232.0,1804998
2012-01-12,1238.0,1241.0,1218.0,1222.0,1613604
2012-01-13,1229.0,1237.0,1210.0,1217.0,1306331
2012-01-16,1217.0,1258.0,1214.0,1250.0,2092401
2012-01-17,1262.0,1266.0,1243.0,1255.0,2052415
2012-01-18,1256.0,1257.0,1234.64,1246.0,2180281
2012-01-19,1255.0,1258.0,1180.0,1230.0,7514866
2012-01-20,1230.0,1238.0,1214.0,1233.0,2562985
2012-01-23,1231.0,1238.0,1226.0,1236.0,1428165
2012-01-24,1219.0,1224.0,1182.0,1183.0,4590564
2012-01-25,1189.0,1198.0,1176.0,1180.0,2440196
2012-01-26,1180.0,1192.0,1171.0,1177.0,2389998
2012-01-27,1174.0,1187.0,1170.0,1170.0,2098768
2012-01-30,1160.0,1171.0,1154.0,1155.0,2693218
2012-01-31,1170.0,1183.0,1157.0,1173.0,3638658
2012-02-01,1173.0,1204.0,1172.0,1186.0,2793637
2012-02-02,1189.0,1200.0,1174.0,1196.0,3038405
2012-02-03,1197.0,1217.0,1188.0,1205.0,2884710
2012-02-06,1209.0,1209.0,1196.22,1206.0,1245809
2012-02-07,1204.0,1211.0,1189.0,1201.0,1948943
2012-02-08,1201.0,1208.0,1175.0,1183.0,2736358
2012-02-09,1189.0,1205.0,1183.0,1202.0,2161007
2012-02-10,1200.0,1202.0,1180.0,1188.0,2644474
2012-02-13,1189.0,1197.0,1181.0,1197.0,1267851
2012-02-14,1192.0,1209.0,1192.0,1206.0,2155800
2012-02-15,1204.0,1212.0,1197.0,1210.0,1318501
2012-02-16,1203.0,1225.0,1201.0,1221.0,2278323
2012-02-17,1227.0,1237.0,1220.0,1224.0,2782236
2012-02-20,1231.0,1234.0,1218.0,1226.0,1009824
2012-02-21,1223.0,1230.0,1210.0,1218.0,1470960
2012-02-22,1222.0,1225.0,1205.0,1217.0,1366802
2012-02-23,1214.0,1233.0,1211.0,1233.0,2136472
2012-02-24,1239.0,1259.51,1231.0,1251.0,3144110
2012-02-27,1243.0,1245.0,1186.0,1204.0,3886458
2012-02-28,1204.0,1208.84,1179.0,1201.0,4660121
2012-02-29,1202.0,1208.0,1192.0,1199.0,3123717
2012-03-01,1194.0,1215.0,1190.0,1211.0,2254885
2012-03-02,1212.0,1218.0,1202.0,1208.0,2223355
2012-03-05,1201.0,1214.8,1200.0,1206.0,1261141
2012-03-06,1204.0,1206.0,1180.0,1190.0,1969033
2012-03-07,1188.0,1205.0,1186.0,1194.0,1924855
2012-03-08,1199.0,1212.0,1197.0,1209.0,1107370
2012-03-09,1207.0,1215.0,1203.0,1203.0,2007973
2012-03-12,1205.0,1221.0,1202.0,1219.0,1792044
2012-03-13,1220.0,1227.0,1217.0,1221.0,1715411
2012-03-14,1224.0,1226.0,1210.0,1220.0,1638781
2012-03-15,1217.0,1219.0,1201.0,1210.0,1721330
2012-03-16,1212.0,1226.37,1208.0,1226.0,2133190
2012-03-19,1222.0,1227.48,1217.5,1225.0,1299296
2012-03-20,1222.0,1222.15,1204.0,1207.0,2112667
2012-03-21,1206.0,1217.0,1204.0,1215.0,1418206
2012-03-22,1209.0,1214.0,1195.0,1205.0,1777952
2012-03-23,1209.0,1223.0,1206.0,1219.0,1581615
2012-03-26,1219.0,1236.0,1214.0,1228.0,1859015
2012-03-27,1226.0,1232.0,1212.0,1214.0,1417993
2012-03-28,1215.0,1218.0,1198.72,1200.0,2249999
2012-03-29,1197.0,1199.0,1169.0,1170.0,3112817
2012-03-30,1172.0,1179.0,1164.0,1165.0,3268917
2012-04-02,1165.0,1225.0,1162.0,1221.0,4514376
2012-04-03,1221.0,1222.0,1180.0,1184.0,3886808
2012-04-04,1150.0,1178.7,1131.0,1136.0,2770635
2012-04-05,1136.0,1146.0,1124.0,1135.0,1726843
2012-04-10,1126.0,1132.74,1118.0,1119.0,2271451
2012-04-11,1114.0,1136.5,1110.0,1132.0,2116260
2012-04-12,1130.0,1141.0,1124.0,1134.0,2552288
2012-04-13,1133.0,1133.0,1112.0,1115.0,1861843
2012-04-16,1110.0,1128.0,1110.0,1124.0,2359965
2012-04-17,1124.0,1140.0,1124.0,1133.0,2383140
2012-04-18,1133.0,1138.0,1117.0,1119.0,2080833
2012-04-19,1119.0,1124.0,1108.0,1113.0,2083626
2012-04-20,1110.0,1127.0,1103.06,1126.0,2342420
2012-04-23,1124.0,1126.0,1106.0,1111.0,1718335
2012-04-24,1109.0,1129.0,1109.0,1120.0,2155092
2012-04-25,1125.0,1152.0,1125.0,1145.0,2947461
2012-04-26,1151.0,1154.0,1136.0,1150.0,1812764
2012-04-27,1146.0,1171.0,1139.0,1167.0,3286371
2012-04-30,1164.0,1166.0,1158.0,1160.0,2229526
2012-05-01,1155.0,1161.0,1150.0,1153.0,1097162
2012-05-02,1158.0,1167.0,1152.0,1161.0,2454466
2012-05-03,1160.0,1174.0,1158.0,1166.0,1292916
2012-05-04,1159.0,1173.0,1150.0,1151.0,1482728
2012-05-08,1159.0,1186.0,1154.0,1160.0,2667504
2012-05-09,1161.0,1166.0,1148.0,1163.0,1806842
2012-05-10,1163.0,1174.0,1159.0,1163.0,1634925
2012-05-11,1160.0,1170.0,1155.0,1167.0,967792
2012-05-14,1162.0,1162.0,1144.0,1159.0,1417456
2012-05-15,1161.0,1171.0,1146.0,1152.0,1271204
2012-05-16,1140.0,1159.0,1135.0,1151.0,1847723
2012-05-17,1158.0,1158.0,1139.0,1143.0,1068519
2012-05-18,1137.0,1147.0,1127.0,1137.0,1438810
2012-05-21,1136.0,1145.0,1131.0,1141.0,900163
2012-05-22,1151.0,1154.0,1142.0,1148.0,1398236
2012-05-23,1141.0,1142.0,1115.0,1115.0,1752283
2012-05-24,1118.0,1141.0,1108.0,1137.0,1824817
2012-05-25,1140.0,1151.76,1135.0,1142.0,1011345
2012-05-28,1148.0,1165.0,1143.0,1154.0,726194
2012-05-29,1159.0,1162.0,1147.0,1155.0,1146280
2012-05-30,1152.0,1154.53,1141.0,1146.0,1134639
2012-05-31,1152.0,1152.0,1129.0,1137.0,2003274
2012-06-01,1139.0,1140.0,1106.0,1122.0,2491122
2012-06-06,1118.0,1142.0,1114.0,1129.0,1996026
2012-06-07,1136.0,1152.0,1129.0,1148.0,1820832
2012-06-08,1147.0,1155.0,1138.0,1154.0,1308227
2012-06-11,1171.0,1177.0,1163.0,1167.0,1705737
2012-06-12,1171.0,1174.0,1164.0,1173.0,2111784
2012-06-13,1171.0,1178.0,1165.0,1174.0,1716760
2012-06-14,1168.0,1186.0,1164.0,1184.0,1650243
2012-06-15,1195.0,1195.0,1177.0,1184.0,3390033
2012-06-18,1196.0,1197.0,1183.0,1188.0,1642900
2012-06-19,1194.0,1212.0,1193.0,1207.0,1867561
