Date,Open,High,Low,Close,Volume
2012-01-03,1077.0,1106.0,1066.0,1106.0,59057
2012-01-04,1110.0,1110.0,1074.0,1081.0,6131
2012-01-05,1073.0,1079.0,1042.0,1044.0,183821
2012-01-06,1049.0,1049.0,1030.0,1035.0,30483
2012-01-09,1030.0,1046.0,1024.0,1038.0,6601
2012-01-10,1016.0,1070.0,985.5,1041.6,96279
2012-01-11,1041.0,1100.0,1037.4,1080.0,32492
2012-01-12,1110.0,1110.0,1077.0,1088.0,9928
2012-01-13,1071.0,1105.0,1071.0,1104.0,9750
2012-01-16,1068.0,1098.0,1068.0,1095.0,5016
2012-01-17,1098.0,1104.0,1081.22,1095.0,7577
2012-01-18,1090.0,1124.0,1090.0,1123.0,19410
2012-01-19,1114.0,1213.0,1114.0,1160.0,33068
2012-01-20,1170.0,1188.0,1120.0,1122.0,7771
2012-01-23,1154.0,1154.0,1110.0,1113.0,7005
2012-01-24,1140.0,1142.0,1087.0,1090.0,31579
2012-01-25,1087.0,1122.0,1068.0,1122.0,67400
2012-01-26,1140.0,1155.0,1129.0,1137.0,11122
2012-01-27,1159.0,1159.0,1102.0,1115.0,36074
2012-01-30,1112.0,1130.0,1101.0,1130.0,12763
2012-01-31,1130.0,1158.0,1116.0,1145.0,38188
2012-02-01,1149.0,1200.0,1149.0,1189.0,36582
2012-02-02,1189.0,1204.0,1181.0,1190.0,41955
2012-02-03,1186.0,1200.0,1170.0,1197.0,51931
2012-02-06,1172.0,1210.0,1172.0,1199.0,9679
2012-02-07,1218.0,1218.0,1191.0,1206.0,28342
2012-02-08,1208.0,1217.0,1188.0,1208.0,8721
2012-02-09,1222.0,1222.0,1215.0,1215.0,4818
2012-02-10,1206.0,1234.0,1196.0,1234.0,21298
2012-02-13,1237.0,1237.0,1213.0,1222.0,10307
2012-02-14,1228.0,1237.0,1212.0,1224.0,7049
2012-02-15,1239.0,1256.0,1230.0,1238.0,18419
2012-02-16,1227.0,1246.48,1223.0,1239.0,13995
2012-02-17,1258.0,1271.0,1229.0,1271.0,7698
2012-02-20,1221.0,1298.0,1221.0,1290.0,11177
2012-02-21,1308.0,1308.0,1265.0,1275.0,29044
2012-02-22,1261.0,1310.0,1260.0,1276.0,21861
2012-02-23,1284.0,1284.0,1257.0,1263.0,34022
2012-02-24,1272.0,1281.0,1260.0,1272.0,21153
2012-02-27,1260.0,1265.0,1255.0,1260.0,4462
2012-02-28,1281.0,1285.0,1230.0,1255.0,22735
2012-02-29,1255.0,1259.0,1231.0,1239.0,28032
2012-03-01,1244.0,1248.0,1172.0,1244.0,23993
2012-03-02,1239.0,1254.0,1239.0,1245.0,5748
2012-03-05,1243.0,1262.0,1243.0,1254.0,8619
2012-03-06,1252.0,1252.0,1226.0,1230.0,11599
2012-03-07,1230.0,1247.15,1219.0,1228.0,13822
2012-03-08,1246.0,1259.0,1224.0,1231.0,23291
2012-03-09,1230.0,1263.0,1230.0,1253.0,4630
