Date,Open,High,Low,Close,Volume
2012-01-03,207.9,210.34,201.0,210.1,9430620
2012-01-04,209.1,211.0,204.44,207.6,6817481
2012-01-05,206.3,210.1,201.6,202.7,7588438
2012-01-06,202.5,207.64,201.12,205.1,5775633
2012-01-09,207.6,209.64,200.37,200.7,8694039
2012-01-10,201.4,212.06,201.4,211.3,11646834
2012-01-11,211.0,223.49,209.6,217.9,17110977
2012-01-12,217.7,238.4,217.7,230.0,25000532
2012-01-13,236.4,248.57,231.3,241.0,24124303
2012-01-16,238.0,246.96,231.54,244.2,12810628
2012-01-17,249.7,257.5,245.29,248.5,16674559
2012-01-18,245.0,250.88,240.8,248.4,11582825
2012-01-19,248.9,271.11,248.88,270.6,19475631
2012-01-20,270.0,280.46,267.5,274.4,19283293
2012-01-23,274.7,285.02,271.2,281.4,13445204
2012-01-24,281.1,281.1,263.8,270.5,12473546
2012-01-25,270.0,271.3,260.14,267.5,12182610
2012-01-26,270.0,279.94,267.5,276.7,9442627
2012-01-27,282.1,282.1,269.36,277.4,10210284
2012-01-30,274.5,277.4,263.67,267.6,10194921
2012-01-31,270.8,271.2,261.9,266.2,8860486
2012-02-01,268.3,279.5,264.9,277.4,10047904
2012-02-02,282.0,285.92,275.4,284.0,10854988
2012-02-03,282.1,289.52,279.2,286.9,12991011
2012-02-06,284.9,289.7,277.4,287.9,7441027
2012-02-07,289.0,294.18,285.0,288.8,7240532
2012-02-08,285.7,295.5,285.4,290.9,9321214
2012-02-09,289.1,299.74,285.49,288.1,12182134
2012-02-10,285.6,289.4,275.83,279.1,11585602
2012-02-13,280.0,286.6,277.8,281.0,5280088
2012-02-14,278.4,282.0,265.3,266.5,10476510
2012-02-15,270.6,277.6,267.4,269.9,5175934
2012-02-16,265.8,270.0,262.5,267.5,6116120
2012-02-17,272.1,281.01,271.4,276.0,9863021
2012-02-20,278.8,287.69,277.52,284.8,7141320
2012-02-21,286.9,288.39,275.9,282.1,8426237
2012-02-22,283.0,289.2,270.75,273.3,9667756
2012-02-23,273.3,289.06,267.7,287.2,17519982
2012-02-24,289.9,293.41,280.2,285.3,9972106
2012-02-27,283.0,284.0,274.0,279.4,6318139
2012-02-28,280.8,285.3,276.0,283.2,6124044
2012-02-29,281.9,287.89,278.07,279.2,8131890
2012-03-01,276.5,284.08,274.17,277.5,7600700
2012-03-02,277.9,283.6,277.6,280.4,5033285
2012-03-05,277.5,279.89,271.5,273.8,7124865
2012-03-06,272.5,274.7,260.2,261.7,6667543
2012-03-07,260.0,264.7,254.1,261.6,9680684
2012-03-08,264.9,265.47,258.6,263.5,9333562
2012-03-09,264.1,267.4,242.3,262.0,8113442
2012-03-12,259.3,261.23,252.9,253.7,8266839
2012-03-13,256.1,261.47,254.6,257.6,6151962
2012-03-14,260.0,267.3,260.0,265.6,7670312
2012-03-15,266.6,268.64,256.7,264.7,7197504
2012-03-16,271.2,285.6,267.0,281.4,18849484
2012-03-19,283.6,293.44,276.5,291.7,11768327
2012-03-20,291.0,291.46,281.3,286.3,6823477
2012-03-21,285.7,290.5,276.4,285.2,10805792
2012-03-22,285.6,285.6,274.4,279.0,7311126
2012-03-23,278.3,283.16,272.4,280.3,6931237
2012-03-26,283.1,284.9,272.9,277.5,6401857
2012-03-27,288.9,297.6,285.0,286.7,18444752
2012-03-28,285.3,289.12,282.5,286.1,11023082
2012-03-29,284.7,286.56,274.49,278.3,9380750
2012-03-30,278.9,281.5,274.8,276.4,7889446
2012-04-02,278.8,282.1,270.3,277.5,8690122
2012-04-03,279.8,279.9,266.3,268.9,15475152
2012-04-04,267.0,267.74,257.2,261.0,12248525
2012-04-05,261.3,265.3,255.0,258.2,7353551
2012-04-10,254.1,257.23,247.2,247.2,9656502
2012-04-11,244.0,253.51,241.15,252.6,11180784
2012-04-12,254.95,261.1,252.35,259.6,13496079
2012-04-13,257.5,259.33,249.97,250.5,9582330
