Date,Open,High,Low,Close,Volume
2012-01-03,2380.5,2386.0,2355.5,2380.0,3212393
2012-01-04,2376.0,2400.0,2367.0,2370.0,3000861
2012-01-05,2377.0,2382.0,2341.5,2350.0,3212922
2012-01-06,2352.0,2390.0,2346.5,2385.0,2655851
2012-01-09,2396.5,2405.3,2380.0,2384.0,2294759
2012-01-10,2397.5,2409.7,2393.5,2402.0,3674949
2012-01-11,2393.5,2398.7,2320.5,2327.5,2912562
2012-01-12,2311.5,2311.5,2268.5,2278.0,4643058
2012-01-13,2286.5,2292.2,2240.5,2251.0,4046425
2012-01-16,2248.0,2281.5,2241.5,2258.5,2145074
2012-01-17,2286.5,2293.0,2268.5,2279.0,2813771
2012-01-18,2273.5,2282.0,2238.51,2276.5,3018499
2012-01-19,2279.0,2285.0,2259.0,2282.5,2896947
2012-01-20,2297.0,2297.0,2248.5,2253.5,4900877
2012-01-23,2260.0,2310.0,2247.0,2310.0,2918495
2012-01-24,2305.5,2315.5,2290.5,2315.5,2896582
2012-01-25,2319.5,2320.5,2202.0,2278.0,2388302
2012-01-26,2284.0,2293.0,2265.0,2285.0,1937940
2012-01-27,2271.0,2290.5,2242.5,2249.0,2957926
2012-01-30,2229.5,2258.44,2219.5,2229.0,3464034
2012-01-31,2254.5,2274.0,2240.5,2240.5,3457021
2012-02-01,2252.5,2270.5,2239.5,2268.5,3112382
2012-02-02,2248.0,2278.0,2212.0,2265.0,5996737
2012-02-03,2253.0,2264.4,2237.0,2261.0,3186962
2012-02-06,2267.5,2271.0,2254.5,2257.0,1991110
2012-02-07,2263.0,2282.5,2260.0,2282.5,2192861
2012-02-08,2295.0,2297.5,2281.5,2287.5,1885089
2012-02-09,2300.0,2305.5,2278.5,2290.5,2329601
2012-02-10,2290.0,2290.0,2270.5,2284.0,2438177
2012-02-13,2298.5,2314.81,2293.5,2296.5,1206341
2012-02-14,2291.0,2333.5,2291.0,2331.5,3276605
2012-02-15,2316.5,2322.5,2298.5,2301.0,2465189
2012-02-16,2286.0,2301.0,2278.0,2294.0,2100746
2012-02-17,2311.5,2311.5,2289.0,2293.0,2599148
2012-02-20,2303.5,2306.5,2285.5,2286.0,3551187
2012-02-21,2276.5,2311.0,2275.5,2303.5,2999866
2012-02-22,2309.0,2315.5,2289.0,2309.0,3218037
2012-02-23,2316.0,2333.4,2314.5,2328.5,2690784
2012-02-24,2344.0,2349.0,2318.0,2322.0,2952222
2012-02-27,2315.5,2318.5,2295.0,2317.0,2198514
2012-02-28,2319.5,2324.5,2301.5,2320.5,2683321
2012-02-29,2315.0,2318.0,2277.35,2286.5,5127063
2012-03-01,2285.5,2295.0,2279.1,2294.5,2159583
2012-03-02,2291.0,2294.0,2279.6,2285.5,2038609
2012-03-05,2280.0,2285.5,2265.0,2274.5,2124336
2012-03-06,2269.0,2275.5,2242.0,2251.0,3117337
2012-03-07,2245.0,2252.5,2232.0,2247.5,1663850
2012-03-08,2257.0,2289.0,2247.5,2277.0,1978376
2012-03-09,2274.5,2284.0,2260.0,2280.0,1855641
2012-03-12,2278.0,2278.0,2263.0,2272.0,1476841
