Date,Open,High,Low,Close,Volume
2012-01-03,2475.0,2481.5,2441.5,2477.0,2947087
2012-01-04,2473.5,2497.55,2460.7,2467.0,3327008
2012-01-05,2475.0,2479.0,2435.0,2437.0,3269585
2012-01-06,2440.5,2479.0,2436.0,2478.5,3285367
2012-01-09,2480.5,2496.5,2470.5,2470.5,3229972
2012-01-10,2490.0,2499.0,2477.61,2489.0,3882447
2012-01-11,2482.0,2488.0,2409.0,2410.0,4201004
2012-01-12,2385.0,2390.0,2356.0,2365.0,6780606
2012-01-13,2378.5,2382.0,2328.5,2342.0,5470237
2012-01-16,2343.0,2371.0,2325.5,2338.0,3588859
2012-01-17,2372.5,2375.82,2347.5,2360.5,3442788
2012-01-18,2361.5,2364.73,2338.0,2355.0,4377225
2012-01-19,2360.5,2371.0,2337.0,2367.5,3460964
2012-01-20,2383.0,2383.0,2326.5,2329.5,4751548
2012-01-23,2339.0,2399.0,2327.0,2399.0,4178468
2012-01-24,2392.5,2401.94,2373.5,2398.0,4321108
2012-01-25,2408.0,2408.0,2340.5,2356.0,2563025
2012-01-26,2365.0,2374.5,2345.5,2363.5,2948538
2012-01-27,2353.5,2382.6,2311.5,2311.5,3283121
2012-01-30,2297.0,2300.5,2281.18,2297.0,3320241
2012-01-31,2318.0,2339.46,2308.5,2308.5,5097292
2012-02-01,2321.5,2332.0,2303.0,2326.0,3881762
2012-02-02,2307.0,2323.0,2261.0,2297.5,7316629
2012-02-03,2283.5,2298.0,2265.2,2294.5,3494394
2012-02-06,2304.5,2304.5,2287.0,2292.5,2066743
2012-02-07,2305.0,2485.0,2297.69,2318.0,2555392
2012-02-08,2329.0,2339.1,2321.0,2327.0,3398249
2012-02-09,2340.0,2352.0,2317.5,2325.5,3012645
2012-02-10,2327.5,2327.5,2300.78,2307.5,3143992
2012-02-13,2325.0,2336.66,2307.5,2326.0,1377785
2012-02-14,2314.5,2369.44,2314.5,2361.5,3120934
2012-02-15,2345.5,2368.54,2324.5,2331.5,2237930
2012-02-16,2321.5,2351.5,2310.5,2327.0,1369081
2012-02-17,2337.5,2350.5,2319.59,2327.0,1749628
2012-02-20,2337.5,2344.68,2315.5,2317.5,1529311
2012-02-21,2314.0,2341.0,2307.0,2333.5,2178093
2012-02-22,2342.0,2348.5,2317.5,2345.5,3165344
2012-02-23,2348.5,2369.5,2343.9,2365.0,3037777
2012-02-24,2375.0,2379.5,2346.5,2353.0,2606701
2012-02-27,2351.0,2351.0,2322.0,2346.0,2120895
2012-02-28,2344.0,2357.5,2330.5,2348.5,2459066
2012-02-29,2349.0,2352.26,2328.66,2329.5,5930879
2012-03-01,2323.0,2347.5,2321.5,2347.5,2073165
2012-03-02,2344.5,2348.5,2328.0,2328.0,1507446
2012-03-05,2317.5,2321.11,2297.4,2306.5,2402652
2012-03-06,2296.5,2307.2,2270.5,2282.0,2507277
2012-03-07,2273.5,2285.0,2265.5,2277.5,1514024
2012-03-08,2283.5,2320.5,2279.85,2306.5,1857695
2012-03-09,2305.0,2316.0,2288.6,2310.5,1400170
2012-03-12,2304.0,2310.0,2291.1,2296.5,1563106
2012-03-13,2304.5,2316.5,2296.9,2310.0,1526776
2012-03-14,2318.0,2340.74,2305.08,2307.5,2241486
2012-03-15,2300.0,2305.0,2285.68,2300.0,1963181
2012-03-16,2303.5,2319.5,2278.5,2285.0,4828680
2012-03-19,2285.0,2294.08,2266.35,2285.5,1568553
2012-03-20,2285.5,2295.5,2251.12,2264.5,2213997
2012-03-21,2266.5,2275.11,2255.5,2258.5,2185196
2012-03-22,2255.5,2258.0,2226.0,2244.0,3251794
2012-03-23,2245.0,2249.17,2229.5,2236.5,2730605
2012-03-26,2247.5,2270.39,2243.0,2268.0,2117583
2012-03-27,2272.5,2278.5,2229.5,2239.5,3009415
2012-03-28,2235.5,2261.38,2225.5,2225.5,2719747
2012-03-29,2225.0,2229.0,2186.5,2197.0,3313092
