Date,Open,High,Low,Close,Volume
2012-01-03,112.3,116.7,112.1,116.7,101033
2012-01-04,117.4,118.9,112.3,116.0,185127
2012-01-05,110.6,117.9,109.0,116.5,235638
2012-01-06,112.0,117.2,112.0,117.0,146713
2012-01-09,117.1,122.3,116.5,122.3,208287
2012-01-10,122.8,122.8,116.4,116.4,343408
2012-01-11,116.8,118.2,111.1,118.2,175754
2012-01-12,117.3,117.9,111.19,116.8,445761
2012-01-13,114.0,119.28,112.42,114.6,165199
2012-01-16,109.0,115.52,108.18,114.2,342681
2012-01-17,115.0,119.81,110.1,118.0,548357
2012-01-18,118.7,120.0,114.4,119.4,480062
2012-01-19,112.3,124.0,112.3,122.7,309974
2012-01-20,122.2,124.6,114.1,120.8,189968
2012-01-23,121.6,125.2,119.9,124.0,230388
2012-01-24,123.0,123.9,116.3,119.8,218963
2012-01-25,119.7,122.2,115.74,122.2,134697
2012-01-26,119.5,125.2,119.5,122.5,353273
2012-01-27,122.3,124.0,121.9,122.7,267116
2012-01-30,121.0,126.4,118.08,122.5,351546
2012-01-31,122.5,127.1,120.8,123.3,493580
2012-02-01,123.0,129.9,120.7,126.8,658735
2012-02-02,126.2,134.45,124.9,129.5,753738
2012-02-03,128.6,132.0,126.4,132.0,1059786
2012-02-06,132.7,134.05,127.1,129.5,266379
2012-02-07,129.7,130.8,121.28,129.7,237810
2012-02-08,129.2,131.0,123.0,130.0,180937
2012-02-09,129.5,137.9,124.6,128.8,203504
2012-02-10,127.5,132.2,122.4,128.4,213774
2012-02-13,126.1,132.3,125.0,129.1,82464
2012-02-14,128.5,133.5,128.2,129.5,114393
2012-02-15,134.0,134.0,124.4,128.0,258216
2012-02-16,126.6,130.0,125.9,127.0,179036
2012-02-17,129.8,131.3,124.1,130.1,250153
2012-02-20,133.0,134.4,127.1,129.6,169356
2012-02-21,127.7,131.4,127.0,128.5,138394
2012-02-22,128.0,133.7,126.26,130.0,406749
2012-02-23,135.3,138.4,129.0,129.0,394839
2012-02-24,131.7,138.8,122.54,129.2,202519
2012-02-27,126.1,133.04,119.8,129.6,77495
2012-02-28,130.6,134.5,127.8,128.8,206820
2012-02-29,127.9,130.7,125.7,126.5,245450
2012-03-01,130.7,132.7,127.6,127.6,123182
2012-03-02,124.5,130.79,124.5,130.1,174217
2012-03-05,127.5,130.2,127.26,129.1,120305
2012-03-06,135.4,136.39,123.7,127.0,317438
2012-03-07,127.5,131.69,120.9,130.6,226486
2012-03-08,130.9,133.4,129.0,129.9,180974
2012-03-09,129.2,131.7,129.2,131.0,159479
2012-03-12,130.2,136.2,128.43,132.9,75021
2012-03-13,130.7,139.0,130.7,134.7,275497
2012-03-14,137.1,139.4,132.5,133.5,471486
2012-03-15,133.6,133.6,122.4,131.2,631368
2012-03-16,130.9,136.8,129.3,135.3,641904
2012-03-19,135.3,136.0,126.48,133.0,199825
2012-03-20,130.0,132.2,125.1,130.3,339506
2012-03-21,127.0,134.1,127.0,131.6,250899
2012-03-22,130.6,131.3,126.1,130.0,260314
2012-03-23,133.5,133.5,127.5,129.13,299410
2012-03-26,126.7,133.9,125.4,130.0,306555
2012-03-27,130.9,134.8,122.7,129.6,435431
2012-03-28,129.6,130.4,126.35,129.0,622780
2012-03-29,131.9,131.9,124.8,128.7,961533
2012-03-30,128.8,129.9,127.8,129.1,384052
2012-04-02,130.3,130.5,125.1,129.0,465693
2012-04-03,128.9,130.0,121.1,126.0,824584
2012-04-04,125.0,126.6,123.0,125.5,950780
