Date,Open,High,Low,Close,Volume
2015-11-06,102.0,104.0,100.0,102.75,150705
2015-11-09,102.0,103.89,101.96,102.0,72136
2015-11-10,102.0,104.0,101.25,101.25,38153
2015-11-11,102.0,103.0,101.51,102.5,38564
2015-11-12,101.75,102.57,101.0,101.62,60000
2015-11-13,100.0,102.14,100.0,102.14,35000
2015-11-16,100.0,102.0,100.0,100.5,32212
2015-11-17,100.0,101.19,99.75,100.0,31009
2015-11-18,100.0,101.25,100.0,101.25,25000
2015-11-19,100.0,101.24,100.0,100.0,30746
2015-11-20,101.0,101.5,100.75,100.75,100261
2015-11-23,100.5,101.0,100.5,100.88,83768
2015-11-24,100.5,100.5,100.5,100.5,105000
2015-11-25,101.24,101.24,101.0,101.0,0
2015-11-26,100.5,101.35,100.5,100.5,10000
2015-11-27,101.0,101.0,99.97,99.97,18000
2015-11-30,100.0,101.22,100.0,101.0,250114
2015-12-01,100.0,101.5,100.0,100.0,50000
2015-12-02,100.5,100.99,100.5,100.99,6000
2015-12-03,100.5,100.99,100.0,100.25,10000
2015-12-04,100.0,100.99,100.0,100.99,5000
2015-12-07,100.0,101.0,98.25,100.99,45114
2015-12-08,100.99,100.99,100.99,100.99,0
2015-12-09,100.0,100.99,100.0,100.99,0
2015-12-10,100.4,100.4,100.4,100.4,0
2015-12-11,100.0,100.0,100.0,100.0,67981
2015-12-14,100.0,100.0,99.8,100.0,125177
2015-12-15,100.0,100.07,100.0,100.0,97167
2015-12-16,100.0,100.0,99.5,100.0,207155
2015-12-18,100.5,109.75,100.5,107.24,798648
2015-12-21,100.5,106.89,100.5,106.89,103027
2015-12-22,104.0,104.0,102.5,104.0,66140
2015-12-23,106.0,106.0,104.0,105.0,9588
2015-12-24,105.0,105.0,104.25,104.25,5095
2015-12-29,106.0,106.0,103.5,104.75,6263
2015-12-30,104.5,105.9,103.5,104.0,52805
2015-12-31,105.75,105.75,103.5,105.45,127
2016-01-04,105.0,105.0,102.75,103.0,58122
2016-01-05,104.0,104.0,100.25,101.5,148516
2016-01-06,105.0,106.0,102.5,106.0,37915
2016-01-07,106.0,107.0,104.0,106.0,122985
2016-01-08,106.0,107.0,101.54,105.0,132697
2016-01-11,105.5,105.5,105.0,105.5,16128
2016-01-12,106.0,106.0,104.54,105.5,9658
2016-01-13,104.25,105.38,103.25,105.25,27253
2016-01-14,102.25,104.0,102.0,103.75,195036
2016-01-15,103.5,104.0,102.38,102.38,25950
2016-01-18,103.0,103.0,102.0,102.0,56044
2016-01-19,103.0,105.5,101.0,105.5,65741
2016-01-20,102.5,104.0,102.0,103.78,20166
2016-01-21,103.0,103.0,102.05,103.0,71926
2016-01-22,103.0,103.0,101.0,103.0,108791
2016-01-25,105.0,105.0,103.0,103.66,6520
2016-01-26,103.0,103.0,101.49,103.0,3159
2016-01-27,102.0,102.0,101.0,102.0,271543
2016-01-28,103.0,103.0,101.0,102.5,12167
2016-01-29,102.5,102.5,102.0,102.0,3581
2016-02-01,102.0,102.0,101.36,102.0,30798
2016-02-02,102.75,102.75,102.0,102.0,88497
2016-02-03,102.5,102.5,102.0,102.0,22619
2016-02-04,103.5,103.5,102.5,103.5,47922
2016-02-05,104.0,104.0,102.5,103.39,58486
2016-02-08,101.0,104.0,101.0,103.5,60961
2016-02-09,101.5,103.86,101.5,102.0,16918
2016-02-10,103.5,104.41,101.5,102.5,167239
2016-02-11,101.5,103.0,101.5,102.5,11012
2016-02-12,101.5,102.0,100.0,102.0,54183
2016-02-15,100.0,102.0,100.0,102.0,56198
2016-02-16,101.0,103.0,101.0,102.0,8573
2016-02-17,102.5,103.14,102.0,103.0,390457
2016-02-18,102.0,103.0,101.0,102.0,42887
2016-02-19,104.0,104.0,100.0,102.86,45817
2016-02-22,102.0,102.0,101.0,101.0,75593
2016-02-23,100.25,103.0,100.0,101.5,214675
2016-02-24,104.0,104.0,101.25,102.0,133254
2016-02-25,100.0,103.0,100.0,102.75,27531
2016-02-26,100.0,101.5,100.0,101.5,115980
2016-02-29,103.0,103.75,101.25,102.0,152221
2016-03-01,103.75,103.75,101.0,103.5,84309
2016-03-02,101.0,107.0,101.0,104.0,217629
