Date,Open,High,Low,Close,Volume
2012-01-03,199.75,199.75,197.5,197.51,75469.0
2012-01-04,199.0,199.0,197.26,198.5,112208.0
2012-01-05,197.5,198.75,196.95,197.0,180291.0
2012-01-06,197.0,198.39,196.51,197.99,208815.0
2012-01-09,197.0,199.5,196.5,197.94,158311.0
2012-01-10,200.0,200.0,198.0,198.89,157093.0
2012-01-11,198.5,199.75,198.0,199.75,79950.0
2012-01-12,199.75,199.75,198.5,198.61,91288.0
2012-01-13,201.0,201.0,199.0,199.11,155461.0
2012-01-16,200.0,201.0,199.11,199.75,105891.0
2012-01-17,202.75,202.75,201.01,202.25,31143.0
2012-01-18,201.0,202.0,200.0,201.0,191219.0
2012-01-19,201.0,202.0,200.66,201.0,64312.0
2012-01-20,202.5,202.99,201.0,202.39,171697.0
2012-01-23,203.25,203.25,201.5,201.75,185750.0
2012-01-24,201.25,202.3,201.0,201.36,83576.0
2012-01-25,202.75,202.75,201.14,202.0,79936.0
2012-01-26,201.2,0.0,201.0,201.59,88497.0
2012-01-27,202.5,202.5,201.0,201.25,104361.0
2012-01-30,202.5,202.5,200.0,200.75,109771.0
2012-01-31,202.5,202.5,200.61,201.74,79791.0
2012-02-01,201.0,202.74,201.0,201.88,152404.0
2012-02-02,202.0,203.25,200.75,203.25,71294.0
2012-02-03,203.0,203.0,200.75,202.0,114125.0
2012-02-06,204.0,204.0,202.25,203.2,162055.0
2012-02-07,202.0,203.0,202.0,202.75,98271.0
2012-02-08,203.25,203.25,201.0,201.0,156260.0
2012-02-09,203.5,204.0,201.78,203.75,175464.0
2012-02-10,202.0,203.5,201.74,201.75,234096.0
2012-02-13,203.0,203.0,201.0,202.75,14817.0
2012-02-14,203.0,203.0,202.11,202.5,553.0
2012-02-15,203.75,204.0,202.0,202.5,29468.0
2012-02-16,202.5,204.0,202.0,203.75,25811.0
2012-02-17,204.25,204.49,203.13,204.0,45.0
2012-02-20,204.5,204.97,203.25,204.75,34854.0
2012-02-21,203.75,204.75,203.0,203.5,23722.0
2012-02-22,204.0,205.48,203.82,205.48,31699.0
2012-02-23,205.5,206.49,204.21,206.25,31567.0
2012-02-24,206.25,206.5,204.68,206.25,200.0
2012-02-27,206.0,206.0,204.86,206.0,600.0
2012-02-28,204.75,205.5,204.0,204.0,34796.0
2012-02-29,203.5,204.5,203.2,203.5,3777.0
2012-03-01,204.5,204.5,202.26,203.0,11906.0
2012-03-02,203.42,203.42,202.0,202.0,2000.0
2012-03-05,203.25,203.25,202.0,202.0,13100.0
2012-03-06,202.25,202.75,201.19,201.25,19666.0
2012-03-07,202.5,202.75,201.36,202.4,3496.0
2012-03-08,203.0,203.25,202.0,203.25,15102.0
2012-03-09,202.75,203.25,201.5,202.0,2842.0
2012-03-12,202.5,203.25,202.5,202.5,1562.0
2012-03-13,203.75,204.0,203.25,203.25,47393.0
2012-03-14,204.5,204.75,203.75,204.0,21897.0
2012-03-15,204.25,205.0,203.75,203.75,16184.0
2012-03-16,204.0,204.65,203.75,204.25,29218.0
2012-03-19,203.5,205.0,203.46,203.5,102535.0
2012-03-20,203.5,204.75,203.5,203.5,229.0
2012-03-21,203.5,204.25,203.46,203.5,15337.0
2012-03-22,203.75,204.39,203.11,203.9,27393.0
2012-03-23,204.0,204.0,203.5,203.75,33577.0
2012-03-26,203.5,204.55,203.0,204.0,57028.0
2012-03-27,205.0,205.0,203.5,203.5,54013.0
2012-03-28,203.5,204.99,203.5,204.73,375.0
2012-03-29,204.75,205.0,203.75,204.0,28531.0
2012-03-30,203.75,205.0,203.75,205.0,124142.0
2012-04-02,204.75,204.84,203.61,204.25,5968.0
2012-04-03,204.25,205.0,204.0,205.0,1783.0
2012-04-04,204.75,204.79,204.0,204.0,1258.0
2012-04-05,204.75,204.79,204.0,204.0,1617.0
2012-04-10,204.0,204.0,203.0,203.0,128698.0
2012-04-11,203.5,203.75,202.5,203.0,950.0
2012-04-12,204.5,204.5,203.0,203.0,859.0
2012-04-13,204.5,204.5,204.0,204.25,8055.0
2012-04-16,203.75,204.5,202.25,202.25,39974.0
2012-04-17,202.25,203.1,202.0,203.1,44.0
2012-04-18,203.5,204.25,202.5,204.25,17523.0
2012-04-19,203.0,203.89,202.5,202.5,10803.0
2012-04-20,204.25,204.25,203.0,204.25,1728.0
2012-04-23,202.0,203.69,201.0,201.0,23964.0
2012-04-24,201.0,201.39,200.0,200.0,23825.0
2012-04-25,201.5,202.0,200.5,200.5,34010.0
2012-04-26,202.0,202.0,200.51,201.0,10321.0
2012-04-27,200.7,201.78,200.0,201.75,6632.0
2012-04-30,202.0,202.0,199.0,199.0,47860.0
2012-05-01,199.0,200.0,198.0,200.0,193028.0
2012-05-02,199.75,200.29,199.11,200.25,22633.0
2012-05-03,200.25,200.29,198.5,200.0,30242.0
2012-05-04,199.75,200.0,198.0,198.0,44691.0
2012-05-08,199.75,199.75,197.75,198.5,8918.0
2012-05-09,199.25,199.25,197.0,197.9,61194.0
2012-05-10,196.5,198.5,196.11,197.75,26890.0
2012-05-11,196.0,197.75,195.5,197.75,32907.0
2012-05-14,197.0,197.5,194.86,195.11,25848.0
2012-05-15,197.0,197.0,195.71,196.02,15034.0
2012-05-16,194.02,196.0,193.75,195.34,1.0
2012-05-17,196.25,196.5,190.0,194.25,51025.0
2012-05-18,194.5,195.34,190.0,194.0,28095.0
2012-05-21,193.5,195.5,193.28,194.74,10000.0
2012-05-22,,,,194.99,0.0
2012-05-23,195.0,195.25,193.5,193.5,11249.0
2012-05-24,,,,194.62,0.0
2012-05-25,,,,194.11,0.0
2012-05-28,195.5,196.5,195.0,195.25,449349.0
2012-05-29,195.5,196.25,195.5,195.75,268303.0
2012-05-30,194.5,196.0,194.5,195.75,16440.0
2012-05-31,195.0,195.75,193.25,194.75,69071.0
2012-06-01,193.0,195.39,193.0,194.75,10390.0
2012-06-06,195.5,196.25,193.86,195.0,55569.0
2012-06-07,196.0,196.0,193.5,195.0,16996.0
2012-06-08,195.0,195.0,192.0,193.0,36311.0
2012-06-11,195.0,195.0,192.01,192.5,5110.0
2012-06-12,193.75,193.75,190.5,190.5,85557.0
2012-06-13,191.0,195.0,190.88,194.75,73428.0
2012-06-14,192.0,195.0,192.0,194.25,1839.0
2012-06-15,194.75,196.0,193.25,194.0,76746.0
2012-06-18,194.5,196.0,194.5,195.4,21122.0
2012-06-19,196.75,197.25,195.25,196.85,17714.0
2012-06-20,197.5,197.5,195.41,196.69,32.0
2012-06-21,197.5,197.5,195.0,195.0,6158.0
2012-06-22,196.2,197.38,195.25,195.25,3729.0
2012-06-25,197.25,197.25,195.65,196.0,3998.0
2012-06-26,196.5,197.5,196.0,196.0,22591.0
2012-06-27,197.5,197.75,196.0,196.0,14487.0
2012-06-28,196.25,198.0,196.25,198.0,615.0
2012-06-29,197.5,198.0,196.56,197.75,39625.0
2012-07-02,198.5,200.0,197.39,198.5,69437.0
2012-07-03,198.5,199.0,197.5,198.0,21071.0
2012-07-04,200.0,200.75,198.0,198.0,31827.0
2012-07-05,200.75,200.89,198.75,200.75,50436.0
2012-07-06,200.0,200.75,198.63,200.75,24566.0
2012-07-09,200.75,200.75,197.75,200.75,2184.0
2012-07-10,200.75,200.75,198.28,200.75,137.0
2012-07-11,200.75,200.75,198.11,198.96,12463.0
2012-07-12,198.0,199.19,197.71,198.31,3750.0
2012-07-13,199.75,199.75,198.0,198.83,4555.0
2012-07-16,198.5,199.25,198.25,198.75,48199.0
2012-07-17,199.0,199.0,197.5,198.6,6234.0
2012-07-18,197.5,199.25,197.5,198.64,2901.0
2012-07-19,198.0,199.1,197.61,198.0,200.0
2012-07-20,198.0,199.2,198.0,198.0,12429.0
2012-07-23,198.75,199.0,197.5,197.5,10008.0
2012-07-24,197.5,199.69,196.5,198.25,104368.0
2012-07-25,198.3,198.95,196.61,197.0,12.0
2012-07-26,198.25,198.5,197.0,198.39,82.0
2012-07-27,197.5,199.24,197.0,198.25,12634.0
2012-07-30,198.0,199.5,196.75,196.75,15471.0
2012-07-31,197.0,198.21,196.5,196.5,10326.0
2012-08-01,199.0,199.0,197.2,197.5,10000.0
2012-08-02,199.0,199.0,197.5,197.5,5832.0
2012-08-03,198.75,199.39,197.65,198.5,19988.0
2012-08-06,200.0,201.0,198.5,199.0,66408.0
2012-08-07,199.75,199.75,198.0,198.0,183.0
2012-08-08,200.0,200.5,199.25,199.5,24048.0
2012-08-09,200.5,200.5,198.38,200.0,47991.0
2012-08-10,199.5,200.75,199.5,199.5,30059.0
2012-08-13,200.5,200.64,199.61,200.25,8057.0
2012-08-14,200.75,200.75,199.62,200.5,6844.0
2012-08-15,200.49,200.75,199.75,200.75,32.0
2012-08-16,201.0,201.0,199.8,200.6,16098.0
2012-08-17,200.5,201.0,199.75,200.75,121059.0
2012-08-20,200.0,201.0,199.75,200.25,8808.0
2012-08-21,201.0,201.5,200.5,201.5,40000.0
2012-08-22,201.0,201.75,200.11,201.75,4633.0
2012-08-23,201.75,201.75,200.0,200.0,400.0
2012-08-24,200.5,201.5,200.0,201.5,3857.0
2012-08-28,200.0,201.75,200.0,200.0,97791.0
2012-08-29,201.0,201.0,200.0,200.0,48175.0
2012-08-30,199.5,200.67,199.5,200.0,31200.0
2012-08-31,199.5,200.42,199.5,200.25,744.0
2012-09-03,201.0,201.0,198.0,200.0,27224.0
2012-09-04,198.0,200.25,197.5,200.25,4749.0
2012-09-05,197.5,198.47,196.0,197.25,61615.0
2012-09-06,196.0,198.25,196.0,198.25,5670.0
2012-09-07,199.0,199.0,197.0,198.75,8691.0
2012-09-10,198.19,199.0,198.0,198.75,19810.0
2012-09-11,198.0,198.25,197.0,198.25,31044.0
2012-09-12,197.0,197.0,197.0,197.0,1897.0
2012-09-13,197.0,197.9,197.0,197.0,200.0
2012-09-14,199.0,200.25,198.0,198.0,11140.0
2012-09-17,198.0,200.25,198.0,199.0,11666.0
2012-09-18,199.5,200.25,199.0,200.0,30498.0
2012-09-19,200.5,200.5,197.5,199.5,64246.0
2012-09-20,199.25,199.25,196.5,199.25,21783.0
2012-09-21,197.5,199.0,196.01,199.0,21142.0
2012-09-24,197.11,198.75,197.11,198.75,13822.0
2012-09-25,198.5,199.0,197.75,198.0,36866.0
2012-09-26,198.0,199.49,197.57,199.25,15442.0
2012-09-27,198.5,198.5,197.5,197.5,9194.0
2012-09-28,198.0,198.79,197.0,197.5,52680.0
2012-10-01,199.5,199.5,197.5,197.61,1038.0
2012-10-02,199.5,199.5,197.5,197.75,13455.0
2012-10-03,197.5,198.75,197.5,197.5,1400.0
2012-10-04,199.75,199.75,197.5,197.5,5516.0
2012-10-05,199.5,199.5,197.5,197.5,3059.0
2012-10-08,198.5,198.62,197.5,198.5,1300.0
2012-10-09,198.25,198.6,198.0,198.25,1100.0
2012-10-10,199.25,199.25,197.75,197.75,6736.0
