Date,Open,High,Low,Close,Volume
2012-01-03,1262.0,1293.0,1244.0,1279.0,267973
2012-01-04,1283.0,1288.0,1272.0,1288.0,142800
2012-01-05,1283.0,1313.0,1265.0,1265.0,197136
2012-01-06,1270.0,1318.0,1269.0,1318.0,96276
2012-01-09,1315.0,1337.0,1308.0,1329.0,189085
2012-01-10,1342.0,1355.0,1332.0,1345.0,146779
2012-01-11,1347.0,1365.0,1332.0,1352.0,129808
2012-01-12,1366.0,1366.0,1322.62,1354.0,125088
2012-01-13,1365.0,1365.0,1300.0,1318.0,172662
2012-01-16,1322.0,1347.0,1305.0,1344.0,132159
2012-01-17,1361.0,1361.0,1287.0,1300.0,187878
2012-01-18,1297.0,1320.0,1286.0,1311.21,191260
2012-01-19,1301.0,1309.0,1294.0,1303.05,213857
2012-01-20,1299.0,1306.0,1291.0,1300.81,327375
2012-01-23,1296.0,1307.52,1293.0,1295.0,118739
2012-01-24,1290.0,1297.0,1270.0,1293.0,151083
2012-01-25,1291.0,1307.0,1269.0,1299.0,110004
2012-01-26,1300.0,1318.0,1295.0,1305.0,90096
2012-01-27,1305.0,1317.0,1279.0,1303.0,52608
2012-01-30,1295.0,1311.0,1271.0,1279.0,139347
2012-01-31,1289.0,1302.0,1277.0,1284.0,113745
2012-02-01,1291.0,1303.0,1285.0,1295.0,455851
2012-02-02,1292.0,1306.0,1287.0,1290.0,461392
2012-02-03,1289.0,1307.0,1286.33,1299.0,774430
2012-02-06,1267.0,1306.0,1267.0,1299.0,315479
2012-02-07,1305.0,1323.0,1291.0,1323.0,155389
2012-02-08,1322.0,1337.0,1299.0,1299.0,148508
2012-02-09,1297.0,1314.0,1289.85,1302.0,198139
2012-02-10,1301.0,1321.0,1301.0,1316.0,73792
2012-02-13,1328.0,1330.0,1312.0,1329.0,58745
2012-02-14,1330.0,1352.0,1323.0,1351.0,74311
2012-02-15,1352.0,1376.0,1352.0,1363.0,117417
2012-02-16,1353.0,1359.0,1339.0,1344.0,117685
2012-02-17,1385.0,1400.0,1332.0,1332.0,126475
2012-02-20,1336.0,1345.0,1317.0,1342.0,70597
2012-02-21,1336.0,1348.0,1329.0,1339.0,67032
2012-02-22,1336.0,1353.0,1330.0,1348.0,77472
2012-02-23,1344.0,1365.0,1334.0,1340.0,110287
2012-02-24,1377.0,1394.5,1289.0,1336.0,242224
2012-02-27,1356.0,1362.0,1326.0,1348.0,101443
2012-02-28,1371.0,1384.0,1345.0,1360.0,171591
2012-02-29,1362.0,1456.0,1359.0,1446.0,353295
2012-03-01,1441.0,1455.0,1432.0,1444.0,217946
2012-03-02,1443.0,1443.0,1384.0,1412.0,175026
2012-03-05,1390.0,1390.4,1355.0,1355.0,160328
2012-03-06,1356.0,1369.0,1334.0,1335.0,198764
2012-03-07,1340.0,1390.0,1335.0,1370.0,135954
2012-03-08,1370.0,1401.0,1368.0,1397.93,148352
2012-03-09,1397.0,1411.0,1390.0,1398.32,133836
2012-03-12,1374.0,1403.0,1374.0,1398.02,92009
2012-03-13,1393.0,1411.0,1379.0,1400.1,154668
2012-03-14,1406.0,1408.0,1378.0,1399.28,142347
2012-03-15,1383.0,1388.0,1359.0,1379.0,186214
2012-03-16,1379.0,1406.0,1376.0,1388.0,325396
2012-03-19,1398.21,1404.0,1375.0,1397.92,187201
2012-03-20,1377.0,1390.0,1364.0,1369.0,107760
2012-03-21,1375.0,1395.0,1369.0,1386.0,75925
2012-03-22,1390.0,1405.0,1385.0,1398.76,254396
2012-03-23,1395.0,1443.0,1390.0,1409.43,287412
2012-03-26,1438.0,1456.0,1409.43,1438.0,171527
2012-03-27,1445.0,1457.0,1432.0,1440.0,149780
2012-03-28,1434.0,1449.0,1423.0,1446.0,212835
2012-03-29,1440.0,1444.0,1416.0,1431.0,178587
2012-03-30,1430.0,1452.0,1417.0,1452.0,255497
2012-04-02,1457.0,1466.0,1446.0,1462.0,257407
2012-04-03,1454.0,1462.0,1429.0,1449.0,252171
2012-04-04,1443.0,1450.0,1409.0,1419.0,269510
2012-04-05,1418.0,1426.0,1405.0,1414.0,125643
2012-04-10,1404.0,1423.0,1392.0,1403.0,278056
2012-04-11,1399.0,1433.0,1395.0,1396.9,186609
2012-04-12,1413.0,1463.0,1413.0,1463.0,165360
2012-04-13,1456.0,1484.0,1442.0,1447.0,171989
2012-04-16,1440.0,1479.0,1440.0,1466.0,214610
2012-04-17,1471.0,1500.0,1462.84,1499.0,224629
2012-04-18,1504.0,1519.0,1496.0,1519.0,210945
2012-04-19,1528.0,1531.0,1506.0,1517.0,163073
2012-04-20,1516.0,1525.0,1505.0,1514.0,131015
2012-04-23,1501.0,1510.0,1480.0,1492.0,139154
2012-04-24,1495.0,1510.0,1488.0,1507.0,235410
2012-04-25,1509.0,1521.0,1498.0,1505.0,156454
2012-04-26,1505.0,1519.0,1497.0,1510.0,139500
