Date,Open,High,Low,Close,Volume
2012-01-03,26.0,26.76,25.5,26.5,168270.0
2012-01-04,25.68,0.0,25.68,25.68,33434.0
2012-01-05,26.0,26.0,25.05,26.0,53980.0
2012-01-06,25.0,25.0,24.0,24.1,256551.0
2012-01-09,24.05,24.67,24.05,24.25,242945.0
2012-01-10,24.05,24.42,24.0,24.05,115952.0
2012-01-11,24.35,24.66,24.08,24.08,842580.0
2012-01-12,24.0,24.65,23.75,24.0,764534.0
2012-01-13,23.5,24.35,22.0,22.0,1110964.0
2012-01-16,23.75,24.2,23.0,23.0,1505976.0
2012-01-17,23.5,27.5,23.0,26.62,9760295.0
2012-01-18,27.0,27.47,26.0,27.0,1031447.0
2012-01-19,26.75,27.32,26.25,27.06,1496945.0
2012-01-20,26.5,28.0,26.5,27.63,4100457.0
2012-01-23,27.0,28.5,26.89,27.6,872628.0
2012-01-24,27.5,28.1,26.25,27.0,487434.0
2012-01-25,28.0,29.56,27.02,28.49,1215978.0
2012-01-26,29.0,30.0,28.88,28.88,270391.0
2012-01-27,30.0,30.12,28.5,28.5,195819.0
2012-01-30,29.0,29.25,28.5,28.5,406212.0
2012-01-31,29.0,29.92,28.65,29.5,509746.0
2012-02-01,29.75,33.0,29.5,31.83,3699204.0
2012-02-02,31.75,32.0,31.5,31.58,348752.0
2012-02-03,31.0,31.84,31.0,31.25,234584.0
2012-02-06,30.25,31.69,28.39,28.5,569126.0
2012-02-07,30.0,30.0,28.0,28.75,298618.0
2012-02-08,27.75,28.75,27.75,28.0,43777.0
2012-02-09,28.7,28.7,28.0,28.0,96802.0
2012-02-10,28.0,30.0,27.9,29.42,130991.0
2012-02-13,,,,29.06,0.0
2012-02-14,29.75,29.75,28.1,29.3,2000.0
2012-02-15,30.0,33.55,29.5,31.82,266802.0
2012-02-16,33.5,35.36,31.6,35.0,112733.0
2012-02-17,35.0,35.75,33.83,34.0,49259.0
2012-02-20,33.5,34.75,33.5,33.5,38815.0
2012-02-21,34.0,34.5,33.75,34.5,56430.0
2012-02-22,34.0,34.85,33.61,34.09,2500.0
2012-02-23,33.5,35.5,33.5,34.5,49047.0
2012-02-24,35.5,35.5,33.8,35.0,20647.0
2012-02-27,,,,33.75,0.0
2012-02-28,34.0,35.0,33.82,34.11,1.0
2012-02-29,34.0,35.25,34.0,34.0,2072.0
