Date,Open,High,Low,Close,Volume
2012-01-03,362.4,362.4,352.1,360.3,430257
2012-01-04,361.4,369.56,355.16,366.0,1077790
2012-01-05,364.2,368.7,363.5,367.8,258447
2012-01-06,367.8,378.3,363.5,377.3,567265
2012-01-09,376.9,385.0,368.96,381.4,194176
2012-01-10,375.6,387.9,373.36,385.0,193968
2012-01-11,385.0,387.9,381.87,387.9,728618
2012-01-12,387.5,387.5,378.0,381.0,515938
2012-01-13,378.0,383.6,376.5,377.0,683517
2012-01-16,380.0,382.8,375.0,378.0,122353
2012-01-17,377.6,382.0,375.1,380.0,996299
2012-01-18,382.2,388.0,379.7,382.5,197306
2012-01-19,383.0,383.0,377.4,380.0,790835
2012-01-20,382.4,388.3,377.0,388.3,320780
2012-01-23,388.5,394.9,386.2,389.14,1172385
2012-01-24,393.1,393.1,385.09,386.0,585420
2012-01-25,390.0,390.0,380.1,386.0,133058
2012-01-26,390.0,393.3,380.4,390.3,612309
2012-01-27,387.0,389.5,379.9,379.9,293921
2012-01-30,379.9,386.6,375.26,376.5,396570
2012-01-31,379.9,383.99,378.13,380.8,468050
2012-02-01,380.1,386.02,379.1,383.18,2230243
2012-02-02,381.3,391.8,381.3,390.9,580548
2012-02-03,388.4,392.4,380.1,391.3,163764
2012-02-06,391.6,395.4,388.3,393.2,312285
2012-02-07,396.9,396.9,384.77,394.89,296916
2012-02-08,388.7,393.0,385.1,385.2,304478
2012-02-09,389.9,389.9,382.1,383.4,729899
2012-02-10,382.1,390.0,381.2,390.0,320573
2012-02-13,389.3,391.5,384.0,389.7,92633
2012-02-14,394.9,395.0,388.0,388.9,130248
2012-02-15,389.3,396.46,379.5,382.4,167488
2012-02-16,381.8,385.82,379.4,382.9,61641
2012-02-17,383.3,388.3,380.0,380.1,92744
2012-02-20,380.2,390.9,380.2,390.9,74539
2012-02-21,389.9,390.0,379.4,384.1,554449
2012-02-22,386.0,386.9,381.1,383.7,152568
2012-02-23,387.7,392.7,380.0,391.4,86352
2012-02-24,391.9,392.0,388.1,390.0,224022
2012-02-27,387.0,388.4,382.0,387.0,79673
2012-02-28,390.6,390.85,380.36,387.1,81974
2012-02-29,392.8,392.8,384.7,387.14,128092
2012-03-01,387.6,390.69,381.7,384.22,178193
2012-03-02,389.9,389.9,381.0,382.4,119230
2012-03-05,387.0,387.0,376.04,376.1,162678
2012-03-06,378.0,378.0,360.3,367.0,427356
2012-03-07,365.5,373.0,365.1,370.0,406265
2012-03-08,372.7,380.0,371.1,374.2,141790
2012-03-09,375.9,378.4,370.87,370.87,167217
2012-03-12,371.0,372.4,367.0,367.75,166878
2012-03-13,370.9,383.0,367.25,382.0,261908
2012-03-14,380.15,388.0,376.7,377.0,154185
2012-03-15,378.4,379.0,372.3,375.0,262632
2012-03-16,374.1,384.1,371.6,379.41,420073
2012-03-19,383.5,383.5,378.46,380.2,160973
2012-03-20,380.1,381.55,378.0,379.5,233141
2012-03-21,380.9,384.34,378.3,382.8,107133
2012-03-22,380.3,381.93,378.6,378.6,203899
2012-03-23,380.0,385.0,373.2,379.6,107257
2012-03-26,381.4,383.0,372.1,382.8,174500
2012-03-27,385.2,387.0,376.3,382.3,54808
2012-03-28,383.0,384.7,380.0,381.0,176654
2012-03-29,379.0,379.0,364.7,368.5,293542
2012-03-30,371.8,371.8,365.6,368.0,107708
2012-04-02,368.0,369.0,363.4,366.4,169669
2012-04-03,369.6,372.2,361.5,362.0,138904
2012-04-04,363.0,366.0,357.5,358.5,178300
2012-04-05,357.4,362.1,355.4,362.1,96861
2012-04-10,361.0,364.07,357.1,361.2,225075
2012-04-11,360.2,364.4,357.5,363.7,188782
2012-04-12,365.6,368.6,362.5,368.0,131345
2012-04-13,366.1,370.3,360.6,364.4,79592
2012-04-16,367.6,371.4,363.44,369.8,228429
2012-04-17,367.8,369.9,365.4,366.3,98061
2012-04-18,371.0,374.8,363.2,370.2,133976
2012-04-19,369.5,372.44,366.0,369.4,128745
2012-04-20,369.8,371.0,366.0,371.0,53337
2012-04-23,371.0,372.1,362.0,365.4,118505
2012-04-24,364.1,368.6,363.0,367.2,91112
2012-04-25,366.1,371.45,363.0,366.3,122367
2012-04-26,364.5,369.82,364.0,365.0,95188
2012-04-27,365.0,370.9,362.1,369.1,102825
2012-04-30,368.1,371.5,368.0,369.3,77188
2012-05-01,367.2,372.0,364.12,371.5,48508
2012-05-02,369.0,373.7,366.9,372.5,100400
2012-05-03,371.2,374.9,366.1,373.8,50433
2012-05-04,373.2,373.2,366.6,370.56,99204
2012-05-08,369.0,369.75,355.0,355.0,130561
2012-05-09,355.6,363.9,346.1,348.3,168473
2012-05-10,350.4,352.4,348.0,352.4,71241
2012-05-11,349.4,360.0,349.4,359.6,84420
2012-05-14,358.2,359.7,351.8,355.2,75212
2012-05-15,356.6,361.0,349.6,351.0,186909
2012-05-16,350.3,371.5,347.6,368.4,310324
2012-05-17,371.3,390.0,362.4,377.8,544908
2012-05-18,377.9,378.7,372.8,374.3,133105
2012-05-21,375.3,381.0,370.2,379.25,213152
2012-05-22,382.0,386.5,380.3,381.5,219491
2012-05-23,377.6,378.3,371.8,372.7,129456
2012-05-24,375.4,383.6,371.2,379.4,130864
2012-05-25,378.7,379.1,363.9,366.5,224690
2012-05-28,369.7,380.0,361.65,379.0,111027
2012-05-29,378.5,382.8,377.9,380.7,119450
2012-05-30,379.0,381.82,371.5,372.9,142186
2012-05-31,375.9,395.0,372.2,386.7,1780899
2012-06-01,391.5,393.08,379.4,380.5,242407
2012-06-06,385.0,389.8,382.24,389.8,389041
2012-06-07,388.3,389.9,382.3,388.0,179907
2012-06-08,387.4,394.17,386.0,392.0,274038
2012-06-11,395.0,398.7,392.7,396.0,291655
2012-06-12,388.5,394.18,363.1,365.4,922866
2012-06-13,371.7,375.5,364.28,374.6,383191
2012-06-14,377.1,379.44,373.5,378.3,363625
2012-06-15,376.8,382.0,376.8,380.0,759826
2012-06-18,383.0,386.46,380.6,383.3,265528
2012-06-19,381.9,385.0,376.5,383.2,168168
2012-06-20,381.8,392.3,380.3,387.7,124634
2012-06-21,383.5,385.6,378.8,381.0,182060
2012-06-22,381.5,382.8,376.2,378.6,132031
2012-06-25,378.6,378.6,370.1,374.8,127808
2012-06-26,376.5,380.8,375.2,378.0,130580
2012-06-27,377.4,379.56,370.1,377.0,171394
2012-06-28,374.4,377.6,373.1,377.3,152507
2012-06-29,380.7,390.2,380.7,388.0,245263
2012-07-02,385.7,390.5,384.1,389.0,176579
2012-07-03,387.7,390.0,382.1,390.0,250290
2012-07-04,387.8,391.9,385.2,391.0,345107
2012-07-05,392.0,393.91,388.7,389.1,175711
2012-07-06,388.0,390.1,386.3,389.8,129583
2012-07-09,388.2,395.4,385.5,392.5,288062
2012-07-10,390.9,394.0,387.5,389.9,257435
2012-07-11,386.6,391.9,384.0,391.3,129093
2012-07-12,0.0,394.5,389.74,392.0,208727
2012-07-13,396.8,398.7,391.1,396.3,243272
2012-07-16,393.6,402.0,393.6,398.9,193288
2012-07-17,398.0,403.1,397.1,400.6,341744
2012-07-18,401.0,408.48,398.58,407.1,287189
2012-07-19,393.8,414.1,393.8,412.9,162619
2012-07-20,409.5,415.9,409.1,410.5,98681
2012-07-23,410.3,410.71,402.2,403.0,84417
2012-07-24,402.8,406.1,400.5,403.1,108791
2012-07-25,403.7,409.9,401.0,407.7,140696
2012-07-26,411.2,411.2,405.8,409.0,187491
2012-07-27,412.8,413.8,407.3,410.9,276530
2012-07-30,411.0,415.0,411.0,412.5,79662
2012-07-31,412.0,413.7,407.6,410.3,265827
2012-08-01,409.4,416.0,409.4,413.2,223718
2012-08-02,412.8,414.9,404.95,406.1,185918
2012-08-03,405.5,417.5,405.0,412.7,206466
2012-08-06,413.8,418.3,408.5,414.0,150788
2012-08-07,415.4,419.0,411.3,417.3,87293
2012-08-08,409.3,418.2,406.5,410.5,143544
2012-08-09,416.3,416.3,406.37,409.5,143328
2012-08-10,409.3,417.2,407.8,415.5,74755
2012-08-13,415.7,416.6,409.5,415.4,44263
2012-08-14,418.0,419.72,414.68,417.5,80020
2012-08-15,417.5,423.4,414.7,421.5,121697
2012-08-16,422.5,422.61,414.9,419.0,59331
2012-08-17,420.0,424.4,419.0,424.4,138761
2012-08-20,423.5,424.1,418.12,422.5,150131
2012-08-21,424.4,427.0,421.4,427.0,188100
2012-08-22,424.8,426.4,419.6,426.0,129587
2012-08-23,427.5,427.6,418.95,424.6,62793
2012-08-24,426.0,432.0,423.9,430.8,71152
2012-08-28,425.0,431.24,425.0,427.8,49271
2012-08-29,425.0,431.5,425.0,430.0,169781
2012-08-30,429.0,433.0,428.0,430.1,141238
2012-08-31,431.5,435.0,428.3,434.9,231911
2012-09-03,434.8,440.0,431.8,437.0,112922
2012-09-04,432.0,436.27,425.5,425.8,88576
2012-09-05,427.1,431.14,419.19,421.9,344076
2012-09-06,424.2,429.5,419.47,426.4,365728
2012-09-07,429.6,437.1,426.4,430.0,300071
2012-09-10,429.8,438.0,427.1,436.0,134779
2012-09-11,435.4,439.0,422.34,436.1,56852
2012-09-12,437.2,439.0,432.25,435.8,104082
2012-09-13,435.9,443.9,435.07,442.8,138737
2012-09-14,444.2,449.09,437.98,446.8,199421
2012-09-17,446.0,449.5,442.86,447.0,219763
2012-09-18,445.4,447.1,438.3,444.0,131301
2012-09-19,445.9,448.2,440.0,442.4,152872
2012-09-20,439.3,441.4,436.6,439.0,54451
2012-09-21,440.0,443.86,436.0,437.1,237074
2012-09-24,436.4,443.6,435.7,436.6,79447
2012-09-25,437.7,439.8,436.02,438.0,53122
2012-09-26,434.4,438.8,427.88,434.4,54776
2012-09-27,435.8,436.7,431.8,434.9,94925
2012-09-28,435.0,435.0,426.1,426.1,97874
2012-10-01,428.2,429.6,425.13,427.18,253337
2012-10-02,426.0,431.3,423.4,426.36,193879
2012-10-03,426.3,426.3,420.3,421.0,125160
2012-10-04,424.5,426.4,418.39,425.21,261677
2012-10-05,428.1,434.1,423.7,433.8,136999
2012-10-08,433.0,438.5,427.82,436.9,80969
2012-10-09,438.7,438.7,429.9,434.1,41348
2012-10-10,433.8,434.7,429.0,430.3,79204
2012-10-11,435.0,435.1,429.3,430.5,97180
2012-10-12,430.5,431.5,426.7,428.0,107245
2012-10-15,428.3,429.0,423.5,424.7,47414
2012-10-16,425.0,425.0,421.5,421.9,70813
2012-10-17,423.6,424.3,414.04,420.0,130529
2012-10-18,419.1,422.0,418.1,419.0,124565
2012-10-19,419.1,420.4,412.3,416.6,103445
2012-10-22,418.9,420.5,413.2,414.0,68823
2012-10-23,415.0,415.6,406.1,411.1,256747
2012-10-24,414.9,418.5,410.6,417.6,65310
2012-10-25,418.4,423.03,417.5,419.9,62028
2012-10-26,418.3,424.9,418.3,421.6,66038
2012-10-29,422.5,422.5,418.2,420.0,55577
2012-10-30,422.1,425.0,419.82,423.0,124412
2012-10-31,422.0,425.0,419.7,423.4,58286
2012-11-01,422.1,425.4,420.6,425.1,63552
2012-11-02,425.2,425.2,418.1,424.7,116891
2012-11-05,424.3,424.3,413.0,415.7,65290
2012-11-06,414.8,418.8,414.8,418.5,50772
2012-11-07,417.4,423.23,413.7,415.2,71901
2012-11-08,415.0,420.5,415.0,418.0,71110
2012-11-09,421.4,421.4,415.3,420.3,39130
2012-11-12,419.5,422.5,416.6,416.6,33060
2012-11-13,416.2,421.0,416.2,420.4,26887
2012-11-14,420.6,422.3,418.78,419.5,67760
2012-11-15,417.6,417.9,415.0,416.6,26864
2012-11-16,416.7,421.3,416.7,417.0,145870
2012-11-19,418.5,421.9,417.38,421.3,31303
2012-11-20,420.9,423.15,416.0,423.0,52314
2012-11-21,420.4,426.9,418.9,426.9,81788
2012-11-22,424.2,427.1,424.2,427.1,22787
2012-11-23,422.4,425.4,415.7,424.5,56783
2012-11-26,422.0,425.84,422.0,424.6,36760
2012-11-27,427.0,428.8,419.3,425.9,185170
2012-11-28,426.7,427.0,419.98,425.9,110720
2012-11-29,413.0,420.0,375.65,404.6,486286
2012-11-30,384.0,393.6,384.0,391.3,202778
2012-12-03,390.0,390.0,383.0,387.5,138901
2012-12-04,390.6,398.0,387.0,389.8,196503
2012-12-05,397.9,397.9,387.5,390.5,80424
2012-12-06,387.0,395.5,385.0,390.2,196210
2012-12-07,394.0,399.3,389.5,399.3,86939
2012-12-10,396.0,400.9,395.5,400.9,39760
2012-12-11,401.6,401.88,398.0,398.9,167211
2012-12-12,398.1,403.5,398.0,402.0,94063
2012-12-13,402.5,406.4,401.0,406.4,58664
2012-12-14,408.1,408.1,401.78,402.1,63806
2012-12-17,401.1,403.68,392.6,393.8,70648
2012-12-18,397.0,402.74,395.96,398.7,121907
2012-12-19,400.0,401.89,396.7,397.5,80619
2012-12-20,398.0,402.0,395.4,400.0,166212
2012-12-21,397.1,405.0,397.1,403.9,420537
2012-12-24,404.3,404.3,396.56,399.1,21409
2012-12-27,407.0,407.06,396.3,398.3,34657
2012-12-28,398.0,400.3,395.1,397.8,26045
2012-12-31,409.7,409.7,396.12,397.0,25380
2013-01-02,397.8,409.8,397.8,408.5,208622
2013-01-03,406.0,412.82,406.0,412.7,88870
2013-01-04,413.0,414.0,410.0,413.0,98089
