Date,Open,High,Low,Close,Volume
2012-01-03,181.8,183.6,179.1,180.3,789687
2012-01-04,179.1,182.0,179.1,180.5,1758863
2012-01-05,180.1,181.0,178.4,179.6,679040
2012-01-06,179.3,186.6,178.6,185.9,234278
2012-01-09,186.7,189.1,185.6,187.3,121227
2012-01-10,187.2,189.9,186.5,188.0,77021
2012-01-11,188.0,192.0,187.7,192.0,34793
2012-01-12,191.0,195.5,191.0,195.5,239262
2012-01-13,195.7,199.9,195.1,199.0,252323
2012-01-16,198.9,203.7,197.6,202.8,312581
2012-01-17,205.2,207.7,202.4,204.2,399061
2012-01-18,203.1,207.6,203.1,206.0,247958
2012-01-19,205.5,209.34,205.5,206.5,387291
2012-01-20,208.2,208.4,205.1,205.8,126989
2012-01-23,205.9,210.0,205.9,206.5,58083
2012-01-24,205.8,205.8,201.7,203.0,135095
2012-01-25,202.6,204.0,200.1,201.2,191127
2012-01-26,201.0,206.1,201.0,205.3,320918
2012-01-27,205.4,208.0,198.6,200.6,663128
2012-01-30,202.1,202.9,198.0,198.5,253951
2012-01-31,204.3,209.4,199.5,208.5,372764
2012-02-01,210.0,221.3,208.5,220.1,1000174
2012-02-02,219.5,223.0,218.5,220.0,474171
2012-02-03,221.5,222.9,216.54,219.5,582031
2012-02-06,219.2,231.4,219.2,228.4,197174
2012-02-07,227.4,227.4,224.8,224.9,180979
2012-02-08,223.8,226.9,220.5,225.0,117095
2012-02-09,224.8,225.9,220.16,221.5,280782
2012-02-10,221.0,223.8,220.0,223.0,221973
2012-02-13,223.3,228.6,222.8,224.0,76389
2012-02-14,222.6,229.85,222.6,224.3,120181
2012-02-15,225.7,229.3,224.2,224.2,149145
2012-02-16,223.0,224.8,219.5,220.43,285387
2012-02-17,221.4,225.3,220.0,224.9,216284
2012-02-20,226.9,230.92,225.5,229.8,39613
2012-02-21,229.1,233.2,227.1,228.1,148222
2012-02-22,229.3,233.9,228.18,233.9,129285
2012-02-23,233.1,237.1,229.2,233.58,129913
2012-02-24,232.7,233.9,229.2,232.23,161578
2012-02-27,231.9,231.9,228.1,228.1,41555
2012-02-28,230.8,231.1,223.9,224.9,167208
2012-02-29,227.0,229.3,222.3,226.2,160733
2012-03-01,225.3,227.5,224.0,227.5,79816
2012-03-02,228.4,228.4,225.6,227.0,53519
2012-03-05,225.5,228.8,222.1,225.3,58088
2012-03-06,223.9,225.1,217.6,222.0,173087
2012-03-07,217.0,228.43,217.0,226.99,147245
2012-03-08,222.2,238.0,222.2,233.6,341222
2012-03-09,234.3,234.6,230.0,230.0,181181
2012-03-12,230.6,233.7,229.82,231.4,92675
2012-03-13,233.2,233.2,230.5,231.9,158088
2012-03-14,233.5,237.4,233.0,234.1,94735
2012-03-15,234.8,235.6,230.6,233.9,220909
2012-03-16,233.4,243.9,231.0,243.8,526040
2012-03-19,241.7,247.9,241.7,246.0,171089
2012-03-20,245.0,245.3,237.0,242.0,167156
2012-03-21,244.3,244.3,239.0,240.7,88030
2012-03-22,240.5,241.1,238.0,239.1,77210
2012-03-23,240.0,241.9,238.1,241.9,127021
2012-03-26,241.6,247.5,240.8,247.3,174925
2012-03-27,248.0,249.3,244.28,246.96,59913
2012-03-28,247.0,248.3,242.0,244.52,139068
2012-03-29,243.1,245.8,237.0,238.0,268819
2012-03-30,239.3,240.4,237.1,237.1,173648
2012-04-02,238.8,245.2,236.07,245.2,309413
2012-04-03,244.6,247.5,242.6,245.7,103505
2012-04-04,244.0,246.22,237.3,242.09,169044
