Date,Open,High,Low,Close,Volume
2012-01-03,1021.0,1044.0,995.0,1044.0,40801
2012-01-04,1039.0,1062.0,1031.0,1046.0,79039
2012-01-05,1044.0,1044.0,1018.0,1019.0,86882
2012-01-06,1015.0,1054.45,1015.0,1049.0,36422
2012-01-09,1040.0,1077.21,1020.0,1040.0,31715
2012-01-10,1052.0,1060.72,1039.0,1040.0,30987
2012-01-11,1034.0,1072.0,1034.0,1067.0,47482
2012-01-12,1071.0,1126.0,1047.04,1116.0,81412
2012-01-13,1117.0,1150.9,1040.0,1065.0,156129
2012-01-16,1091.0,1091.0,1049.84,1061.0,54321
2012-01-17,1077.0,1133.25,1058.0,1101.0,56774
2012-01-18,1097.0,1118.0,1050.0,1106.0,149927
2012-01-19,1105.0,1130.0,1070.0,1108.0,163647
2012-01-20,1115.0,1115.0,1087.0,1092.0,56546
2012-01-23,1145.0,1221.0,1116.7,1210.0,447519
2012-01-24,1209.0,1209.0,1131.0,1146.72,196882
2012-01-25,1148.0,1381.0,1120.0,1283.0,377965
2012-01-26,1270.0,1369.0,1268.84,1280.42,256762
2012-01-27,1333.0,1395.0,1324.97,1358.0,79658
2012-01-30,1356.0,1385.0,1325.0,1369.0,223890
2012-01-31,1370.0,1403.96,1361.0,1394.0,165114
2012-02-01,1407.0,1455.0,1387.43,1447.0,178592
2012-02-02,1456.0,1475.0,1416.45,1463.0,149130
2012-02-03,1465.0,1497.0,1407.0,1485.0,85419
2012-02-06,1494.0,1507.0,1457.0,1496.0,74895
2012-02-07,1493.0,1498.89,1428.07,1475.0,75899
2012-02-08,1499.0,1501.0,1451.0,1490.0,87334
2012-02-09,1498.0,1516.0,1478.59,1492.0,94148
2012-02-10,1467.0,1470.0,1430.0,1454.0,119252
2012-02-13,1457.0,1485.09,1434.01,1462.0,45011
2012-02-14,1455.0,1469.0,1435.0,1446.0,36538
2012-02-15,1447.0,1469.0,1440.0,1450.0,47424
2012-02-16,1433.0,1452.0,1420.0,1450.0,38758
2012-02-17,1455.0,1486.84,1455.0,1480.0,20417
2012-02-20,1471.0,1499.6,1433.66,1488.0,22828
