Date,Open,High,Low,Close,Volume
2012-01-03,165.0,165.87,159.75,162.75,17899.0
2012-01-04,161.25,165.7,159.25,161.75,4173.0
2012-01-05,160.5,163.5,159.25,160.24,190714.0
2012-01-06,165.0,168.0,162.0,167.75,94561.0
2012-01-09,165.5,170.0,165.5,169.5,16678.0
2012-01-10,173.0,176.0,168.0,176.0,49224.0
2012-01-11,174.75,177.0,174.75,177.0,871.0
2012-01-12,177.0,177.0,171.88,177.0,9721.0
2012-01-13,177.0,184.0,176.55,184.0,25355.0
2012-01-16,181.88,0.0,179.08,183.0,7185.0
2012-01-17,185.0,185.0,181.25,183.0,3703.0
2012-01-18,186.0,189.5,186.0,189.5,10461.0
2012-01-19,190.5,194.48,186.89,192.29,145174.0
2012-01-20,195.0,198.12,195.0,198.12,15008.0
2012-01-23,198.78,198.78,0.0,198.78,2497.0
2012-01-24,193.5,199.0,193.5,194.5,7621.0
2012-01-25,199.79,199.79,197.5,197.5,5452.0
2012-01-26,193.25,197.75,193.25,194.75,8629.0
2012-01-27,196.0,199.5,194.62,199.5,6058.0
2012-01-30,196.0,196.0,193.5,194.0,4513.0
2012-01-31,199.25,200.0,195.0,197.67,634361.0
2012-02-01,199.75,206.25,199.75,206.25,15200.0
2012-02-02,205.75,215.5,199.78,215.5,20077.0
2012-02-03,212.0,0.0,211.78,211.78,2133.0
2012-02-06,212.75,215.0,212.75,213.07,35453.0
2012-02-07,208.75,214.75,208.75,211.0,6688.0
2012-02-08,215.0,215.0,211.25,211.25,2125.0
2012-02-09,216.0,216.0,211.99,215.5,3471.0
2012-02-10,210.25,214.0,210.25,214.0,3690.0
2012-02-13,218.0,218.0,213.0,213.32,1368.0
2012-02-14,218.0,218.0,217.0,217.5,851.0
2012-02-15,216.75,220.0,214.0,218.25,2004.0
2012-02-16,218.75,224.0,216.5,224.0,5778.0
2012-02-17,225.0,226.0,223.58,224.0,187.0
2012-02-20,229.75,229.75,227.25,227.25,1162.0
2012-02-21,226.0,230.0,225.0,225.0,1160.0
2012-02-22,225.0,225.0,223.12,225.0,5198.0
2012-02-23,221.25,225.5,221.25,224.34,9896.0
2012-02-24,227.0,227.0,224.5,224.5,1336.0
2012-02-27,,,,221.33,0.0
2012-02-28,225.0,228.25,220.0,224.5,5558.0
2012-02-29,225.0,232.0,225.0,229.25,6149.0
2012-03-01,224.0,239.0,224.0,234.1,42892.0
2012-03-02,234.75,245.75,233.0,235.35,9612.0
2012-03-05,246.0,247.75,239.25,244.25,9378.0
2012-03-06,240.0,241.0,238.0,239.0,22701.0
2012-03-07,237.0,240.0,237.0,239.47,7293.0
2012-03-08,238.25,238.25,235.0,237.5,5116.0
2012-03-09,235.0,237.63,235.0,235.5,275.0
2012-03-12,240.0,240.0,233.0,233.0,21933.0
2012-03-13,238.0,242.75,236.0,238.86,15148.0
2012-03-14,243.0,248.0,243.0,246.25,19003.0
2012-03-15,249.0,253.5,240.0,253.5,7681.0
2012-03-16,252.75,255.0,247.98,250.25,14566.0
2012-03-19,255.0,257.25,252.25,256.75,5085.0
2012-03-20,259.25,259.99,254.25,259.5,8213.0
2012-03-21,253.0,255.25,250.0,254.25,3570.0
2012-03-22,256.25,256.25,256.25,256.25,81.0
2012-03-23,250.0,253.0,246.0,247.25,5718.0
2012-03-26,250.0,251.0,247.88,251.0,8917.0
2012-03-27,251.75,255.0,250.0,250.75,26091.0
2012-03-28,248.0,255.0,248.0,253.75,2544.0
2012-03-29,245.65,253.75,245.65,247.05,4.0
2012-03-30,243.0,247.99,243.0,245.0,1397.0
2012-04-02,241.5,248.0,241.5,245.75,466.0
2012-04-03,250.75,250.75,243.25,245.0,13383.0
2012-04-04,241.25,264.25,241.0,263.5,91855.0
2012-04-05,255.0,257.0,253.25,255.25,16689.0
2012-04-10,255.0,258.0,254.5,254.5,1430.0
2012-04-11,258.0,262.75,258.0,258.5,1222.0
2012-04-12,258.75,258.75,258.75,258.75,209.0
2012-04-13,258.0,258.0,253.0,256.5,4691.0
2012-04-16,257.25,265.0,256.95,264.5,44036.0
2012-04-17,260.0,263.28,260.0,263.28,27.0
2012-04-18,262.0,262.0,260.0,262.0,205.0
2012-04-19,262.25,262.25,257.0,257.0,424.0
2012-04-20,260.0,262.0,257.0,257.5,2423.0
2012-04-23,257.0,260.25,256.0,256.5,3047.0
2012-04-24,256.25,260.25,256.09,256.75,965.0
2012-04-25,,,,258.25,0.0
2012-04-26,262.0,262.0,255.0,255.5,9853.0
2012-04-27,259.0,260.0,255.25,259.0,2432.0
2012-04-30,257.25,260.0,255.5,255.5,116.0
2012-05-01,255.25,257.62,255.0,255.5,32571.0
2012-05-02,256.75,256.75,253.0,254.0,52431.0
2012-05-03,253.75,256.0,250.0,252.0,30094.0
2012-05-04,250.0,250.0,242.0,245.0,44028.0
2012-05-08,242.5,242.5,230.5,230.5,14067.0
2012-05-09,230.0,230.0,223.25,225.0,34356.0
2012-05-10,225.5,229.5,225.0,225.0,10462.0
2012-05-11,229.75,233.72,225.0,227.75,5725.0
2012-05-14,227.0,229.0,225.0,228.5,1598.0
2012-05-15,226.25,230.0,225.0,230.0,25015.0
2012-05-16,225.0,232.0,225.0,229.75,864.0
2012-05-17,225.25,232.0,225.0,226.25,4273.0
2012-05-18,,,,228.58,0.0
2012-05-21,228.0,228.0,224.25,224.5,9912.0
2012-05-22,227.0,227.0,224.0,224.0,552.0
2012-05-23,220.0,225.0,215.0,215.0,9732.0
2012-05-24,215.5,215.82,214.91,215.0,2796.0
2012-05-25,215.25,223.75,215.25,218.75,3355.0
2012-05-28,218.5,224.0,215.5,215.5,1796.0
2012-05-29,219.25,220.0,215.0,215.0,2996.0
2012-05-30,222.5,222.5,205.0,205.0,19062.0
2012-05-31,206.75,211.75,204.0,204.25,6059.0
2012-06-01,,,,204.25,0.0
2012-06-06,204.0,204.0,190.0,190.0,9711.0
2012-06-07,189.75,191.36,189.0,190.0,9219.0
2012-06-08,189.0,191.5,188.0,188.0,4522.0
2012-06-11,189.25,190.0,188.75,188.75,577.0
2012-06-12,189.5,191.5,186.0,189.25,14544.0
2012-06-13,193.75,194.38,189.0,190.0,6234.0
2012-06-14,194.25,194.75,188.0,191.0,6192.0
2012-06-15,193.0,205.87,190.46,205.75,100222.0
2012-06-18,200.0,205.0,200.0,204.75,7455.0
2012-06-19,205.0,209.0,204.75,206.0,5522.0
2012-06-20,204.5,210.5,204.5,210.5,244.0
2012-06-21,206.7,208.25,206.7,208.25,2800.0
2012-06-22,204.0,206.5,203.5,203.5,2233.0
2012-06-25,209.75,209.75,208.0,208.0,2723.0
2012-06-26,202.0,202.0,202.0,202.0,49.0
2012-06-27,207.0,207.0,203.0,203.75,5804.0
2012-06-28,203.5,206.25,202.0,202.0,10761.0
2012-06-29,207.5,210.0,202.25,210.0,47425.0
2012-07-02,205.75,209.75,202.0,202.0,12924.0
2012-07-03,210.0,210.0,202.0,202.0,518.0
2012-07-04,206.0,209.0,205.6,209.0,1249.0
2012-07-05,203.0,203.0,194.5,194.5,2719.0
2012-07-06,196.0,196.5,194.5,196.0,758.0
2012-07-09,196.25,196.25,191.0,191.0,5401.0
2012-07-10,190.25,193.0,186.0,187.75,3633.0
2012-07-11,185.75,190.0,185.75,185.75,485.0
2012-07-12,185.75,195.25,185.75,193.5,1751.0
2012-07-13,185.5,187.0,180.25,180.75,4871.0
2012-07-16,180.75,189.75,180.75,182.0,893.0
2012-07-17,184.0,185.0,180.0,180.0,5102.0
2012-07-18,180.0,188.25,180.0,180.0,971.0
2012-07-19,184.5,190.0,184.5,186.25,1459.0
2012-07-20,180.25,185.0,180.0,180.0,686.0
2012-07-23,180.25,186.62,180.0,180.0,718.0
2012-07-24,182.5,182.5,180.0,180.0,176.0
2012-07-25,185.0,189.0,185.0,189.0,2239.0
2012-07-26,180.0,186.75,180.0,180.0,3139.0
2012-07-27,180.0,181.0,177.5,177.5,6193.0
2012-07-30,,,,182.39,0.0
2012-07-31,185.25,187.5,180.0,187.5,1918.0
2012-08-01,185.25,185.25,183.7,185.25,54.0
2012-08-02,185.0,185.0,174.23,185.0,10778.0
2012-08-03,184.75,184.75,177.0,184.5,218.0
2012-08-06,182.0,182.0,176.2,182.0,148.0
2012-08-07,184.75,184.75,176.5,176.5,520.0
2012-08-08,184.75,185.0,184.75,185.0,7011.0
2012-08-09,183.0,185.0,179.23,185.0,10049.0
2012-08-10,185.25,185.25,185.0,185.25,164.0
2012-08-13,185.25,188.0,184.5,184.5,5701.0
2012-08-14,,,,184.5,0.0
2012-08-15,185.0,188.0,183.1,188.0,955.0
2012-08-16,188.0,188.0,185.0,185.0,1.0
2012-08-17,185.0,189.0,184.0,189.0,4768.0
2012-08-20,180.25,189.75,180.0,189.75,3933.0
2012-08-21,189.75,191.0,189.75,190.75,4160.0
2012-08-22,190.75,190.75,183.22,190.5,3306.0
2012-08-23,190.75,190.75,190.75,190.75,213.0
2012-08-24,190.75,191.0,190.75,191.0,403.0
2012-08-28,190.75,190.75,183.1,190.5,339.0
2012-08-29,,,,187.86,0.0
2012-08-30,191.0,191.5,188.75,191.5,1446.0
2012-08-31,185.0,189.75,182.08,189.75,129.0
2012-09-03,,,,185.0,0.0
2012-09-04,,,,183.0,0.0
2012-09-05,185.0,185.0,185.0,185.0,54.0
2012-09-06,,,,185.0,0.0
2012-09-07,189.75,192.75,189.75,192.75,7656.0
2012-09-10,190.0,193.0,188.0,192.75,3795.0
2012-09-11,189.0,191.0,189.0,191.0,978.0
2012-09-12,187.25,192.5,186.0,187.0,1660.0
2012-09-13,192.75,192.75,192.75,192.75,430.0
2012-09-14,192.75,193.0,185.25,188.75,3825.0
2012-09-17,188.0,188.0,183.5,183.5,9260.0
2012-09-18,186.0,186.0,182.0,182.0,7676.0
2012-09-19,185.0,186.0,182.5,182.5,5397.0
2012-09-20,186.0,186.0,181.25,181.25,10476.0
2012-09-21,186.75,186.75,176.25,176.25,24517.0
2012-09-24,180.0,185.0,178.25,184.75,13716.0
2012-09-25,182.25,190.0,180.56,187.19,9171.0
2012-09-26,189.0,190.0,183.0,187.0,13774.0
2012-09-27,183.0,189.5,183.0,189.5,4459.0
2012-09-28,191.0,194.75,189.5,194.75,6769.0
2012-10-01,188.25,194.75,188.25,194.75,3376.0
2012-10-02,,,,194.75,0.0
2012-10-03,195.0,197.75,195.0,197.75,4217.0
2012-10-04,196.0,198.12,196.0,196.0,724.0
2012-10-05,,,,195.77,0.0
2012-10-08,198.5,200.0,195.38,200.0,906.0
2012-10-09,,,,200.0,0.0
2012-10-10,,,,200.0,0.0
2012-10-11,200.0,208.0,200.0,208.0,4787.0
2012-10-12,208.0,210.0,204.25,210.0,15968.0
2012-10-15,,,,210.0,0.0
2012-10-16,204.5,207.75,199.83,204.0,5659.0
2012-10-17,201.25,201.75,197.25,198.5,7094.0
2012-10-18,204.75,204.75,198.02,198.02,441.0
2012-10-19,,,,205.75,0.0
2012-10-22,202.0,203.52,200.0,202.0,5732.0
2012-10-23,,,,202.0,0.0
2012-10-24,198.5,205.16,198.5,205.16,8.0
2012-10-25,205.25,208.94,205.25,207.25,2421.0
2012-10-26,205.1,207.0,205.1,207.0,3.0
2012-10-29,,,,202.43,0.0
2012-10-30,200.0,204.0,199.5,204.0,2.0
2012-10-31,,,,199.5,0.0
2012-11-01,203.0,203.0,202.5,202.5,504.0
2012-11-02,197.0,203.0,197.0,203.0,8.0
2012-11-05,197.0,201.25,195.0,201.25,2501.0
2012-11-06,197.25,197.25,192.5,194.25,9269.0
2012-11-07,197.25,202.75,197.25,199.5,1323.0
2012-11-08,,,,194.0,0.0
2012-11-09,195.25,198.0,195.0,195.5,2097.0
2012-11-12,199.75,200.0,197.88,200.0,18.0
2012-11-13,197.0,199.75,195.25,199.75,3436.0
2012-11-14,192.25,195.0,192.25,195.0,14.0
2012-11-15,192.25,200.0,192.25,200.0,979.0
2012-11-16,192.25,199.75,190.5,199.75,31526.0
2012-11-19,195.0,199.75,191.64,199.75,35.0
2012-11-20,199.75,199.75,199.75,199.75,29.0
2012-11-21,199.75,199.75,199.75,199.75,93.0
2012-11-22,191.55,,191.55,191.65,
2012-11-23,190.75,191.0,190.75,191.0,958.0
2012-11-26,,,,191.0,0.0
2012-11-27,190.75,197.0,190.5,191.0,4144.0
2012-11-28,,,,191.0,0.0
2012-11-29,196.4,196.4,,196.4,
2012-11-30,191.78,199.0,191.78,199.0,51.0
2012-12-03,199.0,199.0,199.0,199.0,1.0
2012-12-04,198.75,199.0,198.75,199.0,3149.0
2012-12-05,200.0,200.0,200.0,200.0,110.0
2012-12-06,,,,200.0,0.0
2012-12-07,200.0,201.0,200.0,201.0,1322.0
2012-12-10,200.75,203.0,200.75,203.0,1991.0
2012-12-11,194.48,,194.48,194.58,
2012-12-12,195.0,195.0,195.0,195.0,593.0
2012-12-13,195.25,202.0,195.0,202.0,5673.0
