Date,Open,High,Low,Close,Volume
2012-01-03,102.0,102.0,98.75,101.75,183083
2012-01-04,101.0,104.0,99.5,100.75,37271
2012-01-05,101.25,103.0,100.0,101.75,21896
2012-01-06,103.0,103.0,97.0,100.0,49063
2012-01-09,100.0,102.0,97.0,98.0,29785
2012-01-10,99.0,99.75,97.0,98.25,62563
2012-01-11,98.5,102.0,98.5,100.0,200457
2012-01-12,100.25,102.75,100.25,102.75,63957
2012-01-13,103.75,103.75,100.0,101.75,281917
2012-01-16,100.0,101.0,98.42,101.0,45787
2012-01-17,101.5,101.5,100.0,100.0,904966
2012-01-18,100.0,101.0,98.0,98.5,461704
2012-01-19,98.0,101.0,98.0,101.0,1395798
2012-01-20,100.0,103.0,99.25,101.0,270879
2012-01-23,103.0,105.0,101.25,103.0,693986
2012-01-24,104.25,104.4,103.0,103.0,639368
2012-01-25,104.5,105.53,103.75,105.5,128774
2012-01-26,106.25,107.58,104.25,104.75,193388
2012-01-27,104.0,107.0,104.0,107.0,77165
2012-01-30,108.5,109.25,105.25,106.25,176654
2012-01-31,105.0,107.0,105.0,106.5,219250
2012-02-01,106.5,111.0,106.5,110.25,523509
2012-02-02,111.0,114.0,110.0,112.0,339429
2012-02-03,112.0,115.75,112.0,114.75,1093596
2012-02-06,114.75,117.25,113.5,117.0,242746
2012-02-07,116.5,117.0,114.5,116.0,468314
2012-02-08,117.0,117.0,115.0,116.0,165076
2012-02-09,115.0,118.0,114.85,117.0,238596
2012-02-10,116.25,117.52,114.75,116.0,139323
2012-02-13,116.25,116.95,112.0,115.0,184455
2012-02-14,117.0,117.5,116.0,116.25,342061
2012-02-15,116.25,119.0,116.0,119.0,245506
2012-02-16,117.0,118.64,116.5,117.5,176775
2012-02-17,118.5,121.5,118.0,120.0,383793
2012-02-20,120.0,123.0,118.0,123.0,108572
2012-02-21,120.5,123.0,119.63,120.75,147924
2012-02-22,121.5,121.5,119.5,120.5,173447
2012-02-23,120.0,121.25,119.5,120.0,89715
2012-02-24,121.75,121.75,119.0,120.75,151269
2012-02-27,119.5,120.0,118.0,119.0,87944
2012-02-28,119.0,119.9,117.75,118.5,37789
2012-02-29,118.25,119.75,118.0,119.0,45862
2012-03-01,119.5,120.5,118.5,119.5,128060
2012-03-02,120.0,122.0,119.25,121.75,112154
2012-03-05,120.0,122.0,120.0,120.75,73802
2012-03-06,120.75,121.0,116.5,119.25,197347
2012-03-07,119.0,121.75,117.25,120.0,296407
2012-03-08,120.0,122.0,120.0,122.0,47765
2012-03-09,123.0,124.25,119.0,120.0,101652
2012-03-12,120.25,120.75,118.25,119.25,162288
2012-03-13,120.0,122.25,119.0,121.5,226332
2012-03-14,119.0,123.25,119.0,122.5,198653
2012-03-15,122.0,124.75,121.0,124.5,609273
2012-03-16,125.0,128.5,123.35,127.75,412799
2012-03-19,127.5,128.5,124.0,128.0,353493
2012-03-20,126.0,126.0,122.75,123.25,321976
2012-03-21,123.75,125.5,117.75,118.0,432845
2012-03-22,115.0,118.0,111.5,116.75,962969
2012-03-23,117.0,117.5,115.0,115.5,301921
2012-03-26,117.0,117.0,115.5,116.0,131619
2012-03-27,117.0,118.0,116.25,116.5,99234
2012-03-28,116.0,117.5,116.0,117.5,117661
2012-03-29,118.0,118.0,115.5,117.0,233645
2012-03-30,118.0,118.0,116.0,118.0,248664
2012-04-02,117.75,118.0,115.5,117.0,128787
2012-04-03,117.5,117.5,115.75,116.0,95700
2012-04-04,116.25,116.25,115.25,115.5,46831
2012-04-05,116.0,117.5,114.79,117.5,214673
2012-04-10,117.0,118.0,116.75,117.75,187863
2012-04-11,117.0,118.0,116.25,117.56,172104
2012-04-12,118.0,118.25,116.0,117.5,703800
2012-04-13,117.0,117.5,116.0,116.25,98639
2012-04-16,115.75,116.0,113.5,113.5,209241
2012-04-17,115.0,115.0,113.0,114.75,200729
2012-04-18,113.25,114.5,113.0,113.5,40551
2012-04-19,113.5,115.0,113.0,113.0,51529
2012-04-20,114.0,114.56,113.0,114.0,77754
2012-04-23,115.0,115.5,112.0,112.25,174730
2012-04-24,112.25,114.25,111.5,112.0,320313
2012-04-25,113.0,114.0,112.19,113.25,383598
2012-04-26,115.0,115.0,112.25,113.5,154335
2012-04-27,112.75,114.75,112.0,112.75,237206
2012-04-30,113.0,113.0,111.0,112.0,183663
2012-05-01,112.75,115.0,111.92,113.25,107302
2012-05-02,113.75,115.0,111.75,112.0,429612
2012-05-03,112.0,114.62,111.25,112.0,184054
2012-05-04,111.25,113.05,111.0,111.0,308164
2012-05-08,111.75,115.0,110.25,110.25,491058
2012-05-09,111.75,113.75,110.0,112.25,155752
2012-05-10,114.75,114.75,111.5,113.25,65635
