Date,Open,High,Low,Close,Volume
2012-01-03,305.0,310.6,302.8,310.3,4396511
2012-01-04,309.7,312.5,304.3,305.5,4283690
2012-01-05,307.2,308.7,296.3,298.0,4283212
2012-01-06,297.7,302.55,295.6,298.8,5134155
2012-01-09,300.0,301.44,297.3,300.0,2553649
2012-01-10,302.5,307.0,300.3,305.9,3808152
2012-01-11,306.0,310.46,295.2,302.1,6001679
2012-01-12,290.1,292.0,280.3,285.9,16065887
2012-01-13,287.0,288.99,281.68,284.1,6376924
2012-01-16,283.1,285.77,280.3,283.2,4390680
2012-01-17,285.9,287.92,282.9,285.3,3108264
2012-01-18,286.0,287.24,283.3,286.4,4636808
2012-01-19,285.0,288.6,280.9,287.9,4543755
2012-01-20,289.3,290.9,286.2,290.6,5210376
2012-01-23,290.8,293.13,289.3,290.5,3604324
2012-01-24,289.4,291.0,288.3,290.3,3419800
2012-01-25,291.4,292.1,287.47,289.7,3082043
2012-01-26,290.1,291.33,287.7,289.2,2725925
2012-01-27,289.0,290.63,286.9,288.6,2040089
2012-01-30,287.5,289.85,285.8,289.3,3559583
2012-01-31,289.5,290.75,287.4,288.4,4479825
2012-02-01,289.9,294.2,289.1,294.0,2908659
2012-02-02,294.0,295.0,288.2,288.7,5415260
2012-02-03,289.1,295.13,287.8,295.1,3792158
2012-02-06,294.9,296.0,291.3,295.1,2200454
2012-02-07,295.3,296.1,291.0,294.4,2677897
2012-02-08,294.3,296.32,293.6,294.5,2067000
2012-02-09,295.1,297.1,290.8,292.2,2707394
2012-02-10,292.1,293.31,288.86,290.4,3001726
2012-02-13,290.8,292.3,289.7,291.1,1899050
2012-02-14,291.0,293.2,288.08,289.9,3417571
2012-02-15,291.6,292.9,288.0,290.1,3460312
2012-02-16,289.3,298.2,286.8,296.0,7541122
2012-02-17,298.9,301.9,296.9,301.5,7000715
2012-02-20,302.6,304.95,298.93,304.2,3377941
2012-02-21,304.3,307.2,302.3,306.0,5809704
2012-02-22,305.8,306.93,303.7,304.9,4547536
2012-02-23,305.1,305.75,298.2,298.9,5015041
2012-02-24,300.4,302.78,297.9,301.5,3426365
2012-02-27,300.5,302.9,296.71,298.9,3303557
2012-02-28,299.3,303.61,296.4,300.3,3464688
2012-02-29,300.0,303.7,298.1,298.3,3835962
2012-03-01,298.0,298.91,295.2,296.7,3646642
2012-03-02,296.0,297.7,293.4,294.7,3511068
