Date,Open,High,Low,Close,Volume
2012-01-03,453.1,458.6,453.1,458.0,81671
2012-01-04,454.9,454.9,446.1,451.0,41656
2012-01-05,445.6,456.4,442.5,456.4,163922
2012-01-06,450.0,457.9,449.3,457.9,65079
2012-01-09,457.9,457.9,453.71,456.9,44765
2012-01-10,459.2,462.0,456.71,460.5,74112
2012-01-11,461.9,463.9,456.71,463.9,116124
2012-01-12,463.7,469.0,461.85,464.0,99949
2012-01-13,469.4,469.4,465.2,468.0,74053
2012-01-16,470.0,470.0,464.0,469.0,54578
2012-01-17,474.9,480.0,471.5,473.0,43766
2012-01-18,472.0,476.2,469.8,475.0,65384
2012-01-19,479.9,482.7,476.6,480.2,133455
2012-01-20,482.7,482.8,478.29,479.3,45396
2012-01-23,481.9,481.9,475.61,478.5,48159
2012-01-24,480.6,480.6,472.3,476.7,54783
2012-01-25,476.0,479.3,470.1,471.0,34964
2012-01-26,473.2,478.82,473.1,473.1,29949
2012-01-27,478.9,479.0,470.6,472.0,69068
2012-01-30,474.3,474.3,465.5,465.5,64473
2012-01-31,470.3,471.9,455.1,455.1,136576
2012-02-01,466.0,475.6,460.0,475.6,86826
2012-02-02,475.6,477.1,469.6,476.0,78805
2012-02-03,478.9,479.2,472.59,477.9,84651
2012-02-06,479.2,482.8,475.11,479.9,164615
2012-02-07,480.0,482.8,477.5,481.2,114933
2012-02-08,483.3,483.5,476.1,479.7,55956
2012-02-09,481.0,483.4,480.3,480.4,44840
2012-02-10,475.3,480.38,475.3,478.6,72382
2012-02-13,482.9,483.4,474.5,483.0,15432
2012-02-14,483.0,484.0,481.5,483.0,21121
2012-02-15,485.0,486.6,483.1,485.0,54965
2012-02-16,482.3,482.74,479.2,482.0,11939
2012-02-17,487.5,487.5,479.51,486.9,8630
2012-02-20,488.0,488.0,484.0,488.0,22424
2012-02-21,483.0,489.9,483.0,488.0,53098
2012-02-22,490.3,491.0,485.01,491.0,46544
2012-02-23,491.0,492.8,488.5,492.8,28281
2012-02-24,494.3,494.3,487.2,491.9,43629
2012-02-27,489.5,489.89,485.0,485.0,28736
2012-02-28,484.7,489.29,484.7,488.0,19611
2012-02-29,485.3,492.0,485.3,491.6,11732
