Date,Open,High,Low,Close,Volume
2015-11-13,265.0,288.75,260.25,275.43,8757271
2015-11-16,275.0,287.25,240.0,279.06,555296
2015-11-17,284.0,285.0,280.0,280.0,96373
2015-11-18,280.0,284.0,280.0,280.0,203529
2015-11-19,285.0,296.6,278.72,287.05,188706
2015-11-20,295.0,295.0,286.5,290.0,64349
2015-11-23,290.25,294.62,286.0,294.62,26831
2015-11-24,294.0,294.76,285.25,289.5,14347
2015-11-25,290.0,290.0,285.0,285.0,22926
2015-11-26,286.25,288.96,285.0,285.0,13419
2015-11-27,285.0,286.5,280.0,280.0,14590
2015-11-30,280.0,285.0,279.72,284.0,107071
2015-12-01,288.0,288.0,280.0,281.75,26416
2015-12-02,283.0,285.0,280.0,281.0,30544
2015-12-03,285.0,286.85,282.5,285.5,44332
2015-12-04,285.0,287.0,285.0,287.0,11790
2015-12-07,293.0,307.0,287.94,298.0,239147
2015-12-08,300.0,300.0,290.0,290.25,97706
2015-12-09,290.0,297.25,290.0,296.5,5633
2015-12-10,295.0,300.85,295.0,300.45,25871
2015-12-11,302.0,303.52,298.0,300.0,189517
2015-12-14,305.0,305.0,299.5,300.31,30790
2015-12-15,300.5,304.5,296.25,300.0,75135
2015-12-16,304.75,308.58,300.0,301.75,34494
2015-12-18,325.0,325.0,311.14,321.0,82486
2015-12-21,320.0,328.0,315.8,320.0,47054
2015-12-22,318.0,334.28,317.9,326.0,77131
2015-12-23,327.0,328.5,315.0,322.0,2167
2015-12-24,328.5,330.0,325.6,330.0,0
2015-12-29,329.0,348.0,329.0,333.25,32410
2015-12-30,335.0,347.78,335.0,336.0,31701
2015-12-31,346.2,346.5,334.07,346.5,0
2016-01-04,336.0,344.14,335.0,337.25,41457
2016-01-05,337.0,342.23,334.04,337.52,14922
2016-01-06,343.0,343.25,330.0,330.0,22148
2016-01-07,340.0,340.0,327.0,329.0,11196
2016-01-08,332.0,336.39,330.0,336.0,51667
2016-01-11,344.25,345.0,332.42,339.0,69773
2016-01-12,339.5,342.93,334.66,335.5,68904
2016-01-13,338.75,342.65,334.5,334.5,13512
2016-01-14,343.5,343.5,330.25,335.0,96198
2016-01-15,340.0,340.0,307.5,333.5,92960
2016-01-18,318.0,331.67,317.81,326.0,98547
2016-01-19,329.75,329.75,324.5,328.0,74705
2016-01-20,325.0,329.6,316.4,320.0,52623
2016-01-21,330.0,330.0,315.0,325.5,93587
2016-01-22,330.0,330.0,313.9,319.25,43199
2016-01-25,327.0,327.0,315.5,317.0,9475
2016-01-26,320.0,321.75,312.75,318.5,54354
2016-01-27,320.0,326.02,315.66,326.0,77381
2016-01-28,328.0,328.0,319.0,327.0,16950
2016-01-29,328.0,343.0,320.75,335.5,128380
2016-02-01,330.0,338.74,327.5,337.56,66915
2016-02-02,325.0,338.51,325.0,333.0,3595
2016-02-03,330.75,340.0,327.02,335.75,24085
2016-02-04,340.0,344.0,333.0,340.0,109530
2016-02-05,340.0,344.0,337.5,341.0,23005
2016-02-08,332.5,343.5,310.0,315.0,80145
2016-02-09,320.0,328.0,303.0,307.81,149547
2016-02-10,309.0,316.0,303.0,303.5,119937
2016-02-11,310.0,310.0,260.0,292.93,275590
2016-02-12,297.0,302.75,296.4,302.0,73234
2016-02-15,295.5,310.29,295.5,308.5,25936
2016-02-16,305.0,307.75,295.0,301.75,91986
2016-02-17,304.0,310.25,295.25,308.75,124509
2016-02-18,309.0,315.0,305.0,308.75,61517
2016-02-19,314.5,314.5,304.0,305.0,41622
2016-02-22,309.5,319.5,306.17,319.5,71471
2016-02-23,324.5,335.0,319.0,330.75,57843
2016-02-24,328.25,341.75,326.0,338.5,204166
2016-02-25,330.5,342.0,330.5,339.0,27082
2016-02-26,342.0,343.0,334.16,338.75,37647
2016-02-29,335.5,352.5,329.0,350.0,68916
2016-03-01,348.25,354.3,342.0,348.0,45999
2016-03-02,345.0,355.0,344.25,353.25,31325
2016-03-03,340.75,352.75,340.75,351.0,14665
2016-03-04,347.25,347.25,340.5,340.5,80527
2016-03-07,347.25,347.25,332.0,332.0,21887
2016-03-08,332.0,334.77,312.5,322.0,101143
2016-03-09,321.0,328.0,319.25,321.5,43422
2016-03-10,327.5,327.5,320.5,320.75,18184
2016-03-11,324.75,324.77,315.75,320.0,27779
2016-03-14,328.0,328.0,312.75,315.0,73339
2016-03-15,311.0,316.86,302.0,305.75,80299
2016-03-16,314.75,314.75,295.75,305.0,183324
2016-03-17,306.0,323.0,305.74,307.0,275096
2016-03-18,318.0,318.0,292.23,300.0,4168558
2016-03-21,310.0,313.0,298.0,309.5,44152
2016-03-22,314.9,314.9,303.1,307.9,42092
2016-03-23,313.9,315.0,306.0,313.05,93384
2016-03-24,305.1,312.4,305.1,310.0,57114
2016-03-29,303.0,312.9,303.0,308.2,29882
2016-03-30,315.0,317.4,308.8,312.0,186276
2016-03-31,312.0,321.1,309.42,312.5,119409
2016-04-01,318.4,318.4,309.0,311.6,43652
2016-04-04,311.2,326.0,311.2,323.9,68135
2016-04-05,328.0,337.9,320.0,336.1,64276
2016-04-06,340.0,343.0,330.3,336.9,48951
2016-04-07,329.4,342.3,328.0,331.6,45234
2016-04-08,327.4,330.7,325.0,327.3,22445
2016-04-11,325.5,332.8,325.0,330.0,155760
2016-04-12,330.0,334.3,326.4,330.0,119630
2016-04-13,340.0,340.0,323.94,331.2,80615
2016-04-14,331.2,333.0,325.0,328.0,57352
2016-04-15,330.0,336.46,325.0,329.9,102246
2016-04-18,325.5,330.6,325.5,330.0,77469
2016-04-19,330.0,330.99,327.1,329.0,69804
2016-04-20,330.0,330.0,315.2,318.5,185541
2016-04-21,323.7,325.0,318.68,323.0,86832
2016-04-22,320.0,322.3,315.9,319.4,20653
2016-04-25,315.0,329.9,315.0,323.0,109161
2016-04-26,315.0,325.7,315.0,322.2,51857
2016-04-27,326.1,326.1,319.4,322.1,65107
2016-04-28,330.0,330.0,317.76,325.1,145575
2016-04-29,332.0,332.0,317.0,319.0,24773
2016-05-03,325.0,325.0,317.8,321.6,62146
2016-05-04,324.8,327.98,316.0,318.5,65000
2016-05-05,322.7,323.1,317.5,320.0,63059
2016-05-06,327.2,327.2,316.33,319.5,42499
2016-05-09,313.5,320.0,313.5,316.0,37272
2016-05-10,323.2,323.2,316.1,318.0,59456
2016-05-11,313.5,319.0,313.5,315.0,61471
2016-05-12,324.3,324.3,313.0,315.8,88266
2016-05-13,324.2,326.6,313.0,314.2,92256
2016-05-16,320.0,320.0,313.9,314.9,19242
2016-05-17,321.0,321.0,314.3,315.46,103628
2016-05-18,323.0,323.0,313.0,316.7,143234
2016-05-19,323.0,323.0,313.8,317.2,166654
