Date,Open,High,Low,Close,Volume
2012-01-03,20.5,20.95,20.0,20.38,221269
2012-01-04,20.3,20.45,19.84,20.0,109109
2012-01-05,19.86,19.5,19.5,19.5,124273
2012-01-06,19.5,21.0,19.35,20.0,5326770
2012-01-09,19.75,20.25,19.1,19.75,1515180
2012-01-10,20.0,20.43,19.58,20.0,505436
2012-01-11,20.0,20.0,19.33,19.75,91449
2012-01-12,20.25,21.08,19.83,20.0,251558
2012-01-13,20.5,20.9,19.88,20.0,250761
2012-01-16,20.0,20.7,19.75,19.75,687669
2012-01-17,19.75,20.65,19.65,19.75,227345
2012-01-18,20.0,20.75,19.83,20.5,408339
2012-01-19,20.5,21.58,20.25,20.25,4559274
2012-01-20,22.5,25.27,21.5,25.0,5765101
2012-01-23,25.25,25.5,24.0,24.75,1090109
2012-01-24,25.0,25.25,24.64,25.0,4509509
2012-01-25,25.0,25.77,25.0,25.25,481957
2012-01-26,25.5,25.5,25.04,25.25,151720
2012-01-27,25.75,28.0,25.25,27.25,2865667
2012-01-30,27.0,27.95,26.5,26.66,3303110
2012-01-31,26.75,27.5,26.5,27.0,3851035
2012-02-01,27.5,27.67,26.8,27.0,2721316
2012-02-02,27.5,29.25,26.87,29.0,2314470
2012-02-03,29.0,29.75,28.81,29.32,3962388
2012-02-06,28.75,30.32,28.75,29.25,11667311
2012-02-07,29.0,29.5,28.5,28.75,560880
2012-02-08,29.0,30.5,28.75,29.0,3659190
2012-02-09,29.5,29.5,28.76,29.25,730096
2012-02-10,28.75,29.15,27.64,29.0,1476320
2012-02-13,28.0,29.25,28.0,29.0,318517
2012-02-14,29.25,29.5,28.5,28.75,485690
2012-02-15,28.75,29.0,26.6,26.75,1393275
2012-02-16,27.0,28.25,26.75,28.0,491646
2012-02-17,28.5,28.5,27.5,28.0,385867
2012-02-20,28.5,29.25,28.06,29.0,334369
2012-02-21,29.25,29.25,28.38,28.75,156756
2012-02-22,29.25,29.25,28.37,29.0,613922
2012-02-23,28.75,29.0,28.42,29.0,102901
2012-02-24,28.5,29.0,28.5,28.5,418777
2012-02-27,29.0,29.0,28.28,29.0,166596
2012-02-28,29.0,29.25,28.53,28.75,113460
2012-02-29,28.5,29.04,27.5,27.5,13041
2012-03-01,28.75,29.0,27.74,29.0,47514
2012-03-02,29.0,30.25,28.68,30.25,585445
2012-03-05,30.5,31.43,29.98,30.0,698562
2012-03-06,30.25,31.25,28.75,29.25,888750
2012-03-07,29.5,30.35,29.5,30.25,108889
2012-03-08,29.0,30.25,29.0,29.75,21279
2012-03-09,29.5,29.88,28.5,28.5,700824
2012-03-12,28.5,28.79,27.33,27.5,402573
2012-03-13,27.25,28.75,27.25,28.0,237273
2012-03-14,28.5,29.75,27.56,29.25,148049
2012-03-15,29.5,30.5,29.5,30.5,633733
2012-03-16,29.5,30.75,29.5,30.25,423014
2012-03-19,30.0,30.6,29.5,30.0,364162
2012-03-20,29.75,30.55,29.66,30.5,153981
2012-03-21,30.0,30.7,29.5,29.5,455917
2012-03-22,30.0,30.0,28.75,29.5,123685
2012-03-23,29.0,29.38,28.25,28.25,269805
2012-03-26,28.5,29.06,28.0,28.0,161121
2012-03-27,28.0,29.0,27.82,28.75,503515
2012-03-28,28.75,28.75,28.0,28.75,231715
