Date,Open,High,Low,Close,Volume
2013-12-02,207.0,215.0,207.0,214.0,66840
2013-12-03,213.0,213.0,213.0,211.05,2724
2013-12-04,217.0,217.0,210.0,210.0,21601
2013-12-05,211.0,211.0,210.5,210.5,7000
2013-12-06,210.0,210.0,210.0,211.0,3000
2013-12-09,211.0,,,210.1,0
2013-12-10,210.1,,,210.1,0
2013-12-11,212.01,,,212.01,0
2013-12-12,215.0,228.0,215.0,228.0,36300
2013-12-13,225.0,225.0,223.0,224.01,17500
2013-12-16,223.0,223.0,223.0,224.45,8580
2013-12-17,227.0,227.0,225.0,224.99,3200
2013-12-18,224.99,,,224.99,0
2013-12-19,224.0,225.0,224.0,223.55,5500
2013-12-20,224.95,,,224.95,0
2013-12-23,226.0,226.0,226.0,224.01,500
2013-12-24,224.9,,,224.9,0
2013-12-27,225.0,226.0,225.0,225.95,52500
2013-12-30,226.0,226.25,226.0,226.25,15692
2013-12-31,227.0,230.0,227.0,231.85,19500
2014-01-02,230.0,238.0,230.0,237.25,24461
2014-01-03,238.0,245.0,238.0,242.0,36550
2014-01-06,243.0,,,239.0,0
2014-01-07,238.0,241.0,238.0,241.0,5000
2014-01-08,236.0,240.0,236.0,238.34,12293
2014-01-09,240.0,240.0,240.0,240.0,1
2014-01-10,239.0,239.0,237.0,237.0,15944
2014-01-13,238.0,238.0,238.0,238.0,2
2014-01-14,240.0,240.0,240.0,240.0,1
2014-01-15,236.0,237.0,235.0,236.0,60850
2014-01-16,236.25,237.0,233.0,236.0,33322
2014-01-17,236.0,238.0,235.0,238.0,100446
2014-01-20,236.75,237.5,236.0,236.7,7341
2014-01-21,239.0,240.0,236.0,239.75,55274
2014-01-22,236.0,238.0,236.0,238.0,6200
2014-01-23,238.0,238.0,234.0,238.0,10269
2014-01-24,234.0,235.0,234.0,234.75,4189
2014-01-27,237.0,237.0,237.0,236.5,140
2014-01-28,237.0,237.0,237.0,237.0,156
2014-01-29,237.0,237.0,235.0,237.0,21641
2014-01-30,233.0,235.0,233.0,235.0,5128
2014-01-31,235.0,235.0,235.0,236.0,5000
2014-02-03,237.0,239.0,237.0,237.0,7145
2014-02-04,237.5,,,237.5,0
2014-02-05,236.0,236.0,234.75,235.5,81628
2014-02-06,235.0,239.75,235.0,236.0,56277
2014-02-07,240.0,247.0,240.0,247.0,7410
2014-02-10,247.0,249.0,247.0,248.5,5628
2014-02-11,251.25,259.0,251.0,257.0,31496
2014-02-12,258.0,258.0,256.0,257.0,20235
2014-02-13,257.0,259.0,255.0,256.0,21376
2014-02-14,254.0,255.0,254.0,255.0,2208
2014-02-17,259.0,260.0,254.0,255.0,70421
2014-02-18,258.0,258.0,257.0,257.0,33
2014-02-19,259.0,260.0,256.25,260.0,91716
2014-02-20,258.0,258.0,256.0,257.0,11036
2014-02-21,259.0,259.0,259.0,259.0,5000
2014-02-24,258.75,258.75,257.0,258.75,11642
2014-02-25,259.0,271.75,259.0,271.75,69912
2014-02-26,272.75,275.0,272.0,275.0,55558
2014-02-27,276.0,276.25,272.0,271.09,79938
2014-02-28,275.0,275.0,273.0,274.0,20093
2014-03-03,272.0,274.0,272.0,273.95,29897
2014-03-04,273.75,276.0,273.75,274.0,49392
2014-03-05,275.75,276.0,273.0,273.5,11987
2014-03-06,274.0,274.0,274.0,274.0,117
2014-03-07,273.75,274.0,271.0,273.0,23304
2014-03-10,270.0,273.0,270.0,271.0,21718
2014-03-11,270.0,272.0,267.0,269.75,28467
2014-03-12,272.0,272.0,272.0,269.49,328
2014-03-13,272.0,272.0,270.0,270.0,1281
2014-03-14,268.25,268.25,262.25,265.0,147858
2014-03-17,266.0,269.0,264.48,269.0,12437
2014-03-18,267.0,268.46,261.25,261.25,136336
2014-03-19,263.0,267.0,261.0,267.0,115684
2014-03-20,267.0,272.0,266.0,267.5,243680
2014-03-21,271.0,271.17,266.0,270.0,1938324
2014-03-24,272.0,272.0,269.35,270.0,27349
2014-03-25,269.75,269.9,269.0,269.0,4904
2014-03-26,269.0,270.44,269.0,269.0,3
2014-03-27,270.0,271.25,267.77,267.77,8463
2014-03-28,268.0,269.75,268.0,269.75,11952
2014-03-31,267.25,269.25,262.2,265.0,26360
2014-04-01,266.25,272.0,265.0,265.0,157834
2014-04-02,277.0,290.0,273.25,288.75,48257
2014-04-03,290.0,290.0,288.15,288.45,3106
2014-04-04,288.25,289.8,288.25,289.1,188
2014-04-07,296.0,297.45,290.25,292.0,47750
2014-04-08,290.0,291.7,287.0,290.0,7558
2014-04-09,288.0,290.75,285.04,286.25,31535
2014-04-10,289.75,289.75,285.1,286.25,8869
2014-04-11,285.25,288.62,284.0,286.5,3913
2014-04-14,285.25,286.1,277.65,280.0,27343
2014-04-15,283.0,283.01,280.25,280.25,2895
2014-04-16,282.75,283.0,278.08,280.5,11303
2014-04-17,281.25,281.25,280.09,280.52,7205
2014-04-22,282.5,283.18,280.99,282.5,583
2014-04-23,283.75,284.0,281.65,282.0,7586
2014-04-24,284.0,284.0,282.0,283.0,3324
2014-04-25,283.75,284.0,273.98,276.0,36687
2014-04-28,278.75,279.0,277.0,278.0,13327
2014-04-29,278.25,279.0,276.24,277.75,7585
2014-04-30,279.0,279.0,277.74,278.0,6960
2014-05-01,278.25,278.5,273.0,278.5,54172
2014-05-02,275.0,279.0,275.0,276.0,4522
2014-05-06,275.0,278.9,275.0,275.0,919
2014-05-07,277.5,277.5,274.5,275.0,20509
2014-05-08,275.0,281.0,274.48,281.0,15933
2014-05-09,281.75,281.75,276.75,279.0,12
2014-05-12,281.75,281.75,277.62,281.25,13688
2014-05-13,281.75,281.75,279.5,281.75,32
2014-05-14,281.0,282.0,279.23,279.24,2171
2014-05-15,278.25,279.76,275.0,275.0,10951
2014-05-16,275.25,277.27,264.16,264.16,17317
2014-05-19,265.0,265.25,248.2,256.75,50187
2014-05-20,253.25,258.75,253.25,256.83,1772
2014-05-21,258.0,260.0,256.0,260.0,6336
2014-05-22,255.25,256.21,255.25,256.21,14
2014-05-23,255.5,260.0,255.47,260.0,4584
2014-05-27,256.0,257.12,251.56,251.56,1381
2014-05-28,258.0,258.0,254.97,257.0,7456
2014-05-29,256.0,259.0,254.0,259.0,7008
2014-05-30,256.75,256.75,254.0,256.75,6558
2014-06-02,256.75,257.0,253.47,254.0,1647
2014-06-03,254.75,257.0,251.46,257.0,2319
2014-06-04,257.0,257.0,253.22,253.47,1342
2014-06-05,255.0,256.75,252.25,256.0,6611
