Date,Open,High,Low,Close,Volume
2012-01-03,275.0,275.0,267.2,269.5,1367366
2012-01-04,270.3,271.5,266.5,268.8,733826
2012-01-05,270.3,270.3,263.4,263.8,896928
2012-01-06,265.1,269.7,265.1,267.5,786594
2012-01-09,268.0,272.4,266.9,267.6,433330
2012-01-10,270.0,273.0,269.0,271.5,961453
2012-01-11,270.7,274.0,267.9,270.8,906947
2012-01-12,272.6,283.6,272.5,281.2,2466959
2012-01-13,284.4,284.4,276.7,278.1,932471
2012-01-16,279.0,279.99,274.3,275.6,698292
2012-01-17,279.2,283.4,274.5,275.0,670380
2012-01-18,276.6,280.2,274.8,277.0,985522
2012-01-19,279.3,281.9,277.7,277.7,1132014
2012-01-20,280.4,280.4,276.7,278.5,788327
2012-01-23,279.3,281.5,277.5,279.1,1404444
2012-01-24,278.2,281.6,274.9,274.9,1154406
2012-01-25,276.3,278.5,274.1,276.4,729165
2012-01-26,278.8,281.4,276.2,278.2,555263
2012-01-27,278.1,283.75,276.6,282.0,545752
2012-01-30,282.5,282.5,274.54,275.9,611769
2012-01-31,277.4,282.6,277.0,281.3,791371
2012-02-01,282.3,291.0,280.98,287.4,1185819
2012-02-02,287.5,287.6,278.7,279.9,901513
2012-02-03,280.7,284.4,275.21,280.2,1409702
2012-02-06,280.8,283.0,278.5,281.3,724595
2012-02-07,280.8,282.0,275.8,275.8,1115027
2012-02-08,278.2,278.2,269.0,270.0,2860724
2012-02-09,270.9,270.9,265.7,266.5,1778753
2012-02-10,266.1,271.6,265.2,269.8,1554644
2012-02-13,271.0,272.0,265.7,265.7,835848
2012-02-14,266.0,269.3,265.1,267.5,749286
2012-02-15,269.2,272.9,262.56,264.5,1570422
2012-02-16,265.8,265.8,260.93,263.1,1283639
2012-02-17,264.9,265.9,263.24,264.8,794275
2012-02-20,267.0,272.9,264.8,272.3,1796695
2012-02-21,272.9,272.9,267.9,268.0,1048054
2012-02-22,269.1,269.1,264.2,266.8,893351
2012-02-23,266.0,269.8,265.8,269.5,1292776
2012-02-24,269.9,271.2,267.1,267.8,1203281
2012-02-27,268.7,269.4,264.1,268.3,1077194
2012-02-28,269.3,269.3,263.5,264.9,617694
2012-02-29,265.9,269.0,265.2,268.4,1198062
2012-03-01,270.8,275.2,270.0,274.7,1364859
2012-03-02,272.7,274.1,269.7,270.6,792342
2012-03-05,270.2,271.19,266.11,267.8,899773
2012-03-06,267.6,269.9,264.0,264.9,1552457
