Date,Open,High,Low,Close,Volume
2012-01-03,316.5,322.2,308.0,315.5,2806913
2012-01-04,313.3,316.0,307.0,308.2,4167789
2012-01-05,313.6,317.3,308.7,310.0,3110131
2012-01-06,311.3,317.9,309.8,314.6,2873801
2012-01-09,316.0,318.3,314.1,315.3,2767131
2012-01-10,318.1,318.1,312.1,316.0,3692061
2012-01-11,315.7,317.9,314.8,316.6,2058347
2012-01-12,316.3,318.0,311.5,312.7,3247548
2012-01-13,315.58,316.99,312.22,315.58,2586357
2012-01-16,314.85,318.21,314.24,317.37,1656963
2012-01-17,321.4,321.4,318.4,318.6,2074745
2012-01-18,319.6,322.4,316.6,321.7,2629369
2012-01-19,323.1,323.3,318.6,321.9,3331361
2012-01-20,322.8,323.8,319.9,320.6,2899823
2012-01-23,322.0,327.3,319.4,326.2,1765350
2012-01-24,323.47,324.65,318.42,319.79,2617756
2012-01-25,321.7,321.7,316.3,321.1,1968697
2012-01-26,322.4,323.8,316.7,316.8,3663581
2012-01-27,314.95,315.24,307.38,309.8,6681156
2012-01-30,308.1,311.0,305.4,305.4,3899230
2012-01-31,307.2,312.1,307.2,308.3,4238670
2012-02-01,310.6,313.1,309.1,312.0,3872305
2012-02-02,311.0,312.6,309.4,311.2,4683703
2012-02-03,311.5,320.6,310.3,319.3,2769136
2012-02-06,318.0,320.2,312.8,319.0,1628133
2012-02-07,319.3,320.7,317.6,319.6,3710579
2012-02-08,313.0,315.1,308.4,311.0,3373468
2012-02-09,310.96,314.04,309.27,314.01,2506641
2012-02-10,314.5,318.5,312.7,314.1,3093796
2012-02-13,315.0,316.5,312.5,314.5,1271312
2012-02-14,315.1,317.9,313.0,315.3,2011921
2012-02-15,318.2,321.4,317.0,320.9,2152112
2012-02-16,319.6,323.4,317.4,321.3,2939969
2012-02-17,322.9,325.3,321.5,323.3,1601868
2012-02-20,325.6,325.6,322.2,324.2,1297867
2012-02-21,323.9,324.1,320.4,321.5,1698130
2012-02-22,321.5,323.4,320.2,321.9,1807156
2012-02-23,321.3,326.6,321.3,324.5,2028578
2012-02-24,326.6,328.1,324.1,324.3,1886786
2012-02-27,324.1,324.1,320.6,323.1,1202360
2012-02-28,324.6,328.6,322.4,328.6,2231662
2012-02-29,328.1,329.7,325.8,326.7,3145613
2012-03-01,326.7,328.8,325.3,328.0,1777956
2012-03-02,328.9,328.9,324.1,324.5,947877
2012-03-05,322.2,324.4,321.8,322.9,2344128
2012-03-06,323.1,323.1,311.3,312.8,2641476
2012-03-07,313.8,315.0,312.2,312.8,2900130
2012-03-08,314.5,315.2,312.3,314.1,3868992
2012-03-09,315.2,315.7,312.5,314.2,2119229
2012-03-12,314.5,315.1,312.6,313.4,1649985
2012-03-13,315.9,317.35,314.53,317.27,5014976
2012-03-14,318.7,319.8,313.8,314.4,3489999
2012-03-15,315.6,316.5,313.1,315.6,3394970
2012-03-16,316.0,316.1,314.0,314.8,4558092
2012-03-19,315.8,316.1,311.8,314.3,1222236
2012-03-20,313.5,313.5,309.6,310.7,2727470
2012-03-21,312.6,312.8,305.6,306.3,2958139
2012-03-22,307.17,311.12,304.54,308.12,2399433
2012-03-23,308.4,308.9,305.2,306.9,1663251
2012-03-26,307.2,310.2,304.9,309.8,2770700
2012-03-27,310.11,312.09,309.48,310.43,3482415
2012-03-28,310.7,315.8,310.4,315.6,5923689
2012-03-29,314.6,319.3,313.4,313.6,5943579
2012-03-30,314.3,315.9,313.6,314.7,4317294
2012-04-02,314.32,316.16,311.38,315.16,4131889
2012-04-03,315.2,316.3,314.1,314.4,3064780
2012-04-04,314.1,314.2,302.1,302.4,4217452
2012-04-05,302.9,312.3,302.5,310.4,3969197
2012-04-10,307.1,309.8,306.0,306.0,4164287
2012-04-11,303.6,307.2,303.0,304.5,3322122
2012-04-12,305.6,311.2,304.0,310.9,3352545
2012-04-13,307.0,307.3,300.8,302.6,5161463
2012-04-16,301.2,302.8,299.8,301.3,4390731
2012-04-17,299.0,300.6,295.9,297.9,7222445
2012-04-18,297.0,300.3,295.7,298.8,3212413
