Date,Open,High,Low,Close,Volume
2012-01-03,517.0,558.0,512.79,545.0,705906
2012-01-04,545.0,559.5,528.0,533.5,425735
2012-01-05,538.0,551.19,513.84,530.0,321325
2012-01-06,537.0,556.86,537.0,548.5,271696
2012-01-09,549.0,569.08,545.5,549.0,299647
2012-01-10,550.0,562.76,550.0,551.0,320584
2012-01-11,569.0,589.12,516.94,552.42,1258022
2012-01-12,565.0,599.88,550.12,554.47,754870
2012-01-13,558.0,566.0,548.08,566.0,478345
2012-01-16,566.0,595.08,549.97,593.0,285456
2012-01-17,599.0,646.72,591.7,640.0,537321
2012-01-18,642.0,653.7,627.82,652.0,349121
2012-01-19,657.5,697.0,630.22,675.5,163389
2012-01-20,675.5,683.59,634.0,644.0,217735
2012-01-23,642.0,650.98,625.08,643.0,130219
2012-01-24,645.0,645.0,608.48,620.0,302719
2012-01-25,624.0,630.0,594.5,612.0,172527
2012-01-26,617.0,649.5,609.5,643.0,719107
2012-01-27,637.0,644.5,620.51,631.5,107806
2012-01-30,624.0,660.1,624.0,645.5,190102
2012-01-31,647.0,660.0,628.0,650.0,167783
2012-02-01,651.0,667.25,642.0,655.0,160101
2012-02-02,662.5,670.9,639.0,656.5,119555
2012-02-03,661.0,668.0,643.5,662.0,221772
2012-02-06,678.5,741.5,674.5,703.0,501962
2012-02-07,700.0,709.58,683.0,700.0,203617
2012-02-08,580.0,617.0,560.0,578.02,1934038
2012-02-09,553.0,596.5,553.0,559.5,622928
2012-02-10,562.5,562.5,525.0,556.5,375952
2012-02-13,559.0,570.5,521.5,528.0,224769
2012-02-14,536.0,536.0,506.0,516.0,168396
2012-02-15,520.0,537.22,512.0,523.0,151847
2012-02-16,517.0,525.5,506.38,523.5,70256
2012-02-17,528.5,552.0,520.5,550.0,128460
2012-02-20,550.0,568.0,550.0,553.0,96446
2012-02-21,560.0,560.0,535.0,558.0,83792
2012-02-22,557.5,606.0,538.83,580.0,113385
2012-02-23,575.0,579.99,558.0,562.0,131361
2012-02-24,575.5,580.5,566.25,569.5,129524
2012-02-27,573.5,573.5,553.05,565.0,24129
2012-02-28,563.0,570.95,547.5,552.5,53236
2012-02-29,560.5,560.5,525.0,545.0,103942
2012-03-01,544.0,560.0,537.5,540.0,105664
2012-03-02,541.0,546.98,522.23,535.0,97259
2012-03-05,534.0,541.75,506.3,515.0,111361
2012-03-06,514.0,526.0,505.0,516.0,124704
2012-03-07,520.0,530.38,508.44,522.0,77511
2012-03-08,524.0,576.0,514.55,537.59,287721
2012-03-09,567.5,596.0,558.5,594.0,297682
2012-03-12,591.0,639.5,577.1,616.5,211836
2012-03-13,618.04,641.0,599.76,627.5,113441
2012-03-14,634.0,640.0,602.84,613.0,92878
2012-03-15,614.0,614.0,586.58,600.0,160696
2012-03-16,604.5,644.0,604.28,624.5,181780
2012-03-19,633.0,643.0,616.0,631.0,120308
2012-03-20,649.0,649.0,620.0,629.5,174559
2012-03-21,636.0,636.0,621.58,626.0,42717
2012-03-22,626.0,631.0,616.5,631.0,96884
2012-03-23,634.0,660.0,622.5,623.5,115555
2012-03-26,628.0,633.56,606.7,620.0,91379
2012-03-27,624.0,647.0,618.66,637.5,120673
2012-03-28,640.0,642.5,617.5,642.5,120156
2012-03-29,643.5,652.5,620.0,620.0,277893
2012-03-30,623.0,629.5,597.42,616.0,78420
2012-04-02,620.0,630.0,604.07,630.0,108445
2012-04-03,633.0,641.5,620.0,625.5,119983
2012-04-04,624.0,624.0,597.22,606.5,111994
2012-04-05,605.0,620.0,581.89,619.5,101104
2012-04-10,611.0,615.0,572.5,578.0,86918
2012-04-11,576.0,620.0,575.83,607.0,131701
2012-04-12,605.0,615.0,592.22,600.0,110995
2012-04-13,597.0,610.5,581.54,601.0,100969
2012-04-16,597.0,608.5,583.5,600.0,77140
2012-04-17,597.0,606.0,590.5,596.0,122432
2012-04-18,594.0,600.0,567.0,572.0,88642
2012-04-19,580.5,595.33,564.0,569.5,156538
2012-04-20,403.0,451.11,310.1,351.8,2991764
2012-04-23,360.0,368.43,325.3,335.0,720672
2012-04-24,338.0,360.0,337.34,348.36,330040
2012-04-25,359.0,360.0,346.3,352.6,304700
2012-04-26,349.0,353.63,342.28,347.57,165078
2012-04-27,346.6,354.1,340.1,350.0,338958
2012-04-30,349.6,358.67,340.51,347.8,96645
2012-05-01,340.0,354.88,322.76,333.0,306267
2012-05-02,341.3,341.3,333.4,338.0,146885
2012-05-03,338.0,343.04,324.6,330.9,148454
2012-05-04,329.5,335.7,325.0,333.0,207634
2012-05-08,333.0,338.58,321.5,325.0,261083
2012-05-09,331.7,331.7,300.12,307.0,439499
2012-05-10,314.4,345.0,307.74,333.0,657659
2012-05-11,329.8,334.9,322.3,330.6,217989
2012-05-14,327.0,337.2,313.7,320.5,147493
2012-05-15,320.5,336.0,320.5,330.0,199890
2012-05-16,327.0,340.9,314.8,331.6,188237
2012-05-17,330.0,341.5,321.2,323.1,115931
2012-05-18,320.0,329.4,310.1,314.5,230326
2012-05-21,316.1,325.0,309.5,316.5,162326
2012-05-22,320.0,334.8,316.75,331.0,152206
2012-05-23,330.5,330.5,311.36,317.7,122789
2012-05-24,320.0,333.5,311.32,318.1,146574
2012-05-25,319.5,328.65,313.8,319.0,55966
2012-05-28,323.8,325.2,316.92,318.2,86631
2012-05-29,320.0,320.6,310.1,315.8,92698
2012-05-30,315.5,320.0,300.0,303.8,249611
2012-05-31,305.0,308.69,294.04,304.2,202430
2012-06-01,303.0,305.0,298.06,301.0,165239
2012-06-06,304.5,304.54,281.67,285.9,182977
2012-06-07,286.0,299.7,286.0,296.0,155767
2012-06-08,293.8,297.66,288.65,294.9,78010
2012-06-11,298.0,299.0,275.61,280.5,180145
2012-06-12,279.0,283.5,260.91,265.4,190964
2012-06-13,267.0,282.9,265.0,269.0,164100
2012-06-14,270.8,277.16,265.0,275.0,121459
2012-06-15,273.2,279.5,265.18,267.3,431694
2012-06-18,265.0,278.5,264.5,264.5,138262
2012-06-19,271.5,304.39,263.75,296.0,217476
2012-06-20,300.0,319.75,285.51,319.25,173264
2012-06-21,314.5,329.42,307.5,310.5,167337
2012-06-22,306.25,321.25,302.75,316.5,82829
2012-06-25,319.0,326.49,305.25,305.75,90889
2012-06-26,305.0,327.5,305.0,314.5,148530
2012-06-27,312.25,329.25,310.25,324.0,130996
2012-06-28,324.25,328.5,313.0,324.5,113318
2012-06-29,328.5,338.25,328.0,337.0,111188
2012-07-02,329.0,337.5,324.0,330.25,125324
2012-07-03,328.25,337.95,326.25,328.75,82950
2012-07-04,324.5,330.0,324.19,330.0,32860
2012-07-05,324.25,340.0,322.27,328.25,110689
2012-07-06,322.25,341.25,321.25,340.0,166529
2012-07-09,337.0,353.25,337.0,343.5,292879
2012-07-10,342.25,347.62,336.5,341.25,94378
2012-07-11,343.0,343.0,326.8,334.5,126654
2012-07-12,335.0,335.0,331.65,385.0,580073
2012-07-13,396.5,396.5,367.0,386.5,234352
2012-07-16,388.75,390.0,375.0,387.25,149373
2012-07-17,385.25,424.35,385.25,412.0,182305
