Date,Open,High,Low,Close,Volume
2012-01-03,215.0,215.4,207.0,211.5,2453190
2012-01-04,210.1,213.1,208.6,208.9,1885010
2012-01-05,209.5,211.9,201.6,204.1,2312763
2012-01-06,204.6,206.2,198.2,200.1,1907443
2012-01-09,200.4,203.1,196.9,198.2,2146576
2012-01-10,201.3,204.9,199.16,202.8,1491244
2012-01-11,202.0,203.5,198.9,200.5,2469867
2012-01-12,201.9,203.7,200.8,202.0,3536342
2012-01-13,204.5,205.2,198.7,200.8,3006946
2012-01-16,198.7,200.6,198.6,199.7,1897925
2012-01-17,202.0,202.0,198.9,200.4,2725598
2012-01-18,199.8,201.1,198.17,199.8,2164474
2012-01-19,199.3,212.2,199.3,212.2,4078878
2012-01-20,212.5,220.71,210.4,219.4,4327726
2012-01-23,220.2,222.5,218.9,219.8,2506254
2012-01-24,219.8,220.03,215.0,218.6,1841384
2012-01-25,219.5,220.7,218.48,219.9,1709808
2012-01-26,221.1,225.6,219.4,225.1,1544138
2012-01-27,224.7,227.0,222.9,224.3,1602972
2012-01-30,223.0,224.8,219.8,220.9,2624513
2012-01-31,222.0,225.3,218.7,219.8,3509258
2012-02-01,221.0,223.8,220.19,223.0,2307835
2012-02-02,222.6,225.3,220.8,222.2,1702784
2012-02-03,221.6,225.2,221.6,224.8,2905573
2012-02-06,225.1,228.6,224.4,227.5,1526246
2012-02-07,228.1,228.3,223.4,225.8,1674979
2012-02-08,226.4,230.1,223.5,227.4,988913
2012-02-09,227.7,231.7,227.4,230.5,1552688
2012-02-10,230.1,235.2,229.9,230.4,2064416
2012-02-13,232.6,235.6,230.4,234.1,791256
2012-02-14,232.3,236.2,231.16,231.9,1446939
2012-02-15,233.0,234.4,227.8,229.1,1368232
2012-02-16,228.4,229.0,226.0,228.3,1284848
2012-02-17,231.8,233.2,230.32,230.8,1366481
2012-02-20,231.0,239.7,231.0,236.7,1411214
2012-02-21,232.1,233.6,228.08,231.7,2598394
2012-02-22,232.0,233.5,231.2,231.8,1776989
2012-02-23,231.2,233.9,226.3,230.1,1579321
2012-02-24,231.9,236.7,231.28,235.6,1384798
2012-02-27,234.1,234.7,228.7,234.2,1670600
2012-02-28,234.9,237.5,233.6,235.5,1297782
2012-02-29,235.6,238.9,234.6,235.0,1737633
2012-03-01,234.1,241.3,233.3,240.5,1946401
2012-03-02,241.4,242.3,236.9,241.5,1386908
2012-03-05,241.1,242.7,238.2,241.5,1368744
2012-03-06,241.8,241.8,233.6,233.7,1438256
2012-03-07,236.1,239.52,233.1,238.4,1491498
2012-03-08,239.9,247.2,239.9,244.5,1857867
2012-03-09,246.0,252.6,244.34,248.2,2112470
2012-03-12,248.1,251.8,246.73,250.2,1259565
2012-03-13,252.2,255.3,251.52,253.8,1503215
2012-03-14,257.3,258.1,252.19,253.0,1739055
2012-03-15,254.9,257.1,251.58,254.0,2254808
2012-03-16,253.0,259.56,251.9,259.2,4636841
2012-03-19,260.2,260.2,252.9,254.7,1859882
2012-03-20,254.8,255.58,247.5,249.7,2273760
2012-03-21,244.3,246.2,240.0,244.1,3158532
2012-03-22,243.8,243.8,236.8,241.4,1676842
2012-03-23,242.9,242.9,235.0,235.9,1390882
2012-03-26,235.8,240.8,234.9,239.2,1087625
2012-03-27,240.4,241.3,236.8,237.7,1673968
2012-03-28,236.5,238.0,233.2,233.2,1497093
2012-03-29,233.0,234.4,230.3,231.7,1829945
2012-03-30,233.4,236.2,232.5,234.8,1849723
