Date,Open,High,Low,Close,Volume
2015-04-01,302.0,308.75,290.0,302.94,23132889
2015-04-02,305.0,306.03,290.0,290.29,1820757
2015-04-07,304.0,306.5,290.0,302.25,552550
2015-04-08,303.0,312.0,302.0,305.85,1050293
2015-04-09,305.25,309.0,304.5,307.56,91733
2015-04-10,310.0,310.0,303.5,308.25,373297
2015-04-13,304.5,305.0,303.0,303.94,75065
2015-04-14,305.75,305.99,299.0,304.5,728095
2015-04-15,303.75,308.75,300.75,307.04,311791
2015-04-16,308.5,308.5,301.84,303.44,120400
2015-04-17,307.5,307.5,300.5,301.88,328015
2015-04-20,301.5,302.67,300.0,300.53,279099
2015-04-21,302.0,306.0,302.0,306.0,195678
2015-04-22,303.0,306.12,303.0,304.5,99709
2015-04-23,302.0,306.5,302.0,306.5,83047
2015-04-24,302.0,310.0,302.0,306.0,228876
2015-04-27,305.0,312.0,305.0,307.13,330007
2015-04-28,307.5,311.0,307.0,307.5,106335
2015-04-29,308.0,308.25,305.0,305.25,67390
2015-04-30,305.0,311.0,305.0,309.0,117222
2015-05-01,305.0,308.75,305.0,305.0,68019
2015-05-05,306.25,309.75,305.0,309.75,121223
2015-05-06,309.25,313.22,307.0,311.5,418234
2015-05-07,311.5,315.0,309.75,313.0,145966
2015-05-08,315.5,325.0,315.5,319.0,226219
2015-05-11,323.0,329.5,321.0,329.25,226591
2015-05-12,327.0,335.96,327.0,334.5,466019
2015-05-13,335.0,335.0,330.25,330.5,103932
2015-05-14,330.0,335.0,330.0,332.0,186354
2015-05-15,335.0,335.0,324.85,326.0,255776
2015-05-18,327.0,329.9,323.84,325.0,218814
2015-05-19,332.0,334.5,325.0,327.0,334860
2015-05-20,335.0,335.0,330.0,331.0,139132
2015-05-21,335.0,343.5,332.05,340.0,177693
2015-05-22,340.0,370.0,338.97,366.0,291496
2015-05-26,359.0,373.75,357.99,372.0,325713
2015-05-27,370.0,381.95,366.0,375.0,135945
2015-05-28,371.0,383.0,371.0,379.0,338948
2015-05-29,378.0,387.08,376.25,378.83,244154
