Date,Open,High,Low,Close,Volume
2012-01-03,86.0,86.8,83.57,86.8,1151976
2012-01-04,86.85,86.9,84.9,85.65,572205
2012-01-05,86.05,86.05,83.75,85.35,668697
2012-01-06,85.7,88.2,85.0,86.65,621014
2012-01-09,87.2,87.44,85.5,86.4,693002
2012-01-10,87.5,89.7,85.75,88.65,929051
2012-01-11,88.8,92.65,87.45,91.6,1745092
2012-01-12,95.0,103.4,92.55,99.47,4866749
2012-01-13,102.1,103.1,100.0,102.5,1423642
2012-01-16,104.9,104.9,99.58,102.5,799676
2012-01-17,104.0,104.0,100.1,101.2,1350789
2012-01-18,100.9,100.9,98.5,98.95,1717369
2012-01-19,99.5,104.0,98.0,99.55,1671284
2012-01-20,101.0,106.5,99.24,105.1,675807
2012-01-23,106.0,107.3,104.08,105.1,1858041
2012-01-24,104.9,104.9,100.3,101.0,1340365
2012-01-25,102.6,102.6,100.0,100.5,812704
2012-01-26,101.4,103.75,100.9,102.0,1026406
2012-01-27,101.8,101.8,99.95,100.6,1008510
2012-01-30,100.5,100.9,98.5,98.5,784648
2012-01-31,99.4,100.2,97.4,99.65,846229
2012-02-01,99.5,104.8,98.65,103.6,1448992
2012-02-02,103.9,104.7,101.7,102.8,806246
2012-02-03,103.1,105.8,102.4,105.1,2504751
2012-02-06,105.6,107.3,102.56,106.3,887864
2012-02-07,106.8,108.3,101.7,105.7,1425609
2012-02-08,106.3,106.3,102.26,104.9,767259
2012-02-09,105.5,107.2,103.4,104.8,961158
2012-02-10,105.1,107.0,101.1,101.6,833937
2012-02-13,102.9,104.8,102.8,103.2,497666
2012-02-14,103.4,104.5,101.3,101.4,575151
2012-02-15,102.5,104.0,101.5,102.5,720019
2012-02-16,102.4,104.0,100.62,103.0,557747
2012-02-17,104.1,107.4,102.66,107.1,985916
2012-02-20,107.0,111.8,106.0,111.0,1117564
2012-02-21,110.5,112.7,109.15,111.5,728607
2012-02-22,111.3,113.46,111.13,112.6,700707
2012-02-23,113.1,114.89,112.4,113.2,1212224
2012-02-24,114.5,118.12,114.5,116.0,1964055
2012-02-27,116.0,116.2,113.6,115.0,2259569
2012-02-28,116.1,117.2,115.0,115.1,1247745
2012-02-29,115.6,116.9,115.6,116.52,1077546
2012-03-01,116.6,120.01,115.79,119.56,931595
2012-03-02,119.7,120.33,116.7,117.3,969646
2012-03-05,117.2,117.2,113.8,114.36,1175739
2012-03-06,114.2,114.2,110.1,110.4,972124
2012-03-07,110.1,114.0,110.1,111.7,599559
2012-03-08,113.6,115.81,111.3,111.7,1191393
2012-03-09,112.2,113.4,111.53,112.1,852129
2012-03-12,111.3,116.2,111.0,112.1,649045
2012-03-13,112.9,115.53,111.8,115.5,1442602
2012-03-14,119.4,124.5,116.3,119.9,3322792
2012-03-15,119.1,120.7,117.5,120.2,1481821
2012-03-16,120.0,125.0,120.0,123.2,2352474
2012-03-19,123.4,123.8,120.6,122.4,1221561
2012-03-20,121.9,122.8,119.5,119.6,1074860
2012-03-21,120.4,121.3,117.8,120.1,1052823
2012-03-22,120.2,120.34,116.3,117.6,719946
2012-03-23,118.0,119.5,117.3,118.6,1150481
2012-03-26,119.4,121.6,119.2,120.6,751531
2012-03-27,120.9,121.8,120.3,120.7,1603608
2012-03-28,121.1,121.2,119.0,119.2,1027594
2012-03-29,119.3,119.7,117.0,117.1,1406565
2012-03-30,117.4,118.83,117.0,117.4,1565770
2012-04-02,117.6,117.7,114.5,116.0,1358945
2012-04-03,116.0,117.3,115.1,116.1,916297
2012-04-04,116.2,116.56,113.64,114.1,1697178
2012-04-05,114.5,114.8,111.4,113.4,2460238
2012-04-10,112.7,112.8,110.0,110.0,1328276
2012-04-11,109.7,111.2,108.5,109.5,1566772
2012-04-12,109.8,110.9,108.5,109.1,2155686
2012-04-13,109.0,110.5,108.1,108.3,1007949
2012-04-16,108.0,108.8,106.1,107.3,1345971
2012-04-17,106.8,110.1,106.8,109.0,1190123
2012-04-18,108.4,110.4,108.4,109.7,1121585
2012-04-19,109.5,111.0,108.6,109.4,728126
2012-04-20,109.3,110.4,108.7,108.7,659968
2012-04-23,110.4,110.6,104.2,104.5,827290
2012-04-24,105.0,105.9,104.2,105.0,648510
2012-04-25,106.1,106.9,105.3,106.4,514144
2012-04-26,106.3,107.1,104.1,106.0,532983
2012-04-27,104.7,107.5,104.1,107.0,1257546
2012-04-30,106.8,107.8,105.2,105.3,232730
2012-05-01,104.6,106.8,104.4,105.6,485349
2012-05-02,103.4,105.9,102.2,103.3,1242250
2012-05-03,103.3,103.9,101.5,102.1,920313
2012-05-04,101.1,102.1,98.45,99.5,877974
2012-05-08,99.45,100.41,97.0,97.2,1083662
2012-05-09,98.0,98.0,93.05,94.65,857009
2012-05-10,95.1,98.1,94.95,97.5,1177745
2012-05-11,96.65,99.6,96.65,99.3,795849
2012-05-14,97.8,97.8,95.7,97.25,945385
2012-05-15,97.35,98.36,93.55,94.6,1128472
2012-05-16,93.3,95.9,92.15,93.7,1144336
2012-05-17,93.55,94.05,91.8,92.0,1072004
2012-05-18,95.0,95.0,89.5,89.5,2698575
2012-05-21,89.65,91.75,89.0,89.4,952435
2012-05-22,90.0,92.05,89.8,91.7,1040789
2012-05-23,91.1,91.55,89.6,89.9,638204
2012-05-24,91.0,91.0,87.65,88.4,1153081
2012-05-25,88.7,89.85,86.45,86.75,741080
2012-05-28,87.75,88.35,86.6,87.1,836494
2012-05-29,87.2,88.65,86.9,87.8,668075
