Date,Open,High,Low,Close,Volume
2012-01-03,82.75,83.0,80.3,83.0,30148.0
2012-01-04,83.75,83.75,80.0,81.25,38154.0
2012-01-05,82.75,82.75,80.0,80.5,25187.0
2012-01-06,81.75,81.75,78.0,79.5,37051.0
2012-01-09,79.5,79.5,77.25,77.25,8990.0
2012-01-10,79.0,79.0,77.25,78.0,19120.0
2012-01-11,79.5,79.5,78.3,78.5,6317.0
2012-01-12,77.25,78.75,73.0,73.0,85906.0
2012-01-13,71.65,75.4,69.0,73.5,284757.0
2012-01-16,74.0,76.0,73.5,74.0,32790.0
2012-01-17,76.0,77.52,75.0,75.0,61912.0
2012-01-18,78.75,79.79,77.0,77.0,69196.0
2012-01-19,79.0,79.5,76.0,76.0,394321.0
2012-01-20,77.0,80.04,77.0,77.0,33813.0
2012-01-23,80.07,80.07,78.0,80.0,182573.0
2012-01-24,79.75,80.0,79.75,80.0,236376.0
2012-01-25,78.0,80.0,78.0,80.0,52561.0
2012-01-26,79.75,80.0,77.35,80.0,143559.0
2012-01-27,81.0,85.0,80.65,82.25,1008153.0
2012-01-30,82.5,85.04,81.0,82.0,179274.0
2012-01-31,81.5,83.82,81.5,83.5,17643.0
2012-02-01,81.75,84.25,81.5,81.5,118579.0
2012-02-02,82.75,83.72,81.5,81.5,60956.0
2012-02-03,82.0,84.1,81.21,82.0,88984.0
2012-02-06,83.0,84.2,81.7,82.0,160184.0
2012-02-07,84.75,84.75,81.89,84.5,20419.0
2012-02-08,82.25,82.25,82.0,82.0,7713.0
2012-02-09,84.0,84.4,83.0,83.0,70404.0
2012-02-10,82.0,84.0,81.85,84.0,115866.0
2012-02-13,81.75,83.75,81.0,82.5,13113.0
2012-02-14,83.0,83.72,81.0,81.0,867.0
2012-02-15,81.0,83.0,81.0,81.5,8045.0
2012-02-16,,,,81.0,0.0
2012-02-17,81.5,82.7,81.25,81.25,5095.0
2012-02-20,81.5,83.94,81.25,81.25,423.0
2012-02-21,82.5,83.68,81.25,82.5,5173.0
2012-02-22,,,,84.25,0.0
2012-02-23,82.5,85.5,81.6,82.75,36464.0
2012-02-24,84.0,84.0,82.5,84.0,6857.0
2012-02-27,,,,84.72,0.0
2012-02-28,85.0,85.25,84.0,84.0,62220.0
2012-02-29,85.0,86.19,84.0,84.0,84591.0
2012-03-01,86.0,86.13,85.5,85.5,38301.0
2012-03-02,86.5,86.92,83.25,83.25,185037.0
2012-03-05,86.0,86.85,85.0,85.0,15493.0
2012-03-06,85.0,86.12,82.5,86.0,114986.0
2012-03-07,82.0,83.54,79.93,82.0,20077.0
2012-03-08,84.0,84.0,79.59,82.0,46816.0
2012-03-09,82.0,83.55,80.25,81.25,21754.0
2012-03-12,83.5,84.0,80.0,83.25,16220.0
2012-03-13,84.0,84.0,83.25,83.25,746.0
2012-03-14,84.5,84.5,83.75,83.75,398.0
2012-03-15,83.5,84.0,81.25,83.5,56336.0
2012-03-16,82.25,83.85,82.25,82.5,103987.0
2012-03-19,83.0,85.0,83.0,85.0,6640.0
2012-03-20,84.0,84.0,82.56,83.0,4750.0
2012-03-21,83.25,87.0,83.25,84.25,23897.0
2012-03-22,84.5,86.0,83.65,86.0,11366.0
2012-03-23,86.0,86.39,83.25,84.5,38770.0
2012-03-26,84.25,85.6,84.0,84.0,5517.0
2012-03-27,84.5,86.65,84.0,84.0,21065.0
2012-03-28,84.0,85.38,83.5,83.5,912.0
2012-03-29,83.75,85.75,82.5,83.75,17991.0
2012-03-30,83.5,83.5,81.5,81.5,19562.0
2012-04-02,81.75,84.38,81.75,83.0,991.0
2012-04-03,81.98,83.15,81.75,82.0,83.0
2012-04-04,80.5,81.75,80.0,80.25,34168.0
2012-04-05,80.25,80.25,77.0,77.25,34195.0
2012-04-10,77.0,78.5,76.03,76.25,8020.0
2012-04-11,78.5,78.5,76.19,76.75,1872.0
2012-04-12,79.75,79.75,76.45,76.75,4910.0
2012-04-13,76.0,77.6,74.41,75.5,19547.0
2012-04-16,75.5,77.0,75.25,75.25,8405.0
2012-04-17,75.25,75.6,69.0,71.5,35375.0
2012-04-18,73.25,74.92,72.85,72.85,776.0
2012-04-19,73.0,75.2,73.0,73.25,15844.0
2012-04-20,,,,74.05,0.0
2012-04-23,,,,71.35,0.0
2012-04-24,72.25,74.0,71.5,71.5,7206.0
2012-04-25,,,,74.94,0.0
2012-04-26,74.0,76.0,73.5,76.0,6821.0
2012-04-27,75.75,78.5,75.69,76.35,40732.0
2012-04-30,78.75,79.52,78.0,78.0,157.0
2012-05-01,78.5,80.0,77.1,77.1,7699.0
2012-05-02,78.75,78.75,76.0,76.5,4389.0
2012-05-03,76.0,78.0,75.6,77.75,7285.0
2012-05-04,75.0,75.0,73.0,73.25,29445.0
2012-05-08,73.0,75.0,72.0,72.0,8000.0
2012-05-09,71.0,74.25,67.5,67.5,88138.0
2012-05-10,71.25,71.5,69.5,70.0,27625.0
2012-05-11,70.0,71.58,70.0,70.75,15565.0
2012-05-14,,,,71.8,0.0
2012-05-15,71.0,71.85,70.48,71.0,4610.0
2012-05-16,,,,70.47,0.0
