Date,Open,High,Low,Close,Volume
2012-01-03,257.4,258.0,247.5,251.2,3449576
2012-01-04,252.0,254.1,246.3,250.3,4000106
2012-01-05,250.7,251.9,245.5,246.8,2864741
2012-01-06,248.0,249.7,243.7,245.5,2660280
2012-01-09,246.8,247.5,242.0,243.1,2873255
2012-01-10,246.52,249.89,245.61,248.97,2791775
2012-01-11,249.94,253.24,248.25,249.33,2855000
2012-01-12,250.19,255.46,249.12,252.02,3061664
2012-01-13,254.5,254.7,246.6,249.9,2864808
2012-01-16,248.6,251.17,247.77,250.68,2477168
2012-01-17,255.0,255.0,249.0,250.7,2379517
2012-01-18,251.2,253.2,247.5,249.1,3247715
2012-01-19,248.4,256.4,248.4,255.8,3933643
2012-01-20,256.7,263.6,254.2,261.2,5729472
2012-01-23,261.9,269.7,259.0,268.0,4058690
2012-01-24,266.69,267.54,261.08,267.3,4518938
2012-01-25,267.3,268.77,262.66,264.86,2561261
2012-01-26,265.2,269.5,262.3,268.6,3446989
2012-01-27,267.9,269.1,264.4,267.8,2586174
2012-01-30,266.4,266.4,260.3,262.9,2091819
2012-01-31,264.1,268.6,261.8,266.2,5054177
2012-02-01,266.4,273.2,265.2,273.2,4623518
2012-02-02,274.8,275.4,271.1,274.3,3856324
2012-02-03,274.14,281.42,272.8,280.26,3680152
2012-02-06,280.5,280.5,275.4,277.3,3200826
2012-02-07,278.67,279.65,276.1,278.54,2118161
2012-02-08,279.03,280.32,277.93,278.67,2286974
2012-02-09,279.89,282.82,277.08,281.11,3492214
2012-02-10,280.5,280.5,273.66,275.12,2423180
2012-02-13,278.2,281.0,276.2,278.5,1437217
2012-02-14,277.0,281.1,277.0,279.6,1492951
2012-02-15,282.33,283.9,279.16,282.33,1994715
2012-02-16,279.6,281.0,276.6,281.0,1958212
2012-02-17,281.84,287.47,280.07,285.88,2936031
2012-02-20,287.22,288.55,285.14,287.96,1341758
2012-02-21,287.8,288.1,284.0,285.9,2425588
2012-02-22,287.2,287.2,282.6,283.7,2688023
2012-02-23,283.07,286.49,282.15,285.39,2206607
2012-02-24,286.0,288.2,284.84,287.71,2319908
2012-02-27,285.76,287.14,282.73,287.1,1869275
2012-02-28,288.44,288.93,284.68,287.47,1868886
2012-02-29,285.76,290.03,284.06,284.17,4763570
2012-03-01,283.8,291.99,282.51,289.79,2056903
2012-03-02,289.91,291.55,286.37,288.93,2556919
2012-03-05,286.86,290.42,285.39,288.44,2356657
2012-03-06,287.0,287.8,279.0,281.4,3055700
2012-03-07,280.7,286.0,280.5,285.1,2142506
2012-03-08,287.22,290.28,285.3,289.91,3512533
2012-03-09,291.1,291.1,283.8,289.4,2635237
2012-03-12,287.5,292.0,287.3,290.4,2889941
2012-03-13,295.78,300.62,289.91,291.5,7464862
2012-03-14,293.0,302.0,292.5,300.7,4109597
2012-03-15,301.28,304.37,299.2,302.99,3851748
2012-03-16,303.48,309.12,298.59,306.41,6255997
2012-03-19,305.4,305.4,299.3,302.7,4196399
2012-03-20,301.2,303.7,298.7,299.7,2670344
2012-03-21,288.4,292.6,287.8,289.1,5145196
2012-03-22,287.71,288.27,283.92,285.63,3555836
2012-03-23,286.7,287.5,282.8,286.0,2843387
2012-03-26,288.7,288.9,282.3,285.6,3884348
2012-03-27,288.57,289.56,281.72,283.19,4200953
2012-03-28,283.6,285.8,282.0,282.3,3770250
2012-03-29,282.3,284.8,275.7,279.0,4486282
2012-03-30,279.52,281.66,278.3,280.74,4003862
2012-04-02,281.2,282.5,275.4,282.5,3241925
2012-04-03,282.7,283.6,279.5,279.6,2265334
2012-04-04,279.4,279.4,270.0,271.7,2989465
2012-04-05,272.2,273.0,267.5,271.6,2396494
2012-04-10,268.89,270.07,265.22,265.22,3510842
2012-04-11,263.6,270.1,262.8,268.5,4802650
2012-04-12,269.3,274.6,266.8,273.9,2963205
2012-04-13,273.17,275.49,269.01,269.99,2471621
2012-04-16,268.64,271.38,266.2,269.26,3165619
2012-04-17,269.5,277.8,268.9,277.2,2574957
2012-04-18,276.6,280.3,273.4,275.6,3652525
2012-04-19,277.2,281.5,275.7,279.3,3823151
2012-04-20,279.2,283.2,277.2,280.0,3174372
2012-04-23,278.5,279.9,270.4,272.4,2645228
2012-04-24,275.4,276.0,270.6,273.8,3808595
2012-04-25,280.5,281.48,274.17,275.12,4478803
2012-04-26,276.6,277.8,270.6,273.9,2857356
2012-04-27,273.0,278.1,270.2,277.3,2285381
2012-04-30,278.8,278.8,272.8,273.3,2792360
2012-05-01,274.8,276.6,272.9,275.6,828531
2012-05-02,275.2,276.2,271.0,274.0,3733364
2012-05-03,273.9,275.6,267.7,268.5,3741950
2012-05-04,267.2,268.0,260.0,262.0,3964547
2012-05-08,262.0,263.6,256.7,257.0,3738168
2012-05-09,259.2,259.6,249.6,254.0,3129036
2012-05-10,254.22,259.17,254.1,258.01,3762457
2012-05-11,257.6,261.1,255.2,261.1,3817719
2012-05-14,258.9,258.9,252.6,254.7,2825638
2012-05-15,255.2,255.9,247.5,251.2,4510084
2012-05-16,248.1,255.6,246.3,253.2,3304764
2012-05-17,254.3,254.3,245.4,247.6,2599342
2012-05-18,244.4,250.6,243.2,246.3,3368594
2012-05-21,245.4,250.7,244.9,249.8,3120593
2012-05-22,251.4,256.7,248.5,256.7,2670844
2012-05-23,253.1,254.6,246.9,246.9,2670430
2012-05-24,249.8,253.5,248.4,251.7,1611862
2012-05-25,252.76,255.56,249.82,251.41,1410208
2012-05-28,255.08,255.5,249.58,251.41,1718322
2012-05-29,254.2,254.3,251.3,253.2,1924388
2012-05-30,250.92,251.96,247.01,247.38,2147491
2012-05-31,247.62,250.81,247.62,250.19,4509360
2012-06-01,251.5,253.6,247.4,249.3,4697520
2012-06-06,251.0,260.1,251.0,260.1,3716168
2012-06-07,262.3,267.4,260.5,264.4,3393386
2012-06-08,263.39,269.87,263.2,269.38,5795273
2012-06-11,276.1,276.1,264.9,266.6,2970791
2012-06-12,265.8,268.4,261.9,265.3,3571745
2012-06-13,267.1,269.1,263.6,266.9,2518585
2012-06-14,265.2,268.8,263.9,268.2,2619420
2012-06-15,270.72,273.29,268.6,268.77,6156936
2012-06-18,274.6,274.9,266.7,268.0,2701694
2012-06-19,270.0,276.0,267.7,276.0,2117854
2012-06-20,276.0,281.5,275.4,279.8,2691763
2012-06-21,278.2,285.4,278.2,282.0,3519717
2012-06-22,279.89,281.54,275.37,276.83,2503136
2012-06-25,276.22,277.32,272.58,273.17,2428846
2012-06-26,274.27,274.88,271.43,272.43,2203100
2012-06-27,274.1,276.5,272.1,275.5,2274387
2012-06-28,277.1,278.8,274.0,277.2,2687021
2012-06-29,284.8,287.5,281.2,285.3,3149291
2012-07-02,284.8,288.6,284.0,286.5,2122468
2012-07-03,286.2,290.3,285.9,287.7,2414377
2012-07-04,287.7,287.7,284.8,285.9,1663119
2012-07-05,286.5,288.3,283.4,286.0,2675176
2012-07-06,285.51,287.23,283.43,284.41,2037236
2012-07-09,284.7,285.5,278.3,282.3,2618979
2012-07-10,282.3,288.1,282.0,286.5,3078491
2012-07-11,285.9,288.3,283.2,285.8,2715968
2012-07-12,285.1,287.5,281.7,282.7,3606907
2012-07-13,284.5,288.1,283.6,287.7,2187000
2012-07-16,288.4,290.5,286.9,289.8,2058157
2012-07-17,291.1,291.1,287.0,288.4,1895825
2012-07-18,290.2,293.1,288.1,292.5,1993156
2012-07-19,292.8,296.3,291.3,295.9,2194099
2012-07-20,295.9,295.9,289.2,290.9,3225066
2012-07-23,288.7,288.7,277.9,280.6,2752053
2012-07-24,282.2,283.2,279.2,280.3,2080573
2012-07-25,279.8,281.6,277.9,281.0,1615206
2012-07-26,281.6,288.2,277.9,287.8,2777891
2012-07-27,290.5,292.0,284.9,292.0,2018016
2012-07-30,293.9,297.2,293.2,297.0,2067435
2012-07-31,296.8,299.6,295.7,295.7,3369512
