Date,Open,High,Low,Close,Volume
2012-01-03,184.5,187.0,182.26,187.0,32849.0
2012-01-04,185.0,186.5,182.25,184.5,103796.0
2012-01-05,183.0,183.5,183.0,183.0,134804.0
2012-01-06,183.75,185.42,181.75,182.75,64281.0
2012-01-09,181.97,184.0,181.97,182.5,35275.0
2012-01-10,182.49,186.15,182.49,184.51,84973.0
2012-01-11,185.5,186.89,183.5,186.75,68363.0
2012-01-12,186.75,187.5,0.0,187.0,43178.0
2012-01-13,188.75,188.75,185.25,185.76,34632.0
2012-01-16,186.5,187.4,185.51,186.5,23849.0
2012-01-17,189.0,189.25,186.01,187.0,53592.0
2012-01-18,187.0,189.5,186.51,187.5,63420.0
2012-01-19,189.5,189.9,188.25,189.25,54445.0
2012-01-20,190.75,190.75,188.25,189.25,115337.0
2012-01-23,188.5,190.0,188.5,189.65,66425.0
2012-01-24,188.0,189.15,186.5,186.5,22900.0
2012-01-25,186.25,187.49,184.7,186.0,85122.0
2012-01-26,185.0,187.74,184.5,186.1,112057.0
2012-01-27,186.0,186.09,183.65,186.09,37450.0
2012-01-30,183.0,185.59,183.0,184.09,37757.0
2012-01-31,185.05,185.34,183.02,183.56,30621.0
2012-02-01,186.0,188.44,185.53,188.44,94256.0
2012-02-02,188.0,188.69,187.25,188.5,59242.0
2012-02-03,189.25,191.19,188.01,189.0,49441.0
2012-02-06,188.5,190.5,186.5,188.74,71070.0
2012-02-07,189.25,189.26,187.0,189.0,41033.0
2012-02-08,188.25,189.25,187.0,188.0,123279.0
2012-02-09,189.0,191.0,187.25,191.0,79309.0
2012-02-10,190.25,0.0,187.13,187.13,60966.0
2012-02-13,188.25,190.25,188.0,190.0,17357.0
2012-02-14,186.94,189.95,186.94,189.73,78792.0
2012-02-15,188.0,191.88,188.0,190.0,6238.0
2012-02-16,190.0,191.0,189.0,189.0,2094.0
2012-02-17,191.75,193.75,191.74,193.75,13164.0
2012-02-20,193.0,197.92,192.62,195.5,40834.0
2012-02-21,196.0,198.4,194.5,197.0,44274.0
2012-02-22,196.25,199.22,195.5,196.75,20063.0
2012-02-23,200.0,200.0,197.0,197.0,4597.0
2012-02-24,199.5,201.0,197.85,201.0,5207.0
2012-02-27,198.25,202.25,198.15,201.5,37161.0
2012-02-28,203.75,206.5,203.75,205.25,24596.0
2012-02-29,206.5,208.5,204.51,205.0,30911.0
2012-03-01,208.0,208.5,206.25,207.25,8538.0
2012-03-02,206.5,206.75,205.61,206.5,10636.0
2012-03-05,,,,205.98,0.0
2012-03-06,205.25,206.25,200.5,200.5,44716.0
2012-03-07,202.0,202.0,200.26,201.99,11846.0
2012-03-08,202.75,204.75,202.5,204.75,1546.0
2012-03-09,204.5,207.0,203.5,206.25,26132.0
2012-03-12,206.0,206.45,203.03,206.25,11087.0
2012-03-13,205.75,208.0,205.16,208.0,7964.0
2012-03-14,209.74,210.5,208.0,210.5,47022.0
2012-03-15,209.5,210.92,208.0,208.0,4184.0
2012-03-16,209.75,210.95,207.0,207.0,6392.0
2012-03-19,208.75,210.25,208.0,210.0,8795.0
2012-03-20,206.5,209.48,205.78,208.0,12278.0
2012-03-21,208.0,208.75,204.75,204.75,18186.0
2012-03-22,205.0,207.0,203.11,206.0,17795.0
2012-03-23,205.0,207.5,203.41,207.5,2539.0
2012-03-26,208.0,208.75,204.41,208.75,7318.0
2012-03-27,209.0,210.0,206.5,206.5,5043.0
2012-03-28,206.0,208.25,206.0,207.24,1000.0
2012-03-29,206.75,208.38,205.0,205.0,15939.0
2012-03-30,207.5,209.0,205.11,209.0,11105.0
2012-04-02,206.25,204.0,203.97,204.0,52.0
2012-04-03,204.25,208.5,204.54,208.5,17.0
2012-04-04,204.25,204.25,201.0,201.0,9809.0
2012-04-05,201.75,203.39,200.0,200.0,4205.0
2012-04-10,201.5,201.98,197.0,197.0,15015.0
2012-04-11,197.0,200.39,195.51,198.5,3039.0
2012-04-12,,,,201.46,0.0
2012-04-13,201.5,205.0,201.0,205.0,17204.0
2012-04-16,202.0,205.0,200.5,205.0,2850.0
2012-04-17,201.25,204.54,201.25,203.0,3529.0
2012-04-18,204.5,206.5,203.5,205.5,33539.0
2012-04-19,206.0,211.0,205.21,208.0,39009.0
2012-04-20,210.0,212.0,208.46,210.99,10474.0
2012-04-23,210.5,212.0,207.62,208.5,40761.0
2012-04-24,210.25,211.5,208.38,211.5,9899.0
2012-04-25,210.0,211.49,209.25,211.0,3931.0
2012-04-26,211.5,211.75,208.51,210.0,559.0
2012-04-27,211.25,214.75,209.72,213.5,15816.0
2012-04-30,215.0,216.75,212.45,216.75,24351.0
2012-05-01,214.25,215.0,212.76,213.76,1000.0
2012-05-02,215.25,217.0,214.5,217.0,13879.0
2012-05-03,214.5,216.75,212.5,212.5,11717.0
2012-05-04,216.0,216.0,212.0,212.0,32199.0
2012-05-08,212.0,213.0,205.0,205.99,21131.0
2012-05-09,205.5,206.0,203.5,206.0,581.0
2012-05-10,205.0,209.0,204.51,209.0,1608.0
2012-05-11,208.07,209.0,206.18,207.0,27357.0
2012-05-14,206.25,207.5,204.75,206.5,52675.0
2012-05-15,205.0,205.88,204.0,204.0,15362.0
2012-05-16,202.75,203.8,201.75,202.5,1.0
2012-05-17,202.0,203.58,200.0,200.0,8426.0
2012-05-18,200.25,202.5,197.01,198.39,10155.0
2012-05-21,198.25,200.63,197.62,198.5,26433.0
2012-05-22,198.75,200.74,197.26,199.25,1078.0
2012-05-23,196.75,199.5,195.0,195.0,9547.0
2012-05-24,195.25,196.23,195.0,195.0,5580.0
2012-05-25,195.5,198.49,194.44,195.0,2347.0
2012-05-28,,,,196.26,0.0
2012-05-29,,,,198.95,0.0
2012-05-30,198.75,199.61,197.3,198.75,453.0
2012-05-31,198.75,198.95,197.0,198.75,28.0
2012-06-01,195.25,198.95,194.5,194.5,4428.0
2012-06-06,196.75,198.65,196.62,197.5,2053.0
2012-06-07,197.25,198.45,194.0,197.5,87793.0
2012-06-08,198.0,198.0,195.55,196.75,1038.0
2012-06-11,196.85,200.58,196.85,198.0,8199.0
2012-06-12,197.5,199.9,194.5,194.5,20978.0
2012-06-13,195.25,198.5,195.0,198.5,1372.0
2012-06-14,195.5,195.5,193.5,194.75,17103.0
2012-06-15,193.5,195.99,193.07,193.5,26312.0
2012-06-18,193.75,198.0,193.75,195.0,241.0
2012-06-19,196.25,196.68,194.51,194.51,2190.0
2012-06-20,196.25,197.0,194.25,195.0,12841.0
2012-06-21,196.5,199.45,194.26,194.5,12600.0
2012-06-22,194.0,196.42,193.25,193.5,14286.0
2012-06-25,194.75,196.45,192.75,192.75,3132.0
2012-06-26,193.5,196.89,192.9,193.1,2689.0
2012-06-27,195.75,197.0,192.77,196.0,11646.0
2012-06-28,197.42,199.0,194.25,199.0,226.0
2012-06-29,200.25,203.0,197.55,203.0,23582.0
2012-07-02,202.0,203.32,199.0,199.0,18852.0
2012-07-03,,,,206.52,0.0
2012-07-04,207.0,208.0,204.76,208.0,2380.0
2012-07-05,207.75,209.0,205.28,209.0,3499.0
2012-07-06,208.75,212.0,206.01,212.0,13526.0
2012-07-09,212.0,213.5,209.3,213.0,10100.0
2012-07-10,212.75,213.0,210.0,213.0,3018.0
2012-07-11,,,,211.75,0.0
2012-07-12,208.9,212.66,208.25,208.25,2631.0
2012-07-13,,,,212.74,0.0
2012-07-16,213.0,214.0,211.2,214.0,788.0
2012-07-17,214.0,220.5,214.0,219.75,33647.0
2012-07-18,219.75,220.0,215.85,220.0,3000.0
2012-07-19,220.5,223.0,218.7,223.0,15000.0
2012-07-20,220.0,223.49,219.0,219.0,69.0
2012-07-23,222.75,222.75,218.26,218.26,4538.0
2012-07-24,218.25,220.0,218.0,218.0,11098.0
2012-07-25,217.25,220.5,216.75,216.75,23249.0
2012-07-26,,,,218.49,0.0
2012-07-27,,,,216.49,0.0
2012-07-30,218.0,218.49,216.0,217.49,743.0
2012-07-31,216.0,218.49,214.27,214.27,5000.0
2012-08-01,,,,217.24,0.0
