Date,Open,High,Low,Close,Volume
2012-01-03,115.5,116.25,110.81,116.25,74502
2012-01-04,115.5,115.5,110.5,111.25,171467
2012-01-05,112.5,115.0,110.0,112.5,346489
2012-01-06,115.0,115.0,111.5,113.25,179663
2012-01-09,114.75,114.75,112.0,112.0,46469
2012-01-10,112.25,112.5,111.5,111.5,106177
2012-01-11,116.0,116.0,111.5,112.75,131194
2012-01-12,110.5,113.0,110.34,112.25,94895
2012-01-13,113.25,114.4,110.48,112.0,81699
2012-01-16,113.0,115.25,111.25,113.0,39567
2012-01-17,115.0,115.0,110.5,110.5,320192
2012-01-18,111.0,113.5,111.0,113.0,101314
2012-01-19,112.75,115.0,111.5,112.5,1089457
2012-01-20,114.0,115.56,112.0,114.25,503782
2012-01-23,118.0,118.0,115.5,117.0,74844
2012-01-24,116.0,118.35,115.11,117.0,96645
2012-01-25,116.75,118.5,115.5,117.0,121146
2012-01-26,118.25,119.75,118.25,118.5,34265
2012-01-27,120.0,123.0,118.95,123.0,131105
2012-01-30,122.5,123.82,120.25,121.0,107158
2012-01-31,124.0,127.75,124.0,124.5,372552
2012-02-01,124.5,132.75,124.5,131.0,166008
2012-02-02,131.75,133.75,130.0,133.5,445700
2012-02-03,133.5,140.5,132.23,135.75,129615
2012-02-06,136.5,143.71,134.38,143.0,202838
2012-02-07,145.25,156.0,145.25,152.0,1134426
2012-02-08,149.0,152.2,144.25,146.25,643032
2012-02-09,147.0,161.42,144.62,157.0,705010
2012-02-10,158.0,163.66,156.5,159.25,204664
2012-02-13,161.0,162.25,156.65,157.25,62836
2012-02-14,157.25,159.75,152.54,155.0,72209
2012-02-15,155.25,157.75,152.0,153.25,93072
2012-02-16,151.75,152.75,151.0,151.75,38545
2012-02-17,153.0,157.0,153.0,157.0,65211
2012-02-20,157.0,167.75,155.5,167.75,75924
2012-02-21,167.75,168.0,161.31,164.0,103292
2012-02-22,163.5,164.0,161.2,163.25,28945
2012-02-23,163.5,164.81,159.25,160.75,37225
2012-02-24,165.75,166.5,160.75,162.5,44526
2012-02-27,164.5,166.0,162.0,165.75,15005
2012-02-28,162.0,165.75,161.0,163.25,35501
2012-02-29,163.5,164.88,162.25,163.5,16560
2012-03-01,163.25,164.82,162.21,162.5,29776
2012-03-02,162.25,163.8,158.25,160.0,51917
2012-03-05,162.75,163.57,157.75,157.75,24415
2012-03-06,159.75,160.25,149.75,153.5,115152
2012-03-07,152.25,154.0,149.88,152.5,37934
2012-03-08,154.75,156.75,153.58,155.75,30942
2012-03-09,152.0,155.64,152.0,155.0,43320
2012-03-12,152.0,156.53,151.58,154.75,7597
2012-03-13,156.75,157.0,153.25,157.0,21127
2012-03-14,157.0,162.25,154.6,162.25,38360
2012-03-15,161.5,163.0,159.5,161.5,30689
2012-03-16,163.0,163.23,160.25,163.0,166707
2012-03-19,162.5,162.5,158.66,161.0,67552
2012-03-20,159.75,162.75,159.75,161.0,90494
2012-03-21,162.0,162.0,156.69,159.75,39007
2012-03-22,159.75,161.0,157.75,159.25,41955
2012-03-23,159.25,161.25,157.0,159.75,128900
2012-03-26,159.75,162.25,155.1,161.75,75251
2012-03-27,161.75,174.25,158.75,171.25,217869
2012-03-28,170.5,174.0,169.75,172.0,61586
2012-03-29,175.75,175.75,169.16,174.0,51211
2012-03-30,174.0,184.75,172.0,184.75,106663
2012-04-02,184.75,184.75,172.0,173.5,137759
2012-04-03,172.75,174.0,167.25,167.5,216831
2012-04-04,172.0,172.0,166.5,166.75,225224
2012-04-05,166.0,172.0,166.0,172.0,51288
2012-04-10,169.0,171.75,167.25,169.0,86007
2012-04-11,167.0,168.75,164.0,166.25,39903
2012-04-12,165.5,169.0,165.0,167.5,65831
2012-04-13,169.0,169.0,162.63,166.25,46211
2012-04-16,165.25,167.76,159.0,159.0,59171
2012-04-17,161.0,164.25,158.0,161.75,49748
2012-04-18,162.0,165.75,158.5,160.0,45888
2012-04-19,161.25,164.75,159.75,160.75,55172
2012-04-20,160.0,161.72,158.0,160.0,36773
2012-04-23,160.5,160.85,154.5,157.5,42960
2012-04-24,159.0,164.25,159.0,161.75,59409
2012-04-25,165.0,165.0,158.0,161.75,57322
2012-04-26,165.5,166.5,160.44,163.25,27516
2012-04-27,166.25,166.25,160.75,162.0,29412
2012-04-30,163.25,167.75,162.25,167.75,76548
2012-05-01,166.0,167.5,162.59,167.5,12702
2012-05-02,168.0,170.0,163.25,170.0,64255
2012-05-03,169.5,175.0,168.25,175.0,47513
2012-05-04,175.0,175.0,168.75,168.75,53486
2012-05-08,172.25,175.75,169.75,174.5,220691
2012-05-09,171.75,172.0,167.75,169.25,81337
2012-05-10,172.5,173.5,169.25,173.5,22062
2012-05-11,173.5,173.5,168.48,170.0,58207
2012-05-14,169.0,169.88,166.75,166.75,9258
2012-05-15,168.25,169.0,156.0,156.0,57824
2012-05-16,154.25,158.15,152.5,153.71,16324
2012-05-17,154.0,157.5,153.25,155.25,57107
2012-05-18,155.0,158.57,153.2,155.0,16055
2012-05-21,157.5,157.5,152.5,153.5,24734
2012-05-22,155.0,155.0,151.0,152.0,28317
2012-05-23,152.0,154.02,151.0,152.25,26810
2012-05-24,154.75,157.25,154.75,155.0,33938
2012-05-25,159.0,159.0,157.0,157.0,4005
2012-05-28,159.0,161.0,156.5,158.0,14241
2012-05-29,158.5,167.5,157.67,167.5,40530
2012-05-30,167.0,175.18,164.5,169.5,145311
2012-05-31,169.5,174.5,160.94,161.0,283889
2012-06-01,162.0,162.25,158.5,160.0,80957
2012-06-06,160.0,171.25,158.5,165.0,226416
2012-06-07,166.75,173.75,165.0,165.0,90939
2012-06-08,165.25,167.5,163.75,163.75,14496
2012-06-11,164.75,164.75,160.0,160.0,37960
2012-06-12,160.0,161.75,154.0,160.0,74803
2012-06-13,159.25,160.0,155.27,158.25,37401
2012-06-14,163.0,166.25,152.75,152.75,44307
2012-06-15,154.25,162.0,145.5,145.5,419240
2012-06-18,149.0,152.0,145.0,145.5,92200
2012-06-19,145.0,152.0,145.0,152.0,54917
2012-06-20,152.5,153.25,146.0,146.0,26079
2012-06-21,147.5,155.75,147.5,155.75,55033
2012-06-22,153.5,155.0,152.5,154.5,23229
2012-06-25,154.0,155.21,152.76,153.0,19231
2012-06-26,150.25,160.75,150.25,154.25,73716
2012-06-27,155.25,158.25,155.25,158.25,14422
2012-06-28,157.75,160.5,156.5,157.75,62634
2012-06-29,158.75,168.5,156.0,168.5,69553
2012-07-02,166.0,178.0,163.0,178.0,203524
2012-07-03,175.0,175.0,170.0,175.0,81562
2012-07-04,173.5,180.0,170.83,180.0,19686
2012-07-05,177.75,179.0,174.14,179.0,37588
2012-07-06,176.0,180.75,176.0,180.75,56133
2012-07-09,180.0,181.75,177.0,181.75,42050
2012-07-10,180.0,181.75,172.0,173.75,143645
2012-07-11,175.25,179.0,165.25,178.0,135657
2012-07-12,178.75,178.75,175.0,175.5,38846
2012-07-13,175.5,177.75,175.5,176.75,36834
2012-07-16,177.75,178.0,176.11,178.0,20854
2012-07-17,176.25,177.62,172.25,172.25,35033
2012-07-18,173.75,175.0,172.0,172.0,20441
2012-07-19,176.25,176.75,172.25,174.0,40181
2012-07-20,172.5,180.0,172.5,179.0,234111
2012-07-23,178.0,180.0,175.64,177.75,130825
2012-07-24,177.0,177.75,175.96,177.75,26067
2012-07-25,176.0,177.0,175.5,177.0,120357
2012-07-26,177.0,178.25,174.13,177.0,53767
2012-07-27,177.5,179.25,174.25,179.25,84246
2012-07-30,179.25,179.75,176.98,178.75,72395
2012-07-31,175.0,181.75,175.0,177.0,236691
2012-08-01,175.75,179.0,173.5,174.0,78878
2012-08-02,172.5,181.75,172.5,181.75,20760
2012-08-03,180.25,183.75,177.75,183.0,29879
2012-08-06,182.75,187.75,178.33,187.75,44312
2012-08-07,184.0,188.0,182.75,187.5,35998
2012-08-08,181.0,193.25,181.0,193.25,92617
2012-08-09,193.0,200.0,190.0,200.0,61852
2012-08-10,195.0,202.75,195.0,202.25,33865
2012-08-13,202.0,202.0,196.55,200.5,34627
2012-08-14,201.5,208.0,200.0,208.0,76324
2012-08-15,206.25,208.0,200.5,208.0,36852
