Date,Open,High,Low,Close,Volume
2012-01-03,540.0,540.0,520.28,538.0,715933
2012-01-04,529.5,531.9,511.5,517.5,1409362
2012-01-05,531.0,535.0,521.0,525.0,367084
2012-01-06,526.0,532.0,520.0,527.0,445439
2012-01-09,528.0,535.0,522.5,526.0,233685
2012-01-10,526.5,529.5,522.0,524.5,278292
2012-01-11,524.5,527.0,519.0,525.0,161597
2012-01-12,526.0,527.5,519.5,523.0,280868
2012-01-13,527.0,529.0,522.0,525.0,359302
2012-01-16,524.0,532.5,520.0,530.0,95913
2012-01-17,530.5,532.5,522.5,526.5,271557
2012-01-18,527.5,536.0,523.0,532.5,206419
2012-01-19,534.0,538.65,531.5,534.5,223571
2012-01-20,534.5,540.0,534.5,536.0,188602
2012-01-23,538.5,547.5,528.0,533.0,536487
2012-01-24,533.0,535.5,530.5,532.0,311451
2012-01-25,536.0,563.0,536.0,554.0,716529
2012-01-26,542.5,554.5,542.5,549.5,226621
2012-01-27,547.5,557.5,547.5,552.5,238402
2012-01-30,547.0,554.5,539.5,541.0,340550
2012-01-31,545.0,555.0,541.5,552.0,415529
2012-02-01,552.5,567.0,552.0,559.0,449866
2012-02-02,558.5,564.0,536.5,537.0,1089693
2012-02-03,537.5,537.5,522.0,527.5,1007542
2012-02-06,528.0,534.0,520.0,528.0,617856
2012-02-07,526.5,531.63,517.0,531.5,712816
2012-02-08,531.5,531.5,512.5,515.0,982091
2012-02-09,513.5,524.0,513.5,520.0,571933
2012-02-10,519.5,535.0,519.5,531.5,612924
2012-02-13,535.0,538.0,526.5,537.5,201550
2012-02-14,535.0,540.5,530.5,538.5,278840
2012-02-15,540.0,543.5,535.0,539.5,367474
2012-02-16,536.0,541.5,531.5,540.0,141140
2012-02-17,542.5,547.0,534.5,541.5,333759
2012-02-20,544.0,547.01,541.26,544.0,132289
2012-02-21,544.5,551.1,536.5,541.5,218794
2012-02-22,546.0,549.0,536.0,536.0,415485
2012-02-23,538.5,545.5,531.5,543.0,365483
2012-02-24,546.5,548.35,540.5,542.0,238125
2012-02-27,541.5,543.0,534.5,535.5,321454
2012-02-28,538.5,540.0,530.0,534.0,379452
2012-02-29,534.5,538.5,530.0,532.0,378226
2012-03-01,533.0,539.0,529.0,537.5,233392
2012-03-02,538.0,544.5,536.5,544.0,360835
2012-03-05,542.0,542.0,532.5,534.0,231400
2012-03-06,532.5,533.5,516.0,518.0,348088
2012-03-07,520.0,531.0,518.03,527.0,223322
2012-03-08,529.0,539.0,525.34,535.5,328576
2012-03-09,537.0,541.0,528.0,531.0,232230
2012-03-12,532.0,539.5,526.28,537.5,172638
2012-03-13,540.0,547.5,536.5,547.0,270102
2012-03-14,548.5,551.0,538.0,542.0,322850
2012-03-15,542.0,547.0,538.0,546.5,447019
2012-03-16,546.0,551.5,539.5,549.5,515812
2012-03-19,547.5,550.5,541.5,550.0,307898
2012-03-20,547.5,548.0,540.0,547.5,377880
2012-03-21,546.5,552.0,544.0,549.5,372501
2012-03-22,547.0,548.0,541.0,545.0,328933
2012-03-23,546.0,552.5,540.5,548.0,269263
2012-03-26,556.0,556.0,546.0,555.0,343914
2012-03-27,557.5,557.5,548.5,552.0,279476
2012-03-28,550.5,560.0,547.0,552.0,356738
2012-03-29,552.0,552.0,540.0,543.5,239863
2012-03-30,545.5,550.0,544.5,545.0,342984
2012-04-02,545.0,551.0,541.5,548.0,423221
2012-04-03,549.5,551.5,536.0,549.0,604247
2012-04-04,546.0,552.5,542.0,543.0,477816
2012-04-05,542.5,550.0,538.5,546.0,519346
2012-04-10,543.0,549.0,533.0,533.0,502037
2012-04-11,533.5,539.5,529.0,536.5,554363
2012-04-12,536.5,543.0,534.0,538.5,619228
2012-04-13,537.0,543.0,530.0,534.5,550667
2012-04-16,533.0,540.5,529.5,533.5,621186
2012-04-17,533.5,537.5,532.5,535.0,549730
2012-04-18,532.5,547.0,529.5,547.0,862299
2012-04-19,536.0,541.2,523.0,528.0,933408
2012-04-20,533.0,542.0,524.5,542.0,823498
2012-04-23,542.5,549.34,529.5,533.0,440017
2012-04-24,534.5,534.5,529.5,530.0,347634
2012-04-25,533.5,535.0,528.0,530.5,312815
2012-04-26,533.5,537.0,525.0,526.0,380308
2012-04-27,524.0,529.0,519.5,527.5,269033
2012-04-30,528.5,531.0,522.0,527.0,255001
2012-05-01,534.0,534.5,522.56,529.0,155020
2012-05-02,530.0,536.5,524.0,525.0,331357
2012-05-03,524.5,534.5,524.5,529.5,244211
2012-05-04,530.0,530.0,518.0,518.0,209055
2012-05-08,519.5,530.0,511.5,511.5,426163
2012-05-09,514.5,523.5,509.0,520.5,547505
2012-05-10,523.0,530.5,519.5,530.0,471718
2012-05-11,530.0,535.0,518.44,531.5,317156
2012-05-14,529.5,530.5,519.0,520.0,316809
2012-05-15,525.5,527.5,514.5,519.84,398050
2012-05-16,518.0,523.0,510.0,515.0,341217
2012-05-17,517.5,521.0,510.0,510.0,309808
2012-05-18,510.0,510.0,497.0,497.0,448035
2012-05-21,499.2,503.5,490.35,499.1,231321
2012-05-22,503.0,504.05,494.2,494.2,473702
2012-05-23,491.8,493.5,486.4,490.1,463274
2012-05-24,492.8,497.3,485.7,493.2,352143
2012-05-25,494.1,496.9,489.9,495.2,199970
2012-05-28,494.7,502.5,490.5,502.5,238978
2012-05-29,504.0,510.5,500.5,509.62,392719
2012-05-30,510.0,510.0,496.8,498.2,299349
2012-05-31,499.8,499.87,481.3,481.3,441971
2012-06-01,482.7,488.4,477.6,479.5,584968
2012-06-06,482.3,487.52,473.2,479.0,683332
2012-06-07,477.6,490.4,473.5,490.1,487793
2012-06-08,489.3,490.0,481.7,487.5,271798
2012-06-11,494.0,497.65,484.9,487.5,308602
2012-06-12,485.5,486.34,474.1,477.4,390008
2012-06-13,471.7,479.8,467.2,471.7,581910
2012-06-14,475.1,492.4,475.1,484.6,851290
2012-06-15,489.7,497.44,483.4,493.3,861468
2012-06-18,503.5,503.5,488.2,495.3,401254
2012-06-19,497.6,505.5,494.8,505.5,419149
2012-06-20,505.5,514.5,501.5,514.0,341058
2012-06-21,512.0,520.0,511.5,515.0,306753
2012-06-22,506.5,520.0,497.7,518.0,354038
2012-06-25,515.0,519.25,511.5,514.5,312000
2012-06-26,513.86,521.5,513.5,517.0,375511
2012-06-27,519.0,536.0,517.19,534.0,366783
2012-06-28,533.0,533.84,525.5,527.5,467359
2012-06-29,535.0,557.0,533.12,544.5,540245
2012-07-02,545.0,555.0,544.18,553.0,405879
2012-07-03,555.0,558.5,548.5,555.0,292912
2012-07-04,551.5,558.5,551.5,553.5,308418
2012-07-05,555.5,557.0,538.0,546.5,654431
2012-07-06,545.0,547.5,538.5,542.5,269363
2012-07-09,540.5,551.5,529.34,540.0,248018
2012-07-10,538.5,547.5,538.0,540.0,274889
2012-07-11,539.5,543.0,528.5,534.0,287781
2012-07-12,535.0,535.55,526.5,535.5,356740
2012-07-13,537.5,551.0,536.0,550.0,281635
2012-07-16,549.5,559.0,543.28,552.5,262453
2012-07-17,554.5,555.5,547.5,547.5,176089
2012-07-18,543.5,553.0,543.5,548.0,176918
2012-07-19,547.5,563.5,541.69,560.5,279572
2012-07-20,558.5,559.0,548.5,552.0,257594
2012-07-23,548.0,550.0,541.0,544.5,165516
2012-07-24,546.5,546.5,538.0,538.0,118314
2012-07-25,536.5,542.0,536.5,538.0,179780
2012-07-26,539.0,542.5,533.0,533.0,287312
2012-07-27,536.0,554.0,536.0,550.0,274701
2012-07-30,555.5,559.0,545.5,558.0,318886
2012-07-31,552.5,560.0,547.64,550.5,230920
2012-08-01,552.5,557.0,543.0,546.5,274051
2012-08-02,548.0,558.5,545.5,556.5,227443
2012-08-03,554.5,561.5,549.5,559.0,117187
2012-08-06,560.0,567.0,556.46,566.5,165819
2012-08-07,566.0,570.0,557.0,570.0,284191
2012-08-08,567.5,570.07,561.5,567.0,139229
2012-08-09,569.0,572.06,565.0,568.46,137832
2012-08-10,569.5,573.5,565.5,573.0,89711
2012-08-13,570.5,578.0,569.0,572.0,187194
2012-08-14,575.0,582.5,571.5,574.0,196491
2012-08-15,572.5,581.5,572.5,576.0,106018
2012-08-16,577.5,578.0,562.5,568.5,177936
2012-08-17,568.5,584.0,567.5,582.5,155745
2012-08-20,581.0,582.5,572.5,573.0,237261
2012-08-21,575.0,596.5,575.0,590.0,289108
2012-08-22,582.5,585.5,569.5,582.0,349607
2012-08-23,605.0,614.5,596.5,597.5,417100
2012-08-24,595.5,602.0,595.0,596.0,242234
2012-08-28,593.0,598.0,592.5,595.0,197861
2012-08-29,597.5,598.35,593.7,596.0,102815
2012-08-30,594.5,597.5,588.12,591.0,146781
2012-08-31,593.0,605.0,591.5,600.5,163280
2012-09-03,598.0,607.5,595.5,598.5,112038
2012-09-04,600.0,603.5,597.88,601.5,196622
2012-09-05,599.5,602.0,595.0,599.5,132920
2012-09-06,597.5,614.0,597.5,610.5,237604
2012-09-07,614.0,614.0,604.5,610.0,332475
2012-09-10,609.0,615.0,608.6,610.0,94974
2012-09-11,607.0,615.5,604.5,613.0,120017
2012-09-12,614.0,619.5,610.5,616.5,260649
2012-09-13,617.0,629.0,614.0,618.0,165572
2012-09-14,624.0,634.0,624.0,624.0,314250
2012-09-17,622.0,633.8,607.5,616.0,282990
2012-09-18,612.0,619.0,612.0,614.0,155430
2012-09-19,614.5,624.5,612.5,622.5,156419
2012-09-20,620.5,635.5,615.0,631.5,182057
2012-09-21,634.0,642.0,629.5,635.0,363490
2012-09-24,632.5,643.5,630.0,643.5,184209
2012-09-25,642.5,645.5,631.0,633.0,414089
2012-09-26,630.5,637.0,628.0,635.0,159925
2012-09-27,636.0,640.0,628.5,638.0,195922
2012-09-28,640.0,648.5,634.0,646.5,361062
2012-10-01,643.0,649.5,618.16,625.0,259786
2012-10-02,636.0,640.0,627.0,638.0,198849
2012-10-03,652.0,652.0,630.0,645.5,243085
2012-10-04,647.5,653.5,641.0,652.5,255476
2012-10-05,653.5,665.5,647.0,659.0,152040
2012-10-08,655.0,662.5,652.0,658.0,143502
2012-10-09,656.5,664.0,654.5,655.0,148468
2012-10-10,655.5,657.5,646.0,652.0,316079
2012-10-11,618.25,640.0,604.5,631.0,1131173
2012-10-12,631.0,640.0,620.12,636.0,396225
2012-10-15,632.0,640.0,622.0,627.5,500371
2012-10-16,630.0,632.0,626.0,629.0,207354
2012-10-17,630.0,630.5,617.0,625.0,417995
2012-10-18,623.0,637.5,623.0,631.0,303268
2012-10-19,629.5,636.5,629.2,634.5,243017
2012-10-22,634.5,649.5,634.5,641.5,347652
2012-10-23,641.5,641.5,632.0,635.0,291001
2012-10-24,635.0,635.82,626.5,627.5,268346
2012-10-25,625.0,638.5,621.5,637.5,200685
2012-10-26,636.0,638.0,628.0,630.0,241258
2012-10-29,623.5,631.5,623.5,626.0,138308
2012-10-30,624.0,626.0,620.0,622.0,146820
2012-10-31,615.5,630.5,615.5,621.0,311091
2012-11-01,619.5,632.69,616.0,632.5,232483
2012-11-02,634.0,634.0,620.5,629.5,165742
2012-11-05,620.5,626.0,612.0,625.5,162515
2012-11-06,625.0,625.0,607.06,620.5,228442
2012-11-07,621.5,621.5,608.0,612.0,327012
2012-11-08,615.0,615.0,606.68,610.5,259023
2012-11-09,609.0,611.0,597.5,606.5,121689
2012-11-12,606.5,613.5,604.5,607.5,156808
2012-11-13,604.5,616.0,604.5,610.0,184395
2012-11-14,604.0,620.0,604.0,617.0,299219
2012-11-15,613.5,626.5,613.5,621.0,347278
2012-11-16,619.0,630.0,618.5,623.5,221457
2012-11-19,624.5,633.5,624.0,627.5,173130
2012-11-20,626.0,644.5,626.0,634.0,250962
2012-11-21,632.0,637.0,631.5,632.0,179179
2012-11-22,634.5,644.5,634.5,643.5,90946
2012-11-23,646.0,650.52,640.96,647.0,164573
2012-11-26,642.5,646.5,636.5,639.5,145051
2012-11-27,639.5,641.0,631.0,640.0,152318
2012-11-28,640.5,644.0,636.0,642.0,152044
2012-11-29,643.0,657.5,642.0,654.5,210753
2012-11-30,653.0,668.0,649.52,650.0,339400
2012-12-03,655.0,662.5,645.0,647.5,181745
2012-12-04,646.0,659.0,645.0,658.0,157978
2012-12-05,658.5,661.5,653.0,657.0,115549
2012-12-06,658.0,667.5,657.0,662.0,193957
2012-12-07,663.5,663.5,649.5,651.0,238260
2012-12-10,648.0,659.5,648.0,654.0,185893
2012-12-11,652.5,659.5,650.05,651.5,144291
2012-12-12,649.5,666.5,649.5,658.0,193518
2012-12-13,652.5,668.0,652.5,666.0,287733
2012-12-14,656.0,663.5,655.5,663.0,164144
2012-12-17,661.5,671.5,659.0,670.0,305636
2012-12-18,672.0,682.0,670.5,678.0,247307
2012-12-19,691.0,691.0,678.5,681.0,264070
2012-12-20,681.5,684.07,678.08,684.0,219885
2012-12-21,680.5,682.94,678.5,680.0,390855
2012-12-24,664.0,686.0,664.0,678.0,90592
2012-12-27,681.0,683.0,674.5,680.0,161031
2012-12-28,676.5,680.5,669.0,670.0,172505
2012-12-31,674.0,674.0,666.0,670.0,84626
2013-01-02,665.0,673.0,647.5,653.5,513470
2013-01-03,644.5,645.0,627.0,636.0,478969
2013-01-04,638.0,638.0,622.31,626.0,447808
2013-01-07,628.0,628.92,621.4,623.0,243671
2013-01-08,620.5,637.5,618.0,625.5,591580
2013-01-09,624.5,628.5,620.5,623.5,282721
2013-01-10,625.5,642.0,618.5,626.0,573100
2013-01-11,624.5,631.5,617.5,625.0,215435
2013-01-14,622.5,625.1,618.5,620.0,251286
2013-01-15,617.0,624.34,570.0,609.5,693516
2013-01-16,609.0,610.0,598.56,609.0,375911
2013-01-17,613.0,615.0,607.75,615.0,317611
2013-01-18,620.0,620.0,611.5,615.5,587399
2013-01-21,621.0,648.56,613.0,646.0,1071335
2013-01-22,649.0,658.0,648.5,652.0,627248
2013-01-23,657.0,662.5,635.0,650.0,762240
2013-01-24,647.0,657.5,647.0,655.0,317195
2013-01-25,658.0,674.0,656.5,671.0,452757
2013-01-28,664.5,674.0,664.06,666.5,375544
2013-01-29,669.5,675.5,663.5,663.5,454668
2013-01-30,663.0,673.0,659.5,665.5,611591
2013-01-31,664.5,669.0,663.5,666.0,326171
2013-02-01,670.0,675.22,665.5,672.5,350848
2013-02-04,680.5,680.5,667.5,671.5,256653
2013-02-05,671.5,679.0,670.68,676.0,197576
2013-02-06,678.0,690.0,674.68,685.5,269617
2013-02-07,687.5,699.0,683.0,694.5,582195
2013-02-08,693.5,696.0,679.5,690.0,296288
2013-02-11,688.0,693.78,685.5,690.5,160028
2013-02-12,689.0,698.0,688.5,696.5,272379
2013-02-13,696.5,716.5,694.0,711.5,362586
2013-02-14,716.0,716.5,706.0,706.0,289839
2013-02-15,704.5,711.5,699.5,700.0,279093
2013-02-18,701.0,706.0,691.5,697.0,217820
