Date,Open,High,Low,Close,Volume
2012-01-03,635.5,647.0,618.0,626.0,2260132
2012-01-04,625.5,635.0,624.5,626.0,2233051
2012-01-05,625.5,630.5,606.0,606.0,3156328
2012-01-06,608.5,612.0,605.5,607.0,1959864
2012-01-09,603.0,609.0,599.66,600.5,1782814
2012-01-10,603.5,604.8,596.5,599.0,2316978
2012-01-11,597.0,605.5,593.5,603.5,2617611
2012-01-12,604.0,608.5,596.0,596.0,2284911
2012-01-13,600.0,607.0,595.5,598.0,1896691
2012-01-16,595.0,600.5,594.5,596.0,1039385
2012-01-17,600.5,600.5,591.0,595.0,1455733
2012-01-18,595.5,602.19,590.5,596.5,2142792
2012-01-19,598.0,601.0,591.5,599.5,3234467
2012-01-20,601.5,618.0,598.5,608.5,2815220
2012-01-23,609.0,613.5,596.5,613.5,2019470
2012-01-24,610.0,617.0,602.0,607.0,2887011
2012-01-25,609.5,614.0,604.5,605.5,1267792
2012-01-26,607.0,613.0,606.0,612.5,3169111
2012-01-27,609.0,616.0,606.5,612.5,3820603
2012-01-30,605.5,615.04,605.5,612.5,2695896
2012-01-31,615.5,622.5,612.5,615.0,3706365
2012-02-01,618.5,622.0,609.28,612.5,3424881
2012-02-02,617.0,648.5,617.0,640.0,4212451
2012-02-03,637.5,644.5,632.5,640.0,2243241
2012-02-06,637.5,645.0,637.5,642.5,2827093
2012-02-07,642.0,646.5,630.0,639.5,2437778
2012-02-08,639.5,643.0,635.0,638.0,1836507
2012-02-09,641.5,644.0,631.5,632.5,2093358
2012-02-10,630.0,636.56,627.5,634.5,2723696
2012-02-13,636.0,637.0,631.0,635.5,1344226
2012-02-14,632.5,636.14,628.5,635.0,2264740
2012-02-15,634.5,639.0,631.0,635.0,2303371
2012-02-16,634.5,635.0,631.0,635.0,1247150
2012-02-17,635.5,636.0,632.0,633.0,2503862
2012-02-20,634.0,636.5,629.0,630.5,1253589
2012-02-21,630.5,631.0,624.0,626.5,1725875
2012-02-22,628.0,632.0,622.5,629.0,1802058
2012-02-23,630.0,630.5,621.5,624.0,2221866
2012-02-24,625.0,631.5,622.5,628.5,1418339
2012-02-27,630.0,630.0,620.0,625.5,1121013
2012-02-28,626.0,628.17,616.5,618.0,1930128
2012-02-29,617.0,622.0,615.5,618.0,2558669
2012-03-01,616.5,632.5,614.5,630.5,2338993
2012-03-02,629.0,631.5,625.0,626.5,1184716
2012-03-05,623.5,624.5,615.0,616.5,1493212
2012-03-06,616.5,618.5,610.5,610.5,1505415
2012-03-07,611.5,622.0,610.0,622.0,1656795
2012-03-08,624.5,628.5,618.0,627.0,1116261
2012-03-09,623.0,630.0,615.0,629.0,1980090
2012-03-12,629.0,634.5,624.0,632.0,1936040
2012-03-13,635.0,635.5,630.0,633.0,1441467
2012-03-14,634.5,634.5,628.0,628.0,1640870
2012-03-15,629.5,634.5,622.0,633.0,2060008
2012-03-16,632.5,635.0,628.0,631.0,1866385
2012-03-19,630.5,635.5,626.0,635.0,1642348
2012-03-20,632.5,635.06,630.43,635.0,1397688
2012-03-21,635.5,637.5,631.5,634.0,981834
2012-03-22,631.0,634.0,626.5,629.0,955537
2012-03-23,631.0,634.5,626.0,634.0,1571328
2012-03-26,634.5,640.5,632.5,638.0,2127367
2012-03-27,638.0,639.5,628.5,631.0,1188855
2012-03-28,631.5,634.5,627.0,633.5,2119970
2012-03-29,634.0,636.27,630.0,631.0,1776212
2012-03-30,631.5,635.0,627.0,633.5,1941398
2012-04-02,633.5,641.0,630.0,640.0,2865502
2012-04-03,641.0,643.5,633.0,634.5,2756582
2012-04-04,632.0,634.0,618.5,620.5,1786507
2012-04-05,621.5,623.0,607.5,615.0,2048053
2012-04-10,613.0,617.5,610.5,613.0,2653163
2012-04-11,611.5,620.5,607.5,614.5,2754898
2012-04-12,614.5,617.0,607.5,612.5,2514926
2012-04-13,614.0,615.1,604.5,605.5,1253340
2012-04-16,604.0,611.5,602.0,605.5,3735617
2012-04-17,607.0,623.0,605.0,622.5,1833342
2012-04-18,617.5,623.0,614.0,615.0,2358735
2012-04-19,616.0,619.5,606.5,608.0,1996519
2012-04-20,610.0,615.5,606.5,612.5,1928354
2012-04-23,610.0,613.0,596.5,601.0,1226933
2012-04-24,603.0,608.5,600.0,607.0,1528081
2012-04-25,605.0,610.5,604.0,607.5,1044251
2012-04-26,608.5,609.5,603.0,607.0,1246615
2012-04-27,607.0,613.5,604.5,611.5,1145692
2012-04-30,610.0,613.5,604.0,606.5,1692926
2012-05-01,608.0,616.5,608.0,614.0,520727
2012-05-02,610.5,614.78,601.5,605.5,1978593
2012-05-03,624.5,634.0,617.5,629.5,4472594
2012-05-04,628.5,633.0,619.0,619.5,1710343
2012-05-08,617.0,635.5,613.0,621.0,3260017
2012-05-09,622.0,623.0,604.5,611.5,1792072
2012-05-10,613.0,616.0,608.0,613.0,1564230
2012-05-11,613.0,615.64,603.5,606.5,2302242
2012-05-14,605.0,607.5,595.08,597.0,1645621
2012-05-15,599.0,603.5,592.0,594.5,2275830
2012-05-16,592.5,596.5,587.0,595.0,2890732
2012-05-17,593.5,596.5,587.5,588.5,1589275
2012-05-18,583.0,583.5,574.0,580.0,2884965
2012-05-21,577.5,585.5,577.0,581.5,979855
2012-05-22,583.5,594.0,581.5,592.0,1746641
2012-05-23,585.0,602.0,583.5,594.5,3249301
2012-05-24,596.5,604.5,596.5,600.0,2198676
2012-05-25,600.0,610.5,600.0,605.5,1921106
2012-05-28,606.5,615.0,606.5,610.5,1341965
2012-05-29,612.0,621.5,612.0,615.5,1662629
2012-05-30,612.0,614.0,605.0,605.5,1316271
2012-05-31,608.5,610.0,600.0,606.0,1849895
2012-06-01,606.0,606.0,586.0,590.5,3103575
2012-06-06,567.5,598.0,567.5,590.5,3633848
2012-06-07,593.5,603.5,592.08,600.5,1356353
2012-06-08,600.0,606.5,597.0,604.5,1214273
2012-06-11,614.0,617.0,602.0,603.0,1269459
2012-06-12,603.5,610.0,600.0,606.5,1316579
2012-06-13,609.0,610.5,599.0,605.0,990437
2012-06-14,606.0,612.0,602.0,611.5,1563332
2012-06-15,613.0,613.0,600.5,603.5,3807639
2012-06-18,613.5,614.5,603.5,605.5,1659877
2012-06-19,605.0,618.0,601.0,613.0,2208852
2012-06-20,615.5,618.5,609.5,618.0,1665618
2012-06-21,616.5,621.5,614.0,620.5,1639858
2012-06-22,616.5,621.5,611.5,620.0,1020345
2012-06-25,617.0,619.0,609.5,617.5,1665725
2012-06-26,619.0,620.0,609.5,617.5,1607121
2012-06-27,620.0,621.0,612.5,621.0,1962582
2012-06-28,620.5,628.0,615.0,623.0,1833992
2012-06-29,630.5,639.5,628.5,637.5,1825854
2012-07-02,630.0,639.06,625.0,639.0,1273197
2012-07-03,638.0,638.55,628.0,637.5,1367358
2012-07-04,635.0,639.5,632.0,638.0,799016
2012-07-05,636.5,643.5,636.5,639.5,1220910
2012-07-06,637.0,643.5,636.36,642.0,1123258
2012-07-09,640.5,645.5,637.0,642.5,996296
2012-07-10,644.0,650.5,639.66,647.0,1663983
2012-07-11,644.0,649.5,642.5,649.5,971000
2012-07-12,646.0,650.0,640.0,641.5,1177796
2012-07-13,642.5,653.5,640.5,652.5,1532490
2012-07-16,650.0,659.5,649.0,654.5,1207046
