Date,Open,High,Low,Close,Volume
2015-04-01,220.0,224.75,219.0,223.5,433911
2015-04-02,225.0,225.0,223.0,225.0,2030
2015-04-07,227.0,233.2,224.8,229.98,80456
2015-04-08,231.5,235.0,228.25,235.0,53622
2015-04-09,235.0,247.25,232.0,247.25,59020
2015-04-10,249.0,258.0,245.85,255.0,141020
2015-04-13,255.0,255.0,248.5,255.0,16527
2015-04-14,255.0,255.0,249.41,255.0,12
2015-04-15,255.0,255.0,250.0,255.0,2480
2015-04-16,249.5,249.5,249.5,249.5,0
2015-04-17,250.0,250.0,250.0,250.0,0
2015-04-20,,,,250.0,0
2015-04-21,,,,250.0,0
2015-04-22,250.0,250.0,248.0,250.0,36871
2015-04-23,250.0,252.75,249.0,249.0,21872
2015-04-24,250.0,252.98,249.75,250.0,457
2015-04-27,249.5,252.0,249.5,250.0,0
2015-04-28,251.25,251.25,249.65,250.0,40
2015-04-29,250.75,250.75,249.65,250.75,41
2015-04-30,250.5,255.0,249.0,255.0,18814
2015-05-01,,,,255.0,0
2015-05-05,256.0,256.0,248.5,250.0,2040
2015-05-06,250.0,250.0,250.0,250.0,0
2015-05-07,249.65,250.0,249.65,250.0,0
2015-05-08,,,,250.0,0
2015-05-11,255.0,255.0,254.8,255.0,277
2015-05-12,255.0,260.0,253.0,260.0,30713
2015-05-13,252.0,259.0,252.0,252.5,5426
2015-05-14,252.5,252.5,252.0,252.5,940
2015-05-15,255.0,255.0,252.0,255.0,3086
2015-05-18,257.0,257.0,251.0,253.33,4040
2015-05-19,257.0,257.0,251.0,256.5,1990
2015-05-20,253.5,253.5,252.0,252.0,0
2015-05-21,250.0,256.75,250.0,256.0,26393
2015-05-22,257.0,261.0,250.0,256.0,13989
2015-05-26,261.0,261.0,256.0,261.0,33
2015-05-27,257.0,260.65,257.0,257.5,0
2015-05-28,261.0,270.0,257.0,270.0,19503
2015-05-29,273.0,274.0,269.0,273.0,12970
2015-06-01,273.0,273.25,270.0,272.5,46283
2015-06-02,274.0,274.0,268.15,273.0,6061
2015-06-03,274.0,275.0,271.45,273.5,17334
2015-06-04,275.0,275.0,270.0,275.0,37107
2015-06-05,270.25,281.0,270.25,280.25,90703
2015-06-08,280.25,286.0,279.89,285.25,31890
2015-06-09,286.0,286.0,282.0,285.0,74170
2015-06-10,286.0,286.0,282.0,284.75,151483
2015-06-11,286.0,286.0,282.0,285.26,51689
2015-06-12,286.0,286.0,280.0,284.95,29627
2015-06-15,282.75,285.0,281.06,284.82,83198
2015-06-16,286.5,286.5,283.5,285.0,23535
2015-06-17,286.0,287.0,284.0,286.75,27326
2015-06-18,287.5,287.5,284.0,285.0,31981
2015-06-19,285.0,285.0,278.0,285.0,2009743
2015-06-22,282.0,283.0,276.62,278.5,60421
2015-06-23,280.0,280.18,278.5,278.5,9839
2015-06-24,283.0,283.0,275.5,278.0,13958
2015-06-25,,,,278.0,0
2015-06-26,280.0,280.0,276.78,280.0,305
2015-06-29,270.0,274.0,270.0,272.0,310
2015-06-30,275.0,276.0,266.0,266.5,20881
2015-07-01,272.0,272.0,266.0,266.0,3667
2015-07-02,270.0,270.0,266.0,270.0,7852
2015-07-03,269.75,270.0,269.25,270.0,2906
2015-07-06,272.0,272.0,266.0,270.0,100
2015-07-07,265.0,265.0,258.0,258.0,18309
2015-07-08,265.0,265.0,259.25,259.25,13906
2015-07-09,260.0,260.0,258.0,258.0,1831
2015-07-10,260.0,260.0,251.0,251.0,23009
2015-07-13,259.0,259.0,254.0,254.0,735
2015-07-14,251.0,251.0,250.0,251.0,11744
2015-07-15,252.0,252.0,252.0,252.0,0
2015-07-16,255.5,255.5,255.0,255.0,1567
2015-07-17,,,,255.0,0
2015-07-20,256.75,258.75,256.5,258.75,2440
2015-07-21,255.0,256.75,255.0,255.0,23465
2015-07-22,255.0,257.5,255.0,255.0,25001
2015-07-23,252.0,255.0,252.0,252.0,108
2015-07-24,252.25,256.0,252.0,256.0,3646
2015-07-27,256.0,259.75,256.0,259.5,7905
2015-07-28,256.0,256.0,256.0,256.0,0
2015-07-29,260.0,262.0,259.0,262.0,6214
2015-07-30,263.0,264.07,263.0,264.07,0
2015-07-31,259.82,264.75,259.82,264.0,0
2015-08-03,,,,264.0,0
2015-08-04,260.0,265.0,260.0,265.0,5950
2015-08-05,264.0,267.0,261.04,267.0,1457
2015-08-06,265.0,265.0,263.97,263.97,0
2015-08-07,267.0,267.81,267.0,267.0,0
2015-08-10,269.5,270.0,265.0,270.0,3110
