Date,Open,High,Low,Close,Volume
2012-01-03,172.9,174.97,169.3,172.4,1192351
2012-01-04,172.5,177.0,170.9,176.0,472778
2012-01-05,176.9,183.68,174.7,176.3,649114
2012-01-06,176.9,178.2,175.4,175.9,486303
2012-01-09,178.0,185.53,178.0,185.0,603102
2012-01-10,186.0,188.1,179.6,180.0,830745
2012-01-11,180.0,185.54,179.7,182.5,406665
2012-01-12,182.1,186.51,179.5,181.0,430671
2012-01-13,182.8,186.3,180.7,181.0,1035418
2012-01-16,181.8,181.8,176.8,180.4,786566
2012-01-17,182.5,187.8,180.1,181.6,648017
2012-01-18,181.2,186.9,178.0,178.6,773178
2012-01-19,179.4,184.1,178.0,180.8,855056
2012-01-20,181.9,186.5,180.0,185.3,407267
2012-01-23,184.6,185.94,182.8,182.9,167142
2012-01-24,182.5,183.4,178.3,179.1,239610
2012-01-25,179.1,183.6,178.8,182.6,299591
2012-01-26,183.0,189.9,181.0,187.9,438757
2012-01-27,186.7,188.26,177.1,182.5,362023
2012-01-30,181.9,187.9,179.0,179.9,508675
2012-01-31,186.5,186.5,178.6,180.0,451618
2012-02-01,180.8,188.5,178.5,188.1,496934
2012-02-02,187.8,189.8,181.7,182.5,752277
2012-02-03,182.7,189.5,182.0,184.7,944658
2012-02-06,185.1,188.4,183.9,186.9,240571
2012-02-07,183.4,187.9,181.8,184.5,363024
2012-02-08,184.1,187.8,182.2,184.5,1214458
2012-02-09,184.6,187.4,182.5,183.2,593887
2012-02-10,182.9,184.8,179.4,180.3,2302014
2012-02-13,181.8,186.3,178.5,182.8,381379
2012-02-14,182.8,187.7,181.02,185.3,213547
2012-02-15,184.6,190.2,183.1,186.0,414082
2012-02-16,185.5,185.5,179.7,182.0,571706
2012-02-17,183.3,184.7,179.7,183.2,539628
2012-02-20,184.1,187.79,181.7,186.1,142718
2012-02-21,185.9,188.2,185.1,185.9,284293
2012-02-22,185.4,190.2,184.3,188.3,475061
2012-02-23,188.3,198.92,188.1,198.5,652231
2012-02-24,198.5,201.3,196.5,201.0,692904
2012-02-27,198.9,201.0,186.36,195.4,804004
2012-02-28,196.0,199.3,194.3,195.7,801408
2012-02-29,195.4,198.81,194.7,195.6,410630
2012-03-01,195.6,200.98,195.6,197.8,424743
2012-03-02,198.6,198.6,194.4,195.8,248673
2012-03-05,195.5,195.98,192.5,193.2,360765
2012-03-06,192.9,192.9,184.8,185.38,602521
2012-03-07,186.1,191.9,184.0,190.5,387251
2012-03-08,190.6,196.68,190.6,193.0,370217
2012-03-09,192.8,195.1,190.28,193.3,410328
2012-03-12,193.6,195.5,189.4,191.5,571846
2012-03-13,192.0,192.7,187.6,191.0,1462039
2012-03-14,192.3,197.5,192.28,194.0,676065
2012-03-15,194.2,196.5,192.9,194.0,644680
2012-03-16,193.6,200.68,193.0,199.0,830742
2012-03-19,198.3,199.8,192.64,194.3,186707
2012-03-20,193.4,194.9,186.2,193.8,486578
2012-03-21,193.9,195.15,192.0,194.6,373026
2012-03-22,193.5,195.2,190.9,192.8,536579
2012-03-23,193.3,195.7,191.6,195.7,846807
2012-03-26,196.0,198.6,195.7,196.7,800752
2012-03-27,197.5,198.7,196.5,197.4,402045
2012-03-28,196.5,198.28,195.0,195.0,333427
2012-03-29,194.7,195.5,192.0,192.0,632394
2012-03-30,193.1,200.3,193.1,199.9,806988
2012-04-02,199.8,203.0,198.9,203.0,520947
2012-04-03,203.0,204.8,200.0,200.0,502354
2012-04-04,198.5,199.25,192.9,194.3,505995
2012-04-05,194.7,199.0,192.0,194.0,326940
2012-04-10,192.8,195.7,190.0,192.86,486588
2012-04-11,190.9,196.1,190.9,194.0,337550
2012-04-12,194.7,199.8,193.2,199.3,358401
2012-04-13,199.0,200.08,196.3,197.8,569199
2012-04-16,197.6,202.6,195.26,200.3,725914
2012-04-17,199.5,206.9,196.2,204.8,580595
2012-04-18,204.6,205.9,201.1,203.7,354438
2012-04-19,204.5,206.8,201.1,202.5,446983
2012-04-20,202.8,204.43,200.8,202.0,393608
2012-04-23,201.3,201.9,199.2,200.4,469432
2012-04-24,201.2,205.8,200.0,205.6,338267
2012-04-25,205.5,208.9,199.6,203.4,416256
2012-04-26,205.4,214.9,205.1,211.8,1425698
2012-04-27,208.9,214.56,208.9,211.8,331792
2012-04-30,212.5,214.62,211.8,213.0,476843
2012-05-01,211.7,214.3,209.4,210.4,252090
2012-05-02,212.5,212.5,206.46,209.9,518216
2012-05-03,210.2,211.7,207.7,211.3,202296
2012-05-04,210.7,211.88,205.06,208.0,629543
2012-05-08,208.6,210.89,201.94,206.0,870922
2012-05-09,206.3,208.84,205.0,207.2,813977
2012-05-10,207.8,210.0,205.9,208.3,269894
2012-05-11,205.9,211.7,204.1,211.3,412622
2012-05-14,209.7,209.7,201.1,203.1,369041
2012-05-15,203.3,204.8,201.3,202.1,547345
2012-05-16,200.4,202.6,198.3,201.4,283623
2012-05-17,200.7,205.8,197.5,198.4,331594
2012-05-18,196.6,198.2,194.68,197.4,465629
2012-05-21,197.0,199.14,196.0,197.5,448695
2012-05-22,198.3,202.0,197.7,200.0,714321
2012-05-23,197.1,199.9,195.1,198.0,662094
2012-05-24,196.9,201.6,196.0,200.3,360990
2012-05-25,199.8,202.0,194.6,196.3,711693
2012-05-28,200.0,200.0,194.23,199.8,498422
2012-05-29,200.1,206.8,199.6,205.0,589890
2012-05-30,204.1,204.1,198.4,199.9,333918
2012-05-31,201.3,202.6,198.8,200.9,330190
2012-06-01,201.5,201.5,194.0,196.3,940017
2012-06-06,199.0,199.2,190.2,192.0,1090299
2012-06-07,192.0,200.2,192.0,198.0,810234
2012-06-08,197.5,201.2,192.5,199.3,486682
2012-06-11,203.4,203.6,192.3,193.7,705090
2012-06-12,194.0,194.0,187.5,189.9,662281
2012-06-13,190.0,194.4,187.2,187.5,555696
2012-06-14,187.8,190.0,183.22,185.6,568670
2012-06-15,186.1,189.4,183.6,184.0,1209399
2012-06-18,186.6,187.1,180.47,187.1,704772
2012-06-19,188.2,191.1,186.6,187.4,473329
2012-06-20,187.2,198.6,186.4,198.6,600253
2012-06-21,196.0,197.7,194.1,197.5,589455
2012-06-22,195.7,196.9,189.4,190.6,256956
2012-06-25,189.5,191.4,188.38,190.0,306362
2012-06-26,190.2,190.7,184.69,184.9,472068
2012-06-27,186.1,186.9,182.6,185.6,392530
2012-06-28,185.9,186.4,181.79,186.4,286178
2012-06-29,190.4,191.7,187.0,187.6,534136
2012-07-02,188.1,192.1,185.0,192.1,411415
2012-07-03,192.6,195.0,189.2,194.4,276683
2012-07-04,194.6,195.6,193.0,195.6,367367
2012-07-05,196.7,198.0,195.7,196.8,292294
2012-07-06,197.8,197.8,192.9,193.6,199525
2012-07-09,194.4,194.4,189.02,191.6,410613
2012-07-10,191.6,196.4,188.7,193.9,304204
2012-07-11,189.0,189.57,180.74,183.0,1076035
2012-07-12,0.0,0.0,177.8,179.9,515083
2012-07-13,180.1,181.0,169.84,178.6,699033
2012-07-16,175.7,180.0,175.0,180.0,490349
2012-07-17,180.3,181.1,175.5,177.0,461571
2012-07-18,176.0,180.2,167.92,178.1,296605
2012-07-19,178.8,186.8,178.0,186.1,384372
2012-07-20,187.1,188.0,183.4,184.5,583923
2012-07-23,183.0,183.96,175.3,178.1,725508
2012-07-24,175.9,183.18,175.9,182.0,539623
2012-07-25,187.0,191.18,182.3,190.12,964520
2012-07-26,189.5,193.5,186.9,192.4,505577
2012-07-27,193.2,198.3,191.94,198.2,659424
2012-07-30,199.2,202.4,189.7,196.0,630599
2012-07-31,195.9,195.9,192.6,192.6,592976
2012-08-01,193.8,193.8,192.7,193.0,200578
2012-08-02,192.9,198.26,190.2,194.3,660846
2012-08-03,194.2,197.8,194.1,197.5,239628
2012-08-06,197.4,201.5,196.0,199.6,373611
2012-08-07,195.3,201.6,194.9,198.6,383013
2012-08-08,197.6,199.5,193.02,198.7,293421
2012-08-09,198.7,202.9,197.4,200.1,224082
2012-08-10,200.8,202.0,195.6,200.6,216042
2012-08-13,199.5,205.1,199.5,204.5,496061
2012-08-14,204.9,205.6,201.1,203.1,251204
2012-08-15,203.09,205.8,201.26,204.5,220432
2012-08-16,204.9,205.4,203.6,204.8,266010
2012-08-17,204.0,209.1,204.0,207.7,450316
2012-08-20,207.7,217.3,205.8,212.4,1084254
2012-08-21,212.0,213.7,206.4,210.2,602420
2012-08-22,208.7,208.7,204.5,207.5,271181
2012-08-23,208.8,209.0,205.3,205.3,244308
2012-08-24,205.4,205.5,200.7,202.1,344773
2012-08-28,200.2,201.9,199.98,200.6,197401
2012-08-29,200.4,201.5,197.27,198.3,467787
2012-08-30,197.3,202.5,197.0,197.0,253564
2012-08-31,197.1,204.7,195.5,197.4,541702
2012-09-03,204.3,205.8,197.26,203.8,206740
2012-09-04,204.8,204.8,198.0,199.0,216709
2012-09-05,200.0,201.8,198.1,201.2,150303
2012-09-06,202.3,208.9,201.6,208.1,203456
2012-09-07,208.6,212.3,203.8,210.5,717600
2012-09-10,212.0,212.1,209.9,211.3,425364
2012-09-11,211.2,211.2,203.36,210.7,262748
2012-09-12,210.2,211.13,203.1,207.0,396701
2012-09-13,206.5,210.4,204.67,208.0,193095
2012-09-14,210.2,214.62,209.1,211.0,583882
2012-09-17,210.7,214.1,206.9,209.6,480172
2012-09-18,208.6,209.9,207.6,207.6,317706
2012-09-19,208.5,213.8,205.9,208.8,329843
2012-09-20,208.1,208.63,205.7,207.0,307041
2012-09-21,208.2,213.8,206.7,210.1,921623
2012-09-24,208.3,213.79,205.3,207.0,168255
2012-09-25,207.3,210.1,205.9,208.0,208975
2012-09-26,206.8,208.3,202.1,202.5,135866
2012-09-27,202.7,205.2,200.5,205.2,207256
2012-09-28,205.3,207.7,203.4,204.3,199184
2012-10-01,204.4,209.1,203.74,206.2,399331
2012-10-02,205.4,207.7,204.8,205.9,236324
2012-10-03,204.8,206.4,202.9,204.2,235638
2012-10-04,204.9,205.8,202.4,204.0,253631
2012-10-05,204.4,207.1,202.7,206.1,198825
2012-10-08,204.3,206.7,201.9,205.0,174063
2012-10-09,204.4,204.4,196.7,201.0,144253
2012-10-10,200.3,200.6,187.25,197.0,354157
2012-10-11,196.5,197.7,195.0,195.0,228893
2012-10-12,191.7,192.0,186.4,187.3,342114
2012-10-15,187.2,191.4,185.6,189.8,370678
2012-10-16,190.3,197.5,189.6,194.2,317162
2012-10-17,194.0,195.37,193.7,194.5,259543
2012-10-18,194.0,199.1,193.0,198.1,276412
2012-10-19,196.4,201.6,195.9,196.3,224732
2012-10-22,200.0,207.9,196.4,197.0,570768
2012-10-23,195.8,197.14,193.6,195.0,274016
2012-10-24,194.4,194.76,191.4,191.6,462270
2012-10-25,191.4,194.0,191.4,192.8,293287
2012-10-26,191.3,194.0,191.3,192.3,379305
2012-10-29,191.7,193.3,189.6,192.3,193379
2012-10-30,191.5,195.9,191.5,194.5,246915
2012-10-31,194.2,195.5,192.7,194.6,317226
2012-11-01,194.3,202.8,194.3,200.7,317686
2012-11-02,197.2,202.2,197.0,198.7,208900
2012-11-05,202.0,202.0,195.0,198.5,265578
2012-11-06,198.3,201.1,197.31,200.7,238885
2012-11-07,200.7,203.8,198.8,199.7,321103
2012-11-08,201.1,201.32,195.0,200.0,269646
2012-11-09,199.9,201.0,196.8,197.1,204900
2012-11-12,197.4,199.1,194.2,194.8,637791
2012-11-13,194.5,195.5,191.04,192.7,207933
2012-11-14,194.0,194.5,190.1,190.1,269776
2012-11-15,189.9,191.6,188.4,188.5,233225
2012-11-16,189.0,189.8,185.7,185.9,209147
2012-11-19,188.57,188.6,185.33,187.0,181454
2012-11-20,186.3,188.5,186.1,187.4,189925
2012-11-21,187.2,188.0,185.6,186.9,116813
2012-11-22,186.6,188.6,185.96,188.6,88010
2012-11-23,190.0,192.0,189.43,191.9,101032
2012-11-26,189.1,193.5,189.1,191.4,130392
2012-11-27,193.1,193.61,190.4,191.5,291103
2012-11-28,191.2,193.5,191.2,193.0,270138
2012-11-29,194.0,198.0,193.0,194.0,115802
2012-11-30,193.3,199.5,192.32,198.4,217961
2012-12-03,197.7,197.7,196.0,197.9,130226
2012-12-04,198.0,198.61,191.9,194.2,105763
2012-12-05,195.0,199.0,193.65,196.7,172844
2012-12-06,196.8,201.0,195.6,197.0,356527
2012-12-07,195.1,199.75,195.0,199.5,148462
2012-12-10,199.0,200.26,196.8,198.7,101692
2012-12-11,199.0,203.2,199.0,201.9,320144
2012-12-12,203.54,211.33,203.3,208.5,720242
2012-12-13,208.0,210.02,204.2,204.9,295562
2012-12-14,205.0,205.0,201.1,202.9,232295
2012-12-17,203.3,204.35,199.4,201.0,373434
2012-12-18,202.0,203.27,200.7,202.1,271352
2012-12-19,203.0,203.8,199.7,202.7,221328
2012-12-20,202.3,203.4,201.7,203.0,270491
2012-12-21,202.1,203.0,198.5,202.5,439045
2012-12-24,204.0,206.0,197.06,202.4,11069
2012-12-27,198.0,202.5,198.0,202.0,68718
2012-12-28,202.4,202.4,199.8,200.3,31897
2012-12-31,196.3,203.37,196.2,199.6,21179
2013-01-02,202.3,207.9,201.0,207.4,191117
2013-01-03,207.8,209.1,206.71,208.2,159123
2013-01-04,208.7,216.1,208.0,214.2,337248
2013-01-07,212.4,215.0,209.84,215.0,306211
2013-01-08,212.9,215.3,212.7,213.6,323663
2013-01-09,213.5,215.0,211.3,211.3,306373
2013-01-10,211.6,211.7,208.7,209.5,110907
2013-01-11,210.2,212.5,207.02,209.3,181856
2013-01-14,212.8,213.2,206.57,207.5,149496
2013-01-15,206.7,209.7,205.9,205.9,105679
2013-01-16,206.2,206.2,196.92,197.7,332798
2013-01-17,202.0,205.2,199.0,204.4,1033362
2013-01-18,206.0,218.21,206.0,208.7,436248
2013-01-21,209.0,211.4,208.2,210.6,141280
2013-01-22,210.0,213.0,210.0,212.1,217235
2013-01-23,212.6,215.4,211.0,213.0,202683
2013-01-24,212.0,214.9,210.43,212.7,259256
2013-01-25,213.5,215.0,212.3,213.7,198684
2013-01-28,217.2,217.2,212.1,212.5,320631
2013-01-29,213.1,213.2,206.6,209.3,196924
2013-01-30,209.3,210.7,197.85,204.5,163957
