Date,Open,High,Low,Close,Volume
2013-06-11,101.0,101.0,100.0,100.0,12962
2013-06-12,100.01,100.5,100.0,100.0,42363
2013-06-13,98.0,99.49,97.51,97.51,6798
2013-06-14,100.0,100.0,98.01,100.0,1797
2013-06-17,99.0,99.25,98.01,99.25,10000
2013-06-18,100.0,100.0,99.75,99.9,250
2013-06-19,99.0,100.0,99.0,100.0,274442
2013-06-20,99.01,100.0,97.01,97.01,10000
2013-06-21,99.0,99.0,97.01,97.01,0
2013-06-24,97.0,98.0,95.0,95.01,21500
2013-06-25,97.0,97.0,,97.0,0
2013-06-26,98.0,99.99,96.25,96.25,185113
2013-06-27,97.0,98.5,96.5,97.51,180000
2013-06-28,,,,97.51,0
2013-08-21,182.25,182.25,178.0,180.25,176539
2013-08-22,180.25,180.75,179.5,183.75,71168
2013-08-23,181.25,181.25,179.5,178.5,28899
2013-08-27,178.25,178.25,175.75,177.25,154086
2013-08-28,175.5,176.0,174.5,174.85,81242
2013-08-29,177.5,178.5,175.75,177.62,80883
2013-12-31,176.75,177.25,175.5,175.5,14081
2014-01-02,175.0,176.0,175.0,176.0,4228
2014-01-03,174.25,175.0,174.0,174.0,57031
2014-01-06,174.0,174.0,173.0,173.25,16183
2014-01-07,173.5,173.5,172.5,173.12,50721
2014-01-08,172.75,172.75,170.25,170.62,87533
2014-01-09,170.0,171.0,169.75,171.0,71796
2014-01-10,171.5,171.5,170.5,171.02,80795
2014-01-13,172.0,173.5,172.0,173.0,87054
2014-01-14,173.0,174.0,171.75,173.0,54424
2014-01-15,171.5,172.75,171.5,172.0,11389
2014-01-16,173.0,173.0,170.5,170.5,112765
2014-01-17,171.5,171.5,170.75,171.0,3651
2014-01-20,170.5,170.5,169.5,169.5,88397
2014-01-21,169.5,169.5,169.0,169.0,15580
2014-01-22,169.0,169.0,168.0,168.75,38538
2014-01-23,167.0,167.0,165.0,165.5,162063
2014-01-24,164.5,164.5,163.25,164.37,38214
2014-01-27,161.0,162.0,157.75,157.75,237795
2014-01-28,158.0,160.25,158.0,160.0,84671
2014-01-29,162.0,162.75,159.5,160.75,165224
2014-01-30,160.5,162.0,160.0,161.68,56556
2014-01-31,162.5,162.5,161.5,161.66,53462
2014-02-03,162.0,162.0,161.5,161.19,10500
2014-02-04,160.0,162.0,159.75,160.68,61173
2014-02-05,161.0,162.25,161.0,161.5,34370
2014-02-06,163.5,164.5,163.0,164.16,105724
2014-02-07,166.0,166.75,165.0,166.0,15330
2014-02-10,167.25,167.25,165.5,166.45,64638
2014-02-11,167.75,169.0,166.5,168.28,62003
2014-02-12,168.75,170.75,168.75,169.62,28055
2014-02-13,169.5,170.0,168.5,168.85,31789
2014-02-14,171.25,171.5,170.5,170.62,26340
2014-02-17,172.0,172.0,170.5,170.17,55918
2014-02-18,170.5,171.25,170.0,170.38,7944
2014-02-19,170.0,170.5,168.0,169.0,205416
2014-02-20,167.75,168.0,166.75,166.88,161226
2014-02-21,167.0,167.75,166.5,166.51,131637
2014-02-24,166.25,166.75,165.0,166.25,138774
2014-02-25,166.5,166.5,164.0,164.88,163034
2014-02-26,164.75,165.75,164.75,165.5,17973
2014-02-27,166.5,166.5,164.75,166.0,17956
2014-02-28,166.25,166.25,165.0,165.0,45852
2014-03-03,164.25,164.75,163.5,165.12,27188
2014-03-04,165.75,168.5,165.75,167.54,146077
2014-03-05,168.0,168.0,167.0,166.27,21625
2014-03-06,167.5,168.0,167.0,167.8,37192
2014-03-07,168.75,168.75,166.0,166.25,136204
2014-03-10,166.0,166.0,165.0,165.5,20561
2014-03-11,166.75,166.75,166.0,165.5,13552
2014-03-12,165.0,165.25,164.0,165.0,27717
2014-03-13,163.5,164.75,163.25,163.75,39176
2014-03-14,162.25,164.5,162.25,164.1,32197
2014-03-17,164.5,167.5,163.0,165.25,129113
2014-03-18,166.5,167.08,165.0,166.58,25363
2014-03-19,166.5,167.08,165.5,166.0,20950
2014-03-20,164.0,165.38,163.5,164.44,33342
2014-03-21,163.5,166.0,163.5,165.41,49339
2014-03-24,166.75,168.25,165.41,166.24,5860
2014-03-25,167.0,168.04,166.5,167.0,4181
2014-03-26,168.25,171.0,167.92,170.0,76579
2014-03-27,171.0,171.75,169.96,170.58,142681
2014-03-28,171.5,174.0,171.16,173.3,66439
2014-03-31,174.0,176.0,172.74,173.5,91811
2014-04-01,176.0,177.5,175.5,177.5,41029
2014-04-02,177.5,180.0,177.25,180.0,46598
2014-04-03,179.25,179.82,178.25,178.98,14662
2014-04-04,178.25,180.74,178.0,180.0,23728
2014-04-07,178.25,178.7,176.25,176.7,42713
2014-04-08,177.25,178.0,176.78,178.0,17041
2014-04-09,178.75,179.0,177.0,177.0,53086
2014-04-10,179.0,179.75,178.25,179.0,37963
2014-04-11,178.0,179.0,177.0,177.93,39105
2014-04-14,177.75,179.0,177.18,178.0,16559
2014-04-15,178.0,179.0,177.25,178.0,21935
2014-04-16,177.5,178.25,177.21,177.25,952
2014-04-17,178.0,178.42,177.06,177.25,15189
2014-04-22,178.25,178.5,176.18,177.25,8899
2014-04-23,177.25,178.55,176.56,177.25,216
2014-04-24,177.0,178.0,175.75,176.75,22944
2014-04-25,176.25,176.75,175.2,176.17,6700
2014-04-28,177.25,177.25,175.0,175.0,118
2014-04-29,174.75,176.24,174.75,175.5,11813
2014-04-30,175.0,177.36,175.0,175.0,759
2014-05-01,175.5,176.73,175.0,175.0,10141
2014-05-02,174.5,176.0,174.5,175.75,749
2014-05-06,175.0,176.5,174.5,175.0,11138
2014-05-07,175.75,175.75,173.77,174.75,11714
2014-05-08,175.5,175.75,173.28,175.0,32512
2014-05-09,174.0,174.96,174.0,174.0,753
2014-05-12,176.0,176.0,174.03,175.0,109072
2014-05-13,176.0,176.0,174.25,175.0,62349
2014-05-14,175.25,176.25,175.0,175.79,89305
2014-05-15,174.75,185.5,174.5,175.25,54399
2014-05-16,175.0,175.0,173.36,174.75,161253
2014-05-19,176.0,176.0,174.85,175.75,34798
2014-05-20,175.5,175.5,173.94,174.75,8146
2014-05-21,174.5,175.5,173.25,175.5,40998
2014-05-22,176.25,177.62,176.25,177.14,32089
2014-05-23,177.0,178.0,175.88,178.0,6461
2014-05-27,177.5,178.12,177.0,177.75,93720
2014-05-28,178.5,180.5,177.4,180.5,38804
2014-05-29,180.75,181.76,179.5,180.5,68963
2014-05-30,181.0,183.25,180.5,183.0,88194
2014-06-02,182.08,184.38,181.78,184.25,0
2014-06-03,184.25,185.75,183.75,185.75,13995
2014-06-04,185.25,185.88,184.39,185.5,4140
2014-06-05,185.0,186.5,184.0,186.5,35369
2014-06-06,186.75,187.0,185.5,186.75,185718
2014-06-09,187.5,187.75,186.38,186.75,15257
2014-06-10,187.5,188.25,186.15,187.25,21353
2014-06-11,187.0,188.0,186.54,186.75,6514
2014-06-12,186.25,187.06,186.0,186.25,15182
2014-06-13,184.75,186.42,183.73,183.75,56902
2014-06-16,185.5,185.5,183.13,185.0,132840
2014-06-17,184.0,185.25,182.5,182.63,115183
2014-06-18,184.0,184.5,183.63,184.5,23319
2014-06-19,185.25,185.25,184.11,185.25,34021
2014-06-20,185.0,185.0,183.75,185.0,25930
2014-06-23,185.0,185.25,183.53,184.5,21967
2014-06-24,184.0,185.0,183.64,185.0,8319
2014-06-25,184.0,184.84,183.0,183.0,26497
2014-06-26,184.0,184.44,182.8,184.0,7820
2014-06-27,185.5,186.0,184.0,186.0,2962
2014-06-30,185.75,185.75,184.62,185.38,0
2014-07-01,184.25,185.7,184.0,185.5,34061
2014-07-02,185.25,186.08,184.45,185.75,15138
2014-07-03,186.5,186.75,185.61,186.15,3345
2014-07-04,189.0,189.0,186.0,187.5,26453
2014-07-07,188.75,189.0,186.45,189.0,550
2014-07-08,188.0,188.25,186.72,187.25,0
2014-07-09,186.0,187.34,184.94,186.75,27816
2014-07-10,187.25,187.45,185.11,186.0,34349
2014-07-11,187.5,188.0,185.75,187.5,14458
2014-07-14,187.0,188.56,186.71,188.0,21932
2014-07-15,187.5,189.0,186.25,186.25,19215
2014-07-16,184.25,187.0,184.25,185.75,20179
2014-07-17,185.0,186.35,184.88,184.88,7732
