Date,Open,High,Low,Close,Volume
2015-06-26,225.0,241.75,224.78,237.3,33298225
2015-06-29,238.0,241.25,229.6,233.16,4132850
2015-06-30,230.0,236.75,230.0,233.43,1270164
2015-07-01,239.0,244.75,235.56,242.0,433034
2015-07-02,240.0,246.0,236.0,238.5,449982
2015-07-03,240.5,245.0,240.5,241.25,136659
2015-07-06,244.5,244.55,241.95,242.0,55276
2015-07-07,243.0,244.0,235.0,239.5,224617
2015-07-08,236.5,240.0,236.5,239.28,210300
2015-07-09,240.0,243.25,238.16,243.15,338709
2015-07-10,233.75,244.0,233.75,240.39,618121
2015-07-13,236.0,241.5,235.0,241.3,303637
2015-07-14,237.0,239.0,236.0,238.0,326225
2015-07-15,238.5,239.25,235.25,236.75,383675
2015-07-16,235.25,245.0,235.25,240.0,397366
2015-07-17,240.75,247.0,240.75,241.25,318902
2015-07-20,242.0,250.74,240.99,247.5,184007
2015-07-21,247.5,250.0,246.0,247.0,310829
2015-07-22,250.0,252.0,243.32,247.0,235652
2015-07-23,255.0,255.0,245.5,246.07,73852
2015-07-24,246.0,247.5,242.75,247.25,225209
2015-07-27,246.0,248.0,243.25,246.75,120723
2015-07-28,247.5,255.0,242.0,250.0,514855
2015-07-29,251.0,254.16,246.25,251.28,178733
2015-07-30,248.75,249.74,246.25,247.0,185792
2015-07-31,246.0,254.75,246.0,250.0,252864
2015-08-03,248.0,254.54,246.0,252.0,448702
2015-08-04,250.0,259.75,248.0,255.64,385711
2015-08-05,260.0,267.75,255.0,257.43,260910
2015-08-06,268.0,268.0,261.0,266.1,158440
2015-08-07,268.0,270.0,260.75,265.0,74829
2015-08-10,252.0,268.93,252.0,261.25,85394
2015-08-11,253.25,275.5,253.25,265.26,368233
2015-08-12,262.0,275.75,262.0,272.84,380216
2015-08-13,275.0,283.0,264.1,282.75,310453
2015-08-14,282.0,285.12,280.0,282.25,126441
2015-08-17,282.75,285.0,276.5,282.0,87733
2015-08-18,279.0,280.0,273.0,277.0,220625
2015-08-19,281.0,281.0,270.75,273.0,169919
2015-08-20,268.5,275.0,268.5,274.5,181924
2015-08-21,262.25,272.95,260.5,270.0,261623
2015-08-24,270.0,270.54,255.0,259.0,500959
2015-08-25,258.25,262.0,255.0,258.0,616166
2015-08-26,255.0,268.5,255.0,257.0,290740
2015-08-27,271.0,278.84,263.25,272.75,326538
2015-08-28,272.5,272.5,255.5,271.0,255241
2015-09-01,272.0,272.0,257.86,268.25,312916
2015-09-02,272.5,272.5,262.5,269.16,523681
2015-09-03,272.5,275.0,267.0,275.0,634584
2015-09-04,268.0,274.98,265.0,268.75,350069
2015-09-07,265.0,271.75,265.0,271.0,139406
2015-09-08,273.0,273.75,267.25,273.75,180185
2015-09-09,274.0,278.28,269.25,270.0,212979
2015-09-10,268.0,273.5,267.0,267.0,252190
2015-09-11,272.0,272.0,265.0,266.0,171320
2015-09-14,265.0,272.25,265.0,265.25,270822
2015-09-15,265.0,268.0,255.25,261.0,546402
2015-09-16,259.75,263.5,253.5,255.0,407264
2015-09-17,258.0,262.64,254.5,258.75,949212
2015-09-18,267.0,272.0,262.0,262.75,11541930
2015-09-21,255.0,261.3,252.0,261.3,309063
2015-09-22,257.1,257.8,246.7,248.0,414173
2015-09-23,246.7,249.2,242.9,247.5,193372
2015-09-24,245.0,249.9,240.4,242.2,107439
2015-09-25,241.0,247.0,238.3,242.3,289032
2015-09-28,247.0,247.0,236.0,240.0,243583
2015-09-29,240.0,240.0,231.1,237.73,311643
2015-09-30,238.5,240.0,227.9,234.6,602633
2015-10-01,235.1,237.1,233.3,235.3,193124
2015-10-02,238.0,240.8,234.3,240.0,386352
2015-10-05,241.8,246.9,240.3,243.4,127716
2015-10-06,241.6,245.46,236.1,238.8,262279
2015-10-07,239.0,241.7,232.0,232.5,395720
2015-10-08,232.0,234.6,224.8,226.2,340087
2015-10-09,230.9,234.18,225.3,230.5,639589
2015-10-12,230.1,235.3,224.0,224.6,601225
2015-10-13,228.0,233.7,227.31,231.6,422826
2015-10-14,229.7,230.8,225.3,228.0,230975
2015-10-15,227.5,231.51,227.5,230.0,633524
2015-10-16,232.0,232.0,228.0,229.8,196627
2015-10-19,228.4,233.2,227.9,231.1,178635
2015-10-20,232.6,242.7,230.7,242.7,481520
2015-10-21,239.3,249.3,239.3,248.0,177433
2015-10-22,246.0,263.1,246.0,262.4,542535
2015-10-23,262.0,262.7,257.5,258.0,1015943
2015-10-26,255.9,258.2,255.41,255.8,201087
2015-10-27,254.0,258.0,254.0,256.3,571585
2015-10-28,257.0,260.8,255.1,256.3,180807
2015-10-29,259.7,267.0,258.3,260.0,360454
2015-10-30,261.6,261.9,255.4,257.1,407332
2015-11-02,254.4,259.3,253.7,255.0,287933
2015-11-03,260.1,260.1,248.6,250.0,515162
2015-11-04,251.6,258.5,248.3,255.7,412957
2015-11-05,256.1,256.1,249.5,252.0,132134
2015-11-06,252.1,256.4,252.1,254.0,302150
2015-11-09,252.4,257.8,251.3,253.0,231332
2015-11-10,258.4,258.6,248.6,251.8,249566
2015-11-11,263.5,274.8,261.2,270.8,1046484
2015-11-12,270.0,275.0,264.6,271.27,807040
2015-11-13,265.8,272.6,263.0,265.8,559710
2015-11-16,263.0,280.2,260.5,262.5,697878
2015-11-17,280.0,291.0,276.1,288.5,640587
2015-11-18,282.0,292.8,278.0,290.32,846484
2015-11-19,286.0,289.8,282.0,286.5,437568
2015-11-20,282.9,289.7,282.0,282.0,286601
2015-11-23,285.0,285.9,277.8,282.1,421663
2015-11-24,283.6,283.6,270.8,275.91,345075
2015-11-25,275.5,280.0,270.5,273.0,203760
2015-11-26,276.4,286.4,273.5,284.0,226290
2015-11-27,283.0,290.0,281.4,288.0,356343
2015-11-30,285.5,291.8,280.3,283.6,3686770
2015-12-01,259.5,265.0,256.0,263.94,5189722
2015-12-02,261.0,264.0,255.0,257.2,1672421
2015-12-03,260.3,263.8,257.8,262.0,2422514
2015-12-04,262.5,262.9,257.0,259.8,760251
2015-12-07,257.4,261.8,257.4,261.5,397149
2015-12-08,261.5,261.5,256.3,257.8,524530
2015-12-09,257.9,260.16,254.0,256.65,621785
2015-12-10,253.5,253.6,241.6,244.8,1252257
2015-12-11,248.0,253.4,245.5,246.9,1185023
2015-12-14,247.0,250.0,246.05,247.7,747390
2015-12-15,249.8,249.8,245.0,246.8,404761
2015-12-16,248.5,248.59,245.0,246.1,421129
2015-12-18,251.6,255.46,247.6,249.9,7251336
2015-12-21,247.4,253.4,247.4,250.8,402071
2015-12-22,251.3,255.4,248.8,252.1,313443
2015-12-23,252.2,259.9,250.42,254.35,292379
2015-12-24,259.0,261.9,258.0,258.7,19701
2015-12-29,257.1,264.9,253.7,255.8,268307
2015-12-30,255.9,265.0,254.4,263.84,901533
2015-12-31,263.8,265.2,260.1,262.0,190071
2016-01-04,260.0,261.71,247.6,252.8,873209
2016-01-05,251.7,262.5,250.0,253.3,616974
2016-01-06,251.0,255.0,248.7,253.9,569883
2016-01-07,251.5,253.8,243.5,245.7,859721
2016-01-08,245.8,253.5,242.3,253.4,932067
2016-01-11,250.9,252.02,246.2,249.0,989723
2016-01-12,249.1,251.4,247.3,249.3,546635
2016-01-13,252.6,253.9,242.1,245.0,838770
2016-01-14,243.6,243.6,232.22,238.3,1349429
2016-01-15,241.2,241.2,232.0,236.3,921041
2016-01-18,236.4,241.6,234.3,237.5,685374
