Date,Open,High,Low,Close,Volume
2012-01-03,118.9,121.4,116.2,121.4,561307
2012-01-04,120.8,122.6,117.1,118.1,343160
2012-01-05,118.0,118.0,114.8,115.4,478891
2012-01-06,116.1,116.1,115.0,115.2,270616
2012-01-09,115.8,116.0,114.3,115.9,167845
2012-01-10,116.3,116.3,115.0,115.0,471608
2012-01-11,116.9,118.7,115.6,115.6,502801
2012-01-12,116.5,118.4,115.1,117.0,441468
2012-01-13,116.8,120.41,116.8,120.3,400913
2012-01-16,118.1,121.5,117.84,120.0,1964982
2012-01-17,120.6,125.9,120.6,123.8,7897439
2012-01-18,123.6,126.2,122.8,123.2,528901
2012-01-19,124.0,127.8,121.44,125.0,939763
2012-01-20,124.7,128.1,124.2,125.4,294709
2012-01-23,125.9,127.8,122.3,122.3,3675556
2012-01-24,121.5,122.9,119.8,121.0,587525
2012-01-25,121.5,121.5,118.4,121.0,504285
2012-01-26,121.7,124.3,120.4,122.6,438852
2012-01-27,118.1,120.8,118.1,120.3,678475
2012-01-30,120.1,123.5,119.2,120.0,491394
2012-01-31,120.8,122.0,117.8,118.8,2081803
2012-02-01,119.4,121.67,119.4,120.7,965282
2012-02-02,122.0,130.3,122.0,130.2,2601086
2012-02-03,130.1,132.7,130.1,131.2,954498
2012-02-06,131.2,132.55,129.0,132.3,258482
2012-02-07,132.9,132.9,129.2,130.8,404617
2012-02-08,131.0,133.1,129.4,131.1,324587
2012-02-09,131.6,133.9,131.4,132.6,3434102
2012-02-10,134.4,134.4,129.9,130.7,458394
2012-02-13,131.4,134.95,130.7,131.8,172118
2012-02-14,131.8,133.0,129.6,130.2,311632
2012-02-15,130.3,132.7,128.7,131.2,720500
2012-02-16,130.9,131.0,127.5,129.6,292697
2012-02-17,130.8,131.4,129.9,130.9,396840
2012-02-20,130.2,134.5,129.3,133.9,316491
2012-02-21,133.5,137.1,133.0,136.2,668562
2012-02-22,135.6,136.7,134.7,136.1,367455
2012-02-23,136.1,138.1,134.9,137.7,387433
2012-02-24,137.6,139.8,136.9,137.5,384012
2012-02-27,137.4,138.0,134.69,137.9,276545
2012-02-28,137.1,139.6,136.1,139.6,357721
2012-02-29,138.9,141.2,138.36,140.9,615876
2012-03-01,142.1,151.8,142.1,151.8,1548772
2012-03-02,153.9,156.6,150.1,156.0,939707
2012-03-05,156.0,158.51,148.6,150.0,818705
2012-03-06,149.9,151.4,147.56,151.4,752719
2012-03-07,150.3,151.8,146.9,151.0,747272
2012-03-08,150.9,155.04,150.3,155.0,964896
2012-03-09,155.6,157.0,153.2,156.5,564521
2012-03-12,156.3,156.9,152.3,153.9,652921
2012-03-13,155.0,156.2,152.2,153.7,1004529
2012-03-14,154.5,159.5,151.62,158.0,564892
2012-03-15,158.4,158.9,155.5,156.0,550517
2012-03-16,156.2,160.36,155.25,160.3,2067150
2012-03-19,159.9,160.9,153.2,155.31,733023
2012-03-20,154.9,156.0,150.8,153.54,1337916
2012-03-21,154.5,155.0,151.7,155.0,565267
2012-03-22,154.4,154.7,152.1,153.03,486187
2012-03-23,153.5,154.6,149.14,152.28,404300
2012-03-26,152.9,155.7,152.4,153.3,712861
2012-03-27,154.1,159.6,153.23,158.0,654213
2012-03-28,156.1,158.7,154.1,158.7,414330
2012-03-29,158.1,159.6,157.2,159.2,461542
2012-03-30,159.2,161.6,158.61,160.5,698255
2012-04-02,160.3,163.89,160.3,162.2,602536
2012-04-03,162.3,164.5,161.4,161.9,552696
2012-04-04,161.0,162.0,154.65,156.8,441360
2012-04-05,157.5,161.7,156.5,161.6,391422
2012-04-10,160.6,162.3,158.49,161.3,783392
2012-04-11,160.7,165.32,160.7,165.3,657875
2012-04-12,165.0,172.1,164.2,170.9,652542
2012-04-13,170.2,174.2,169.4,172.8,980110
2012-04-16,172.2,172.8,167.0,167.1,1027831
2012-04-17,166.9,167.49,163.0,164.5,982296
2012-04-18,164.9,167.8,163.3,167.0,820492
2012-04-19,167.8,169.4,165.8,167.2,383023
2012-04-20,168.3,168.84,165.5,166.5,368045
2012-04-23,167.1,167.23,162.5,164.0,621544
2012-04-24,164.7,166.5,163.3,165.5,437151
2012-04-25,165.9,169.4,165.7,168.1,496387
2012-04-26,168.5,169.0,167.0,168.0,984135
2012-04-27,167.5,169.9,166.48,168.1,753244
2012-04-30,168.2,172.3,167.65,170.0,958904
2012-05-01,169.0,170.68,166.9,169.0,225025
2012-05-02,173.7,177.16,170.2,171.9,1832353
2012-05-03,173.9,176.0,171.5,174.0,1272689
2012-05-04,173.0,174.07,166.7,168.5,631190
2012-05-08,169.0,172.0,162.5,162.5,1228205
2012-05-09,163.3,165.5,159.0,162.3,1114113
2012-05-10,163.0,164.9,160.9,162.5,573892
2012-05-11,162.1,165.5,160.7,164.2,484104
2012-05-14,163.9,163.9,157.9,158.9,486195
