Date,Open,High,Low,Close,Volume
2014-07-10,220.0,224.0,210.0,215.75,68445448
2014-07-11,216.25,230.0,210.0,220.0,4956423
2014-07-14,225.0,229.0,210.0,225.05,933720
2014-07-15,223.0,225.5,223.0,223.5,159440
2014-07-16,222.0,230.0,222.0,225.75,292437
2014-07-17,229.75,230.0,222.0,226.05,117443
2014-07-18,225.0,228.75,224.5,225.0,78295
2014-07-21,225.0,230.4,223.0,223.0,53484
2014-07-22,226.0,228.2,220.0,223.5,74339
2014-07-23,224.0,226.75,223.0,226.75,94270
2014-07-24,229.0,229.0,225.25,228.0,165709
2014-07-25,228.0,230.0,221.25,225.0,213704
2014-07-28,223.25,226.5,222.5,226.5,27038
2014-07-29,223.25,228.73,223.25,224.0,79877
2014-07-30,224.25,229.43,224.0,227.16,8016
2014-07-31,224.25,229.75,223.78,224.37,214339
2014-08-01,226.5,230.0,224.25,226.0,135796
2014-08-04,229.75,230.0,225.5,229.0,106828
2014-08-05,230.0,233.0,224.0,230.0,217407
2014-08-06,229.5,230.0,225.75,230.0,83750
2014-08-07,230.0,230.0,227.25,230.0,27716
2014-08-08,223.25,235.0,223.25,229.0,185021
2014-08-11,233.0,237.75,230.0,236.5,108648
2014-08-12,235.0,239.23,232.5,236.25,85364
2014-08-13,242.0,242.0,231.75,236.0,141331
2014-08-14,241.5,242.75,238.25,240.0,175441
2014-08-15,236.5,242.75,235.0,238.5,133265
2014-08-18,237.0,244.0,234.0,242.25,128142
2014-08-19,240.25,247.45,240.25,242.0,83071
2014-08-20,250.0,250.0,241.75,245.0,300561
2014-08-21,242.0,248.7,240.0,245.0,107350
2014-08-22,246.0,247.0,243.4,246.25,51272
2014-08-26,241.0,248.73,241.0,247.0,47572
2014-08-27,247.0,247.0,244.0,244.0,18091
2014-08-28,241.25,245.58,235.0,240.0,43984
2014-08-29,240.0,246.0,240.0,243.5,298421
2014-09-01,243.5,247.0,241.5,245.5,64172
2014-09-02,250.0,250.0,244.75,245.0,214505
2014-09-03,245.0,247.5,244.0,245.5,85231
2014-09-04,245.0,251.75,245.0,250.0,137993
2014-09-05,245.5,258.25,245.5,258.0,118919
2014-09-08,256.25,258.0,251.0,254.0,116781
2014-09-09,251.25,258.0,251.25,253.5,147331
2014-09-10,259.0,259.75,252.25,253.25,266084
2014-09-11,253.25,255.63,252.0,252.5,54768
2014-09-12,252.75,256.75,252.0,255.0,111822
