Date,Open,High,Low,Close,Volume
2012-01-03,332.1,332.6,320.2,332.6,161340
2012-01-04,333.0,333.0,320.4,329.0,279062
2012-01-05,332.0,332.0,318.6,320.1,338476
2012-01-06,325.0,331.1,318.6,329.5,311275
2012-01-09,332.2,336.9,328.0,333.9,140132
2012-01-10,334.1,337.9,326.6,337.9,215145
2012-01-11,332.6,340.5,330.85,339.5,144960
2012-01-12,336.4,344.3,336.4,339.4,153560
2012-01-13,339.7,341.3,331.2,335.9,98108
2012-01-16,340.8,344.7,333.5,341.0,181337
2012-01-17,345.0,345.0,339.0,340.0,198325
2012-01-18,337.8,348.8,337.4,347.7,334319
2012-01-19,342.0,352.73,342.0,348.0,324143
2012-01-20,352.8,352.8,334.21,350.2,164603
2012-01-23,348.2,354.0,347.1,354.0,184660
2012-01-24,349.9,352.0,344.0,349.9,185590
2012-01-25,347.8,352.1,344.12,348.4,136361
2012-01-26,347.9,353.0,346.0,349.0,189835
2012-01-27,345.4,354.18,343.3,349.9,132393
2012-01-30,347.1,348.9,335.1,347.1,220355
2012-01-31,345.7,352.6,344.9,350.0,251856
2012-02-01,347.3,360.0,347.3,358.6,365232
2012-02-02,359.3,368.0,359.1,368.0,465325
2012-02-03,364.4,373.2,364.4,369.1,336385
2012-02-06,372.2,372.2,363.7,365.9,394649
2012-02-07,369.6,371.5,356.56,370.0,267042
2012-02-08,372.9,374.2,366.5,370.1,158105
2012-02-09,372.7,372.7,356.8,369.7,109810
2012-02-10,368.8,370.0,357.5,365.7,150840
2012-02-13,378.0,379.3,372.9,375.0,245384
2012-02-14,376.5,379.9,369.68,371.5,120265
2012-02-15,373.3,376.3,369.2,370.6,145584
2012-02-16,369.3,373.6,355.1,371.0,226891
2012-02-17,375.0,375.0,361.0,370.2,156926
2012-02-20,375.0,380.0,364.12,375.0,125002
2012-02-21,377.3,379.2,370.3,373.3,157111
2012-02-22,380.0,382.5,360.0,368.4,357904
2012-02-23,370.0,371.9,367.3,369.0,248845
2012-02-24,373.9,375.8,371.2,373.1,220840
2012-02-27,374.1,374.1,365.2,367.0,284716
2012-02-28,373.9,374.4,366.9,373.0,274912
2012-02-29,376.1,376.2,366.9,369.0,172410
2012-03-01,370.3,372.9,355.5,368.3,227683
2012-03-02,367.6,371.7,360.2,364.9,204234
2012-03-05,362.2,362.2,354.6,357.4,285071
2012-03-06,358.0,358.0,342.7,345.9,176553
