Date,Open,High,Low,Close,Volume
2012-01-03,79.76,0.0,79.5,79.55,10062.0
2012-01-04,79.5,84.39,79.5,84.39,2700.0
2012-01-05,79.5,0.0,79.5,79.5,20098.0
2012-01-06,79.5,79.5,74.5,74.5,35682.0
2012-01-09,77.19,77.19,74.1,74.1,4623.0
2012-01-10,78.25,78.25,75.0,77.85,45350.0
2012-01-11,74.35,78.0,74.35,78.0,40474.0
2012-01-12,78.65,79.17,0.0,79.17,8000.0
2012-01-13,79.23,80.42,75.4,80.42,37882.0
2012-01-16,79.75,88.0,75.71,88.0,134535.0
2012-01-17,85.06,86.74,85.06,86.74,1463.0
2012-01-18,90.5,100.76,90.5,96.5,354322.0
2012-01-19,100.3,100.3,96.5,96.5,23979.0
2012-01-20,102.0,102.0,98.0,102.0,44790.0
2012-01-23,98.0,98.0,97.25,97.25,25953.0
2012-01-24,99.0,99.0,90.25,90.25,34000.0
2012-01-25,90.25,93.0,90.25,91.0,128513.0
2012-01-26,91.25,93.58,90.25,91.0,27084.0
2012-01-27,90.17,92.31,90.17,92.31,12500.0
2012-01-30,89.34,0.0,89.34,89.34,60.0
2012-01-31,91.0,92.0,90.25,91.0,117271.0
2012-02-01,92.0,92.0,90.25,91.0,502481.0
2012-02-02,90.25,0.0,90.25,90.25,2641.0
2012-02-03,91.98,93.62,0.0,93.62,47736.0
2012-02-06,93.0,93.0,91.0,91.0,183400.0
2012-02-07,94.0,95.0,91.39,91.39,33000.0
2012-02-08,94.75,94.75,91.5,91.5,13858.0
2012-02-09,94.75,97.75,94.75,97.5,35021.0
2012-02-10,99.75,105.95,99.75,100.0,47253.0
2012-02-13,107.0,111.0,103.81,111.0,10000.0
2012-02-14,,,,111.5,0.0
2012-02-15,110.0,111.89,107.11,110.0,107036.0
2012-02-16,,,,109.48,0.0
2012-02-17,108.75,109.0,105.6,109.0,6375.0
2012-02-20,107.0,108.25,107.0,108.25,118.0
2012-02-21,,,,108.5,0.0
2012-02-22,,,,108.28,0.0
2012-02-23,107.0,109.0,104.69,105.61,1816.0
2012-02-24,,,,105.5,0.0
2012-02-27,,,,104.57,0.0
2012-02-28,,,,106.11,0.0
2012-02-29,110.0,110.0,104.35,108.0,28062.0
2012-03-01,,,,106.0,0.0
2012-03-02,,,,108.96,0.0
2012-03-05,110.0,111.5,105.0,105.0,18953.0
2012-03-06,110.0,111.42,102.0,103.75,42466.0
2012-03-07,104.75,108.36,103.86,107.0,11807.0
2012-03-08,,,,108.7,0.0
2012-03-09,108.75,109.0,104.71,109.0,3174.0
2012-03-12,108.5,110.5,106.0,107.93,6227.0
2012-03-13,,,,107.75,0.0
2012-03-14,106.25,111.0,106.25,108.5,5000.0
2012-03-15,110.75,111.0,107.99,111.0,172.0
2012-03-16,107.5,112.78,107.5,112.78,6960.0
2012-03-19,,,,108.25,0.0
2012-03-20,108.4,112.71,107.0,108.0,10709.0
2012-03-21,113.0,113.5,113.0,113.5,15479.0
2012-03-22,,,,119.25,0.0
2012-03-23,,,,113.09,0.0
2012-03-26,,,,113.09,0.0
2012-03-27,,,,113.09,0.0
2012-03-28,119.25,119.25,112.0,117.25,5302.0
2012-03-29,,,,119.25,0.0
2012-03-30,119.25,120.25,115.75,119.0,3100.0
2012-04-02,,,,117.0,0.0
2012-04-03,,,,116.1,0.0
2012-04-04,116.1,117.5,114.0,114.0,5000.0
2012-04-05,,,,116.1,0.0
2012-04-10,,,,113.5,0.0
2012-04-11,,,,111.18,0.0
2012-04-12,112.75,116.36,111.48,112.5,1797.0
2012-04-13,,,,115.81,0.0
2012-04-16,,,,114.96,0.0
2012-04-17,,,,114.96,0.0
2012-04-18,,,,113.05,0.0
2012-04-19,,,,116.75,0.0
2012-04-20,,,,112.94,0.0
2012-04-23,,,,116.75,0.0
2012-04-24,,,,116.75,0.0
2012-04-25,114.0,118.0,113.35,118.0,58.0
2012-04-26,,,,114.0,0.0
2012-04-27,112.0,112.12,111.0,111.62,5000.0
2012-04-30,109.75,110.7,109.75,110.7,2.0
2012-05-01,,,,110.7,0.0
2012-05-02,,,,109.8,0.0
2012-05-03,,,,113.65,0.0
2012-05-04,109.5,110.41,108.25,108.25,1792.0
2012-05-08,108.5,110.29,108.25,108.25,4800.0
2012-05-09,108.0,108.81,102.0,102.25,22008.0
2012-05-10,109.25,110.0,102.2,110.0,1224.0
2012-05-11,,,,104.08,0.0
2012-05-14,,,,104.22,0.0
2012-05-15,106.0,106.0,103.9,106.0,410.0
2012-05-16,106.0,106.0,104.56,106.0,1000.0
2012-05-17,104.5,105.05,104.5,105.05,2000.0
2012-05-18,104.5,104.76,103.4,104.55,942.0
2012-05-21,104.5,104.5,100.25,100.25,20000.0
2012-05-22,100.0,100.0,99.0,99.0,1659.0
2012-05-23,97.25,102.5,97.0,97.0,70.0
2012-05-24,,,,97.0,0.0
2012-05-25,97.25,97.45,97.0,97.0,60.0
2012-05-28,,,,99.2,0.0
2012-05-29,,,,100.48,0.0
2012-05-30,97.25,97.25,97.0,97.0,11405.0
2012-05-31,98.0,99.1,97.03,97.03,5000.0
2012-06-01,,,,98.33,0.0
2012-06-06,97.0,97.0,95.0,95.0,5682.0
2012-06-07,98.0,98.0,98.0,98.0,15.0
2012-06-08,,,,98.0,0.0
2012-06-11,,,,96.33,0.0
2012-06-12,95.0,95.0,90.0,90.0,25019.0
2012-06-13,90.0,90.62,90.0,90.0,1586.0
2012-06-14,,,,90.67,0.0
2012-06-15,,,,90.67,0.0
2012-06-18,,,,91.5,0.0
2012-06-19,92.0,93.38,92.0,92.0,3427.0
2012-06-20,,,,93.7,0.0
2012-06-21,,,,92.33,0.0
2012-06-22,,,,92.33,0.0
2012-06-25,,,,92.33,0.0
2012-06-26,,,,90.1,0.0
2012-06-27,90.0,90.0,90.0,90.0,3340.0
2012-06-28,93.75,93.75,91.25,91.25,730.0
2012-06-29,,,,90.0,0.0
2012-07-02,90.0,90.33,90.0,90.33,2024.0
2012-07-03,92.0,93.4,90.0,90.0,7151.0
2012-07-04,,,,90.0,0.0
2012-07-05,,,,90.0,0.0
2012-07-06,,,,90.0,0.0
2012-07-09,,,,89.67,0.0
2012-07-10,,,,92.4,0.0
2012-07-11,,,,89.5,0.0
2012-07-12,92.0,93.04,88.0,92.0,1148.0
2012-07-13,,,,90.67,0.0
2012-07-16,91.0,92.5,91.0,91.0,1251.0
2012-07-17,,,,92.86,0.0
2012-07-18,,,,94.0,0.0
2012-07-19,,,,90.44,0.0
2012-07-20,,,,90.5,0.0
2012-07-23,,,,89.86,0.0
2012-07-24,89.0,89.44,89.0,89.44,4280.0
