Date,Open,High,Low,Close,Volume
2012-01-03,610.0,620.0,0.0,620.0,11225.0
2012-01-04,612.6,612.6,0.0,612.6,500.0
2012-01-05,619.0,619.0,612.0,612.0,3141.0
2012-01-06,618.0,618.0,610.0,610.0,3800.0
2012-01-09,617.0,617.0,0.0,617.0,2250.0
2012-01-10,618.0,618.0,0.0,618.0,8000.0
2012-01-11,618.0,618.0,0.0,618.0,340.0
2012-01-12,,,,612.0,0.0
2012-01-16,612.6,0.0,612.6,612.6,730.0
2012-01-17,618.0,618.0,0.0,618.0,642.0
2012-01-18,618.0,619.0,0.0,618.5,5150.0
2012-01-19,,,,609.5,0.0
2012-01-23,618.0,618.0,0.0,618.0,1539.0
2012-01-24,618.0,618.5,609.5,609.5,4845.0
2012-01-25,620.0,620.0,0.0,620.0,500.0
2012-01-26,610.0,0.0,610.0,610.0,266.0
2012-01-27,610.0,0.0,610.0,610.0,2000.0
2012-01-30,608.9,0.0,608.9,608.9,670.0
2012-01-31,,,,607.0,0.0
2012-02-02,615.0,618.0,0.0,615.0,1375.0
2012-02-03,618.0,618.0,0.0,618.0,1189.0
2012-02-06,605.0,0.0,605.0,607.6,3168.0
2012-02-07,611.67,611.67,607.6,610.0,3643.0
2012-02-08,605.0,611.5,605.0,608.9,3510.0
2012-02-09,610.0,0.0,610.0,610.0,1000.0
2012-02-10,610.0,615.5,610.0,615.5,375.0
2012-02-13,,,,620.0,0.0
2012-02-14,,,,626.67,0.0
2012-02-15,,,,639.0,0.0
2012-02-16,,,,645.0,0.0
2012-02-17,,,,695.0,0.0
2012-02-20,,,,710.0,0.0
2012-02-21,,,,715.0,0.0
2012-02-22,,,,743.0,0.0
2012-02-23,,,,738.0,0.0
2012-02-24,,,,715.0,0.0
2012-02-27,,,,732.47,0.0
2012-02-28,,,,732.0,0.0
2012-02-29,,,,728.2,0.0
2012-03-01,,,,710.0,0.0
2012-03-02,,,,748.8,0.0
2012-03-05,,,,730.0,0.0
2012-03-06,,,,730.2,0.0
2012-03-07,,,,740.0,0.0
2012-03-08,,,,740.0,0.0
2012-03-09,,,,740.0,0.0
2012-03-12,,,,740.0,0.0
2012-03-13,,,,740.0,0.0
2012-03-14,,,,740.0,0.0
2012-03-15,,,,740.0,0.0
2012-03-16,,,,730.2,0.0
2012-03-19,,,,730.2,0.0
2012-03-20,,,,740.0,0.0
2012-03-21,,,,740.0,0.0
2012-03-22,,,,740.0,0.0
2012-03-23,,,,735.0,0.0
2012-03-26,,,,755.0,0.0
2012-03-27,,,,780.0,0.0
2012-03-28,,,,787.0,0.0
2012-03-29,,,,765.0,0.0
2012-03-30,,,,765.0,0.0
2012-04-02,,,,730.0,0.0
2012-04-03,,,,730.0,0.0
2012-04-04,,,,725.25,0.0
2012-04-05,,,,725.25,0.0
2012-04-10,,,,740.0,0.0
2012-04-11,,,,730.0,0.0
2012-04-12,,,,739.5,0.0
2012-04-13,,,,739.5,0.0
2012-04-16,,,,735.0,0.0
2012-04-17,,,,739.5,0.0
2012-04-18,721.5,735.0,702.0,730.0,710.0
2012-04-19,,,,725.0,0.0
2012-04-20,730.0,735.0,710.0,735.0,500.0
2012-04-23,,,,747.08,0.0
2012-04-24,725.0,740.0,721.65,740.0,200.0
2012-04-25,,,,721.65,0.0
2012-04-26,,,,750.0,0.0
2012-04-27,748.0,751.74,730.0,740.0,600.0
2012-04-30,,,,750.0,0.0
2012-05-01,,,,750.0,0.0
2012-05-02,,,,750.0,0.0
2012-05-03,755.0,755.0,730.0,755.0,100.0
2012-05-04,,,,728.75,0.0
2012-05-08,,,,750.0,0.0
2012-05-09,737.5,735.0,720.0,735.0,400.0
2012-05-10,755.0,755.0,723.5,723.5,200.0
2012-05-11,,,,723.5,0.0
2012-05-14,723.5,747.0,720.0,720.0,100.0
2012-05-15,747.0,747.0,720.0,720.0,400.0
2012-05-16,,,,745.0,0.0
2012-05-17,720.0,740.0,720.0,740.0,199.0
2012-05-18,715.0,715.0,715.0,715.0,301.0
2012-05-21,,,,715.0,0.0
2012-05-22,,,,715.0,0.0
