Date,Open,High,Low,Close,Volume
2012-01-03,1529.0,1531.0,1506.0,1520.0,597268
2012-01-04,1517.0,1546.0,1517.0,1537.0,806209
2012-01-05,1549.0,1567.8,1530.0,1532.0,1256612
2012-01-06,1539.0,1543.0,1529.38,1534.0,619710
2012-01-09,1538.0,1550.0,1523.0,1528.0,690653
2012-01-10,1544.0,1546.0,1527.0,1539.0,790382
2012-01-11,1538.0,1540.5,1527.0,1529.0,413564
2012-01-12,1533.0,1549.0,1527.0,1541.0,635033
2012-01-13,1554.0,1561.0,1538.0,1542.0,931589
2012-01-16,1538.0,1562.0,1538.0,1549.0,640042
2012-01-17,1561.0,1563.0,1544.0,1550.0,637904
2012-01-18,1552.0,1552.0,1529.0,1532.0,459099
2012-01-19,1539.0,1539.0,1516.0,1529.0,710382
2012-01-20,1536.0,1536.0,1511.0,1532.0,870827
2012-01-23,1533.0,1533.0,1514.39,1517.0,648596
2012-01-24,1514.0,1541.0,1514.0,1522.0,826130
2012-01-25,1523.0,1533.0,1519.0,1520.0,666911
2012-01-26,1525.0,1547.0,1521.0,1547.0,622521
2012-01-27,1544.0,1557.0,1523.0,1530.0,627448
2012-01-30,1526.0,1532.0,1519.0,1526.0,564125
2012-01-31,1527.0,1540.6,1518.0,1525.0,643129
2012-02-01,1529.0,1560.0,1521.0,1557.0,614345
2012-02-02,1558.0,1560.77,1497.0,1501.0,1354964
2012-02-03,1505.0,1535.0,1502.0,1534.0,692059
2012-02-06,1535.0,1538.0,1505.0,1514.0,661550
2012-02-07,1513.0,1525.03,1500.0,1511.28,717630
2012-02-08,1525.0,1525.0,1503.0,1518.0,638056
2012-02-09,1517.0,1525.0,1508.0,1520.0,690581
2012-02-10,1519.0,1524.0,1512.0,1519.0,419660
2012-02-13,1530.0,1533.0,1516.0,1526.0,305043
2012-02-14,1524.0,1541.15,1507.0,1541.0,328669
2012-02-15,1548.0,1554.0,1524.0,1535.0,323653
2012-02-16,1534.0,1545.0,1527.0,1540.0,269838
2012-02-17,1541.0,1555.0,1522.0,1551.0,608128
2012-02-20,1557.0,1557.0,1520.0,1540.0,466272
2012-02-21,1544.0,1544.0,1521.0,1528.0,330987
2012-02-22,1533.0,1534.0,1522.51,1531.0,294340
2012-02-23,1529.0,1545.0,1525.0,1535.0,297932
2012-02-24,1542.0,1551.0,1534.0,1540.0,269003
2012-02-27,1539.0,1547.0,1530.0,1540.0,347944
2012-02-28,1544.0,1563.0,1536.62,1547.0,345782
2012-02-29,1551.0,1576.0,1545.0,1575.0,654370
2012-03-01,1572.0,1581.0,1560.0,1574.0,417578
2012-03-02,1578.0,1590.0,1563.27,1581.0,457772
2012-03-05,1580.0,1588.0,1565.0,1584.0,411016
2012-03-06,1583.0,1589.0,1563.0,1569.0,733180
2012-03-07,1569.0,1589.0,1566.0,1581.0,544831
2012-03-08,1587.0,1589.0,1576.0,1588.0,384442
2012-03-09,1582.0,1610.0,1580.0,1596.0,407878
2012-03-12,1604.0,1604.0,1579.0,1597.0,382791
2012-03-13,1605.0,1612.72,1591.0,1606.0,438957
2012-03-14,1613.0,1615.0,1599.26,1610.0,501221
2012-03-15,1611.0,1611.0,1590.0,1598.0,442178
2012-03-16,1597.0,1606.0,1584.0,1592.0,559098
2012-03-19,1591.0,1597.0,1563.0,1567.0,493919
2012-03-20,1550.0,1566.0,1547.0,1558.0,587482
2012-03-21,1559.0,1581.0,1552.0,1577.0,415871
2012-03-22,1576.0,1597.0,1569.0,1589.0,613339
2012-03-23,1588.0,1605.0,1558.0,1564.0,835213
2012-03-26,1560.0,1577.65,1560.0,1567.0,755523
2012-03-27,1565.0,1571.0,1545.0,1549.0,634010
2012-03-28,1549.0,1559.0,1532.0,1540.0,713470
2012-03-29,1536.0,1545.0,1517.0,1521.0,880926
2012-03-30,1520.0,1555.0,1518.0,1544.0,758713
2012-04-02,1544.0,1570.16,1542.33,1570.0,501225
2012-04-03,1567.0,1577.06,1553.2,1560.0,655228
2012-04-04,1562.0,1564.0,1516.0,1521.0,750885
2012-04-05,1519.0,1522.48,1497.2,1507.0,1256944
2012-04-10,1501.0,1544.0,1499.0,1532.0,1245977
2012-04-11,1534.0,1548.93,1518.0,1548.0,893778
2012-04-12,1540.0,1572.0,1525.0,1570.0,1038240
2012-04-13,1567.0,1573.0,1553.0,1557.0,484035
2012-04-16,1555.0,1588.0,1549.6,1578.0,541919
2012-04-17,1582.0,1608.0,1575.66,1606.0,688720
2012-04-18,1601.0,1659.0,1598.0,1656.0,1783850
2012-04-19,1655.0,1677.0,1652.0,1659.0,1754038
2012-04-20,1658.0,1722.27,1658.0,1720.0,1655339
2012-04-23,1715.0,1718.0,1689.0,1689.0,1462559
2012-04-24,1696.0,1705.0,1689.0,1689.0,883748
2012-04-25,1695.0,1707.0,1689.3,1692.0,888117
2012-04-26,1701.0,1706.0,1681.0,1694.0,657649
2012-04-27,1694.0,1712.0,1687.0,1702.0,528426
2012-04-30,1699.0,1702.0,1686.0,1690.0,822517
