Date,Open,High,Low,Close,Volume
2012-12-17,100.0,102.0,100.0,101.0,
2012-12-18,102.0,102.0,100.0,101.85,
2012-12-19,101.9,101.92,101.55,101.7,
2012-12-20,101.89,102.47,101.66,102.47,
2012-12-21,102.5,102.92,101.8,102.9,
2012-12-24,102.9,102.9,,102.9,
2012-12-27,102.9,103.0,103.0,103.0,1250.0
2012-12-28,102.89,,102.89,102.89,
2012-12-31,102.97,102.97,102.0,102.0,10.0
2013-01-02,102.85,103.0,102.5,102.5,100010.0
2013-01-03,102.93,102.99,,102.75,
2013-01-04,102.93,103.5,,102.98,
2013-01-07,102.98,103.0,,102.99,
2013-01-08,102.95,103.85,102.5,103.7,
2013-01-09,103.65,103.69,,103.65,
2013-01-10,103.65,104.0,,104.0,
2013-01-11,104.0,104.0,103.25,103.99,
2013-01-14,104.0,104.4,,104.4,
2013-01-15,104.35,104.35,103.75,103.82,
2013-01-16,103.79,103.79,103.35,103.74,
2013-01-17,103.9,103.9,,103.74,
2013-01-18,103.5,103.9,103.25,103.74,
2013-01-21,103.9,103.9,,103.74,
2013-01-22,103.8,103.92,,103.52,
2013-01-23,103.92,103.92,103.5,103.74,94615.0
2013-01-24,103.74,103.74,,103.74,
2013-01-25,103.74,104.24,103.5,104.24,
2013-01-28,104.24,104.5,,104.34,
2013-01-29,104.48,104.65,,104.5,
2013-01-30,104.68,104.68,,104.55,
2013-01-31,104.5,104.5,104.2,104.5,3200.0
2013-02-01,104.5,104.75,104.22,104.34,
2013-02-04,104.12,104.42,103.95,104.42,13000.0
2013-02-05,104.5,104.5,104.0,104.5,
2013-02-06,104.5,104.75,104.0,104.5,200000.0
2013-02-07,104.26,104.5,104.26,104.42,
2013-02-08,104.5,104.6,,104.55,
2013-02-11,104.5,104.74,104.0,104.01,
2013-02-12,104.5,104.5,104.1,104.1,
2013-02-13,104.1,104.65,104.1,104.48,
2013-02-14,104.48,104.75,,104.65,
2013-02-15,104.5,104.75,104.01,104.75,
2013-02-18,104.65,104.65,,104.65,
2013-02-19,104.25,104.75,104.25,104.75,
2013-02-20,104.74,104.75,,104.74,
2013-02-21,104.75,105.0,,105.0,
2013-02-22,104.99,105.0,,105.0,
2013-02-25,105.5,105.5,,105.5,
2013-02-26,105.0,105.5,105.0,105.5,
2013-02-27,105.2,105.5,105.0,105.5,
2013-02-28,105.5,105.96,,105.96,0.0
2013-03-01,105.78,106.0,105.44,105.96,0.0
2013-03-04,105.78,106.0,,105.96,0.0
2013-03-05,105.96,106.05,,105.96,0.0
2013-03-06,105.96,106.0,,106.0,0.0
2013-03-07,106.0,106.0,105.0,105.0,150000.0
2013-03-08,105.65,105.75,,105.75,0.0
2013-03-11,105.65,105.65,,105.65,0.0
2013-03-12,105.75,105.75,105.25,105.25,54190.0
2013-03-13,105.75,105.75,105.5,105.5,130681.0
2013-03-14,105.5,105.5,104.5,105.0,276292.0
2013-03-15,104.75,105.5,104.75,104.75,1613638.0
2013-03-18,104.5,105.0,104.0,104.25,318220.0
2013-03-19,104.75,104.75,104.25,104.25,474751.0
2013-03-20,104.25,104.61,104.25,104.42,16384.0
2013-03-21,104.25,104.58,104.25,104.5,28824.0
2013-03-22,104.75,104.75,104.34,104.75,30986.0
2013-03-25,104.75,104.75,104.38,104.69,37313.0
2013-03-26,104.75,104.75,104.5,104.74,120744.0
2013-03-27,104.5,104.75,104.5,104.75,22440.0
2013-03-28,104.75,104.75,104.28,104.75,29935.0
2013-04-02,104.75,105.0,104.73,104.99,54931.0
2013-04-03,105.0,105.0,104.48,104.49,117826.0
2013-04-04,104.5,104.62,104.09,104.09,69212.0
2013-04-05,104.5,104.5,104.02,104.4,26584.0
2013-04-08,104.0,104.0,103.79,103.95,141444.0
2013-04-09,104.0,104.0,103.79,104.0,35914.0
2013-04-10,103.97,,103.5,103.95,0.0
2013-04-11,104.0,104.0,103.64,104.0,22640.0
2013-04-12,104.0,104.24,104.0,104.0,21182.0
2013-04-15,103.5,104.25,103.5,104.04,1000.0
2013-04-16,104.25,104.25,103.71,104.23,53225.0
2013-04-17,104.25,104.25,104.22,104.25,17130.0
2013-04-18,104.25,104.5,103.97,104.49,48910.0
2013-04-19,104.5,105.0,104.0,105.0,70276.0
2013-04-22,105.0,105.0,104.48,105.0,1167.0
2013-04-23,105.0,106.0,104.99,106.0,229572.0
2013-04-24,105.25,105.99,105.25,105.99,28000.0
2013-04-25,106.0,106.5,105.99,106.5,134892.0
2013-04-26,106.42,106.49,105.45,106.43,0.0
2013-04-29,106.5,106.5,106.0,106.41,4695.0
2013-04-30,106.25,106.41,105.75,106.25,28000.0
2013-05-01,106.5,106.5,106.01,106.5,22087.0
2013-05-02,106.0,106.42,105.96,106.0,55593.0
2013-05-03,106.25,106.5,105.75,105.75,103221.0
2013-05-07,106.25,106.25,105.94,106.25,86361.0
2013-05-08,106.25,106.25,105.98,105.98,50238.0
2013-05-09,106.0,106.13,105.51,105.92,28860.0
2013-05-10,105.75,106.0,105.56,106.0,65235.0
2013-05-13,106.0,106.0,105.5,105.5,1001.0
2013-05-14,105.5,106.0,105.25,105.25,128316.0
2013-05-15,105.25,105.75,105.25,105.75,22484.0
2013-05-16,105.25,105.75,105.25,105.25,109996.0
2013-05-17,105.75,105.75,105.35,105.75,1301.0
2013-05-20,105.66,105.75,105.38,105.75,2201.0
2013-05-21,105.25,105.75,105.25,105.75,19129.0
2013-05-22,105.75,105.75,105.38,105.75,2055.0
