Date,Open,High,Low,Close,Volume
2012-01-03,1304.0,1325.0,1245.0,1325.0,238282
2012-01-04,1332.0,1346.0,1304.0,1310.0,228906
2012-01-05,1299.0,1316.0,1290.0,1302.0,277992
2012-01-06,1302.0,1336.0,1302.0,1327.0,196402
2012-01-09,1336.0,1354.0,1310.0,1344.0,343670
2012-01-10,1351.0,1358.0,1318.0,1345.0,479628
2012-01-11,1342.0,1383.0,1341.0,1378.0,538472
2012-01-12,1382.0,1417.0,1371.0,1410.0,404364
2012-01-13,1470.0,1512.0,1405.5,1482.0,996387
2012-01-16,1475.0,1488.0,1433.33,1466.0,301267
2012-01-17,1493.0,1510.0,1470.0,1474.0,286165
2012-01-18,1468.0,1516.0,1451.0,1510.0,329185
2012-01-19,1540.0,1584.0,1514.0,1557.0,487839
2012-01-20,1564.0,1575.0,1519.0,1522.0,267577
2012-01-23,1529.0,1534.0,1509.0,1524.0,263967
2012-01-24,1507.0,1522.0,1483.0,1501.0,319101
2012-01-25,1508.0,1528.0,1504.0,1518.0,195313
2012-01-26,1523.0,1572.0,1516.0,1556.0,253313
2012-01-27,1554.0,1595.0,1543.0,1543.0,231339
2012-01-30,1546.0,1553.0,1498.0,1500.0,252258
2012-01-31,1514.0,1545.0,1505.0,1531.0,326481
2012-02-01,1542.0,1609.0,1536.0,1605.0,428360
2012-02-02,1605.0,1628.0,1588.0,1613.49,381479
2012-02-03,1604.0,1624.0,1583.33,1624.0,262773
2012-02-06,1618.0,1631.0,1599.0,1620.0,179811
2012-02-07,1632.0,1632.0,1552.0,1576.0,440417
2012-02-08,1573.0,1601.0,1562.0,1598.0,257364
2012-02-09,1600.0,1642.0,1594.0,1637.0,293631
2012-02-10,1625.0,1640.0,1607.0,1629.0,207326
2012-02-13,1634.0,1661.45,1620.3,1646.0,190092
2012-02-14,1639.0,1652.0,1614.0,1620.0,277295
2012-02-15,1632.0,1666.0,1625.0,1660.0,239151
2012-02-16,1624.0,1661.0,1618.0,1660.0,177293
2012-02-17,1693.0,1726.0,1675.0,1705.0,394985
2012-02-20,1666.0,1725.0,1654.0,1661.0,263098
2012-02-21,1665.0,1690.0,1628.0,1682.0,390869
2012-02-22,1694.0,1724.0,1679.0,1717.0,214365
2012-02-23,1712.0,1739.0,1712.0,1731.0,255083
2012-02-24,1746.0,1766.56,1731.48,1750.0,239821
2012-02-27,1731.0,1738.0,1701.0,1735.0,262591
2012-02-28,1749.0,1757.0,1728.0,1746.0,193152
2012-02-29,1741.0,1754.0,1736.0,1745.0,176941
2012-03-01,1746.0,1772.0,1742.79,1763.0,171654
2012-03-02,1768.0,1776.0,1747.0,1773.0,151992
2012-03-05,1766.0,1776.0,1750.0,1767.0,235072
2012-03-06,1755.0,1765.0,1677.0,1685.0,605960
2012-03-07,1690.0,1754.79,1675.0,1711.0,335546
2012-03-08,1720.0,1770.0,1715.0,1760.0,312494
2012-03-09,1759.0,1765.0,1734.0,1735.0,360460
2012-03-12,1735.0,1754.0,1715.0,1747.0,291670
2012-03-13,1761.0,1820.0,1742.0,1801.0,435737
2012-03-14,1806.0,1860.0,1795.0,1823.0,429243
2012-03-15,1817.0,1831.0,1778.64,1795.79,535067
2012-03-16,1784.0,1794.0,1761.0,1770.0,1045365
