Date,Open,High,Low,Close,Volume
2012-10-26,1.02,1.04,1.0,1.03,110000.0
2012-10-29,103.0,103.99,102.5,102.5,50000.0
2012-10-30,103.0,103.42,102.5,103.2,25000.0
2012-10-31,,,,103.5,0.0
2012-11-01,104.0,104.25,103.75,104.0,57000.0
2012-11-02,,,,104.0,0.0
2012-11-05,104.25,104.25,103.75,103.75,1000.0
2012-11-06,,,,103.7,0.0
2012-11-07,,,,103.85,0.0
2012-11-08,104.0,104.0,103.3,104.0,7000.0
2012-11-09,104.25,104.3,104.0,104.3,7000.0
2012-11-12,,,,105.0,0.0
2012-11-13,,,,104.75,0.0
2012-11-14,105.0,105.25,104.75,105.0,50000.0
2012-11-15,,,,104.45,0.0
2012-11-16,104.25,104.25,103.88,103.88,115000.0
2012-11-19,,,,104.74,0.0
2012-11-20,104.5,104.6,,104.5,0.0
2012-11-21,104.0,104.0,104.0,104.0,50000.0
2012-11-22,104.0,104.75,104.0,104.13,
2012-11-23,104.25,104.25,,104.25,
2012-11-26,104.25,104.25,104.05,104.25,45100.0
2012-11-27,104.49,104.49,104.0,104.0,
2012-11-28,104.5,104.5,104.5,104.5,21979.0
2012-11-29,104.5,104.7,,104.7,
2012-11-30,104.8,104.8,,104.7,
2012-12-03,104.5,104.5,104.5,104.5,15000.0
2012-12-04,104.7,104.98,104.5,104.5,21345.0
2012-12-05,105.5,106.0,105.45,106.0,67900.0
2012-12-06,106.0,107.5,106.0,107.5,115000.0
2012-12-07,106.0,106.5,105.75,106.5,260005.0
2012-12-10,106.45,106.45,105.76,105.95,
2012-12-11,105.75,105.95,105.75,105.75,8372.0
2012-12-12,105.5,105.95,105.5,105.75,35896.0
2012-12-13,105.75,105.75,105.52,105.75,16328.0
2012-12-14,105.75,105.75,105.7,105.75,72591.0
2012-12-17,105.75,106.0,105.05,105.75,91073.0
2012-12-18,105.75,106.0,105.62,105.9,770347.0
2012-12-19,106.0,106.25,105.5,105.75,169253.0
2012-12-20,106.0,106.75,105.33,106.25,1053843.0
2012-12-21,106.5,107.5,106.12,106.5,4866738.0
2012-12-24,106.0,106.74,106.0,106.0,62148.0
2012-12-27,106.5,106.5,106.12,106.5,47554.0
2012-12-28,106.0,106.75,106.0,106.75,12797.0
2012-12-31,106.9,106.9,106.25,106.25,10000.0
2013-01-02,106.75,107.75,,107.5,
2013-01-03,107.5,107.86,107.25,107.5,
2013-01-04,107.25,107.75,107.0,107.75,298.0
2013-01-07,107.75,108.25,106.85,108.0,406109.0
2013-01-08,107.75,108.56,107.75,108.5,51590.0
2013-01-09,108.0,108.6,107.75,108.1,100000.0
2013-01-10,108.75,108.75,108.75,108.75,52.0
2013-01-11,108.25,109.0,108.25,109.0,494473.0
2013-01-14,108.0,108.5,108.0,108.5,15752.0
2013-01-15,108.25,108.25,108.0,108.0,1104.0
2013-01-16,109.0,109.0,107.15,108.25,108081.0
2013-01-17,107.75,108.25,108.25,108.25,23229.0
2013-01-18,108.25,108.25,107.75,107.75,131.0
2013-01-21,107.15,107.75,107.12,107.75,
2013-01-22,108.25,108.25,108.25,108.25,25633.0
2013-01-23,106.75,108.0,106.75,107.5,9300.0
2013-01-24,107.6,107.6,106.25,106.25,
2013-01-25,107.0,107.0,105.92,106.98,
2013-01-28,107.15,107.32,,107.2,
2013-01-29,106.51,107.75,106.51,107.75,86.0
2013-01-30,106.51,,106.5,106.75,
2013-01-31,106.5,106.5,106.0,106.0,3000.0
2013-02-01,106.74,107.25,105.57,107.25,
2013-02-04,105.5,106.48,105.0,105.0,69886.0
2013-02-05,105.25,105.61,104.25,104.25,109400.0
2013-02-06,105.45,105.45,,104.5,
2013-02-07,106.5,106.5,104.5,106.0,7663.0
2013-02-08,105.45,105.0,104.0,105.0,388.0
2013-02-11,105.25,105.25,104.59,104.59,4700.0
2013-02-12,105.25,105.25,104.59,105.25,233.0
2013-02-13,105.5,105.5,104.0,105.25,25659.0
2013-02-14,103.51,103.75,103.0,103.5,16000.0
2013-02-15,104.68,104.9,,104.9,
2013-02-18,105.0,105.0,104.51,104.85,918.0
2013-02-19,105.9,106.25,104.03,104.03,
2013-02-20,106.5,107.0,105.5,107.0,16076.0
2013-02-21,105.5,107.0,105.5,107.0,32795.0
2013-02-22,107.0,107.0,105.51,105.51,9827.0
2013-02-25,106.7,106.9,106.0,106.0,14186.0
2013-02-26,106.85,107.0,,106.5,
2013-02-27,107.0,107.5,106.95,107.5,74103.0
2013-02-28,107.0,107.5,107.0,107.5,25086.0
2013-03-01,108.75,108.75,108.0,108.0,275.0
2013-03-04,108.25,108.75,108.75,108.75,391.0
2013-03-05,108.0,110.0,108.0,110.0,25554.0
2013-03-06,109.0,110.0,109.0,110.0,45000.0
2013-03-07,109.75,110.75,109.5,109.75,105542.0
2013-03-08,109.5,110.99,109.5,110.62,50000.0
2013-03-11,111.0,111.0,109.75,111.0,48.0
2013-03-12,111.5,111.5,109.51,110.0,36914.0
2013-03-13,111.5,111.5,110.25,110.5,10649.0
2013-03-14,111.25,111.5,110.5,110.5,10184.0
2013-03-15,111.25,111.75,111.75,111.75,1152.0
2013-03-18,111.11,111.0,111.0,111.0,138.0
2013-03-19,111.5,111.95,,111.95,0.0
2013-03-20,111.5,111.85,110.75,110.75,4623.0
2013-03-21,111.0,112.0,110.5,111.0,39771.0
2013-03-22,110.5,111.5,110.5,110.5,12129.0
2013-03-25,112.0,112.5,112.0,112.0,241862.0
2013-03-26,111.75,112.5,110.5,110.5,98882.0
2013-03-27,110.5,113.0,110.5,112.25,121696.0
2013-03-28,112.5,112.5,112.12,112.5,6499.0
2013-04-02,112.25,112.99,112.0,112.75,0.0
2013-04-03,112.75,112.88,111.91,112.5,0.0
2013-04-04,112.49,112.5,111.84,112.5,0.0
2013-04-05,111.82,112.25,111.82,112.25,0.0
2013-04-08,111.82,112.25,111.82,112.25,0.0
2013-04-09,111.82,112.5,111.82,111.82,0.0
2013-04-10,112.25,112.5,111.82,112.5,48.0
2013-04-11,111.75,112.5,111.75,112.5,0.0
2013-04-12,112.5,112.5,112.25,112.25,12588.0
2013-04-15,112.25,112.4,111.76,111.9,0.0
2013-04-16,112.25,112.4,111.76,112.4,0.0
2013-04-17,111.75,112.4,111.75,112.25,0.0
2013-04-18,111.75,112.25,111.5,112.25,0.0
2013-04-19,112.25,112.5,111.5,112.5,517.0
2013-04-22,111.5,111.5,111.5,111.5,83166.0
2013-04-23,114.0,114.0,111.5,114.0,69.0
2013-04-24,113.5,113.75,113.0,113.01,0.0
2013-04-25,114.5,114.5,113.5,114.5,45000.0
2013-04-26,114.75,114.85,,114.75,0.0
2013-04-29,114.85,114.89,,114.75,0.0
2013-04-30,113.7,114.75,113.7,114.5,201.0
2013-05-01,114.75,115.0,113.5,115.0,1275.0
2013-05-02,115.0,116.0,114.25,116.0,10343.0
2013-05-03,116.0,116.74,115.89,116.25,51169.0
2013-05-07,116.5,118.0,116.25,117.75,52739.0
2013-05-08,117.75,117.75,117.0,117.75,0.0
2013-05-09,118.0,118.99,117.25,117.92,25000.0
2013-05-10,118.25,119.0,118.25,119.0,50.0
2013-05-13,119.0,119.0,118.16,118.75,21930.0
2013-05-14,118.75,119.0,,118.75,0.0
2013-05-15,118.0,119.5,118.0,118.23,15500.0
2013-05-16,119.5,119.5,118.44,119.5,0.0
2013-05-17,118.5,119.44,118.0,119.25,21.0
2013-05-20,119.75,120.18,119.0,120.0,24702.0
2013-05-21,120.25,120.5,118.3,120.5,19256.0
2013-05-22,121.0,124.5,120.37,122.0,135000.0
2013-05-23,122.75,,121.66,121.91,0.0
2013-05-24,122.5,123.0,121.75,121.75,37056.0
2013-05-28,123.0,123.0,121.76,121.76,108.0
2013-05-29,121.75,122.24,120.15,120.38,200000.0
2013-05-30,120.5,120.5,119.15,119.75,123370.0
2013-05-31,119.19,120.34,119.19,120.25,0.0
2013-06-03,119.0,120.24,119.0,119.35,51683.0
2013-06-04,119.0,119.0,118.01,118.69,4342.0
2013-06-05,120.0,120.0,118.0,118.0,33599.0
2013-06-06,118.25,118.25,118.0,118.0,7916.0
2013-06-07,118.25,119.96,118.25,118.25,22660.0
2013-06-10,120.64,121.0,121.0,121.0,45.0
2013-06-11,120.0,120.5,119.0,120.5,1658.0
2013-06-12,120.5,120.72,118.0,118.0,30625.0
2013-06-13,119.75,120.0,,119.75,0.0
2013-06-14,120.25,120.25,118.0,118.0,692.0
2013-06-17,120.25,120.25,,120.14,0.0
2013-06-18,119.39,,118.02,119.39,0.0
2013-06-19,118.25,120.5,118.0,118.0,16.0
2013-06-20,119.0,120.35,118.46,118.46,9600.0
2013-06-21,120.25,121.0,119.5,121.0,159392.0
2013-06-24,118.5,119.25,118.0,118.0,11464.0
2013-06-25,118.25,119.79,,118.26,0.0
2013-06-26,119.75,119.83,118.25,119.75,598.0
2013-06-27,118.25,120.05,118.25,120.0,263.0
2013-06-28,118.25,118.0,118.0,118.0,2160.0
2013-07-01,120.25,120.25,118.0,118.0,16.0
2013-07-02,118.26,118.3,,118.3,0.0
2013-07-03,118.25,119.35,118.0,118.0,38551.0
2013-07-04,118.0,119.6,118.0,118.5,386.0
2013-07-05,118.5,119.69,118.0,118.0,50196.0
2013-07-08,120.5,120.5,118.62,120.5,133.0
2013-07-09,118.0,119.94,118.0,118.0,4976.0
2013-07-10,119.25,120.5,120.5,120.5,47.0
2013-07-11,118.0,119.0,118.0,119.0,75068.0
2013-07-12,120.0,120.25,119.32,120.25,104508.0
2013-07-15,117.76,120.0,117.76,118.5,59.0
2013-07-16,119.0,,117.5,117.5,0.0
2013-07-17,117.5,119.32,117.5,117.5,53213.0
2013-07-18,118.5,119.62,118.5,119.5,8000.0
2013-07-19,119.75,119.75,118.86,118.86,0.0
2013-07-22,117.75,117.75,117.5,117.5,13262.0
2013-07-23,119.0,119.0,118.5,118.5,652.0
2013-07-24,117.75,118.5,117.75,118.5,20299.0
2013-07-25,117.75,117.75,116.75,117.32,61628.0
2013-07-26,118.0,118.0,118.0,118.0,150000.0
2013-07-29,119.0,,,118.5,0.0
2013-07-30,118.47,,,118.38,0.0
2013-07-31,119.5,119.5,118.0,118.0,328.0
2013-08-01,116.75,117.0,116.75,119.25,17277.0
2013-08-02,119.99,120.0,120.0,120.0,196.0
2013-08-05,117.75,,,119.5,0.0
2013-08-06,117.25,117.25,117.25,118.0,17342.0
2013-08-07,118.0,118.0,118.0,118.5,25239.0
2013-08-08,118.0,118.0,118.0,118.0,33402.0
2013-08-09,120.0,120.0,120.0,116.75,104.0
