Date,Open,High,Low,Close,Volume
2012-01-03,136.1,137.8,134.3,136.6,1153671
2012-01-04,136.4,138.0,133.48,137.1,526224
2012-01-05,137.1,137.3,133.7,135.0,649244
2012-01-06,135.2,136.0,134.2,135.3,338969
2012-01-09,135.4,136.0,135.1,136.0,425630
2012-01-10,136.7,136.7,130.7,135.4,647516
2012-01-11,135.3,136.4,132.07,135.7,315522
2012-01-12,135.8,136.0,133.9,134.8,412000
2012-01-13,134.9,137.1,130.7,134.2,836617
2012-01-16,134.9,134.9,131.3,133.0,566122
2012-01-17,133.8,133.8,126.0,126.8,1190723
2012-01-18,127.0,128.9,122.6,125.8,1459305
2012-01-19,126.0,126.0,122.3,123.0,1659852
2012-01-20,123.6,124.4,123.3,123.9,361573
2012-01-23,123.9,125.0,122.73,123.9,646069
2012-01-24,123.3,124.2,123.0,123.8,1789094
2012-01-25,123.8,125.31,122.4,123.2,467115
2012-01-26,123.5,124.8,123.4,124.2,366443
2012-01-27,123.8,125.26,121.4,122.1,622765
2012-01-30,121.8,123.17,120.3,121.0,785665
2012-01-31,124.9,126.3,122.0,123.0,2857243
2012-02-01,123.2,125.9,123.0,124.0,604081
2012-02-02,124.1,124.9,121.3,122.6,996517
2012-02-03,122.7,123.0,120.8,120.8,2555737
2012-02-06,120.7,125.1,118.9,118.9,3716686
2012-02-07,127.0,132.4,125.5,131.5,11587407
2012-02-08,131.0,133.5,130.3,131.0,2629948
2012-02-09,132.9,135.1,131.61,134.3,1254317
2012-02-10,134.2,135.1,132.7,132.7,958782
2012-02-13,133.0,137.9,131.75,137.8,1014746
2012-02-14,137.8,143.6,136.55,140.0,1825531
2012-02-15,140.0,142.8,138.6,142.05,1513338
2012-02-16,141.8,142.5,137.17,142.1,934944
2012-02-17,142.6,144.7,142.3,143.4,916999
2012-02-20,144.7,144.7,140.7,142.0,1071280
2012-02-21,142.8,143.0,139.72,142.7,451681
2012-02-22,142.6,143.5,142.0,142.1,406254
2012-02-23,142.0,143.1,142.0,142.2,416389
2012-02-24,143.5,146.4,143.0,144.2,926432
2012-02-27,144.0,145.8,143.5,144.8,655927
2012-02-28,144.3,146.0,142.8,146.0,1108143
2012-02-29,145.7,146.0,143.0,144.5,1268830
2012-03-01,144.5,145.6,143.92,145.1,418304
2012-03-02,144.7,145.8,143.5,143.8,473238
2012-03-05,143.7,146.0,141.9,143.8,751086
2012-03-06,143.9,143.9,138.79,139.5,867157
2012-03-07,139.7,141.5,139.2,139.8,462856
2012-03-08,140.0,142.7,140.0,142.7,1194007
2012-03-09,142.8,144.0,140.6,143.0,509368
2012-03-12,143.0,143.5,141.3,142.1,448974
2012-03-13,142.5,143.2,141.5,143.2,640518
2012-03-14,143.4,143.9,140.6,140.6,592711
2012-03-15,142.2,142.2,139.6,141.9,705795
2012-03-16,141.9,143.9,141.2,143.9,1650446
2012-03-19,144.2,145.1,143.0,144.8,649166
2012-03-20,144.7,147.0,144.0,146.2,1683240
2012-03-21,146.5,148.2,143.49,145.0,485355
2012-03-22,145.0,146.5,142.2,145.0,288542
2012-03-23,145.3,146.1,141.8,143.8,746443
2012-03-26,143.9,147.2,142.7,146.0,571815
2012-03-27,146.4,149.3,145.0,149.1,1087828
2012-03-28,148.0,148.0,144.96,145.0,1060415
2012-03-29,145.0,145.1,137.5,138.5,1392761
2012-03-30,138.5,139.2,134.6,136.5,1703478
2012-04-02,137.0,139.6,136.3,139.6,1043216
2012-04-03,140.0,142.8,139.0,140.9,952491
2012-04-04,140.6,141.0,138.6,139.4,1373179
2012-04-05,139.7,139.7,136.2,136.2,1418198
2012-04-10,135.7,137.3,133.0,133.0,1174926
2012-04-11,132.8,135.0,132.0,134.2,735064
2012-04-12,134.2,135.42,132.5,134.1,776037
2012-04-13,133.8,135.2,130.5,133.2,1234756
2012-04-16,133.3,134.2,131.6,132.5,893189
2012-04-17,132.3,134.4,132.1,133.2,473706
2012-04-18,133.1,135.4,131.58,134.0,1142234
2012-04-19,133.7,134.9,130.1,130.2,951135
2012-04-20,130.4,132.4,130.0,130.3,539553
2012-04-23,130.0,131.6,127.88,128.3,525275
2012-04-24,128.9,129.8,128.0,129.5,360640
2012-04-25,127.0,127.8,125.5,127.4,1495245
2012-04-26,127.7,130.7,127.7,130.5,663524
2012-04-27,129.7,130.2,128.4,128.8,709863
2012-04-30,129.1,129.5,127.5,127.5,320088
2012-05-01,127.8,128.9,126.0,127.9,579357
2012-05-02,128.9,130.1,128.0,130.0,1034984
2012-05-03,130.0,131.6,128.8,129.9,818415
2012-05-04,130.0,131.0,129.2,129.5,976171
2012-05-08,130.0,131.0,127.3,127.3,1360837
2012-05-09,128.8,128.8,127.2,127.5,1030477
2012-05-10,128.7,129.8,128.1,129.2,874536
2012-05-11,128.9,133.4,128.9,132.8,1286766
2012-05-14,132.0,133.0,131.0,132.0,699801
2012-05-15,132.2,133.0,127.84,132.0,1082127
2012-05-16,131.3,132.7,129.4,132.7,1704728
2012-05-17,142.26,162.8,141.2,159.0,5986319
2012-05-18,159.0,159.0,153.94,154.8,2275465
2012-05-21,154.0,154.7,151.2,151.8,1541062
2012-05-22,152.6,156.5,151.4,155.1,2377439
2012-05-23,154.5,155.94,152.6,154.5,1322954
2012-05-24,154.2,156.3,148.39,154.7,889083
2012-05-25,155.1,161.3,152.8,154.4,1020220
2012-05-28,156.4,156.4,151.0,154.7,393858
2012-05-29,155.4,156.8,150.41,155.7,775328
2012-05-30,155.6,156.5,153.8,155.6,924226
2012-05-31,155.6,157.9,147.27,153.0,857737
2012-06-01,153.2,154.9,149.8,151.0,582163
2012-06-06,151.5,154.8,149.54,154.8,1064487
2012-06-07,155.0,157.0,153.6,155.9,1083662
2012-06-08,155.1,158.1,152.6,157.7,1724594
2012-06-11,158.8,159.9,155.2,157.0,1333654
2012-06-12,156.8,164.9,156.1,164.5,1444125
2012-06-13,161.2,165.6,161.1,163.9,1493339
2012-06-14,163.4,170.5,162.5,169.0,2936558
2012-06-15,169.7,173.4,164.0,171.5,8179129
2012-06-18,170.0,170.6,167.8,168.2,1627264
2012-06-19,168.2,176.4,168.2,173.7,1621856
2012-06-20,173.0,177.9,170.7,177.9,1076283
2012-06-21,177.0,177.0,173.58,174.0,958534
2012-06-22,172.7,179.1,172.7,178.8,517559
2012-06-25,176.3,180.4,176.0,176.9,2244323
2012-06-26,178.9,185.5,178.3,185.0,1184136
2012-06-27,184.7,190.6,184.0,189.8,1304614
2012-06-28,188.5,191.49,186.8,189.3,1691838
2012-06-29,192.5,194.28,189.9,190.5,1046166
2012-07-02,188.0,193.9,184.8,192.4,1181983
2012-07-03,193.0,194.7,191.2,193.6,982828
2012-07-04,187.7,191.0,185.73,190.0,622808
2012-07-05,188.1,191.5,180.39,185.1,788601
2012-07-06,187.8,188.3,179.08,186.7,1023811
2012-07-09,185.6,187.5,182.2,187.0,723985
2012-07-10,186.3,188.9,184.2,187.3,525098
2012-07-11,185.4,188.6,180.11,188.3,629311
2012-07-12,186.9,187.8,186.9,187.7,173709
2012-07-13,186.3,191.2,186.3,190.5,475311
2012-07-16,189.5,191.0,186.7,190.2,416789
2012-07-17,189.4,193.2,188.2,190.4,560754
2012-07-18,191.1,192.2,189.2,189.8,432843
2012-07-19,186.2,188.0,181.5,182.7,799033
2012-07-20,183.3,183.3,179.5,182.1,482939
2012-07-23,180.2,182.4,177.6,178.1,524509
2012-07-24,177.8,178.3,176.2,176.6,466472
2012-07-25,175.7,176.1,171.2,173.0,1016412
2012-07-26,180.0,181.1,175.0,176.4,2050729
2012-07-27,175.9,177.0,171.3,175.4,706329
2012-07-30,178.4,178.4,174.3,174.3,479024
2012-07-31,174.0,175.5,173.6,173.6,464552
2012-08-01,173.2,175.1,173.2,174.8,672510
2012-08-02,174.4,175.3,170.2,174.8,737541
2012-08-03,174.2,175.0,173.8,174.4,550741
2012-08-06,174.0,177.3,174.0,176.5,307011
2012-08-07,175.4,177.5,173.8,176.4,775376
2012-08-08,174.0,178.8,174.0,177.9,545306
2012-08-09,177.7,181.9,177.3,180.0,407397
2012-08-10,178.5,181.0,177.4,179.8,314539
2012-08-13,178.5,189.1,178.5,184.9,806845
2012-08-14,186.2,186.9,182.0,184.5,572544
2012-08-15,184.8,190.7,183.78,187.5,404743
2012-08-16,188.7,188.7,185.4,188.5,376501
2012-08-17,188.0,189.8,187.4,189.5,313480
2012-08-20,188.7,190.2,187.8,189.0,501646
2012-08-21,189.7,191.2,189.7,190.5,615403
2012-08-22,189.6,190.1,188.4,190.0,442044
2012-08-23,190.0,190.7,189.0,190.0,448874
2012-08-24,189.0,193.3,183.0,193.1,335758
2012-08-28,191.4,194.8,189.5,194.6,622293
2012-08-29,194.9,197.2,192.7,196.6,403708
2012-08-30,196.7,196.7,192.9,193.5,551132
2012-08-31,192.9,195.7,192.6,194.0,293650
2012-09-03,194.6,195.4,192.5,194.7,176768
2012-09-04,195.0,195.4,193.3,195.0,563380
2012-09-05,194.3,195.0,191.7,192.4,557222
2012-09-06,194.0,196.2,192.4,195.2,375867
2012-09-07,196.3,196.3,192.7,193.4,333645
2012-09-10,192.7,194.0,190.9,191.7,270783
2012-09-11,191.3,191.5,186.8,187.4,404461
2012-09-12,190.0,193.4,186.8,191.1,379190
2012-09-13,191.6,192.0,187.8,188.5,461078
2012-09-14,189.3,190.0,181.19,187.1,1264460
2012-09-17,186.4,188.52,180.6,187.0,1355174
2012-09-18,186.9,187.7,185.7,186.5,993473
2012-09-19,186.5,187.2,184.7,184.8,591976
