Date,Open,High,Low,Close,Volume
2012-01-03,650.0,650.0,0.0,650.0,36000
2012-01-04,650.5,665.0,650.0,658.0,15804
2012-01-05,655.0,660.0,655.0,660.0,5691
2012-01-06,655.0,660.5,655.0,660.0,1919
2012-01-09,659.85,668.55,0.0,663.0,3223
2012-01-10,670.0,674.5,654.65,660.0,20695
2012-01-11,660.5,670.0,650.14,662.0,56827
2012-01-12,670.0,702.0,665.5,700.0,16883
2012-01-13,717.0,740.0,717.0,732.0,27846
2012-01-16,720.0,737.65,720.0,730.0,8186
2012-01-17,737.13,737.13,728.55,736.0,1104
2012-01-18,739.0,750.0,727.0,745.0,9150
2012-01-19,728.5,749.5,728.5,741.64,72321
2012-01-20,735.5,750.0,735.0,740.5,67755
2012-01-23,738.5,742.88,738.5,742.5,1143
2012-01-24,742.5,749.5,742.5,749.5,2447
2012-01-25,740.0,742.0,740.0,740.0,1598
2012-01-26,746.25,746.25,745.0,745.0,1812
2012-01-27,746.5,749.0,0.0,749.0,2060
2012-01-30,750.0,750.0,742.0,748.5,14061
2012-01-31,735.5,753.52,735.5,735.5,963
2012-02-01,736.0,740.0,735.5,735.5,21098
2012-02-02,735.0,749.45,735.0,745.0,10623
2012-02-03,764.5,782.1,764.5,780.0,6569
2012-02-06,800.0,800.0,781.26,800.0,2538
2012-02-07,800.0,801.32,780.5,790.0,3810
2012-02-08,778.5,790.25,778.5,778.5,40555
2012-02-09,797.0,809.0,784.26,806.5,123125
2012-02-10,786.5,794.5,786.5,788.3,1315
2012-02-13,775.5,800.5,775.5,780.0,5063
2012-02-14,776.5,784.0,776.0,778.5,2056
2012-02-15,779.5,794.5,779.5,780.0,378
2012-02-16,775.5,775.5,768.0,768.0,8221
2012-02-17,795.5,800.0,766.0,766.0,6328
2012-02-20,796.5,796.5,767.0,767.0,4711
2012-02-21,770.5,799.0,770.0,770.0,290
2012-02-22,771.0,780.0,768.18,771.0,2349
2012-02-23,770.0,787.02,765.0,770.0,1060
2012-02-24,772.0,777.0,762.14,777.0,2754
2012-02-27,790.0,800.0,772.0,772.0,1955
2012-02-28,780.5,798.0,780.0,780.0,4549
2012-02-29,780.0,798.4,780.0,780.0,248
2012-03-01,799.0,804.0,791.5,804.0,815
2012-03-02,780.0,780.0,780.0,780.0,872
2012-03-05,,,,801.6,0
2012-03-06,780.0,794.0,777.85,780.5,2365
2012-03-07,780.5,780.5,780.0,780.0,1035
2012-03-08,804.0,805.0,782.0,805.0,2550
2012-03-09,799.5,800.0,780.5,788.0,2512
2012-03-12,780.5,800.75,780.5,788.0,315
2012-03-13,796.5,796.5,780.5,788.0,356
2012-03-14,781.0,799.5,780.5,788.0,396
2012-03-15,770.5,795.22,770.5,792.0,819
2012-03-16,770.5,794.5,770.5,775.0,5294
2012-03-19,799.5,799.5,771.5,788.0,4779
