Date,Open,High,Low,Close,Volume
2012-01-03,555.0,559.0,548.0,557.0,369914
2012-01-04,552.0,556.9,545.33,546.0,272265
2012-01-05,551.0,551.0,543.1,546.0,491916
2012-01-06,550.0,555.21,546.1,550.0,321319
2012-01-09,548.5,556.7,548.5,552.0,151587
2012-01-10,557.5,570.5,555.01,564.0,404827
2012-01-11,567.0,570.0,562.0,570.0,202181
2012-01-12,565.0,577.8,565.0,574.5,238417
2012-01-13,575.5,578.28,569.61,574.0,202711
2012-01-16,570.5,574.2,567.11,573.0,190240
2012-01-17,579.5,587.0,577.5,581.0,227883
2012-01-18,583.5,587.15,578.0,585.5,292712
2012-01-19,583.0,596.0,583.0,594.0,407553
2012-01-20,593.5,594.99,590.33,594.0,220778
2012-01-23,593.5,594.5,588.33,594.0,433792
2012-01-24,594.5,594.5,586.0,590.0,370409
2012-01-25,589.5,592.0,581.5,584.0,268493
2012-01-26,591.0,602.74,586.95,599.0,335423
2012-01-27,600.0,602.6,594.0,597.0,292861
2012-01-30,594.0,597.0,588.0,592.5,369118
2012-01-31,597.5,601.49,592.06,593.0,460908
2012-02-01,595.0,603.0,592.0,603.0,549459
2012-02-02,603.0,612.5,603.0,612.5,409127
2012-02-03,612.5,628.5,605.8,622.0,496181
2012-02-06,624.0,624.0,615.5,617.0,347831
2012-02-07,616.0,624.14,613.7,618.5,541635
2012-02-08,623.0,626.0,617.56,622.0,254196
2012-02-09,627.5,627.5,620.0,624.0,738608
2012-02-10,622.5,623.74,611.95,612.5,255490
2012-02-13,618.5,626.0,618.5,622.5,105710
2012-02-14,625.0,628.01,621.0,624.5,65711
2012-02-15,635.5,635.5,628.16,628.5,254632
2012-02-16,625.0,626.0,620.0,620.5,136238
2012-02-17,627.5,630.0,620.0,621.0,110895
2012-02-20,628.0,628.0,620.6,625.5,69322
2012-02-21,622.5,629.5,621.61,629.5,97377
2012-02-22,624.0,633.0,624.0,629.0,159092
2012-02-23,632.5,633.5,627.5,633.5,131497
2012-02-24,631.0,631.0,624.0,628.0,185685
2012-02-27,625.5,625.5,613.76,618.0,128881
2012-02-28,619.0,624.0,616.0,619.5,144582
2012-02-29,621.5,631.0,618.0,619.5,184743
2012-03-01,620.0,625.0,616.05,619.5,131420
2012-03-02,621.0,629.0,620.36,624.0,105670
2012-03-05,626.5,627.99,619.0,619.0,127789
2012-03-06,616.5,616.5,603.5,611.5,275036
2012-03-07,608.0,612.98,606.67,609.0,197637
2012-03-08,612.0,619.35,611.9,613.0,228506
2012-03-09,614.0,624.0,613.61,624.0,166231
2012-03-12,616.5,622.0,616.5,620.5,78390
2012-03-13,620.0,626.69,620.0,624.5,158189
2012-03-14,625.5,628.0,623.0,625.0,251482
2012-03-15,621.5,627.5,621.5,625.0,127038
2012-03-16,625.0,628.56,621.0,624.0,467860
2012-03-19,624.0,625.0,618.0,620.0,193474
2012-03-20,615.0,615.0,602.5,607.54,256896
2012-03-21,603.5,608.84,603.5,608.0,131163
2012-03-22,607.5,607.7,598.42,601.5,136123
2012-03-23,597.5,602.5,593.0,598.0,188200
2012-03-26,600.0,601.0,594.51,600.0,116574
2012-03-27,602.0,606.0,595.61,597.0,62352
2012-03-28,593.0,600.37,593.0,596.5,139013
2012-03-29,593.0,596.0,580.86,584.0,153933
2012-03-30,583.5,593.6,583.5,588.5,99054
2012-04-02,592.5,592.59,586.5,592.0,136074
2012-04-03,593.5,600.0,592.5,594.0,169734
2012-04-04,595.0,596.0,583.0,584.0,193352
2012-04-05,587.0,593.66,583.0,591.0,199943
2012-04-10,589.5,593.5,576.0,576.0,170115
2012-04-11,576.0,582.0,575.5,582.0,90943
2012-04-12,584.5,587.75,577.29,586.0,82903
2012-04-13,584.0,588.99,578.5,578.5,38107
2012-04-16,582.0,585.0,578.0,579.5,209821
2012-04-17,580.5,586.5,578.5,586.0,80820
2012-04-18,586.0,588.12,578.5,580.5,93430
2012-04-19,582.0,582.48,572.5,577.5,157545
2012-04-20,575.0,579.24,572.09,578.0,43372
2012-04-23,574.0,574.0,557.0,561.5,142605
2012-04-24,561.5,567.4,561.0,562.5,96289
2012-04-25,565.0,567.0,561.0,563.0,89593
2012-04-26,563.0,566.89,558.7,560.5,53708
2012-04-27,560.5,564.87,558.5,561.5,97921
2012-04-30,561.5,564.0,560.38,563.5,220792
2012-05-01,560.5,570.5,560.0,569.5,212298
2012-05-02,567.0,572.5,567.0,569.0,394055
2012-05-03,570.0,571.5,567.0,570.0,200047
2012-05-04,569.0,569.0,559.0,562.0,70865
2012-05-08,562.0,562.0,543.5,543.5,261668
2012-05-09,547.5,551.64,537.9,545.5,216694
2012-05-10,543.0,546.9,541.0,545.0,148020
2012-05-11,540.5,543.0,535.36,543.0,183406
2012-05-14,539.5,542.0,522.22,528.0,273228
2012-05-15,528.0,529.0,523.11,527.0,136393
2012-05-16,517.5,526.0,510.5,524.5,140146
2012-05-17,525.0,526.0,518.5,521.5,89300
2012-05-18,517.0,517.0,510.01,513.0,418306
2012-05-21,512.5,515.0,507.0,510.0,312222
2012-05-22,513.0,517.84,513.0,513.5,371273
2012-05-23,517.5,517.5,502.5,505.0,364193
2012-05-24,511.0,516.49,505.6,511.5,96817
2012-05-25,509.5,516.5,509.0,512.0,184923
2012-05-28,512.5,521.17,512.5,515.0,58457
2012-05-29,519.5,529.5,518.0,529.5,114800
2012-05-30,525.0,526.46,516.0,517.5,137180
2012-05-31,517.0,525.0,517.0,519.5,124536
2012-06-01,525.0,527.74,516.0,518.0,193446
2012-06-06,521.0,527.0,516.0,527.0,270682
2012-06-07,526.5,540.28,525.55,530.0,242577
2012-06-08,532.5,532.5,524.0,525.0,192124
2012-06-11,531.0,537.4,523.0,524.0,244755
2012-06-12,526.0,528.5,522.0,524.0,179116
2012-06-13,524.0,531.0,524.0,525.5,223165
2012-06-14,528.5,528.5,523.0,523.0,122389
2012-06-15,528.0,532.0,521.69,522.0,734813
2012-06-18,531.0,531.9,525.5,526.5,218200
2012-06-19,531.0,536.0,527.0,535.5,287237
2012-06-20,534.0,537.5,533.5,534.5,85012
2012-06-21,538.0,538.0,529.0,529.0,139192
2012-06-22,526.5,528.98,522.86,524.5,66513
2012-06-25,523.5,525.0,514.0,514.5,164942
2012-06-26,514.0,521.0,513.5,518.5,76320
2012-06-27,519.0,522.5,514.5,521.0,161085
2012-06-28,522.5,522.5,514.5,520.0,170928
2012-06-29,530.0,534.0,525.78,533.0,75228
2012-07-02,533.0,540.0,530.0,538.0,146241
2012-07-03,535.0,549.5,531.61,549.5,102263
2012-07-04,547.0,549.5,542.17,549.0,108165
2012-07-05,549.0,552.0,543.5,546.5,65960
2012-07-06,549.0,549.0,542.0,545.0,112352
2012-07-09,541.5,544.99,536.0,537.0,256300
2012-07-10,540.0,542.5,537.2,541.0,218026
2012-07-11,541.0,541.0,536.64,541.0,116538
2012-07-12,535.5,535.5,529.5,529.5,120385
2012-07-13,533.5,533.5,530.0,532.5,201197
2012-07-16,532.0,534.0,530.53,531.0,42066
2012-07-17,535.5,536.0,530.53,531.0,37649
2012-07-18,530.0,535.6,530.0,531.5,37655
2012-07-19,531.5,539.0,531.5,539.0,82267
2012-07-20,534.5,538.39,530.5,533.0,49994
2012-07-23,529.0,529.5,515.25,518.5,74576
2012-07-24,516.5,520.17,511.5,513.0,95711
2012-07-25,509.5,522.0,509.5,521.0,262513
2012-07-26,522.0,527.0,519.03,525.0,287985
2012-07-27,528.0,536.0,524.03,533.9,266676
2012-07-30,538.5,542.0,533.23,541.0,126560
2012-07-31,542.5,542.5,537.0,540.5,75859
2012-08-01,540.0,543.0,534.8,541.0,36239
2012-08-02,539.0,541.08,527.0,533.0,157300
2012-08-03,530.5,545.5,530.5,544.0,119209
2012-08-06,542.0,552.0,542.0,552.0,135614
2012-08-07,552.0,555.6,548.5,554.0,180942
2012-08-08,552.0,554.0,548.5,554.0,75842
2012-08-09,550.5,563.49,550.5,562.0,132320
2012-08-10,557.5,562.46,556.5,556.5,106348
2012-08-13,555.5,560.5,555.5,557.0,179082
2012-08-14,558.0,561.64,555.7,561.5,69611
2012-08-15,558.0,559.5,554.9,556.0,62038
2012-08-16,554.5,557.0,554.0,556.0,51256
2012-08-17,557.0,559.4,554.9,559.0,81828
2012-08-20,555.5,562.5,553.0,554.5,35335
2012-08-21,557.0,559.5,552.5,558.0,72292
2012-08-22,557.0,559.9,549.5,549.5,44261
2012-08-23,555.5,555.99,548.19,548.5,23235
2012-08-24,543.0,548.25,543.0,547.0,46262
2012-08-28,543.0,548.8,541.0,541.0,143141
2012-08-29,541.0,546.0,537.0,537.0,131762
2012-08-30,537.0,540.75,533.0,534.0,86968
2012-08-31,536.0,541.0,535.35,539.5,122993
2012-09-03,539.0,546.5,539.0,543.5,35281
2012-09-04,540.0,543.04,533.5,536.0,98099
2012-09-05,537.0,537.4,531.0,532.5,116892
2012-09-06,537.5,544.49,534.51,543.5,53428
2012-09-07,543.0,552.5,543.0,551.5,80946
2012-09-10,547.5,550.49,547.5,547.5,59677
2012-09-11,547.0,550.0,545.6,550.0,164188
2012-09-12,548.0,553.45,548.0,551.5,56117
2012-09-13,548.5,550.5,544.0,547.0,87517
2012-09-14,557.0,572.43,557.0,569.5,97027
2012-09-17,568.5,569.0,564.26,565.0,86200
2012-09-18,564.0,564.0,557.0,562.5,25925
2012-09-19,560.0,564.67,559.5,563.0,84039
2012-09-20,559.5,560.0,546.84,550.0,545030
2012-09-21,558.0,560.0,554.5,559.5,548446
2012-09-24,557.0,558.5,552.53,558.5,65845
2012-09-25,557.0,560.5,557.0,559.5,46043
2012-09-26,555.0,556.3,548.7,552.0,184793
