Date,Open,High,Low,Close,Volume
2012-01-03,53.5,53.75,53.33,53.75,128287.0
2012-01-04,53.75,53.75,53.25,53.39,170900.0
2012-01-05,53.5,53.5,52.95,53.25,195955.0
2012-01-06,52.89,53.34,52.8,53.14,325348.0
2012-01-09,52.75,53.34,52.75,52.75,83201.0
2012-01-10,53.25,53.42,52.75,53.34,150098.0
2012-01-11,53.34,53.34,52.96,53.13,104397.0
2012-01-12,52.75,53.34,52.53,52.79,111797.0
2012-01-13,52.75,53.12,52.25,52.39,96509.0
2012-01-16,52.75,52.75,52.11,52.75,233843.0
2012-01-17,53.0,53.5,53.0,53.0,159040.0
2012-01-18,52.89,53.48,52.65,53.48,187367.0
2012-01-19,53.0,53.23,52.8,53.14,214447.0
2012-01-20,52.79,53.42,52.79,52.79,260233.0
2012-01-23,53.0,53.75,52.75,53.5,183035.0
2012-01-24,52.75,53.5,52.75,53.3,279023.0
2012-01-25,53.0,53.48,52.82,52.92,144718.0
2012-01-26,53.25,53.48,53.05,53.24,162826.0
2012-01-27,53.24,53.49,52.23,53.25,186724.0
2012-01-30,52.86,53.19,52.25,52.3,226335.0
2012-01-31,52.75,52.85,0.0,52.58,219548.0
2012-02-01,52.75,53.2,52.5,53.2,583095.0
2012-02-02,53.0,53.1,52.8,53.0,171807.0
2012-02-03,52.75,53.9,52.75,53.3,244300.0
2012-02-06,53.75,53.75,53.3,53.69,177206.0
2012-02-07,53.25,54.1,53.25,54.0,223951.0
2012-02-08,53.37,0.0,53.37,53.88,167744.0
2012-02-09,54.1,54.25,53.62,54.25,47831.0
2012-02-10,53.8,0.0,53.5,53.68,69977.0
2012-02-13,,,,54.5,0.0
2012-02-14,,,,54.25,0.0
2012-02-15,54.75,54.75,54.0,54.0,57226.0
2012-02-16,54.0,54.02,53.27,53.58,35250.0
2012-02-17,54.5,54.75,54.0,54.25,53500.0
2012-02-20,,,,54.85,0.0
2012-02-21,54.75,55.02,54.25,54.8,39144.0
2012-02-22,,,,54.8,0.0
2012-02-23,55.0,55.12,54.75,55.1,50000.0
2012-02-24,55.25,55.5,55.0,55.5,26123.0
2012-02-27,54.75,55.0,54.25,54.75,68500.0
2012-02-28,54.75,55.14,54.3,54.8,21.0
2012-02-29,55.0,55.0,54.0,54.0,91201.0
2012-03-01,54.5,55.31,54.5,54.75,34865.0
2012-03-02,,,,55.25,0.0
2012-03-05,55.0,55.19,54.4,54.99,3600.0
2012-03-06,54.25,55.18,53.61,54.0,137438.0
2012-03-07,,,,54.12,0.0
2012-03-08,55.0,55.25,54.5,55.25,52005.0
2012-03-09,55.25,55.5,54.61,55.5,25207.0
2012-03-12,55.5,55.5,55.0,55.5,263.0
2012-03-13,56.0,56.75,55.39,56.75,50005.0
2012-03-14,56.0,56.38,55.51,56.0,59664.0
2012-03-15,55.75,55.75,55.25,55.75,19233.0
2012-03-16,55.75,55.89,55.25,55.25,28869.0
2012-03-19,56.0,56.0,55.0,55.0,36481.0
2012-03-20,55.0,55.5,54.25,54.5,50672.0
2012-03-21,54.5,55.32,54.5,54.5,94.0
2012-03-22,54.75,55.25,54.0,55.25,91534.0
2012-03-23,55.25,55.5,54.85,55.25,110549.0
2012-03-26,,,,55.36,0.0
2012-03-27,55.0,55.99,54.75,54.75,8960.0
2012-03-28,,,,54.83,0.0
2012-03-29,55.25,55.25,54.0,55.0,15819.0
2012-03-30,54.75,54.75,54.25,54.25,51809.0
2012-04-02,54.75,55.0,54.36,54.75,162641.0
2012-04-03,55.0,55.75,54.86,55.75,313143.0
2012-04-04,55.0,55.51,53.75,54.5,239672.0
2012-04-05,53.75,54.5,53.75,54.5,600000.0
2012-04-10,53.75,54.25,53.25,53.25,130832.0
2012-04-11,53.5,54.39,53.0,54.39,123911.0
2012-04-12,54.5,54.75,53.65,54.75,165002.0
2012-04-13,54.5,54.75,54.0,54.0,90568.0
2012-04-16,54.5,55.0,54.38,54.75,86344.0
2012-04-17,54.75,55.25,54.44,55.25,102485.0
2012-04-18,55.25,55.75,54.55,55.0,204696.0
2012-04-19,55.25,55.75,55.25,55.65,311.0
2012-04-20,55.5,55.75,55.19,55.75,29062.0
2012-04-23,54.75,55.4,54.0,54.0,130177.0
2012-04-24,54.75,55.5,54.65,54.75,102351.0
2012-04-25,55.25,55.5,55.05,55.1,50259.0
2012-04-26,54.75,55.25,54.75,54.75,26266.0
2012-04-27,55.25,55.75,55.25,55.75,88410.0
2012-04-30,55.5,55.98,55.06,55.2,147979.0
2012-05-01,55.5,56.0,55.39,55.88,21660.0
2012-05-02,56.0,56.12,55.5,55.5,48423.0
2012-05-03,56.25,56.25,55.5,55.75,29799.0
2012-05-04,55.5,55.64,54.5,54.5,136697.0
2012-05-08,54.5,54.68,53.92,53.92,52423.0
2012-05-09,53.75,54.1,53.62,53.62,39085.0
2012-05-10,53.9,54.5,53.6,54.5,58.0
2012-05-11,54.25,54.25,53.83,54.25,28706.0
2012-05-14,53.75,53.75,53.1,53.1,201168.0
2012-05-15,53.25,53.65,53.1,53.1,193614.0
2012-05-16,53.0,53.06,52.19,52.19,40380.0
2012-05-17,52.79,53.0,51.65,52.39,154.0
2012-05-18,51.75,52.35,51.5,51.81,119919.0
2012-05-21,52.0,52.36,51.81,52.3,4846.0
2012-05-22,52.75,52.89,52.06,52.5,29790.0
2012-05-23,52.0,52.0,51.75,51.75,24736.0
2012-05-24,52.08,52.64,52.08,52.5,10000.0
2012-05-25,52.75,52.75,52.0,52.25,59938.0
2012-05-28,52.75,53.0,52.25,52.25,1293720.0
2012-05-29,52.75,52.89,52.5,52.75,1089413.0
2012-05-30,52.5,52.62,52.35,52.5,42970.0
2012-05-31,52.5,52.5,52.45,52.5,207191.0
2012-06-01,52.5,52.65,51.9,52.04,71150.0
2012-06-06,52.5,53.0,52.5,53.0,869394.0
2012-06-07,53.25,53.75,53.1,53.5,323995.0
2012-06-08,53.5,53.5,53.0,53.5,167155.0
2012-06-11,54.0,54.35,53.0,53.5,378079.0
2012-06-12,53.25,53.5,53.25,53.25,55115.0
2012-06-13,,,,53.35,0.0
2012-06-14,53.25,53.59,53.0,53.0,25010.0
2012-06-15,53.0,53.75,53.0,53.25,122950.0
2012-06-18,54.5,54.5,53.5,53.52,67885.0
2012-06-19,54.0,54.75,53.77,54.27,29250.0
2012-06-20,54.89,54.89,54.25,54.32,39.0
2012-06-21,54.25,54.6,54.0,54.0,65351.0
2012-06-22,53.75,54.5,53.5,53.5,13467.0
2012-06-25,54.0,54.22,53.6,53.6,312169.0
2012-06-26,53.75,54.08,53.75,53.75,50000.0
2012-06-27,54.5,54.5,54.15,54.25,25230.0
2012-06-28,54.25,54.55,54.25,54.25,87641.0
2012-06-29,55.0,55.39,55.0,55.35,213360.0
2012-07-02,56.0,56.0,55.25,55.5,46992.0
2012-07-03,55.75,56.0,55.05,55.91,60000.0
2012-07-04,55.0,55.4,55.0,55.05,211218.0
2012-07-05,55.0,55.89,55.0,55.66,4000.0
2012-07-06,55.5,55.7,55.0,55.0,41364.0
2012-07-09,55.0,55.25,54.86,55.25,174976.0
2012-07-10,55.25,55.5,54.86,55.5,524516.0
2012-07-11,,,,55.08,0.0
2012-07-12,55.25,55.25,54.61,55.06,110.0
2012-07-13,55.25,55.6,55.0,55.6,54314.0
2012-07-16,55.75,55.75,55.11,55.38,2800.0
2012-07-17,55.5,55.64,54.88,55.0,62143.0
2012-07-18,55.25,55.35,55.08,55.25,18767.0
2012-07-19,55.6,56.0,55.36,55.84,237191.0
2012-07-20,55.5,55.55,55.0,55.0,53537.0
2012-07-23,54.92,54.92,54.33,54.75,1482.0
2012-07-24,54.75,54.88,54.25,54.25,30400.0
2012-07-25,54.4,54.75,54.25,54.25,14.0
2012-07-26,54.75,55.25,54.6,55.25,302063.0
2012-07-27,55.25,55.25,55.08,55.25,141042.0
2012-07-30,55.5,56.0,55.5,56.0,261302.0
2012-07-31,55.75,55.75,55.6,55.62,50000.0
2012-08-01,55.75,55.9,55.6,55.9,50000.0
2012-08-02,56.0,56.35,55.75,56.0,150000.0
2012-08-03,56.0,56.4,55.8,56.25,252734.0
2012-08-06,,,,56.4,0.0
2012-08-07,56.25,56.84,56.25,56.5,219699.0
2012-08-08,56.5,56.5,56.0,56.25,80696.0
2012-08-09,56.5,56.68,56.32,56.65,50000.0
2012-08-10,,,,56.1,0.0
2012-08-13,56.5,56.75,56.25,56.5,574544.0
2012-08-14,56.5,56.85,56.36,56.75,169391.0
2012-08-15,56.0,56.5,56.0,56.5,125520.0
2012-08-16,56.5,56.5,56.02,56.4,25097.0
2012-08-17,,,,56.58,0.0
2012-08-20,56.25,56.75,56.13,56.5,26976.0
2012-08-21,56.5,57.0,56.02,56.27,25812.0
2012-08-22,56.75,57.0,55.75,56.25,288551.0
2012-08-23,56.5,56.5,55.75,56.0,199.0
2012-08-24,56.25,56.25,55.9,56.25,22980.0
2012-08-28,56.0,56.25,55.6,55.8,190080.0
2012-08-29,56.0,56.25,55.75,56.0,125000.0
2012-08-30,55.75,56.0,55.65,55.65,60000.0
2012-08-31,56.0,56.25,55.75,56.25,327723.0
2012-09-03,56.0,56.25,56.0,56.25,837882.0
2012-09-04,56.0,56.12,55.3,55.5,286303.0
2012-09-05,55.75,56.0,55.26,56.0,167732.0
2012-09-06,55.75,56.5,55.5,56.5,564598.0
2012-09-07,56.25,56.35,56.0,56.25,255992.0
2012-09-10,56.0,56.14,55.77,56.0,23098.0
2012-09-11,55.75,56.25,55.5,56.25,169895.0
2012-09-12,56.25,56.25,55.49,55.5,6432.0
2012-09-13,56.0,56.0,55.75,55.75,14740.0
2012-09-14,56.5,56.75,56.26,56.5,631889.0
2012-09-17,56.25,56.35,56.0,56.25,189586.0
2012-09-18,56.0,56.25,55.76,56.25,37328.0
2012-09-19,56.25,56.5,55.75,56.5,92330.0
2012-09-20,56.0,56.25,55.99,56.25,330989.0
2012-09-21,56.25,56.63,56.12,56.5,152590.0
2012-09-24,56.25,56.45,56.02,56.25,13009.0
2012-09-25,56.25,56.5,56.05,56.5,101927.0
2012-09-26,56.0,56.0,55.5,55.75,416485.0
2012-09-27,55.75,56.25,55.75,56.25,140915.0
2012-09-28,56.0,56.42,56.0,56.0,251645.0
2012-10-01,56.5,56.5,55.5,56.5,1504632.0
2012-10-02,56.25,56.31,56.05,56.25,50789.0
2012-10-03,56.25,56.25,55.75,56.25,164601.0
2012-10-04,56.25,56.5,56.25,56.33,324690.0
2012-10-05,56.5,56.78,56.33,56.75,57852.0
2012-10-08,56.0,56.38,56.0,56.26,31900.0
2012-10-09,56.5,56.64,56.0,56.0,75363.0
2012-10-10,56.0,56.25,55.75,55.75,29342.0
2012-10-11,56.25,56.5,55.78,56.5,371341.0
2012-10-12,56.5,56.54,55.61,56.11,233436.0
2012-10-15,56.0,56.25,55.8,55.87,390140.0
2012-10-16,56.5,56.75,56.5,56.62,284357.0
2012-10-17,57.0,57.25,56.52,56.75,285843.0
2012-10-18,,,,56.7,0.0
2012-10-19,56.5,56.62,56.28,56.28,30464.0
2012-10-22,,,,56.5,0.0
2012-10-23,56.0,56.24,55.27,55.35,28846.0
2012-10-24,,,,55.59,0.0
2012-10-25,55.75,56.05,55.5,55.5,51639.0
2012-10-26,55.5,56.0,55.32,56.0,50003.0
2012-10-29,55.25,55.64,55.0,55.62,82669.0
2012-10-30,55.75,56.1,55.61,56.0,327652.0
2012-10-31,55.75,56.1,55.25,55.25,478208.0
2012-11-01,55.5,56.0,55.38,55.55,11249.0
2012-11-02,,,,55.99,0.0
2012-11-05,55.75,55.75,55.74,55.74,100000.0
2012-11-06,55.75,56.14,55.58,55.8,25000.0
