Date,Open,High,Low,Close,Volume
2012-01-03,1411.0,1426.0,1392.25,1416.0,1354607
2012-01-04,1414.0,1426.0,1398.0,1408.0,1566984
2012-01-05,1416.0,1425.0,1371.0,1393.0,2117404
2012-01-06,1396.0,1408.0,1387.0,1408.0,1316821
2012-01-09,1416.0,1426.0,1408.0,1414.0,1545506
2012-01-10,1429.0,1444.0,1420.0,1437.0,1597138
2012-01-11,1437.0,1441.0,1408.0,1419.0,1441722
2012-01-12,1421.0,1468.0,1419.0,1446.0,1443927
2012-01-13,1460.0,1465.0,1415.0,1429.0,1326156
2012-01-16,1418.0,1432.0,1407.0,1428.0,1007664
2012-01-17,1453.0,1464.0,1439.0,1455.0,1896865
2012-01-18,1400.0,1400.0,1333.0,1394.0,5364216
2012-01-19,1401.0,1406.0,1375.0,1387.0,2462599
2012-01-20,1390.0,1390.0,1360.0,1361.0,2308049
2012-01-23,1360.0,1382.42,1353.0,1382.0,1694266
2012-01-24,1375.0,1391.0,1370.0,1387.0,1346565
2012-01-25,1388.0,1404.0,1382.0,1388.0,1117868
2012-01-26,1391.0,1399.0,1387.0,1390.0,1468319
2012-01-27,1386.0,1400.0,1369.0,1369.0,1764436
2012-01-30,1365.0,1371.0,1339.12,1341.0,1505843
2012-01-31,1353.0,1392.0,1348.0,1390.0,2857117
2012-02-01,1400.0,1416.0,1388.0,1416.0,1711308
2012-02-02,1420.0,1442.4,1403.0,1440.0,2340093
2012-02-03,1437.0,1499.0,1434.71,1462.0,4102006
2012-02-06,1463.0,1467.0,1450.0,1466.0,1287108
2012-02-07,1472.0,1474.0,1453.0,1466.0,1045897
2012-02-08,1473.0,1500.63,1460.0,1483.0,1848612
2012-02-09,1498.0,1530.0,1486.0,1514.0,3598947
2012-02-10,1512.0,1540.0,1505.0,1532.0,2418175
2012-02-13,1543.0,1549.09,1510.0,1523.0,1059411
2012-02-14,1517.0,1540.46,1515.0,1526.0,1466123
2012-02-15,1534.0,1547.0,1525.0,1532.0,1124612
2012-02-16,1525.0,1543.84,1514.0,1535.0,1100570
2012-02-17,1556.0,1609.0,1551.74,1566.0,1912696
2012-02-20,1583.0,1611.0,1578.0,1601.0,1185947
2012-02-21,1585.0,1586.0,1532.0,1543.0,2844829
2012-02-22,1543.0,1552.0,1526.0,1531.0,1853147
2012-02-23,1531.0,1554.0,1524.0,1540.0,1885682
2012-02-24,1539.0,1551.0,1532.0,1543.0,1660874
2012-02-27,1545.0,1545.0,1527.0,1531.0,944363
2012-02-28,1526.0,1530.0,1498.0,1508.0,1982259
2012-02-29,1508.0,1520.0,1474.0,1475.0,1742235
2012-03-01,1477.0,1497.0,1470.0,1487.0,1246826
2012-03-02,1490.0,1507.0,1474.0,1506.0,2061904
2012-03-05,1493.0,1494.0,1447.0,1457.0,1752704
2012-03-06,1449.0,1458.0,1413.0,1413.0,2733050
2012-03-07,1410.0,1455.68,1410.0,1445.0,1470550
2012-03-08,1448.0,1480.0,1448.0,1460.0,1755038
