Date,Open,High,Low,Close,Volume
2012-01-03,38.2,38.2,36.5,36.75,28252.0
2012-01-04,37.0,37.0,37.0,37.0,5000.0
2012-01-05,38.85,38.85,0.0,38.8,4306.0
2012-01-06,39.5,39.5,37.3,39.5,11571.0
2012-01-09,38.95,39.33,0.0,39.33,40000.0
2012-01-10,39.15,39.15,37.0,39.0,11172.0
2012-01-11,37.5,37.5,37.0,37.0,33000.0
2012-01-12,38.0,38.5,38.0,38.0,160501.0
2012-01-13,36.0,38.5,36.0,36.07,18432.0
2012-01-16,38.5,38.5,0.0,38.5,25812.0
2012-01-17,37.5,38.95,37.5,38.0,49399.0
2012-01-18,38.0,0.0,38.0,38.0,200000.0
2012-01-19,39.5,40.1,38.1,40.1,62197.0
2012-01-20,42.0,44.26,41.0,44.26,185494.0
2012-01-23,42.75,44.0,42.5,42.5,91077.0
2012-01-24,44.0,44.0,41.1,44.0,9687.0
2012-01-25,43.75,43.75,42.1,42.1,14155.0
2012-01-26,43.0,43.88,42.1,42.6,18769.0
2012-01-27,41.1,44.25,41.1,41.25,12300.0
2012-01-30,41.25,43.0,41.1,41.1,7879.0
2012-01-31,43.0,43.0,41.1,41.1,3000.0
2012-02-01,42.0,42.0,41.5,41.75,29144.0
2012-02-02,43.5,43.85,0.0,42.12,15685.0
2012-02-03,41.0,43.82,41.0,41.0,27163.0
2012-02-06,41.0,43.29,39.75,39.75,47772.0
2012-02-07,40.0,43.25,39.88,43.25,1799.0
2012-02-08,40.12,0.0,40.12,40.12,600.0
2012-02-09,40.12,43.25,40.12,43.25,9807.0
2012-02-10,40.0,41.0,40.0,41.0,271820.0
2012-02-13,41.0,43.35,41.0,43.35,5000.0
2012-02-14,,,,42.88,0.0
2012-02-15,43.0,43.5,42.0,42.2,32760.0
2012-02-16,,,,40.15,0.0
2012-02-17,,,,41.21,0.0
2012-02-20,,,,41.75,0.0
2012-02-21,,,,40.3,0.0
2012-02-22,42.0,42.75,39.85,42.7,20000.0
2012-02-23,40.0,43.0,40.0,42.5,11200.0
2012-02-24,,,,41.5,0.0
2012-02-27,,,,43.15,0.0
2012-02-28,,,,43.12,0.0
2012-02-29,,,,41.68,0.0
2012-03-01,,,,42.69,0.0
2012-03-02,,,,41.52,0.0
2012-03-05,,,,41.52,0.0
2012-03-06,,,,41.62,0.0
2012-03-07,,,,42.68,0.0
2012-03-08,,,,42.0,0.0
2012-03-09,,,,43.15,0.0
2012-03-12,,,,43.02,0.0
2012-03-13,,,,43.02,0.0
2012-03-14,44.0,47.38,44.0,46.75,28500.0
2012-03-15,48.0,50.0,47.02,49.4,115800.0
2012-03-16,50.0,50.8,48.5,49.0,58769.0
2012-03-19,,,,49.5,0.0
2012-03-20,,,,49.0,0.0
2012-03-21,48.0,49.5,47.12,47.15,1620.0
2012-03-22,,,,48.25,0.0
2012-03-23,,,,48.75,0.0
2012-03-26,48.0,48.89,46.34,47.85,3753.0
2012-03-27,,,,46.25,0.0
2012-03-28,44.5,46.25,44.3,45.0,5000.0
2012-03-29,45.0,46.1,44.32,46.01,790.0
2012-03-30,,,,45.8,0.0
2012-04-02,,,,45.0,0.0
2012-04-03,43.0,43.92,41.08,42.0,79986.0
2012-04-04,,,,41.49,0.0
2012-04-05,44.0,44.0,41.49,43.8,5000.0
2012-04-10,44.0,44.0,41.48,43.9,20000.0
2012-04-11,,,,44.0,0.0
2012-04-12,,,,44.65,0.0
2012-04-13,44.0,44.65,42.5,44.0,1700.0
2012-04-16,,,,42.6,0.0
2012-04-17,,,,46.2,0.0
2012-04-18,45.0,46.9,44.98,46.9,7515.0
2012-04-19,,,,44.0,0.0
2012-04-20,44.75,46.0,44.75,46.0,13000.0
2012-04-23,47.75,50.0,46.57,48.5,102399.0
2012-04-24,48.25,48.45,46.42,47.88,1200.0
2012-04-25,48.0,48.16,47.0,48.0,23700.0
2012-04-26,48.0,48.5,46.55,48.0,5058.0
2012-04-27,48.25,48.35,46.55,48.25,15000.0
2012-04-30,48.5,49.0,46.77,48.75,1500.0
2012-05-01,46.0,48.5,46.0,48.45,11974.0
2012-05-02,48.5,48.5,48.0,48.5,8069.0
2012-05-03,,,,47.9,0.0
2012-05-04,49.0,49.5,46.0,47.25,17213.0
2012-05-08,,,,46.66,0.0
2012-05-09,49.0,49.0,46.0,46.0,21650.0
2012-05-10,46.0,47.0,45.0,46.0,42500.0
2012-05-11,45.0,48.0,45.0,46.0,20500.0
2012-05-14,45.0,45.84,44.86,45.0,28000.0
2012-05-15,44.0,45.7,44.0,44.0,40000.0
2012-05-16,43.0,44.0,37.1,40.0,133436.0
2012-05-17,40.0,41.0,39.0,40.0,16500.0
2012-05-18,39.0,39.9,38.0,39.9,16700.0
2012-05-21,,,,39.1,0.0
2012-05-22,40.0,40.0,39.06,39.9,7000.0
2012-05-23,40.0,41.53,39.19,39.97,27192.0
2012-05-24,,,,39.25,0.0
2012-05-25,40.0,40.0,40.0,40.0,5000.0
2012-05-28,40.0,40.74,39.25,39.6,3544.0
2012-05-29,,,,39.17,0.0
2012-05-30,,,,39.17,0.0
2012-05-31,,,,39.19,0.0
2012-06-01,,,,40.35,0.0
2012-06-06,,,,40.0,0.0
2012-06-07,40.0,40.0,39.25,40.0,50000.0
2012-06-08,,,,41.7,0.0
2012-06-11,,,,41.88,0.0
2012-06-12,,,,41.7,0.0
2012-06-13,,,,41.7,0.0
2012-06-14,,,,41.88,0.0
2012-06-15,40.0,41.7,40.0,40.0,14212.0
2012-06-18,43.0,43.0,40.52,42.45,1393.0
2012-06-19,45.0,46.0,43.75,45.25,64500.0
2012-06-20,,,,44.0,0.0
2012-06-21,43.5,45.04,43.5,43.87,13544.0
2012-06-22,44.0,44.0,43.6,43.85,50000.0
2012-06-25,44.0,45.42,43.56,43.87,2547.0
2012-06-26,44.0,45.35,44.0,44.0,2544.0
2012-06-27,,,,45.15,0.0
2012-06-28,,,,43.52,0.0
2012-06-29,44.0,45.7,44.0,44.0,14091.0
2012-07-02,,,,44.05,0.0
2012-07-03,,,,44.81,0.0
2012-07-04,44.5,45.15,43.5,44.5,3222.0
2012-07-05,,,,44.5,0.0
2012-07-06,44.75,44.75,43.81,43.81,2655.0
2012-07-09,43.5,44.6,43.5,43.5,10000.0
2012-07-10,42.5,44.42,42.5,42.5,15000.0
2012-07-11,42.0,43.88,42.0,42.0,6086.0
2012-07-12,,,,41.8,0.0
2012-07-13,,,,41.8,0.0
2012-07-16,,,,43.0,0.0
2012-07-17,42.0,42.0,41.85,42.0,12585.0
2012-07-18,,,,42.0,0.0
2012-07-19,,,,42.5,0.0
2012-07-20,,,,42.48,0.0
2012-07-23,,,,41.8,0.0
2012-07-24,,,,41.45,0.0
2012-07-25,,,,42.54,0.0
2012-07-26,,,,42.7,0.0
2012-07-27,,,,41.65,0.0
2012-07-30,,,,40.63,0.0
2012-07-31,41.5,42.31,40.15,40.5,10005.0
2012-08-01,,,,41.4,0.0
2012-08-02,,,,42.9,0.0
2012-08-03,,,,40.52,0.0
2012-08-06,40.0,43.0,40.0,41.0,35000.0
2012-08-07,,,,41.0,0.0
2012-08-08,44.0,44.6,42.79,42.79,22500.0
2012-08-09,,,,44.0,0.0
2012-08-10,43.75,44.53,43.75,44.5,1542.0
2012-08-13,45.0,45.75,44.4,45.4,45000.0
2012-08-14,46.0,46.75,45.4,46.56,22625.0
2012-08-15,,,,46.75,0.0
2012-08-16,,,,47.0,0.0
2012-08-17,,,,44.8,0.0
2012-08-20,46.75,46.75,44.8,46.75,10000.0
2012-08-21,46.75,46.75,44.8,46.0,4840.0
2012-08-22,46.0,46.75,45.2,45.21,48653.0
2012-08-23,,,,45.21,0.0
2012-08-24,46.5,47.0,45.24,47.0,20000.0
2012-08-28,46.5,47.25,46.5,47.25,9193.0
2012-08-29,46.0,47.5,46.0,47.5,28500.0
2012-08-30,,,,47.0,0.0
2012-08-31,,,,45.4,0.0
2012-09-03,,,,45.4,0.0
2012-09-04,,,,45.18,0.0
2012-09-05,,,,45.25,0.0
2012-09-06,,,,45.21,0.0
2012-09-07,46.25,47.0,45.12,47.0,3654.0
2012-09-10,46.5,47.1,45.3,46.6,10000.0
2012-09-11,46.5,47.3,45.3,46.5,10000.0
2012-09-12,44.8,47.3,44.8,45.0,30000.0
2012-09-13,,,,47.0,0.0
2012-09-14,,,,46.18,0.0
2012-09-17,45.5,45.5,44.85,45.28,10555.0
2012-09-18,,,,45.1,0.0
2012-09-19,,,,46.1,0.0
2012-09-20,,,,44.83,0.0
2012-09-21,,,,46.3,0.0
2012-09-24,47.5,47.5,44.5,44.5,4140.0
2012-09-25,46.0,46.1,44.85,46.1,1760.0
2012-09-26,,,,44.85,0.0
2012-09-27,,,,46.61,0.0
2012-09-28,44.5,45.8,44.5,45.8,3100.0
2012-10-01,44.5,45.83,44.5,45.83,2200.0
2012-10-02,,,,45.83,0.0
2012-10-03,,,,44.85,0.0
2012-10-04,43.5,43.5,42.12,42.12,29012.0
2012-10-05,,,,44.09,0.0
2012-10-08,,,,42.37,0.0
2012-10-09,,,,42.26,0.0
2012-10-10,,,,43.0,0.0
2012-10-11,43.0,44.14,42.37,43.0,16000.0
2012-10-12,42.0,42.0,40.42,42.0,25000.0
2012-10-15,,,,42.75,0.0
2012-10-16,,,,42.75,0.0
2012-10-17,,,,41.67,0.0
2012-10-18,43.0,45.4,41.83,45.4,67880.0
2012-10-19,45.75,45.89,44.38,45.86,20000.0
2012-10-22,46.0,46.0,43.75,45.6,51500.0
2012-10-23,43.5,43.5,43.44,43.44,900.0
2012-10-24,44.0,45.5,44.0,44.5,14896.0
2012-10-25,43.0,45.36,43.0,44.0,27516.0
2012-10-26,46.0,46.0,43.0,43.0,16435.0
2012-10-29,44.0,45.5,43.88,44.0,2000.0
2012-10-30,45.0,45.5,43.0,45.0,3068.0
2012-10-31,44.0,45.2,43.0,43.95,561.0
2012-11-01,,,,44.75,0.0
2012-11-02,42.5,44.95,41.44,42.18,137291.0
2012-11-05,42.25,43.5,41.5,41.75,325001.0
2012-11-06,41.75,42.9,40.0,40.06,90009.0
2012-11-07,41.0,41.5,39.94,41.0,31000.0
2012-11-08,,,,40.42,0.0
2012-11-09,39.0,42.0,38.07,42.0,345703.0
