Date,Open,High,Low,Close,Volume
2012-01-03,410.0,412.0,405.25,411.25,14073302
2012-01-04,411.85,412.0,403.23,405.5,11474190
2012-01-05,409.5,409.65,393.8,393.9,17497812
2012-01-06,392.75,395.0,386.92,390.9,18850671
2012-01-09,393.0,393.21,386.35,390.45,15784410
2012-01-10,392.65,394.95,388.6,390.0,16111326
2012-01-11,392.45,392.45,383.6,385.0,15264071
2012-01-12,349.0,365.0,321.25,330.0,249226513
2012-01-13,325.0,328.73,313.65,316.8,97767949
2012-01-16,317.0,319.3,311.0,312.35,39168760
2012-01-17,315.1,318.68,312.87,317.5,39579317
2012-01-18,318.35,323.42,315.89,321.0,33324486
2012-01-19,321.0,327.6,319.24,327.0,47776354
2012-01-20,328.0,330.7,326.15,329.0,52041785
2012-01-23,329.95,337.86,329.0,335.0,38215001
2012-01-24,333.45,337.5,329.0,330.0,28739437
2012-01-25,333.35,334.13,321.55,322.85,42047835
2012-01-26,327.0,327.44,319.55,323.0,28965069
2012-01-27,324.8,326.14,319.15,320.75,24507885
2012-01-30,321.85,322.24,317.0,320.0,23182411
2012-01-31,321.6,324.74,316.43,319.6,30478767
2012-02-01,321.4,324.66,319.55,321.45,20107984
2012-02-02,322.05,322.5,318.5,319.0,16721445
2012-02-03,319.55,326.65,317.45,326.65,24238863
2012-02-06,325.55,326.38,322.3,324.8,15024138
2012-02-07,325.3,330.35,322.35,327.4,17749218
2012-02-08,330.0,331.63,327.3,329.4,18178768
2012-02-09,330.75,331.18,324.15,324.5,21747146
2012-02-10,324.1,325.66,319.15,320.65,26817863
2012-02-13,322.1,323.01,318.53,319.4,14192084
2012-02-14,319.6,320.65,312.8,314.15,23657746
2012-02-15,316.3,319.92,315.05,317.88,16838698
2012-02-16,317.5,322.44,315.0,320.0,11883808
2012-02-17,321.9,323.04,316.13,321.0,19233219
2012-02-20,319.95,322.0,318.7,321.55,13889995
2012-02-21,322.35,323.83,320.71,322.7,16895725
2012-02-22,319.6,320.29,315.3,315.4,20568719
2012-02-23,317.2,319.51,311.8,316.0,21299980
2012-02-24,316.7,319.37,314.6,317.31,16127981
2012-02-27,318.0,318.4,313.65,318.0,10959791
2012-02-28,318.25,320.0,317.0,318.4,13168466
2012-02-29,318.75,320.85,315.75,316.1,16534077
2012-03-01,315.5,320.0,314.5,320.0,14035652
2012-03-02,320.7,321.4,317.7,318.25,11997157
2012-03-05,316.35,317.85,315.2,316.7,10896807
2012-03-06,316.75,318.05,310.3,310.45,21445701
2012-03-07,314.05,315.93,309.95,311.4,13942607
2012-03-08,314.7,315.56,313.12,314.1,13010355
2012-03-09,316.15,319.31,314.8,318.3,21218703
2012-03-12,319.7,322.02,317.9,319.0,17112661
2012-03-13,321.0,322.2,319.85,320.6,22524541
2012-03-14,322.9,326.44,321.35,324.85,24391528
2012-03-15,324.0,324.75,319.82,321.75,18613685
2012-03-16,322.55,328.6,322.0,328.5,25654281
2012-03-19,328.9,331.95,326.22,331.0,13935514
2012-03-20,333.3,336.31,332.0,332.75,16930059
2012-03-21,335.0,335.46,329.7,332.3,15003156
2012-03-22,332.0,334.0,329.79,331.65,14298368
2012-03-23,332.75,338.97,332.62,337.7,15796351
2012-03-26,338.85,341.78,337.2,339.0,13782536
2012-03-27,339.8,341.59,337.39,338.4,14403335
2012-03-28,338.5,341.0,336.15,336.75,16248019
2012-03-29,335.0,336.51,326.95,328.1,16704291
2012-03-30,324.85,330.71,324.45,327.9,17468694
2012-04-02,330.95,334.75,327.49,331.2,14082497
2012-04-03,337.45,337.7,330.9,332.3,13839100
2012-04-04,332.0,332.67,324.4,325.95,11931110
2012-04-05,326.85,327.45,322.0,324.5,9286117
2012-04-10,323.15,324.9,315.05,315.25,19376457
2012-04-11,317.2,319.35,315.22,318.75,17041851
2012-04-12,321.0,329.07,318.25,325.41,23403177
2012-04-13,325.75,327.0,321.4,322.05,12726985
2012-04-16,321.95,324.0,320.25,320.9,10422040
2012-04-17,322.2,330.3,320.78,328.3,15806404
2012-04-18,334.0,335.7,320.5,321.05,36300786
2012-04-19,323.35,327.8,319.25,320.05,18552878
2012-04-20,320.0,323.05,318.25,321.85,18078999
2012-04-23,320.65,321.72,308.64,319.3,14755741
2012-04-24,320.2,326.85,318.48,326.55,16295132
2012-04-25,317.5,330.25,315.0,317.0,15102719
2012-04-26,317.65,323.0,311.53,313.9,13378879
2012-04-27,316.0,325.03,314.0,317.95,12937646
2012-04-30,319.05,327.0,314.6,317.35,12023340
2012-05-01,318.95,323.0,317.05,319.2,6554679
2012-05-02,321.0,321.97,317.0,318.0,9891183
2012-05-03,318.95,322.45,317.38,318.2,15130561
2012-05-04,318.85,323.65,317.6,319.2,20727285
2012-05-08,320.85,328.31,319.45,323.45,23122536
2012-05-09,324.95,325.8,317.0,320.5,16612539
2012-05-10,322.15,325.04,318.55,320.15,13364270
2012-05-11,320.05,325.09,317.75,323.75,12833634
2012-05-14,322.1,322.25,316.4,318.75,11477824
2012-05-15,319.7,320.45,313.3,316.0,12586529
2012-05-16,312.8,320.8,312.65,317.9,13460999
2012-05-17,318.0,318.0,312.55,313.95,11549909
2012-05-18,312.0,320.5,311.1,313.7,15413786
2012-05-21,313.15,314.59,310.0,311.15,14027640
2012-05-22,313.15,314.75,308.35,309.8,17145505
2012-05-23,309.0,311.81,303.2,304.6,19966278
2012-05-24,305.0,309.8,301.05,308.25,17306740
2012-05-25,309.0,310.98,307.3,309.55,11798942
2012-05-28,311.45,313.8,296.02,304.5,7564944
2012-05-29,305.25,308.57,300.25,301.0,18704252
2012-05-30,300.5,301.65,296.15,297.05,18386201
2012-05-31,299.0,303.8,297.6,302.55,21224729
2012-06-01,301.8,303.28,296.6,299.25,14628406
2012-06-06,303.95,303.95,294.5,301.2,18851463
2012-06-07,302.85,305.2,299.9,303.5,16765104
2012-06-08,305.0,305.95,300.3,302.8,13918615
2012-06-11,307.9,309.95,299.7,302.8,20152984
2012-06-12,303.55,304.95,301.2,304.05,13851480
2012-06-13,306.0,306.2,300.9,303.95,14970061
2012-06-14,303.45,306.2,302.35,305.25,9855881
2012-06-15,306.4,307.85,300.92,301.1,33649674
2012-06-18,304.3,305.8,300.35,303.75,12177266
2012-06-19,304.6,308.6,303.35,307.9,13052120
2012-06-20,308.5,309.85,305.0,309.65,10082421
2012-06-21,309.0,312.0,307.85,310.5,11343898
2012-06-22,309.2,313.34,307.95,311.6,9000714
2012-06-25,310.55,311.5,306.9,309.2,10240049
2012-06-26,310.55,311.5,306.4,309.0,9035471
2012-06-27,310.5,310.5,307.6,309.8,9105515
2012-06-28,310.85,312.0,308.78,311.85,9494980
2012-06-29,313.1,315.9,308.6,310.05,24340094
2012-07-02,309.6,314.7,305.95,314.7,13160108
2012-07-03,315.85,320.24,314.5,319.75,12730397
2012-07-04,318.95,320.0,314.8,315.95,9468250
2012-07-05,315.1,318.1,313.25,317.35,15152502
2012-07-06,317.2,318.43,315.35,317.1,21145778
2012-07-09,318.0,319.45,317.0,317.4,11131716
2012-07-10,318.95,322.9,318.19,319.95,13860604
2012-07-11,319.7,320.8,318.16,320.0,9402270
2012-07-12,318.9,320.3,314.2,315.0,13003724
2012-07-13,316.0,317.0,311.1,313.75,16303618
2012-07-16,313.5,318.37,313.1,317.0,9821366
2012-07-17,318.95,319.5,315.0,317.0,8680615
2012-07-18,317.8,322.4,316.7,322.2,11284508
2012-07-19,323.35,325.0,319.85,324.95,11052124
2012-07-20,324.95,327.23,324.03,325.0,19887934
2012-07-23,322.45,323.0,317.9,318.5,15541022
2012-07-24,319.95,320.0,315.15,315.55,13348882
2012-07-25,315.1,316.55,313.1,314.0,10502998
2012-07-26,315.35,319.67,313.55,316.0,12064353
2012-07-27,318.1,321.55,316.5,321.0,9922794
2012-07-30,320.7,321.9,316.5,318.35,11523502
2012-07-31,318.55,320.25,317.05,318.1,10881471
2012-08-01,318.35,318.8,316.65,317.95,9277735
2012-08-02,318.2,318.86,314.15,314.15,13591245
2012-08-03,316.25,320.76,314.9,319.0,10020871
2012-08-06,320.0,323.5,317.55,322.3,8024835
2012-08-07,322.25,325.65,321.17,325.65,11905330
2012-08-08,324.9,327.05,324.35,327.05,11803098
2012-08-09,327.85,330.43,326.35,328.55,12102748
2012-08-10,327.75,329.8,326.7,327.35,9163161
2012-08-13,327.75,332.26,327.4,329.1,9315508
2012-08-14,330.7,336.0,330.65,335.0,14713023
2012-08-15,334.85,335.85,332.5,332.6,10143813
2012-08-16,333.15,338.5,332.5,338.3,12192476
2012-08-17,338.5,343.6,338.25,340.0,13668781
2012-08-20,338.3,340.6,338.3,338.95,10580719
2012-08-21,339.45,340.95,338.0,339.35,12312656
2012-08-22,337.65,340.54,335.7,339.2,12624649
2012-08-23,341.0,341.36,337.15,338.0,8858830
2012-08-24,338.4,339.75,337.75,339.0,11516004
2012-08-28,340.0,342.25,338.3,341.05,11038321
2012-08-29,340.3,341.62,337.3,337.3,7835690
2012-08-30,337.05,341.75,335.75,339.55,9191852
2012-08-31,339.75,341.3,336.0,336.6,13456508
2012-09-03,336.35,340.0,335.5,339.45,5569280
2012-09-04,339.95,341.45,336.37,338.8,10216848
2012-09-05,338.55,342.15,337.2,340.8,12441636
2012-09-06,341.0,350.95,340.8,349.9,18918591
2012-09-07,350.95,351.0,344.35,347.05,14498891
2012-09-10,346.6,346.6,342.7,343.55,7611450
2012-09-11,342.0,344.53,339.95,341.65,13158241
2012-09-12,342.35,343.55,340.31,341.2,10883802
2012-09-13,341.2,343.8,339.1,342.1,10299482
2012-09-14,345.85,347.2,342.35,345.9,12620105
2012-09-17,346.0,346.75,343.05,345.65,7982570
2012-09-18,346.25,348.0,342.5,343.95,11882154
2012-09-19,344.8,345.45,341.8,343.45,9461611
2012-09-20,343.0,344.65,338.5,339.75,11630116
2012-09-21,340.5,343.0,339.93,340.0,22593669
2012-09-24,339.6,339.6,336.3,337.65,9901367
2012-09-25,339.0,343.25,337.4,342.9,10811691
2012-09-26,340.7,342.3,338.25,339.95,11576063
2012-09-27,338.0,341.5,335.35,335.55,12480692
2012-09-28,337.2,337.2,330.3,332.0,14605401
2012-10-01,331.5,335.9,329.79,331.0,11965625
2012-10-02,330.1,340.3,328.45,336.7,17806111
2012-10-03,331.65,335.7,326.75,327.95,28597584
2012-10-04,327.0,327.5,317.2,318.15,30711952
2012-10-05,319.8,321.4,306.4,315.15,41584058
2012-10-08,313.75,318.35,311.85,317.35,14394878
2012-10-09,318.2,318.44,312.95,314.45,15562242
2012-10-10,310.35,316.08,308.95,311.2,14264332
2012-10-11,312.1,316.83,311.2,313.0,13557414
2012-10-12,312.55,317.13,309.8,310.0,13396940
2012-10-15,310.0,312.37,307.78,310.0,11920710
2012-10-16,311.0,312.18,307.0,307.9,18821795
2012-10-17,312.0,318.77,312.0,316.3,29233275
2012-10-18,317.45,322.48,317.45,320.55,20053184
2012-10-19,321.3,321.65,317.9,319.15,16262794
2012-10-22,318.95,319.6,314.55,315.05,13091888
2012-10-23,316.65,319.22,313.35,313.55,15533750
2012-10-24,315.15,315.45,310.55,310.55,19848864
2012-10-25,311.9,315.37,311.05,314.9,21640012
2012-10-26,313.35,318.35,312.45,317.45,14150162
2012-10-29,317.5,317.6,315.0,317.05,9211441
2012-10-30,318.7,320.71,317.27,318.8,7714881
2012-10-31,319.75,322.1,318.7,319.85,17201388
2012-11-01,320.85,321.6,318.5,320.9,15234022
2012-11-02,322.15,326.54,320.2,324.75,21281498
2012-11-05,324.85,327.0,322.45,326.45,8423962
2012-11-06,327.0,327.3,324.7,326.8,13704915
2012-11-07,328.0,329.65,322.1,322.3,16953860
2012-11-08,323.7,328.3,321.83,322.2,14482917
2012-11-09,323.05,325.16,321.55,324.8,11469183
2012-11-12,325.45,326.52,323.8,324.75,7755837
2012-11-13,325.25,325.5,319.8,321.0,17628825
2012-11-14,322.35,323.15,321.0,321.35,14796562
2012-11-15,320.3,320.85,316.0,316.3,11636286
2012-11-16,319.3,319.45,314.85,315.0,13075705
2012-11-19,317.05,318.15,315.25,318.0,14417877
2012-11-20,318.55,318.6,315.9,317.25,8570331
2012-11-21,317.95,318.6,315.05,316.0,13049946
2012-11-22,317.2,318.9,315.95,317.35,7936142
2012-11-23,318.1,318.75,315.15,318.0,9389729
2012-11-26,318.0,319.25,316.0,317.5,13131404
2012-11-27,318.1,322.1,317.65,321.2,10663290
2012-11-28,321.75,323.3,319.05,322.85,11841320
2012-11-29,324.45,326.18,323.15,325.05,11035590
2012-11-30,325.5,328.25,324.15,325.1,13294815
2012-12-03,325.7,325.85,321.4,322.45,12852750
2012-12-04,322.15,327.8,320.2,326.65,13885577
2012-12-05,339.65,342.2,334.22,337.45,42421745
2012-12-06,338.0,340.55,335.95,339.6,18081371
2012-12-07,339.8,342.65,335.05,336.75,12265485
2012-12-10,336.8,338.0,333.8,335.95,8713438
2012-12-11,336.45,342.35,334.75,339.6,13305780
2012-12-12,340.0,340.75,338.45,340.5,12348729
2012-12-13,340.0,340.5,338.09,339.4,7804728
2012-12-14,340.6,342.55,338.95,341.9,12722188
2012-12-17,342.7,342.75,339.2,341.7,7453055
2012-12-18,342.35,344.0,339.68,341.55,9215700
2012-12-19,343.2,343.2,339.65,340.25,12738578
2012-12-20,340.0,340.6,337.75,338.6,12567564
2012-12-21,338.35,340.6,337.45,339.8,23087726
2012-12-24,340.0,341.54,338.05,338.5,4512700
2012-12-27,337.8,338.55,334.6,336.0,5848223
2012-12-28,336.5,338.64,335.0,337.45,5828898
2012-12-31,337.2,338.2,334.5,336.0,4082438
2013-01-02,340.55,343.87,340.2,342.75,14852587
2013-01-03,344.4,350.2,342.55,350.0,15667990
2013-01-04,348.9,350.37,347.24,348.3,11500209
2013-01-07,350.0,352.4,347.92,349.3,11118873
2013-01-08,349.8,351.66,347.75,351.5,14802021
2013-01-09,353.0,353.0,346.5,349.15,15187414
2013-01-10,358.0,360.3,354.87,355.4,32664080
2013-01-11,356.7,357.2,349.5,353.2,20317088
2013-01-14,353.5,354.6,348.5,351.2,11613575
2013-01-15,351.7,352.65,348.4,349.6,14147714
2013-01-16,346.3,348.5,343.5,347.1,14629413
2013-01-17,348.25,350.47,347.0,349.05,9055753
2013-01-18,348.85,352.18,347.85,350.35,15588050
2013-01-21,351.8,353.39,348.8,350.65,6768207
2013-01-22,351.1,351.68,348.85,349.55,6293868
2013-01-23,349.5,354.35,349.2,352.8,11555414
2013-01-24,352.4,353.4,349.75,352.5,8405405
2013-01-25,352.9,355.85,351.52,355.65,10730852
2013-01-28,356.0,357.9,353.5,355.95,9556692
2013-01-29,356.2,361.45,354.7,361.25,10950734
2013-01-30,362.0,362.2,355.85,357.35,13079330
2013-01-31,358.0,359.0,355.42,356.3,12430136
2013-02-01,357.75,362.0,357.3,360.6,11802870
2013-02-04,360.95,361.65,357.4,357.5,8497156
2013-02-05,357.8,361.06,357.75,359.2,7510476
2013-02-06,360.4,364.75,359.19,363.2,8158835
2013-02-07,364.8,367.95,360.35,360.35,12802355
2013-02-08,360.75,364.3,359.77,362.6,7233188
2013-02-11,366.65,370.32,364.95,367.9,16950661
2013-02-12,368.0,372.98,367.3,371.95,16610852
2013-02-13,372.85,376.16,370.5,374.25,10871444
2013-02-14,374.15,374.25,367.31,370.55,8925229
2013-02-15,371.05,371.55,364.5,364.75,17136181
2013-02-18,365.7,367.65,359.65,366.95,10105620
