Date,Open,High,Low,Close,Volume
2012-01-03,135.25,136.25,133.5,134.75,52155
2012-01-04,134.5,139.2,132.75,138.0,213095
2012-01-05,139.0,140.75,135.0,135.0,242292
2012-01-06,134.25,136.75,132.0,135.75,275649
2012-01-09,138.5,141.0,134.68,141.0,298617
2012-01-10,143.25,146.48,138.5,144.5,906595
2012-01-11,148.75,154.65,147.55,152.75,958906
2012-01-12,151.75,155.0,146.0,155.0,263190
2012-01-13,150.0,157.75,149.62,156.5,300180
2012-01-16,158.0,174.0,158.0,170.0,553463
2012-01-17,170.0,172.74,160.75,160.75,377511
2012-01-18,160.75,168.0,155.5,167.0,317923
2012-01-19,167.75,169.5,165.0,166.0,500449
2012-01-20,165.25,172.75,165.25,171.5,155537
2012-01-23,168.75,173.3,168.75,170.0,124513
2012-01-24,166.0,169.5,165.0,165.25,109531
2012-01-25,165.5,170.13,158.75,160.0,310607
2012-01-26,159.75,169.0,159.5,166.75,183018
2012-01-27,165.5,170.9,165.5,170.0,56386
2012-01-30,170.0,170.29,165.1,166.75,62542
2012-01-31,167.75,169.0,165.0,167.0,128355
2012-02-01,166.75,170.0,165.0,167.75,75318
2012-02-02,167.25,169.51,165.0,168.75,312022
2012-02-03,169.5,170.9,166.0,170.5,105048
2012-02-06,169.75,172.0,166.52,170.0,81855
2012-02-07,169.5,169.75,166.75,169.0,76314
2012-02-08,168.5,169.75,167.5,168.5,113708
2012-02-09,167.5,172.0,167.16,168.5,65054
2012-02-10,167.5,170.0,167.25,169.75,56264
2012-02-13,169.5,170.12,167.0,170.12,31270
2012-02-14,168.0,173.0,167.0,172.25,72881
2012-02-15,171.75,182.0,170.5,181.0,176628
2012-02-16,181.25,186.25,173.6,176.0,121398
2012-02-17,176.25,177.0,173.75,176.0,75611
2012-02-20,175.0,180.02,175.0,177.0,85734
2012-02-21,176.25,185.5,175.25,184.0,138529
2012-02-22,182.75,185.5,178.0,180.25,79046
2012-02-23,181.0,183.7,180.0,182.0,19276
2012-02-24,184.0,186.25,179.18,182.25,125563
2012-02-27,177.25,184.86,177.25,181.0,25449
2012-02-28,179.5,185.97,177.7,180.0,15959
2012-02-29,181.5,185.3,180.75,182.5,80940
2012-03-01,184.5,198.0,184.25,195.25,232103
2012-03-02,194.75,200.72,192.04,194.5,61965
2012-03-05,194.5,199.5,194.12,194.25,94184
2012-03-06,194.25,197.0,185.68,189.25,235650
2012-03-07,191.0,195.0,185.3,193.5,85260
2012-03-08,191.5,194.5,188.35,190.5,146993
2012-03-09,189.75,194.95,188.75,189.25,174682
2012-03-12,191.25,200.0,189.1,195.0,132020
2012-03-13,195.0,201.25,193.75,200.0,90965
2012-03-14,199.75,205.47,197.61,203.5,568446
2012-03-15,205.0,207.74,183.0,186.75,447193
2012-03-16,186.25,192.5,184.0,185.0,231918
2012-03-19,184.0,187.15,174.0,178.75,207836
2012-03-20,179.25,181.25,171.0,180.75,236229
2012-03-21,182.75,182.75,174.5,177.0,154012
2012-03-22,175.0,178.6,172.75,173.0,283770
2012-03-23,173.75,179.0,171.48,173.5,118135
2012-03-26,174.5,178.75,168.0,170.75,235850
2012-03-27,172.0,175.75,171.84,173.25,61293
2012-03-28,173.75,175.84,167.75,169.25,162597
2012-03-29,168.5,170.08,163.65,166.75,92958
2012-03-30,166.75,169.2,162.75,162.75,63154
2012-04-02,162.25,167.0,162.0,165.5,309626
2012-04-03,166.0,168.86,164.5,165.5,28820
2012-04-04,165.75,166.75,162.25,164.5,151454
2012-04-05,164.0,166.45,161.0,163.5,60587
2012-04-10,160.75,162.7,155.55,160.0,294575
2012-04-11,159.0,160.75,152.0,158.5,142665
2012-04-12,158.0,168.11,154.24,159.35,178491
2012-04-13,166.25,174.25,166.25,174.25,73377
2012-04-16,173.75,181.75,172.5,179.0,205231
2012-04-17,179.0,180.0,175.5,176.75,69075
2012-04-18,175.5,180.0,175.0,179.5,68292
2012-04-19,181.25,182.0,176.85,179.75,33710
2012-04-20,179.25,180.0,176.49,179.0,91205
2012-04-23,176.0,178.52,175.0,175.5,74934
2012-04-24,179.75,184.25,179.75,182.5,43497
2012-04-25,182.75,183.88,178.86,182.25,39136
2012-04-26,181.75,188.0,179.0,184.25,94432
2012-04-27,181.25,190.0,181.25,188.5,86471
2012-04-30,188.0,191.64,185.92,190.0,83692
2012-05-01,188.75,191.95,186.25,190.0,164807
2012-05-02,186.25,190.75,184.25,188.0,176031
2012-05-03,187.0,187.0,181.0,182.75,65704
2012-05-04,181.25,186.4,180.5,184.61,87750
2012-05-08,183.0,186.5,175.63,177.0,96037
2012-05-09,175.0,180.03,167.0,171.25,149332
2012-05-10,171.5,174.81,170.5,172.0,80355
2012-05-11,170.0,173.25,165.47,171.0,102447
2012-05-14,168.0,168.0,165.0,166.25,40056
2012-05-15,171.0,171.0,159.19,162.35,50079
