Date,Open,High,Low,Close,Volume
2012-01-03,153.0,172.75,150.75,172.75,18710
2012-01-04,170.0,170.0,156.5,156.5,71545
2012-01-05,157.75,160.0,155.0,156.25,105632
2012-01-06,155.25,156.0,144.5,150.0,57563
2012-01-09,148.75,152.0,147.0,152.0,36758
2012-01-10,148.0,152.0,147.0,150.0,26235
2012-01-11,145.0,153.0,145.0,153.0,31689
2012-01-12,152.0,160.75,152.0,160.75,437275
2012-01-13,162.25,163.5,159.0,159.5,64105
2012-01-16,164.25,164.25,159.25,163.0,37234
2012-01-17,163.25,165.0,159.0,159.0,38914
2012-01-18,160.0,161.75,156.25,159.0,64486
2012-01-19,156.0,160.0,153.0,153.0,1633201
2012-01-20,157.0,160.0,148.75,148.75,69818
2012-01-23,154.25,154.75,148.0,149.25,53761
2012-01-24,148.0,152.5,146.5,150.0,58801
2012-01-25,152.0,153.0,146.75,148.0,42229
2012-01-26,151.0,151.75,151.0,151.75,8754
2012-01-27,152.75,153.0,148.75,151.0,60957
2012-01-30,150.0,150.0,146.25,148.0,27939
2012-01-31,149.25,150.0,145.0,147.0,52647
2012-02-01,148.0,149.25,145.0,148.0,141741
2012-02-02,145.25,147.0,143.5,143.5,23548
2012-02-03,145.25,149.0,143.5,147.5,66736
2012-02-06,148.0,151.0,148.0,150.0,92237
2012-02-07,150.25,158.25,149.0,150.0,641081
2012-02-08,150.0,153.0,148.25,148.75,63370
2012-02-09,151.0,160.0,150.0,160.0,2824880
2012-02-10,160.0,162.0,158.5,161.75,520914
2012-02-13,165.0,165.5,160.0,160.0,68525
2012-02-14,162.75,164.5,154.0,154.75,66882
2012-02-15,156.0,159.46,150.0,154.5,69557
2012-02-16,155.75,158.75,155.75,156.0,49186
2012-02-17,157.25,166.5,155.82,166.5,50290
2012-02-20,167.75,170.0,165.25,167.5,34283
2012-02-21,165.25,165.25,162.72,165.0,9106
2012-02-22,164.5,167.5,163.0,167.5,39516
2012-02-23,164.5,164.5,157.75,158.0,35061
2012-02-24,159.75,163.0,158.75,161.0,43739
2012-02-27,161.5,162.75,159.0,161.0,8698
2012-02-28,161.0,162.75,159.74,162.75,39187
2012-02-29,163.0,168.25,163.0,168.25,40411
2012-03-01,165.75,168.5,161.75,168.5,35261
2012-03-02,163.0,166.0,162.5,166.0,16910
2012-03-05,164.5,164.75,160.0,160.75,33278
2012-03-06,161.0,161.0,157.5,160.25,52835
2012-03-07,162.5,162.5,157.25,158.75,61819
2012-03-08,160.0,160.0,158.25,158.5,48261
2012-03-09,159.5,160.0,156.25,156.5,37164
2012-03-12,156.5,160.0,155.25,155.5,27559
2012-03-13,160.0,160.0,156.25,158.0,32358
2012-03-14,159.25,159.5,156.0,157.56,48652
2012-03-15,155.25,157.75,152.25,153.0,74894
2012-03-16,155.25,155.37,150.5,153.5,97501
2012-03-19,152.75,155.0,150.0,150.0,62322
2012-03-20,148.25,153.25,148.25,153.25,37107
2012-03-21,153.25,162.5,152.25,160.0,74774
2012-03-22,160.0,163.0,157.29,157.75,47213
2012-03-23,159.5,159.5,151.75,154.5,126070
2012-03-26,154.5,156.25,152.5,155.0,28864
2012-03-27,155.0,157.0,152.0,154.5,25177
2012-03-28,153.75,156.5,151.0,153.5,118124
2012-03-29,153.25,160.0,153.0,158.75,46506
2012-03-30,159.75,160.0,157.43,159.5,53721
2012-04-02,160.0,160.0,154.75,157.5,29365
2012-04-03,156.75,164.02,156.75,160.0,78875
2012-04-04,160.0,162.25,156.75,160.0,61226
2012-04-05,164.0,165.75,161.5,165.5,49936
2012-04-10,165.75,176.0,164.0,176.0,53908
2012-04-11,175.0,175.0,170.25,175.0,76751
2012-04-12,174.75,175.0,171.25,173.0,59327
2012-04-13,174.0,174.0,168.25,170.25,57175
2012-04-16,169.75,170.89,164.25,164.25,56837
2012-04-17,165.5,169.0,159.75,160.0,51884
2012-04-18,160.75,165.5,158.5,162.0,35148
2012-04-19,163.5,165.0,162.25,165.0,47178
2012-04-20,164.75,165.0,162.5,165.0,29180
2012-04-23,165.5,166.55,164.52,165.0,20419
2012-04-24,165.0,165.25,163.25,164.0,18966
2012-04-25,164.0,166.5,162.0,165.5,74667
2012-04-26,166.0,167.75,166.0,166.0,39648
2012-04-27,165.5,167.25,162.5,164.0,97087
2012-04-30,164.0,165.75,162.0,165.0,58523
2012-05-01,160.25,162.5,158.47,162.5,67452
