Date,Open,High,Low,Close,Volume
2012-01-03,545.8,560.9,537.3,560.2,551756
2012-01-04,559.7,565.3,548.3,549.8,469373
2012-01-05,547.9,550.9,518.3,530.3,913946
2012-01-06,528.2,535.3,526.4,528.8,302652
2012-01-09,528.9,538.3,526.2,530.1,402467
2012-01-10,529.5,544.4,529.5,541.7,448298
2012-01-11,540.8,557.0,540.8,556.8,591671
2012-01-12,550.7,570.4,550.7,567.0,682343
2012-01-13,566.0,577.0,564.0,577.0,578659
2012-01-16,570.4,580.5,570.4,579.9,200668
2012-01-17,587.8,590.6,579.9,583.3,315780
2012-01-18,584.4,591.8,579.9,587.2,741348
2012-01-19,587.8,601.9,587.2,600.8,689589
2012-01-20,602.4,612.6,597.9,610.3,349095
2012-01-23,612.0,620.44,605.95,618.75,586348
2012-01-24,614.25,617.99,601.88,606.94,380787
2012-01-25,606.9,612.0,600.2,605.2,237122
2012-01-26,615.9,624.4,612.6,620.4,545920
2012-01-27,618.8,624.4,614.8,619.9,551020
2012-01-30,616.5,619.9,604.7,606.4,407664
2012-01-31,607.5,618.2,606.9,618.2,488668
2012-02-01,619.3,637.3,613.7,633.4,552012
2012-02-02,632.2,641.8,631.1,637.3,579932
2012-02-03,637.3,652.5,634.3,652.5,503932
2012-02-06,653.6,657.0,647.4,654.8,313919
2012-02-07,657.6,657.6,637.9,656.4,572200
2012-02-08,655.3,661.5,636.8,639.6,513157
2012-02-09,643.5,645.2,636.8,640.1,311420
2012-02-10,637.9,644.6,634.5,641.8,284616
2012-02-13,644.1,655.9,644.1,651.9,288868
2012-02-14,648.0,667.7,648.0,656.4,546051
2012-02-15,656.4,665.4,649.7,662.1,306977
2012-02-16,656.44,667.75,650.25,667.69,464647
2012-02-17,671.6,679.5,664.3,665.4,387381
2012-02-20,666.0,670.5,655.3,664.3,461456
2012-02-21,664.9,666.0,657.0,664.3,379125
2012-02-22,666.0,670.55,660.94,664.31,684892
2012-02-23,663.2,677.2,662.1,673.9,578961
2012-02-24,676.1,682.9,671.6,680.1,390694
2012-02-27,676.12,680.86,666.56,676.69,431981
2012-02-28,686.2,686.2,646.9,660.9,1114136
2012-02-29,657.0,669.4,654.2,655.9,702569
2012-03-01,654.8,668.8,651.9,666.0,473062
2012-03-02,666.6,669.9,662.1,664.9,401223
2012-03-05,663.8,668.2,655.3,661.5,444633
2012-03-06,661.5,665.4,640.7,644.1,487027
2012-03-07,644.1,662.1,643.5,659.2,349975
2012-03-08,659.2,680.6,658.7,676.7,619337
2012-03-09,675.0,686.8,669.9,681.8,329402
2012-03-12,678.4,686.8,677.2,685.1,428732
2012-03-13,682.9,698.1,682.9,696.9,414960
2012-03-14,700.9,704.2,694.7,698.1,442478
2012-03-15,700.3,702.6,687.9,693.0,530892
2012-03-16,698.62,714.94,692.72,693.0,1490505
2012-03-19,694.1,711.0,687.9,704.2,534645
2012-03-20,699.19,702.61,677.25,686.81,896080
2012-03-21,688.5,694.7,684.6,691.9,346969
2012-03-22,692.4,693.0,682.9,689.1,299979
2012-03-23,691.9,696.9,684.6,695.2,410122
2012-03-26,699.8,718.9,698.1,714.4,700708
2012-03-27,718.3,722.2,709.9,713.8,668957
2012-03-28,711.6,720.0,702.0,705.4,488441
2012-03-29,706.5,707.1,691.3,694.1,362828
2012-03-30,696.4,705.9,693.6,704.2,393591
2012-04-02,704.2,721.7,698.6,721.7,734371
2012-04-03,721.7,723.9,709.3,714.4,545891
2012-04-04,711.56,713.25,688.71,691.88,401412
2012-04-05,693.6,699.2,676.7,684.6,688180
2012-04-10,680.1,681.2,662.1,662.1,693652
2012-04-11,650.0,665.0,639.0,663.0,1697074
2012-04-12,665.4,687.4,663.2,686.2,1293538
2012-04-13,682.88,698.06,672.19,678.5,638219
2012-04-16,671.6,685.7,668.2,678.9,658478
2012-04-17,678.0,683.0,672.0,676.0,926180
2012-04-18,676.1,686.2,675.6,675.6,700684
2012-04-19,676.12,685.12,667.94,672.75,579022
2012-04-20,672.8,676.7,664.3,672.8,485814
2012-04-23,663.8,668.8,644.1,644.1,870182
2012-04-24,646.9,657.0,646.9,647.4,644240
2012-04-25,652.5,658.1,642.9,655.3,1703753
2012-04-26,655.88,655.94,644.62,655.88,676437
2012-04-27,651.4,668.2,650.8,667.7,507046
2012-04-30,669.9,673.9,662.1,663.2,555283
2012-05-01,663.2,670.5,662.1,670.5,221372
2012-05-02,671.6,677.8,663.2,671.1,677973
2012-05-03,671.1,677.2,667.7,675.6,575052
2012-05-04,674.4,675.0,647.4,648.6,555308
2012-05-08,650.8,655.9,638.4,638.4,686746
2012-05-09,642.38,644.62,624.94,633.09,469994
2012-05-10,635.1,641.8,630.0,641.8,433065
2012-05-11,639.6,650.2,636.8,644.1,518530
2012-05-14,640.7,640.7,620.4,623.2,395166
2012-05-15,629.4,631.7,615.9,618.8,378228
2012-05-16,612.6,617.6,606.9,614.2,809724
2012-05-17,618.2,618.2,607.5,607.5,382713
2012-05-18,601.3,604.7,591.2,593.4,471265
2012-05-21,595.1,595.1,576.6,589.5,1038538
2012-05-22,597.4,605.8,594.0,603.0,559082
2012-05-23,599.1,599.1,590.6,594.6,456100
2012-05-24,600.0,600.0,587.0,598.0,695428
2012-05-25,599.1,605.2,587.2,593.4,547919
2012-05-28,600.0,609.0,580.0,603.0,407028
2012-05-29,604.1,609.2,599.6,609.2,567172
2012-05-30,603.0,605.2,596.2,597.9,680970
2012-05-31,607.5,608.6,596.8,601.9,865112
2012-06-01,604.7,604.7,572.6,574.9,662876
2012-06-06,584.4,602.4,581.1,602.4,620328
2012-06-07,605.0,629.0,601.0,629.0,701187
2012-06-08,626.1,627.2,613.1,619.9,358877
2012-06-11,643.5,655.3,617.1,621.6,709308
2012-06-12,626.6,628.9,609.2,613.7,603751
2012-06-13,617.1,618.2,595.7,599.1,751768
2012-06-14,599.6,605.2,594.6,600.8,753556
