Date,Open,High,Low,Close,Volume
2012-01-03,148.25,150.36,148.0,150.0,100327
2012-01-04,150.0,150.0,148.0,148.5,113071
2012-01-05,150.0,150.0,148.5,149.74,87001
2012-01-06,149.0,151.0,148.6,149.06,42973
2012-01-09,149.5,150.0,149.0,149.25,636831
2012-01-10,150.0,151.5,149.5,151.5,2051244
2012-01-11,151.5,152.0,150.13,151.5,46746
2012-01-12,152.0,152.0,150.5,151.5,95940
2012-01-13,151.5,151.5,150.0,151.5,249609
2012-01-16,149.5,150.0,148.85,149.5,1820713
2012-01-17,151.15,151.25,149.45,150.99,91273
2012-01-18,150.0,151.5,149.0,151.5,194258
2012-01-19,151.5,152.0,150.0,152.0,190226
2012-01-20,151.0,152.0,150.75,152.0,82131
2012-01-23,151.0,152.0,151.0,152.0,33357
2012-01-24,151.75,152.25,151.06,152.25,219298
2012-01-25,152.0,152.0,150.53,152.0,180382
2012-01-26,152.0,153.5,150.84,153.0,233068
2012-01-27,153.5,153.5,150.0,150.0,212435
2012-01-30,153.0,153.0,150.0,151.5,155159
2012-01-31,151.5,151.5,150.25,151.5,405943
2012-02-01,151.5,152.5,150.1,152.5,253083
2012-02-02,153.0,154.21,151.72,153.0,133373
2012-02-03,153.25,157.5,152.25,157.5,120989
2012-02-06,155.0,156.99,155.0,156.9,42245
2012-02-07,156.5,157.0,154.75,157.0,68752
2012-02-08,157.0,157.5,155.35,155.5,152722
2012-02-09,156.75,157.5,155.35,157.5,228281
2012-02-10,157.25,157.5,156.25,157.5,79988
2012-02-13,157.25,158.0,156.1,158.0,35631
2012-02-14,158.0,159.0,157.0,159.0,58537
2012-02-15,159.0,159.5,157.75,158.25,31378
2012-02-16,158.25,159.0,157.75,158.35,411014
2012-02-17,159.0,159.0,158.0,158.0,7
2012-02-20,159.0,160.45,158.63,159.25,200786
2012-02-21,160.0,160.35,158.86,160.25,10000
2012-02-22,159.5,160.5,159.5,160.5,22897
2012-02-23,160.5,161.0,159.16,161.0,11974
2012-02-24,161.0,162.5,161.0,162.5,111427
2012-02-27,160.5,162.5,160.0,161.0,164412
2012-02-28,160.0,161.5,159.88,161.0,56852
2012-02-29,161.0,162.25,160.14,161.25,21288
2012-03-01,162.0,162.0,161.25,162.0,5429
2012-03-02,162.0,162.0,161.25,161.5,27
2012-03-05,162.0,162.0,160.41,161.5,44542
2012-03-06,161.0,161.5,160.5,161.0,90598
2012-03-07,161.0,162.5,160.25,161.5,13838
2012-03-08,161.5,162.5,161.5,162.25,29815
2012-03-09,162.5,163.5,161.0,163.5,33466
2012-03-12,163.0,163.5,161.75,163.0,332
2012-03-13,163.0,164.0,163.0,164.0,185756
2012-03-14,163.75,164.0,162.4,164.0,14271
2012-03-15,164.0,164.0,162.5,164.0,6731
2012-03-16,164.0,164.0,163.0,164.0,38892
2012-03-19,162.0,162.4,161.75,161.75,1704
2012-03-20,161.0,161.8,160.5,160.99,89465
2012-03-21,161.0,161.5,160.39,161.0,32600
2012-03-22,161.0,161.5,160.5,161.5,28300
2012-03-23,160.5,162.25,160.5,162.25,44960
2012-03-26,162.25,162.75,161.04,162.75,37620
2012-03-27,162.75,162.75,161.75,161.75,20782
2012-03-28,162.0,162.75,162.0,162.25,44
2012-03-29,162.75,162.75,162.25,162.75,12121
2012-03-30,162.75,165.0,161.6,164.0,37889
2012-04-02,163.0,165.0,162.0,163.0,100431
2012-04-03,163.75,164.0,161.75,162.0,14990
2012-04-04,161.5,162.5,161.0,161.5,71402
2012-04-05,162.0,162.5,161.37,162.5,65526
2012-04-10,162.5,162.5,161.25,161.25,10447
2012-04-11,,,,161.6,0
2012-04-12,162.5,164.0,161.62,164.0,35216
2012-04-13,164.0,164.2,163.2,164.0,20000
2012-04-16,164.0,164.5,163.2,164.5,31328
2012-04-17,164.25,165.5,161.75,165.5,51016
2012-04-18,165.0,165.75,165.0,165.25,102578
2012-04-19,165.25,165.5,164.75,165.35,6336
2012-04-20,165.25,166.0,165.0,166.0,137213
2012-04-23,165.5,165.5,164.5,165.0,20000
2012-04-24,165.5,166.5,163.5,165.5,16265
2012-04-25,166.5,166.5,165.0,166.0,42
2012-04-26,165.25,166.0,164.0,166.0,2020
2012-04-27,166.0,166.0,164.0,166.0,9279
2012-04-30,164.25,166.0,164.25,165.49,16980
2012-05-01,166.0,169.5,165.65,169.5,104448
2012-05-02,168.25,170.0,167.5,169.5,253499
2012-05-03,169.0,171.0,168.13,169.5,415343
2012-05-04,169.5,169.5,166.5,166.5,214846
2012-05-08,166.75,167.75,166.75,167.0,941
2012-05-09,168.0,168.01,165.25,167.0,95388
2012-05-10,166.5,166.5,164.75,166.0,2164
2012-05-11,164.25,166.75,164.0,165.5,20127
2012-05-14,166.75,166.75,163.75,165.75,64989
2012-05-15,165.0,167.0,163.5,167.0,285061
2012-05-16,164.0,164.0,162.0,164.0,1979
2012-05-17,162.75,163.0,162.0,162.0,23212
2012-05-18,160.0,161.0,159.25,159.25,141180
2012-05-21,161.0,161.0,159.25,161.0,9877
2012-05-22,161.0,162.75,159.25,162.5,46246
2012-05-23,162.0,162.25,160.0,161.75,33876
2012-05-24,161.75,162.75,160.25,162.75,12453
2012-05-25,160.5,162.25,159.88,162.25,15843
2012-05-28,160.25,162.25,159.75,162.25,5481
2012-05-29,162.0,163.0,160.0,162.75,43679
2012-05-30,162.75,163.0,160.0,160.81,99492
2012-05-31,162.0,162.5,160.25,162.5,23683
2012-06-01,162.5,163.0,160.0,163.0,148278
2012-06-06,161.0,163.65,161.0,163.5,105171
2012-06-07,164.0,167.5,163.97,167.0,399663
2012-06-08,166.0,166.5,165.12,166.5,71598
2012-06-11,165.75,169.5,165.75,168.5,663047
2012-06-12,167.75,167.75,165.5,167.5,394355
2012-06-13,167.0,169.5,165.89,168.5,188886
2012-06-14,169.0,169.0,167.0,168.17,406756
2012-06-15,168.5,168.5,163.4,168.18,2509558
2012-06-18,167.3,167.3,163.0,163.0,189475
2012-06-19,163.0,166.9,163.0,166.9,93739
2012-06-20,165.0,165.5,163.5,163.5,72284
2012-06-21,163.5,165.0,163.0,163.9,119061
2012-06-22,163.1,164.15,162.3,162.3,105394
2012-06-25,162.3,164.2,161.0,161.1,55329
2012-06-26,161.0,162.3,161.0,162.0,13359
2012-06-27,161.5,163.0,161.5,162.0,55557
2012-06-28,161.5,162.0,161.0,162.0,103416
2012-06-29,163.3,163.4,161.0,161.0,117223
2012-07-02,162.0,163.4,162.0,162.6,70821
2012-07-03,162.6,165.0,162.6,164.0,130182
2012-07-04,165.0,165.0,164.0,164.0,19250
2012-07-05,164.0,168.0,164.0,164.5,206693
2012-07-06,165.6,166.37,164.6,165.2,47759
2012-07-09,165.1,167.5,164.9,166.0,61137
2012-07-10,166.7,167.0,165.46,166.5,37726
2012-07-11,166.9,167.0,165.54,167.0,25861
2012-07-12,166.4,0.0,164.5,165.13,32480
2012-07-13,165.5,166.7,164.5,166.5,47550
2012-07-16,164.6,166.5,164.6,166.5,30393
2012-07-17,166.5,166.5,164.0,164.1,68162
2012-07-18,165.6,165.6,164.0,164.0,14268
2012-07-19,164.1,165.25,163.5,163.5,90501
2012-07-20,164.9,166.1,162.6,163.3,85165
2012-07-23,162.5,162.65,157.0,158.5,90408
2012-07-24,158.1,158.1,157.0,158.1,19188
2012-07-25,157.8,158.5,156.0,156.0,130011
2012-07-26,156.0,157.5,156.0,156.8,84548
2012-07-27,157.9,157.9,156.3,156.7,80984
2012-07-30,157.9,157.9,156.3,157.6,49601
2012-07-31,157.1,160.0,157.1,160.0,88245
2012-08-01,159.2,162.0,158.08,162.0,27799
2012-08-02,162.0,162.0,159.7,161.0,16990
2012-08-03,161.0,161.0,158.5,161.0,40541
2012-08-06,161.4,162.0,159.28,162.0,19689
