Date,Open,High,Low,Close,Volume
2013-03-27,101.5,103.39,100.0,101.5,2423819
2013-03-28,101.75,102.46,101.25,102.0,476143
2013-04-02,102.5,102.5,101.75,101.75,403204
2013-04-03,102.0,102.0,101.75,102.0,354292
2013-04-04,102.0,103.99,101.84,103.5,945277
2013-04-05,104.0,104.5,103.0,104.25,696846
2013-04-08,104.5,105.25,104.11,105.25,510662
2013-04-09,105.25,106.0,105.25,105.75,331783
2013-04-10,106.0,106.0,105.38,106.0,134313
2013-04-11,105.75,106.0,105.48,106.0,105200
2013-04-12,105.75,106.0,105.5,106.0,78425
2013-04-15,105.75,106.0,105.5,105.99,113870
2013-04-16,105.75,106.0,105.51,106.0,71300
2013-04-17,106.0,106.5,105.66,106.5,156320
2013-04-18,106.5,106.75,106.16,106.75,162679
2013-04-19,106.5,107.0,106.5,107.0,65459
2013-04-22,106.96,107.0,106.5,107.0,53800
2013-04-23,107.0,107.25,106.75,107.0,265236
2013-04-24,107.0,107.5,106.97,107.45,140000
2013-04-25,107.5,108.0,107.0,107.5,31525
2013-04-26,108.0,108.43,107.5,107.5,70069
2013-04-29,107.5,108.0,107.0,107.5,328309
2013-04-30,107.0,107.71,106.65,107.35,66655
2013-05-01,107.75,107.75,106.64,107.15,94471
2013-05-02,107.25,107.25,106.76,107.01,57809
2013-05-03,107.25,107.25,106.76,107.0,35186
2013-05-07,107.25,107.25,106.75,107.25,207580
2013-05-08,107.25,107.25,106.76,107.0,173871
2013-05-09,107.25,107.4,107.0,107.25,258876
2013-05-10,107.25,107.25,107.06,107.25,43560
2013-05-13,107.5,107.5,106.5,106.75,179241
2013-05-14,107.0,107.34,106.01,107.0,138772
2013-05-15,107.25,107.25,106.01,107.0,65499
2013-05-16,106.5,107.0,106.5,107.0,53435
2013-05-17,107.0,107.0,106.25,107.0,60428
2013-05-20,106.5,107.25,106.5,107.25,105400
2013-05-21,107.0,107.25,106.63,107.25,118000
2013-05-22,107.25,107.92,107.25,107.25,163139
2013-05-23,107.0,107.75,106.8,107.0,34813
2013-05-24,107.5,107.75,107.05,107.5,198102
2013-05-28,107.0,107.5,107.0,107.25,60592
2013-05-29,107.25,107.75,107.1,107.75,132850
2013-05-30,107.75,108.2,107.0,107.0,96196
2013-05-31,107.25,107.5,107.1,107.25,133616
2013-06-03,107.25,107.75,107.25,107.25,8685
2013-06-04,107.5,107.67,106.93,107.02,139588
2013-06-05,107.25,107.25,106.75,107.0,459452
2013-06-06,107.0,107.15,106.75,106.75,285794
2013-06-07,106.75,107.35,106.5,106.5,328643
2013-06-10,106.75,106.88,106.25,106.25,50543
2013-06-11,107.25,107.25,106.25,107.25,3242
2013-06-12,106.25,107.0,105.75,106.75,200651
2013-06-13,106.25,106.5,105.75,106.5,147832
2013-06-14,106.5,107.0,106.5,107.0,36545
2013-06-17,106.75,107.25,106.64,107.0,389575
2013-06-18,107.0,107.0,106.5,107.0,305830
2013-06-19,106.5,107.25,106.25,107.0,391805
2013-06-20,107.0,107.0,106.25,106.5,369030
2013-06-21,106.0,107.0,106.0,107.0,6703314
2013-06-24,107.0,107.0,105.6,107.0,35128
2013-06-25,106.0,106.99,106.0,106.99,13575
2013-06-26,107.0,107.0,105.5,106.25,100029
2013-06-27,106.5,107.24,106.5,107.0,101333
2013-06-28,107.25,107.25,106.25,106.25,112859
2013-07-01,106.5,106.69,106.0,106.0,101685
2013-07-02,106.0,106.25,105.5,105.5,47796
2013-07-03,105.5,106.25,105.5,106.0,76099
2013-07-04,106.5,106.5,105.5,106.19,22433
2013-07-05,106.5,107.0,106.25,106.75,301626
2013-07-08,107.0,107.44,106.5,106.5,53028
2013-07-09,106.75,107.16,106.75,106.76,123151
2013-07-10,107.0,107.16,106.0,106.5,104695
2013-07-11,106.5,107.0,106.25,106.25,169158
2013-07-12,107.0,107.06,106.28,106.99,89144
2013-07-15,106.5,106.75,106.25,106.5,40962
2013-07-16,106.25,106.38,105.5,105.75,76991
2013-07-17,105.25,105.75,104.01,105.0,371100
2013-07-18,105.0,105.75,104.51,104.75,105388
2013-07-19,104.75,105.25,104.0,104.0,292144
2013-07-22,104.25,105.0,103.0,104.65,351071
2013-07-23,104.0,104.5,103.5,104.0,154233
2013-07-24,104.25,104.75,103.0,103.0,159840
2013-07-25,104.75,104.75,103.0,104.79,176517
2013-07-26,105.0,105.0,104.0,105.25,121559
2013-07-29,104.25,105.25,104.25,104.5,30820
2013-07-30,105.0,105.5,104.0,104.0,172018
2013-07-31,104.0,105.0,104.0,104.5,46645
2013-08-01,104.5,105.75,104.5,105.0,161719
2013-08-02,105.5,106.5,105.5,106.5,55888
2013-08-05,106.0,106.5,106.0,106.5,76247
2013-08-06,106.25,106.5,106.0,106.25,78150
2013-08-07,106.0,106.5,106.0,106.0,147488
2013-08-08,106.25,106.25,106.0,106.0,136171
2013-08-09,106.5,106.5,105.75,105.5,107658
2013-08-12,105.5,106.5,105.5,106.5,12500
2013-08-13,106.5,106.5,106.0,106.24,80095
2013-08-14,106.25,106.25,106.25,106.2,160697
2013-08-15,106.25,106.25,105.5,105.5,28847
2013-08-16,106.25,106.5,106.25,106.75,86028
2013-08-19,106.75,107.75,106.75,107.74,253865
2013-08-20,107.5,108.0,106.5,108.0,133906
2013-08-21,108.0,108.0,107.0,107.0,261831
2013-08-22,107.0,107.0,107.0,107.9,6628
2013-08-23,107.0,107.0,106.5,107.0,103595
2013-08-27,106.5,106.75,106.0,106.75,68019
2013-08-28,105.75,105.75,104.75,104.75,124034
2013-08-29,105.0,106.0,105.0,106.0,20264
2013-08-30,105.0,105.75,105.0,105.0,63740
2013-09-02,105.0,106.0,105.0,106.0,28749
2013-09-03,105.75,106.0,105.25,106.0,30549
2013-09-04,105.25,105.75,104.5,104.75,162499
2013-09-05,105.0,105.5,104.5,104.5,216375
2013-09-06,104.75,105.25,104.75,105.0,52637
2013-09-09,105.25,105.25,105.0,105.0,50070
2013-09-10,105.0,105.75,105.0,105.75,156790
2013-09-11,105.25,105.5,105.0,105.5,112631
2013-09-12,105.0,105.25,104.5,104.5,95371
2013-09-13,105.5,105.5,104.5,105.25,70322
2013-09-16,105.0,106.0,104.75,104.75,47205
2013-09-17,105.0,105.5,105.0,105.5,37181
2013-09-18,105.75,106.0,105.25,105.25,24592
2013-09-19,106.0,106.0,105.75,106.0,63844
2013-09-20,105.75,106.5,105.75,106.5,55678
2013-09-24,106.5,107.0,106.0,107.0,29693
2013-09-25,106.0,106.75,106.0,106.0,33822
2013-09-26,106.75,106.75,105.5,105.5,89638
2013-09-27,106.0,106.0,105.5,105.5,28573
2013-09-30,105.5,105.5,104.5,105.0,129258
2013-10-01,104.75,105.25,104.0,104.0,15962
2013-10-02,104.0,105.0,104.0,105.0,12712
2013-10-03,104.5,105.0,103.5,103.5,115104
2013-10-04,104.0,105.0,104.0,104.5,34850
2013-10-07,105.25,105.0,104.0,104.0,126676
2013-10-08,104.0,105.0,103.75,103.75,48774
2013-10-09,104.0,105.5,104.0,104.0,15995
2013-10-10,104.25,105.25,104.25,104.5,19575
2013-10-11,105.5,105.5,104.0,104.0,48003
2013-10-14,105.5,105.5,104.25,105.25,393509
2013-10-15,105.25,105.25,105.0,105.0,46727
2013-10-16,104.25,105.0,104.25,105.0,28623
2013-10-17,104.0,105.0,104.0,104.0,105711
2013-10-18,104.0,104.25,104.0,104.25,50585
2013-10-21,104.0,104.0,104.0,104.5,3000
2013-10-22,104.5,104.75,103.75,103.75,276512
2013-10-23,104.0,104.0,103.0,103.0,131513
2013-10-24,103.25,104.0,103.0,103.0,128255
2013-10-25,103.0,103.75,103.0,103.0,71808
2013-10-28,103.75,103.75,102.75,102.75,104956
2013-10-29,103.0,103.75,103.0,103.05,15429
2013-10-30,102.75,103.75,102.75,102.75,66589
2013-10-31,103.5,103.5,102.75,102.75,54340
2013-11-01,102.75,102.75,102.75,102.75,16677
2013-11-04,103.0,104.0,103.0,103.75,52688
2013-11-05,104.0,104.25,103.5,103.5,143651
2013-11-06,104.0,104.0,103.5,103.5,68506
2013-11-07,103.75,104.0,102.75,102.75,67081
2013-11-08,103.5,103.5,101.0,101.75,186474
2013-11-11,102.0,102.5,102.0,102.25,195984
2013-11-12,102.25,103.5,102.25,103.5,125108
2013-11-13,102.75,103.75,102.75,103.25,61274
2013-11-14,104.0,104.0,104.0,104.0,16935
2013-11-15,103.25,103.25,103.0,103.5,27839
2013-11-18,103.0,103.75,103.0,103.5,84617
2013-11-19,102.75,103.0,102.75,102.75,9659
2013-11-20,103.75,103.75,102.75,103.17,34507
2013-11-21,103.25,103.25,102.75,103.0,199725
2013-11-22,103.5,103.5,102.75,103.04,159682
2013-11-25,103.0,103.75,102.5,102.55,87061
2013-11-26,103.0,103.5,102.5,103.12,110454
2013-11-27,102.55,,,103.0,0
2013-11-28,102.5,103.25,102.5,103.25,62357
2013-11-29,103.25,,,102.55,0
2013-12-02,103.5,103.5,102.5,103.25,19299
2013-12-03,103.0,103.25,102.5,103.25,33841
2013-12-04,102.75,102.75,102.75,102.6,2630
2013-12-05,102.5,102.5,102.5,102.5,6884
2013-12-06,103.0,103.0,102.5,102.5,2320
2013-12-09,103.0,103.0,103.0,102.87,451
2013-12-10,102.5,102.5,102.5,102.5,2510
2013-12-11,102.5,102.5,102.5,102.5,263
2013-12-12,102.5,102.5,102.5,103.23,4338
2013-12-13,102.5,102.5,102.5,102.5,13575
2013-12-16,102.0,102.0,102.0,102.0,7639
2013-12-17,102.5,102.75,102.25,102.5,41871
2013-12-18,103.0,103.0,102.5,102.76,18611
2013-12-19,102.75,102.75,102.0,102.0,42698
2013-12-20,103.0,103.0,102.5,102.5,413171
2013-12-23,103.5,103.5,103.0,103.25,50999
2013-12-24,103.25,103.25,103.25,103.25,6000
2013-12-27,103.25,103.75,103.25,103.75,6800
2013-12-30,103.75,103.75,102.25,103.75,39910
2013-12-31,103.75,104.0,103.0,103.0,1577
2014-01-02,104.0,104.0,104.0,104.21,100
2014-01-03,103.5,104.5,103.5,104.5,3952
2014-01-06,104.5,104.5,103.75,104.0,68087
2014-01-07,104.25,104.25,104.0,104.0,13310
2014-01-08,104.25,105.0,103.75,104.0,13099
2014-01-09,103.75,104.75,103.5,104.5,4319
2014-01-10,104.0,105.0,104.0,104.5,12560
2014-01-13,104.5,104.5,104.5,104.0,10225
2014-01-14,104.5,105.0,104.25,105.0,111759
2014-01-15,105.0,105.0,104.5,105.0,34454
2014-01-16,105.25,106.0,105.0,105.5,18674
2014-01-17,105.5,106.0,105.0,106.0,9748
2014-01-20,106.0,106.0,105.5,105.75,82065
2014-01-21,106.0,106.0,105.75,106.0,120952
2014-01-22,106.0,106.0,105.5,105.75,43848
2014-01-23,105.75,105.75,105.25,105.75,42960
2014-01-24,105.5,105.75,105.25,105.75,15824
2014-01-27,105.75,105.75,105.25,105.75,95521
2014-01-28,105.75,105.75,105.75,106.0,20669
2014-01-29,103.0,103.25,102.25,102.75,797895
2014-01-30,102.75,103.25,102.5,102.05,309559
2014-01-31,103.5,103.5,102.75,105.88,64247
2014-02-03,102.75,103.0,102.75,103.0,2792
2014-02-04,102.75,103.25,102.5,103.0,90522
2014-02-05,103.0,103.0,102.5,102.9,18242
2014-02-06,103.0,103.25,103.0,103.0,8051
2014-02-07,103.0,103.0,102.75,103.0,13529
2014-02-10,103.0,103.0,102.75,102.75,4684
2014-02-11,102.5,102.75,102.5,102.5,16990
2014-02-12,102.5,102.75,102.0,102.75,45504
2014-02-13,102.75,102.75,102.75,102.75,4406
2014-02-14,102.75,102.75,102.5,102.5,50118
2014-02-17,102.5,102.75,102.0,102.25,60027
2014-02-18,102.5,102.75,102.25,102.5,37344
2014-02-19,102.5,102.75,102.5,102.5,216836
2014-02-20,103.0,103.0,102.25,102.5,23739
2014-02-21,103.0,103.0,102.25,102.5,93374
2014-02-24,103.0,103.0,102.0,102.5,56738
2014-02-25,102.75,102.75,102.0,102.02,133842
2014-02-26,102.5,102.75,102.0,102.5,10139
2014-02-27,102.75,102.75,102.25,102.25,563
2014-02-28,102.75,102.75,102.5,102.5,112
2014-03-03,102.5,103.75,102.25,102.75,75987
2014-03-04,103.0,103.5,102.75,103.25,191412
2014-03-05,103.0,103.5,102.75,103.25,97587
2014-03-06,103.75,104.5,103.5,104.5,421055
2014-03-07,104.25,104.25,103.75,104.25,20382
2014-03-10,104.0,104.25,103.25,103.25,819
2014-03-11,103.25,104.0,103.25,103.25,36291
2014-03-12,104.0,104.0,103.25,104.0,153153
2014-03-13,104.25,104.25,103.25,103.25,30185
2014-03-14,104.25,104.25,103.5,104.25,15085
2014-03-17,103.75,104.25,103.0,103.75,190295
2014-03-18,104.25,104.25,103.15,104.0,6815
2014-03-19,104.0,104.0,103.0,103.74,5358
2014-03-20,104.0,104.0,103.0,104.0,182572
2014-03-21,104.0,104.0,103.0,103.74,33864
2014-03-24,103.25,103.91,103.08,103.16,9158
2014-03-25,104.0,104.0,103.16,103.5,29276
2014-03-26,104.0,104.5,103.44,104.0,74341
2014-03-27,104.0,105.0,103.67,104.25,150329
2014-03-28,104.75,105.0,103.75,105.0,19445
2014-03-31,105.0,105.0,104.57,105.0,309275
2014-04-01,105.0,105.25,104.63,105.25,50660
2014-04-02,104.75,105.25,104.5,105.25,173112
2014-04-03,105.0,105.1,104.25,105.0,51924
2014-04-04,104.75,104.91,104.25,104.75,14055
2014-04-07,104.0,105.25,104.0,105.0,122406
2014-04-08,105.0,105.0,104.25,104.75,26004
2014-04-09,105.0,105.0,104.0,104.75,129567
2014-04-10,104.25,104.98,104.25,104.5,8463
2014-04-11,104.75,104.95,104.25,104.75,2989
2014-04-14,104.0,104.98,104.0,104.9,17
2014-04-15,104.0,104.98,104.0,104.0,990
2014-04-16,104.25,105.0,104.0,104.75,30071
2014-04-17,105.0,105.0,104.55,105.0,26120
2014-04-22,105.0,105.0,104.25,104.5,30151
2014-04-23,104.25,105.0,104.25,104.5,38231
2014-04-24,104.5,104.99,104.5,104.5,9
2014-04-25,105.0,105.0,104.5,104.78,43699
2014-04-28,104.5,105.02,104.5,104.5,29
2014-04-29,104.5,105.25,104.5,104.5,61358
2014-04-30,105.25,105.25,103.75,104.25,221069
2014-05-01,104.5,104.65,104.0,104.5,6056
2014-05-02,104.0,104.5,103.83,104.5,16170
2014-05-06,104.0,104.5,103.83,104.5,9336
2014-05-07,104.25,104.5,104.0,104.5,10430
2014-05-08,104.25,104.54,104.0,104.5,18967
2014-05-09,104.0,104.75,103.0,104.75,10162
2014-05-12,104.75,105.0,104.26,104.5,189702
2014-05-13,105.0,105.0,104.25,105.0,139922
2014-05-14,105.0,105.0,104.25,105.0,663
2014-05-15,104.75,104.75,104.42,104.75,670
2014-05-16,104.75,104.92,104.5,104.71,177648
2014-05-19,105.0,105.17,104.85,105.0,6189
2014-05-20,105.25,105.5,104.95,105.5,74263
2014-05-21,105.5,105.5,105.2,105.29,125000
2014-05-22,105.0,105.5,105.0,105.5,21058
2014-05-23,105.5,105.67,105.13,105.5,27522
2014-05-27,105.5,105.69,105.35,105.5,52710
2014-05-28,105.75,105.75,105.31,105.5,8891
2014-05-29,105.5,106.5,105.25,106.5,148821
2014-05-30,106.75,106.75,106.0,106.75,144118
2014-06-02,106.25,106.75,106.15,106.75,6205
2014-06-03,106.25,106.64,106.25,106.5,1850
2014-06-04,106.0,106.75,106.0,106.75,681
2014-06-05,106.0,106.5,106.0,106.25,37380
2014-06-06,106.25,107.0,106.0,107.0,8224
2014-06-09,106.75,106.75,106.16,106.25,20521
2014-06-10,106.0,106.44,106.0,106.0,2992
2014-06-11,106.0,106.61,106.0,106.0,12369
2014-06-12,106.25,106.5,106.19,106.5,20363
2014-06-13,106.0,106.5,106.0,106.25,28331
2014-06-16,106.5,107.0,106.0,106.43,34423
2014-06-17,106.25,107.0,106.1,106.75,10155
2014-06-18,106.5,106.81,106.36,106.5,6027
2014-06-19,106.5,107.25,106.25,106.5,31736
2014-06-20,106.5,107.5,106.25,107.5,179737
2014-06-23,107.0,107.25,106.35,107.25,107608
2014-06-24,107.25,107.5,106.48,106.75,51731
2014-06-25,106.75,107.06,106.48,106.5,39727
2014-06-26,106.25,107.0,106.25,106.25,40
2014-06-27,106.75,107.25,106.25,106.88,1276
2014-06-30,106.5,106.92,106.25,106.25,50592
2014-07-01,106.5,106.88,106.25,106.25,24216
2014-07-02,106.25,106.75,106.25,106.25,40923
2014-07-03,106.5,107.04,106.5,106.5,35
2014-07-04,106.5,106.87,106.25,106.25,15363
2014-07-07,106.25,106.87,106.25,106.25,11540
2014-07-08,106.25,106.85,106.25,106.25,30
2014-07-09,107.25,107.25,106.5,106.75,11100
2014-07-10,107.0,107.25,106.6,107.0,25760
2014-07-11,107.0,107.25,106.9,107.25,177863
2014-07-14,107.5,108.0,106.91,107.88,358533
2014-07-15,107.25,107.62,107.0,107.0,22037
2014-07-16,107.0,108.0,107.0,108.0,36323
2014-07-17,107.0,107.55,107.0,107.37,101843
2014-07-18,107.5,108.0,106.99,108.0,40
2014-07-21,107.25,107.58,107.15,107.25,35
2014-07-22,107.0,107.75,107.0,107.25,12821
2014-07-23,107.0,107.75,106.85,107.0,19176
2014-07-24,107.75,107.75,106.79,107.75,48703
2014-07-25,107.25,107.38,107.03,107.25,83990
2014-07-28,108.0,108.0,107.24,108.0,10
2014-07-29,107.75,108.0,107.11,108.0,14186
2014-07-30,107.75,107.88,107.0,107.0,1954
2014-07-31,108.0,108.69,107.76,108.69,94495
2014-08-01,108.25,108.71,107.75,107.75,21539
2014-08-04,108.25,108.5,107.94,108.5,10985
2014-08-05,108.25,108.75,107.89,108.0,99789
2014-08-06,108.0,109.0,108.0,108.5,143566
2014-08-07,109.0,109.5,108.97,109.0,136225
2014-08-08,109.0,109.5,109.0,109.0,101538
2014-08-11,109.25,109.75,109.25,109.75,97839
2014-08-12,109.75,109.75,108.4,108.75,92015
2014-08-13,106.5,107.0,105.75,106.75,404688
2014-08-14,107.0,108.0,106.9,108.0,244713
2014-08-15,108.25,108.75,107.27,108.75,68361
2014-08-18,108.75,108.75,107.98,108.44,1005
2014-08-19,108.75,108.75,108.41,108.75,51
2014-08-20,109.0,109.0,108.41,109.0,4306
2014-08-21,109.0,109.0,108.25,108.25,97220
2014-08-22,109.0,109.0,108.48,109.0,41
2014-08-26,108.75,109.0,108.25,108.25,105067
2014-08-27,108.75,109.5,108.25,109.2,37239
2014-08-28,109.25,109.5,109.0,109.5,4699
2014-08-29,109.5,110.5,109.0,110.5,227165
2014-09-01,110.5,110.5,110.0,110.48,31
2014-09-02,110.5,110.75,110.0,110.5,18013
2014-09-03,110.25,110.5,110.0,110.5,8934
2014-09-04,110.5,110.7,109.5,109.75,185667
2014-09-05,109.75,110.25,109.69,110.25,3162
2014-09-08,109.75,110.0,109.5,109.5,18419
2014-09-09,109.5,110.0,108.5,108.84,182012
2014-09-10,108.75,108.75,106.55,107.28,897895
2014-09-11,107.25,108.25,107.0,108.25,67850
2014-09-12,108.0,108.31,107.75,108.0,81
2014-09-15,108.5,108.5,108.25,108.5,4090
2014-09-16,108.25,108.5,107.44,107.75,62563
2014-09-17,107.75,108.24,107.5,108.0,30619
2014-09-18,108.0,108.25,107.79,108.25,25609
2014-09-19,108.5,109.5,108.5,109.04,314069
2014-09-22,109.5,109.5,109.0,109.5,7553
2014-09-23,107.75,109.0,107.75,109.0,41673
2014-09-24,108.75,108.97,108.26,108.5,10920
2014-09-25,108.75,109.0,108.0,108.0,43725
2014-09-26,108.0,108.5,108.0,108.0,572
2014-09-29,108.0,108.56,108.0,108.25,9842
2014-09-30,108.25,109.0,108.25,108.25,11910
2014-10-01,108.25,108.81,108.16,108.25,52429
2014-10-02,108.25,108.75,107.69,108.08,51580
2014-10-03,107.75,108.3,107.75,108.0,11910
2014-10-06,108.0,108.12,107.75,107.85,10129
2014-10-07,108.0,108.22,107.25,107.25,45895
2014-10-08,107.86,107.86,107.5,107.85,0
2014-10-09,108.0,108.0,107.5,107.53,65138
2014-10-10,108.25,108.5,107.54,108.5,4554
2014-10-13,107.5,108.25,107.25,107.5,48761
2014-10-14,107.5,108.17,107.25,107.75,44806
2014-10-15,107.5,107.86,107.25,107.25,117174
2014-10-16,107.75,108.25,107.5,107.83,1268
2014-10-17,107.5,108.25,107.25,107.5,28146
2014-10-20,108.0,108.0,107.5,108.0,445
2014-10-21,107.5,108.0,107.32,107.5,30969
2014-10-22,108.0,108.0,107.5,107.5,7486
2014-10-23,107.5,107.86,107.5,107.5,429
2014-10-24,108.5,108.5,107.56,108.25,43837
2014-10-27,108.25,108.75,108.0,108.5,138074
2014-10-28,109.0,109.0,108.5,109.0,24886
2014-10-29,109.0,110.0,108.3,109.0,289304
2014-10-30,109.25,109.25,107.0,109.2,59608
2014-10-31,109.0,109.42,108.5,109.25,13588
2014-11-03,109.25,109.64,109.13,109.25,9232
2014-11-04,109.0,109.64,109.0,109.64,30247
2014-11-05,109.5,109.5,109.06,109.5,7109
2014-11-06,109.75,109.75,109.5,109.53,51983
2014-11-07,109.75,109.75,109.53,109.53,32854
2014-11-10,109.5,110.3,109.5,110.16,17355
2014-11-11,110.0,110.25,109.81,110.25,73808
2014-11-12,110.25,111.0,109.75,110.5,216656
2014-11-13,110.25,110.75,110.25,110.75,23410
2014-11-14,110.75,110.75,110.25,110.75,65351
2014-11-17,110.75,111.0,110.5,111.0,111201
2014-11-18,110.5,111.25,110.25,111.25,357633
2014-11-19,111.5,111.75,111.25,111.75,481319
2014-11-20,111.25,111.75,111.25,111.75,239877
2014-11-21,111.0,111.75,111.0,111.5,911525
2014-11-24,111.75,112.0,111.73,111.85,195987
2014-11-25,112.0,112.0,111.5,111.75,35201
2014-11-26,111.75,111.75,111.5,111.68,41695
2014-11-27,111.75,111.75,111.25,111.6,133790
2014-11-28,111.75,111.75,111.25,111.25,37698
2014-12-01,111.75,111.75,111.25,111.25,4724
2014-12-02,111.25,111.5,110.25,110.25,196849
2014-12-03,111.0,111.0,109.25,109.32,197327
2014-12-04,109.25,109.75,109.25,109.25,61299
2014-12-05,109.75,109.75,109.25,109.25,13236
2014-12-08,110.0,110.0,109.33,109.5,17117
2014-12-09,110.0,110.35,109.33,110.35,64774
2014-12-10,109.5,110.5,109.5,110.0,32448
2014-12-11,110.0,110.45,109.75,110.0,71216
2014-12-12,109.75,110.13,109.25,109.25,151663
2014-12-15,109.0,109.88,109.0,109.5,159872
2014-12-16,109.0,109.35,108.25,108.5,301672
2014-12-17,108.5,109.0,108.25,108.75,148008
2014-12-18,108.25,108.78,108.25,108.25,90281
2014-12-19,108.75,112.5,108.0,112.5,1024097
2014-12-22,110.0,111.0,110.0,110.5,498672
2014-12-23,110.75,112.0,110.5,111.0,162659
2014-12-24,110.5,111.75,110.5,111.5,4761
2014-12-29,110.5,111.5,110.5,111.5,86190
2014-12-30,111.25,111.5,111.03,111.5,1373
2014-12-31,111.0,111.24,111.0,111.0,2149
2015-01-05,111.25,111.37,110.75,111.0,38540
2015-01-06,110.5,111.0,110.5,110.5,112459
2015-01-07,110.75,111.0,110.25,110.25,79791
2015-01-08,110.25,111.12,110.25,110.75,55869
2015-01-09,110.75,111.3,110.5,110.5,507325
2015-01-12,110.5,110.88,110.25,110.25,23799
2015-01-13,110.75,110.75,110.25,110.25,44504
2015-01-14,110.75,110.75,109.25,109.25,111358
2015-01-15,110.0,110.52,109.5,110.15,12013
2015-01-16,110.25,110.25,109.5,109.5,21180
2015-01-19,110.25,110.25,109.5,109.5,97934
2015-01-20,109.5,110.0,108.75,108.75,151678
2015-01-21,109.0,109.22,107.82,108.0,372485
2015-01-22,108.25,108.56,107.0,107.0,6786
2015-01-23,107.25,107.5,105.0,105.25,329640
2015-01-26,105.75,105.75,103.25,103.5,808459
2015-01-27,104.0,104.75,104.0,104.25,76802
2015-01-28,105.25,106.74,104.52,106.7,356239
2015-01-29,106.0,107.99,106.0,107.27,74516
2015-01-30,108.0,108.0,107.19,107.5,5139
2015-02-02,108.0,108.0,106.5,106.75,549327
2015-02-03,106.75,107.0,106.75,106.75,90186
2015-02-04,107.0,107.39,106.25,106.75,220163
2015-02-05,104.5,105.0,103.5,104.39,221452
2015-02-06,105.5,105.5,104.0,105.0,207621
2015-02-09,105.0,105.98,105.0,105.5,159124
2015-02-10,105.25,106.0,105.0,105.29,98235
2015-02-11,105.25,105.75,104.75,105.25,251929
2015-02-12,104.5,104.5,102.75,103.0,331823
2015-02-13,103.0,103.5,102.75,103.25,355467
2015-02-16,103.5,103.75,102.56,103.39,308788
2015-02-17,104.0,104.5,102.65,103.0,369554
2015-02-18,103.0,104.32,103.0,103.75,69070
2015-02-19,104.5,104.5,103.25,103.5,78337
