Date,Open,High,Low,Close,Volume
2012-01-03,171.2,172.3,165.3,172.3,255099
2012-01-04,172.0,173.2,168.5,171.7,116245
2012-01-05,164.7,171.6,164.7,167.6,233451
2012-01-06,166.9,174.0,163.4,164.0,358864
2012-01-09,164.7,171.0,164.7,169.8,271442
2012-01-10,170.6,171.64,167.9,170.0,217386
2012-01-11,168.9,172.5,166.9,170.4,111433
2012-01-12,175.9,175.9,167.3,169.7,2446543
2012-01-13,165.4,172.4,165.4,172.2,205369
2012-01-16,173.5,173.5,169.8,171.9,43013
2012-01-17,175.9,176.0,171.5,171.5,122252
2012-01-18,170.4,176.9,170.4,173.6,119710
2012-01-19,176.6,178.7,168.4,174.0,230234
2012-01-20,178.9,178.9,175.0,177.6,161734
2012-01-23,177.0,179.0,175.0,175.5,318494
2012-01-24,174.2,177.9,172.6,173.4,263033
2012-01-25,172.9,178.3,169.7,170.6,193519
2012-01-26,171.6,178.7,169.0,178.6,239693
2012-01-27,172.8,183.8,172.8,179.9,181996
2012-01-30,181.4,185.6,176.5,177.7,485280
2012-01-31,177.9,184.9,175.8,178.0,252598
2012-02-01,178.1,188.8,178.1,188.6,302597
2012-02-02,185.4,188.9,180.2,180.2,403079
2012-02-03,185.4,187.7,177.48,183.9,312200
2012-02-06,182.8,189.6,180.9,189.1,94790
2012-02-07,189.0,189.9,186.2,187.5,173966
2012-02-08,188.5,191.52,186.3,187.0,155339
2012-02-09,187.0,194.0,185.6,193.4,113149
2012-02-10,193.0,195.9,192.1,195.0,181722
2012-02-13,195.0,196.0,192.7,195.7,56039
2012-02-14,195.7,197.2,187.0,190.7,171671
2012-02-15,198.9,198.9,185.1,193.0,132583
2012-02-16,191.7,194.3,187.2,190.0,118099
2012-02-17,192.0,192.0,186.6,190.0,294810
2012-02-20,189.5,192.0,188.9,192.0,120141
2012-02-21,193.0,193.0,187.8,190.7,185291
2012-02-22,191.1,193.8,184.0,185.7,206226
2012-02-23,184.9,188.01,182.1,185.0,162158
2012-02-24,187.5,188.6,183.3,186.4,170121
2012-02-27,184.2,192.3,181.3,188.0,225065
2012-02-28,188.5,191.1,180.1,184.8,277429
2012-02-29,186.9,189.9,182.2,185.0,119890
2012-03-01,185.0,195.85,185.0,195.8,479801
2012-03-02,195.3,201.7,194.1,201.1,252285
2012-03-05,200.0,201.1,196.4,198.7,233098
2012-03-06,198.6,198.7,190.6,195.9,172237
2012-03-07,195.2,198.9,186.1,195.1,222954
2012-03-08,195.1,199.0,189.8,191.5,202456
2012-03-09,190.2,197.6,190.2,197.0,120702
2012-03-12,197.5,201.9,195.4,201.7,110252
2012-03-13,208.6,210.05,202.5,207.6,446384
2012-03-14,209.2,210.1,207.5,209.7,186984
2012-03-15,208.8,211.5,208.8,211.5,206027
2012-03-16,211.1,221.5,209.5,210.0,1835822
2012-03-19,210.0,214.75,206.5,208.25,288800
2012-03-20,209.25,210.0,205.25,210.0,167158
2012-03-21,211.75,213.5,203.75,211.0,308950
2012-03-22,208.75,208.75,201.25,204.25,382613
2012-03-23,204.0,205.0,197.5,203.0,179989
2012-03-26,202.25,202.75,195.0,202.0,233174
2012-03-27,203.0,204.25,201.5,204.25,119585
2012-03-28,203.0,203.0,197.5,200.5,179853
2012-03-29,200.75,200.75,195.25,197.0,113646
2012-03-30,198.25,198.25,193.5,197.1,275937
2012-04-02,198.0,198.0,194.0,196.0,155672
2012-04-03,195.5,196.89,189.0,191.0,293247
2012-04-04,189.75,190.75,182.25,187.75,350763
2012-04-05,188.0,190.25,186.0,187.75,197594
2012-04-10,187.0,188.25,184.25,185.5,292742
2012-04-11,185.75,187.0,185.25,187.0,209028
2012-04-12,186.5,187.5,184.25,185.5,375599
2012-04-13,186.0,189.25,182.5,183.0,253843
2012-04-16,183.25,187.0,179.5,184.5,615753
2012-04-17,185.5,188.25,182.75,185.75,101568
2012-04-18,185.0,189.0,182.5,189.0,280317
2012-04-19,190.0,195.0,188.5,195.0,463370
2012-04-20,194.25,199.5,180.0,199.0,486293
2012-04-23,196.75,198.5,193.92,198.5,189469
2012-04-24,198.25,199.5,197.5,197.75,207772
2012-04-25,197.5,200.0,193.75,196.0,156666
2012-04-26,197.0,198.0,192.0,196.25,150272
2012-04-27,194.75,198.75,193.25,198.75,121921
2012-04-30,199.75,199.75,195.25,195.25,116443
2012-05-01,196.75,201.57,196.5,198.25,43153
2012-05-02,197.75,199.0,194.25,195.75,140858
2012-05-03,194.75,197.25,193.5,197.25,58957
2012-05-04,195.75,197.5,193.0,195.25,85126
2012-05-08,195.25,201.0,194.75,195.0,271685
2012-05-09,195.75,197.0,193.0,194.25,116235
2012-05-10,194.75,198.75,193.25,196.75,104886
2012-05-11,195.0,199.25,193.0,198.25,98241
2012-05-14,195.75,199.75,194.75,198.0,90620
2012-05-15,193.0,198.0,187.5,189.0,186478
2012-05-16,189.25,190.0,183.75,185.0,157490
2012-05-17,185.5,187.75,183.25,185.5,146840
2012-05-18,183.75,185.0,177.75,180.25,192533
2012-05-21,179.25,183.5,179.25,182.75,30410
2012-05-22,182.5,191.0,181.25,191.0,93567
2012-05-23,188.5,190.75,186.5,187.0,113097
2012-05-24,187.5,190.75,183.0,183.0,172683
2012-05-25,184.25,187.25,183.5,185.75,122845
2012-05-28,185.5,188.5,184.5,185.0,24814
2012-05-29,186.75,188.5,184.0,188.25,41340
2012-05-30,186.25,186.25,183.25,185.5,70741
2012-05-31,185.0,190.75,185.0,188.25,128062
2012-06-01,186.0,189.5,183.5,185.0,130875
2012-06-06,185.25,198.75,185.25,197.75,191350
2012-06-07,197.0,197.0,192.75,193.5,104038
2012-06-08,191.25,197.0,187.0,196.5,62855
2012-06-11,198.0,198.0,185.25,185.25,194321
2012-06-12,185.75,192.75,183.75,185.0,134332
2012-06-13,186.5,187.5,184.24,185.0,86639
2012-06-14,187.25,191.75,185.0,188.5,67410
2012-06-15,186.0,192.0,186.0,186.5,350803
2012-06-18,194.25,194.25,185.75,187.25,40496
2012-06-19,193.75,193.75,183.25,187.25,70598
2012-06-20,186.0,189.0,181.0,186.5,84720
2012-06-21,184.5,189.5,184.5,186.5,45677
2012-06-22,183.75,186.0,179.25,180.75,113282
2012-06-25,180.0,188.0,179.0,182.5,105997
2012-06-26,180.0,188.0,180.0,186.0,90264
2012-06-27,185.25,193.0,185.0,190.0,79445
2012-06-28,190.0,191.09,188.25,189.0,163894
2012-06-29,190.25,193.0,188.0,193.0,109876
2012-07-02,190.75,199.0,190.75,199.0,140354
2012-07-03,197.5,197.5,190.75,195.0,44424
2012-07-04,193.0,197.5,193.0,197.5,63477
2012-07-05,197.5,200.0,197.0,200.0,46885
2012-07-06,199.0,204.25,195.61,204.25,128930
2012-07-09,200.0,204.25,199.75,201.25,41103
2012-07-10,201.0,205.0,200.69,202.5,20676
2012-07-11,203.5,203.5,200.25,202.0,53382
2012-07-12,0.0,202.75,0.0,201.5,29149
2012-07-13,202.0,204.5,201.25,202.5,47300
2012-07-16,204.0,207.75,201.75,207.75,51967
2012-07-17,208.0,214.75,203.75,205.32,175595
2012-07-18,204.75,210.75,203.25,210.5,230554
2012-07-19,210.25,215.75,210.25,213.75,88738
2012-07-20,211.5,214.75,209.75,210.75,166307
2012-07-23,210.5,213.75,207.25,210.25,151392
2012-07-24,210.5,211.75,206.5,208.5,107971
2012-07-25,208.5,210.0,207.65,210.0,80872
2012-07-26,208.75,210.0,206.75,207.41,88991
2012-07-27,207.25,210.0,207.0,210.0,78858
2012-07-30,212.75,212.75,207.0,210.5,51558
2012-07-31,208.0,213.5,207.75,212.0,69074
2012-08-01,209.75,214.25,209.75,213.25,50165
2012-08-02,211.5,215.75,211.0,215.75,80812
2012-08-03,214.75,216.5,212.67,216.5,56582
2012-08-06,210.25,223.0,210.25,222.75,130922
2012-08-07,220.0,224.25,218.25,223.0,94864
2012-08-08,224.25,228.0,220.0,228.0,86001
2012-08-09,230.0,230.0,223.75,227.0,122721
2012-08-10,220.25,224.25,219.25,220.0,38553
2012-08-13,220.25,223.5,217.0,220.0,82392
2012-08-14,219.25,222.0,216.25,218.0,45883
2012-08-15,217.25,217.85,215.5,216.5,30978
2012-08-16,217.5,220.0,213.25,214.18,34895
2012-08-17,213.75,219.12,213.75,215.0,85150
2012-08-20,216.0,218.5,212.75,215.5,125563
2012-08-21,214.5,216.0,212.5,215.0,30343
2012-08-22,218.0,218.0,215.75,216.81,42626
2012-08-23,218.5,220.5,217.13,219.94,31896
2012-08-24,218.0,223.01,218.0,220.44,57184
2012-08-28,225.0,225.0,218.74,221.5,39246
2012-08-29,222.75,225.61,221.13,223.5,44587
2012-08-30,225.0,251.0,225.0,248.0,423401
2012-08-31,248.0,249.0,245.0,245.0,130010
2012-09-03,246.25,247.0,244.0,246.0,93448
2012-09-04,247.0,259.25,247.0,251.5,196520
2012-09-05,260.0,260.0,250.5,252.5,137206
2012-09-06,246.25,257.0,246.25,255.0,109196
2012-09-07,252.5,254.5,250.75,253.25,202908
2012-09-10,246.5,259.0,246.5,254.0,44750
2012-09-11,250.0,256.0,250.0,255.0,63900
