Date,Open,High,Low,Close,Volume
2012-01-03,1041.0,1068.0,1011.0,1066.0,1378890
2012-01-04,1066.0,1074.0,1030.0,1040.0,793209
2012-01-05,1038.0,1051.0,977.5,985.5,1847669
2012-01-06,988.0,1024.62,988.0,1006.0,959207
2012-01-09,1013.0,1017.0,977.5,978.0,1065758
2012-01-10,994.0,1043.51,989.5,1027.0,1131358
2012-01-11,1011.0,1041.0,1009.0,1016.0,1078211
2012-01-12,1018.0,1096.0,1016.0,1064.0,1762749
2012-01-13,1079.0,1121.75,1060.65,1085.0,1877194
2012-01-16,1084.0,1084.0,1050.0,1074.0,940936
2012-01-17,1101.0,1107.0,1074.5,1079.0,1079636
2012-01-18,1076.0,1093.57,1054.2,1070.0,1561641
2012-01-19,1070.0,1102.0,1070.0,1095.0,1502458
2012-01-20,1093.0,1149.0,1079.0,1146.0,1542980
2012-01-23,1144.0,1184.0,1138.0,1178.0,1767011
2012-01-24,1166.0,1177.0,1141.0,1159.0,782464
2012-01-25,1155.0,1175.41,1139.0,1152.0,1005791
2012-01-26,1165.0,1253.18,1149.46,1252.0,2407113
2012-01-27,1234.0,1258.0,1217.0,1226.0,1357573
2012-01-30,1213.0,1226.37,1168.0,1176.0,1183098
2012-01-31,1204.0,1226.0,1186.8,1195.0,1796133
2012-02-01,1204.0,1283.0,1196.0,1251.0,1543511
2012-02-02,1264.0,1329.0,1257.0,1323.0,1631900
2012-02-03,1315.0,1381.3,1297.0,1359.0,1251315
2012-02-06,1353.0,1353.0,1300.2,1317.0,1029766
2012-02-07,1316.0,1323.0,1270.0,1297.0,909034
2012-02-08,1310.0,1320.0,1278.0,1281.0,1455374
2012-02-09,1291.0,1313.0,1278.0,1289.0,995511
2012-02-10,1285.0,1285.0,1245.0,1260.0,887380
2012-02-13,1277.0,1305.64,1260.0,1282.0,967909
2012-02-14,1263.0,1284.0,1239.0,1251.0,881503
2012-02-15,1266.0,1287.0,1248.0,1257.0,1140885
2012-02-16,1242.0,1257.3,1221.0,1255.0,822981
2012-02-17,1274.0,1327.0,1271.0,1312.0,1219114
2012-02-20,1341.0,1361.0,1312.0,1358.0,802921
2012-02-21,1364.0,1461.0,1351.15,1453.0,2298265
2012-02-22,1450.0,1472.0,1367.72,1380.0,1983464
2012-02-23,1379.0,1437.0,1372.0,1435.0,1328825
2012-02-24,1433.0,1525.34,1415.0,1500.0,1899983
2012-02-27,1544.0,1564.63,1459.0,1477.0,1939524
2012-02-28,1497.0,1512.0,1469.0,1502.0,810970
2012-02-29,1519.0,1519.0,1439.48,1440.0,1043415
2012-03-01,1445.0,1472.17,1424.0,1464.0,693262
2012-03-02,1465.0,1489.0,1438.57,1454.0,456670
2012-03-05,1445.0,1445.0,1388.0,1400.0,861368
2012-03-06,1395.0,1398.0,1330.0,1345.0,941612
2012-03-07,1351.0,1369.17,1331.0,1344.0,987664
2012-03-08,1354.0,1404.1,1354.0,1393.0,601877
2012-03-09,1398.0,1437.0,1370.0,1421.0,1342021
2012-03-12,1410.0,1419.0,1360.88,1369.0,1004734
2012-03-13,1386.0,1440.0,1383.0,1430.0,894775
2012-03-14,1435.0,1443.0,1391.0,1391.0,780118
2012-03-15,1396.0,1424.0,1380.0,1412.0,548603
2012-03-16,1422.0,1426.0,1396.0,1417.0,963890
2012-03-19,1416.0,1421.0,1388.4,1418.0,655962
2012-03-20,1405.0,1407.0,1345.0,1361.0,887923
2012-03-21,1376.0,1378.0,1337.0,1352.0,672742
2012-03-22,1347.0,1362.1,1268.0,1287.0,935277
2012-03-23,1292.0,1325.13,1280.8,1315.0,888389
2012-03-26,1326.0,1326.0,1280.0,1307.0,769661
2012-03-27,1312.0,1345.0,1299.0,1304.0,674749
2012-03-28,1294.0,1310.0,1226.0,1232.0,1072434
2012-03-29,1229.0,1254.48,1192.0,1210.0,1022540
2012-03-30,1226.0,1264.54,1218.63,1228.0,878843
2012-04-02,1246.0,1263.0,1211.0,1260.0,904887
2012-04-03,1262.0,1267.69,1227.0,1228.0,848657
2012-04-04,1217.0,1222.0,1176.0,1210.0,1209309
2012-04-05,1204.0,1245.0,1178.23,1235.0,669518
2012-04-10,1210.0,1219.0,1149.6,1155.0,1348997
2012-04-11,1134.0,1196.0,1134.0,1179.0,1416838
2012-04-12,1183.0,1224.0,1174.0,1213.0,1089013
2012-04-13,1204.0,1220.0,1178.0,1186.0,974797
2012-04-16,1178.0,1208.0,1162.0,1162.0,908267
2012-04-17,1156.0,1216.0,1153.0,1214.0,990047
2012-04-18,1215.0,1225.0,1195.0,1202.0,798394
2012-04-19,1212.0,1239.0,1199.0,1200.0,826781
2012-04-20,1209.0,1242.0,1193.0,1237.0,608880
2012-04-23,1213.0,1221.0,1162.0,1167.0,725453
2012-04-24,1173.0,1194.2,1153.0,1175.0,522453
2012-04-25,1182.0,1235.0,1182.0,1225.0,613684
2012-04-26,1239.0,1241.0,1187.0,1220.0,453371
2012-04-27,1200.0,1249.0,1190.0,1241.0,448681
2012-04-30,1248.0,1249.5,1213.0,1217.0,441469
2012-05-01,1227.0,1243.0,1213.0,1238.0,228611
2012-05-02,1240.0,1250.0,1196.0,1206.0,677074
2012-05-03,1206.0,1217.0,1171.0,1180.0,565059
2012-05-04,1173.0,1181.0,1112.0,1122.0,927341
2012-05-08,1110.0,1123.66,1051.0,1059.0,1456726
2012-05-09,1068.0,1094.0,1051.0,1060.5,922305
2012-05-10,1099.0,1139.68,1081.0,1118.0,885620
2012-05-11,1119.0,1120.0,1051.0,1089.0,797077
2012-05-14,1070.0,1070.0,1039.0,1053.0,843603
2012-05-15,1065.0,1071.67,998.0,1013.0,1308062
2012-05-16,997.5,1047.31,967.5,1026.0,1328664
2012-05-17,1019.0,1025.0,967.0,985.0,936100
2012-05-18,964.0,971.0,931.0,960.0,1207010
2012-05-21,952.0,1020.0,952.0,1008.0,1489347
2012-05-22,1022.0,1056.0,1014.42,1047.0,915668
2012-05-23,1022.0,1022.0,947.98,951.5,1474674
2012-05-24,970.5,1007.0,952.5,999.5,1312449
2012-05-25,997.0,1007.98,961.5,966.5,872534
2012-05-28,978.5,1002.0,967.5,972.5,487679
2012-05-29,995.0,1009.0,966.0,994.0,1304654
2012-05-30,984.0,984.0,934.0,940.5,935939
2012-05-31,940.0,971.0,916.0,929.0,1728435
2012-06-01,929.0,940.8,879.78,883.5,2039701
2012-06-06,894.5,965.5,894.5,963.5,1379887
2012-06-07,968.0,1033.0,953.5,985.5,1713239
2012-06-08,962.5,966.0,926.5,935.5,1172053
2012-06-11,981.5,998.0,928.0,930.0,1408223
2012-06-12,938.0,949.5,913.0,939.5,1036992
2012-06-13,940.0,953.5,897.0,915.5,1264702
2012-06-14,910.0,922.25,886.5,903.0,1054437
2012-06-15,919.5,960.96,900.61,960.0,3528978
2012-06-18,988.0,992.5,931.5,940.0,1291997
2012-06-19,937.0,980.0,934.73,966.0,923572
2012-06-20,959.0,1006.0,959.0,978.0,816266
2012-06-21,962.5,969.0,926.92,930.0,1166201
2012-06-22,916.0,919.76,893.5,903.5,1471687
2012-06-25,901.0,914.36,877.0,877.0,845541
2012-06-26,874.0,903.0,868.5,881.5,865698
2012-06-27,888.5,902.89,855.0,883.5,947778
2012-06-28,882.0,894.0,856.5,871.5,685725
2012-06-29,910.0,934.05,862.73,912.0,1214617
2012-07-02,914.0,932.0,900.0,906.0,1003801
2012-07-03,938.0,965.79,882.0,961.0,1199115
2012-07-04,957.5,964.0,939.0,942.0,637313
2012-07-05,945.5,975.5,929.0,944.5,963572
2012-07-06,944.5,945.9,907.5,914.5,710457
2012-07-09,915.0,922.5,893.5,897.5,842933
2012-07-10,910.5,947.5,898.0,916.5,825293
2012-07-11,907.0,913.0,894.26,907.0,581910
