Date,Open,High,Low,Close,Volume
2016-07-05,256.0,259.96,255.54,259.0,59000
2016-07-06,262.0,265.0,259.5,263.88,30000
2016-07-07,267.5,269.75,265.7,269.75,50000
2016-07-08,270.0,270.0,266.25,270.0,10000
2016-07-11,269.43,269.43,265.5,265.5,0
2016-07-12,266.0,266.0,261.4,262.75,1500
2016-07-13,262.25,265.61,262.25,264.0,0
2016-07-14,266.5,267.5,265.92,265.92,68086
2016-07-15,262.0,263.5,261.8,263.5,141000
2016-07-18,266.0,266.15,265.25,265.25,21081
2016-07-19,265.0,267.0,265.0,267.0,23000
2016-07-20,267.0,270.0,267.0,270.0,62350
2016-07-21,270.0,270.75,267.0,267.0,124959
2016-07-22,267.96,269.75,267.75,269.62,0
2016-07-25,268.0,268.75,268.0,268.75,6000
2016-07-26,264.75,268.75,264.75,267.0,32069
2016-07-27,266.0,268.88,266.0,267.75,11071
2016-07-28,268.0,268.76,267.0,267.0,1440
2016-07-29,267.0,269.0,267.0,268.66,23425
2016-08-01,269.0,269.25,267.81,269.25,8000
2016-08-02,266.5,266.5,262.38,262.5,11897
2016-08-03,259.25,260.0,257.25,259.25,86362
2016-08-04,258.0,262.5,257.5,262.5,27434
2016-08-05,262.5,265.75,260.0,265.75,103071
2016-08-08,265.75,266.75,264.75,266.75,24700
2016-08-09,266.75,270.0,266.75,269.0,16416
2016-08-10,270.5,276.0,269.49,276.0,33331
2016-08-11,277.0,283.25,277.0,283.25,83450
2016-08-12,282.75,282.75,278.25,282.16,11179
2016-08-15,280.75,283.92,279.0,283.75,449301
2016-08-16,283.5,285.0,282.0,282.0,188180
2016-08-17,279.25,280.84,278.5,280.75,70268
2016-08-18,280.75,281.83,278.64,280.0,3358
2016-08-19,281.75,284.0,278.75,283.0,8505
2016-08-22,279.25,281.75,278.75,281.75,1550
2016-08-23,281.75,282.25,278.3,282.0,14275
2016-08-24,277.75,282.02,277.75,282.0,6160
2016-08-25,280.0,282.0,280.0,282.0,0
2016-08-26,,,,282.0,0
2016-08-30,282.0,284.0,282.0,284.0,56067
2016-08-31,284.0,285.25,284.0,284.0,52252
2016-09-01,282.5,291.0,282.5,290.0,515072
2016-09-02,291.5,291.75,287.18,291.75,643257
2016-09-05,291.75,293.75,288.5,288.5,190550
2016-09-06,290.0,290.0,287.0,287.0,170936
2016-09-07,287.0,288.0,285.0,286.0,317373
2016-09-08,287.0,287.5,285.0,286.0,142577
2016-09-09,286.0,286.32,284.25,285.0,159541
2016-09-12,283.0,283.0,282.75,283.0,156195
2016-09-13,282.25,282.25,281.75,282.0,252020
2016-09-14,282.0,282.0,281.08,281.25,638201
2016-09-15,281.0,283.0,281.0,282.0,501583
2016-09-16,282.0,288.0,282.0,288.0,6082527
2016-09-19,283.0,286.0,283.0,286.0,141313
2016-09-20,285.0,287.0,284.75,285.0,476284
2016-09-21,285.5,287.25,284.0,285.0,366832
2016-09-22,285.0,288.0,285.0,286.0,406238
2016-09-23,287.0,291.0,287.0,291.0,73138
2016-09-26,291.25,292.0,288.5,291.5,170634
2016-09-27,291.5,292.75,288.5,292.75,335737
2016-09-28,293.0,297.5,293.0,297.0,358741
2016-09-29,297.5,300.0,295.5,300.0,81610
2016-09-30,299.75,300.0,299.75,300.0,61774
2016-10-03,300.0,305.0,299.31,302.5,240063
2016-10-04,303.0,311.5,300.0,311.5,616947
2016-10-05,310.75,310.75,306.75,307.0,178498
2016-10-06,306.5,310.25,306.5,307.75,36687
2016-10-07,308.0,313.0,308.0,311.0,210252
2016-10-10,313.0,313.0,308.5,310.75,68054
2016-10-11,308.0,311.5,308.0,311.5,15726
2016-10-12,311.5,313.25,309.5,310.0,165005
2016-10-13,313.5,313.5,311.7,312.0,25817
2016-10-14,312.0,313.5,312.0,313.5,134818
2016-10-17,313.5,315.0,311.12,315.0,67806
2016-10-18,315.0,316.0,311.28,316.0,27919
2016-10-19,316.75,317.0,312.75,317.0,28601
2016-10-20,317.25,317.25,312.0,313.75,66959
2016-10-21,310.0,313.75,310.0,313.25,35271
2016-10-24,309.0,313.0,309.0,309.0,10257
2016-10-25,312.5,313.0,308.25,311.0,22411
2016-10-26,310.25,310.25,303.5,304.25,75830
2016-10-27,303.75,309.25,303.75,309.25,42711
2016-10-28,308.0,308.0,304.5,307.25,42614
2016-10-31,307.0,307.32,304.5,306.5,49166
2016-11-01,307.0,310.0,307.0,309.5,92684
2016-11-02,309.0,309.0,305.36,309.0,10553
2016-11-03,304.0,307.0,303.0,303.5,135751
2016-11-04,306.0,306.0,303.0,305.0,10686
2016-11-07,308.75,308.75,304.25,308.0,9200
2016-11-08,307.0,309.0,304.0,308.75,9779
2016-11-09,300.0,309.0,297.5,306.0,29282
2016-11-10,311.75,313.5,308.5,313.0,52270
2016-11-11,307.25,310.0,305.0,310.0,13653
2016-11-14,308.75,309.0,305.0,307.75,11949
2016-11-15,308.0,308.5,305.0,306.0,82924
2016-11-16,307.0,307.25,303.25,307.25,34346
2016-11-17,307.75,307.75,303.5,303.5,29698
2016-11-18,308.25,308.25,303.25,305.5,28293
