Date,Open,High,Low,Close,Volume
2012-01-03,331.83,335.32,326.1,331.38,60228356
2012-01-04,331.28,334.81,329.08,330.0,30538989
2012-01-05,328.99,329.54,319.62,325.05,67394969
2012-01-06,329.91,332.77,327.98,329.08,41367826
2012-01-09,330.37,332.5,323.95,324.68,56620860
2012-01-10,327.89,330.0,324.41,327.71,43321849
2012-01-11,329.72,330.18,325.51,328.72,29401337
2012-01-12,331.3,333.7,327.8,329.1,32978181
2012-01-13,332.8,332.8,313.0,320.8,107076677
2012-01-16,320.28,322.67,318.36,322.39,27852707
2012-01-17,325.05,325.87,318.82,321.57,147674435
2012-01-18,321.02,323.58,317.17,320.92,29764150
2012-01-19,322.02,322.1,316.25,319.92,60309719
2012-01-20,324.22,327.98,320.47,324.59,122381367
2012-01-23,325.23,329.5,323.77,327.89,38144977
2012-01-24,325.78,327.89,320.47,323.12,54436154
2012-01-25,322.39,323.31,318.82,320.01,71740031
2012-01-26,319.28,320.98,316.89,319.0,55017792
2012-01-27,318.45,319.18,315.33,315.79,42895330
2012-01-30,314.69,318.63,314.32,314.97,39899498
2012-01-31,317.08,317.99,313.12,313.13,56844104
2012-02-01,314.42,316.27,311.76,312.68,59689404
2012-02-02,313.87,317.89,311.76,313.18,65483991
2012-02-03,314.42,321.48,313.01,320.34,69064433
2012-02-06,321.02,326.48,320.86,326.06,40590829
2012-02-07,326.24,328.17,320.28,320.74,41747603
2012-02-08,320.5,321.9,317.4,318.3,62030270
2012-02-09,313.5,321.04,312.95,319.92,64879085
2012-02-10,320.38,321.03,316.25,316.52,35116719
2012-02-13,317.72,320.01,316.52,319.73,24086489
2012-02-14,317.53,320.28,315.88,318.68,31561542
2012-02-15,319.92,321.19,317.62,318.18,31832710
2012-02-16,317.35,319.92,315.42,318.72,26854839
2012-02-17,320.1,321.29,317.9,320.47,35089840
2012-02-20,320.83,322.79,319.46,321.57,20873413
2012-02-21,321.75,323.74,320.83,322.3,31682585
2012-02-22,323.4,323.4,315.79,318.82,44741722
2012-02-23,319.55,319.82,316.62,318.08,45426794
2012-02-24,319.37,319.55,314.69,314.88,37347053
2012-02-27,314.42,318.88,313.13,315.33,43408683
2012-02-28,316.25,318.62,314.69,315.98,28749161
2012-02-29,315.33,317.22,309.92,310.48,64833261
2012-03-01,311.76,315.66,310.29,314.97,39735040
2012-03-02,315.15,315.33,310.92,312.77,22211235
2012-03-05,311.67,314.69,310.75,313.59,32417140
2012-03-06,313.04,314.32,311.3,311.67,40806320
2012-03-07,312.03,312.76,310.2,311.67,36353999
2012-03-08,311.85,313.04,309.19,312.03,39174847
2012-03-09,311.58,312.45,309.1,309.19,46737694
2012-03-12,308.37,312.96,308.18,312.58,26773925
2012-03-13,313.04,315.46,312.49,313.04,37877652
2012-03-14,313.13,314.17,304.61,305.52,71854853
2012-03-15,304.06,307.64,303.78,305.8,59264626
2012-03-16,306.62,308.37,302.87,304.98,90926772
2012-03-19,305.25,308.28,304.73,306.81,35672625
2012-03-20,307.18,315.09,307.08,313.13,52313201
2012-03-21,317.2,319.0,314.0,314.0,62909067
2012-03-22,314.6,320.28,311.85,318.54,44754432
2012-03-23,319.55,321.84,317.1,318.27,29618099
2012-03-26,317.53,320.47,316.89,319.55,26568684
2012-03-27,320.74,322.12,317.78,319.09,39100321
2012-03-28,319.64,321.75,318.45,318.45,29630026
2012-03-29,320.65,320.65,315.64,319.82,43799611
2012-03-30,322.21,322.21,314.14,315.7,45999509
2012-04-02,318.72,322.12,314.66,322.02,36694250
2012-04-03,323.4,323.4,320.95,321.84,31005092
2012-04-04,321.84,324.18,314.14,315.52,41144415
2012-04-05,315.33,316.89,311.85,315.24,34662589
2012-04-10,313.78,315.66,311.12,311.12,37993916
2012-04-11,310.93,313.18,308.16,311.12,43443086
2012-04-12,310.57,313.13,308.55,310.27,34946788
2012-04-13,308.92,310.75,307.91,310.66,28752995
2012-04-16,310.48,316.07,309.92,311.67,33504471
2012-04-17,312.4,317.4,312.4,315.9,29909501
2012-04-18,315.61,316.71,310.57,311.48,32504956
2012-04-19,312.68,321.16,312.12,315.98,47618326
2012-04-20,312.58,317.99,310.93,314.42,40805859
2012-04-23,313.13,317.66,312.38,314.23,32307727
2012-04-24,313.5,315.96,312.86,315.06,28339202
2012-04-25,315.7,317.17,313.22,314.88,30649436
2012-04-26,312.4,315.61,311.76,315.52,31948931
2012-04-27,315.42,316.43,312.03,313.68,28376714
2012-04-30,314.42,316.67,310.02,312.58,26388548
2012-05-01,313.9,318.1,312.6,317.0,15398899
2012-05-02,317.81,317.81,312.12,315.33,34071091
2012-05-03,317.17,319.67,316.8,317.17,34212111
2012-05-04,316.62,318.54,313.59,314.97,31903327
2012-05-08,320.19,322.05,314.42,314.42,55802684
2012-05-09,316.43,318.12,311.21,313.84,40955604
2012-05-10,313.13,315.24,312.58,313.96,35194583
2012-05-11,313.78,316.07,311.39,315.33,34371027
2012-05-14,313.96,315.8,309.56,311.02,27842058
2012-05-15,312.22,313.96,310.66,312.49,36066902
2012-05-16,310.75,311.64,307.72,307.82,41822787
2012-05-17,306.72,307.91,300.89,304.15,44195997
2012-05-18,302.41,306.35,301.03,301.22,45409072
2012-05-21,302.5,305.39,301.06,302.5,28797564
2012-05-22,308.55,316.02,306.17,315.33,69682862
2012-05-23,313.22,317.62,308.6,310.93,42316223
2012-05-24,311.02,316.43,310.29,314.78,28988791
2012-05-25,316.34,317.9,312.03,317.35,25401248
2012-05-28,318.27,319.81,304.63,316.43,16346168
2012-05-29,315.79,317.26,312.4,316.16,22819370
2012-05-30,315.06,316.03,311.48,315.06,27492100
2012-05-31,316.43,318.97,304.02,317.17,56600341
2012-06-01,317.26,320.49,316.34,319.0,47261246
2012-06-06,306.72,310.46,305.89,309.74,39266164
2012-06-07,311.21,311.78,307.91,309.74,37572124
2012-06-08,309.56,314.99,308.73,314.42,36817512
2012-06-11,316.34,317.7,311.76,313.59,26110489
2012-06-12,312.49,320.56,312.45,320.28,46104491
2012-06-13,320.74,323.06,319.73,321.75,41570134
2012-06-14,321.2,323.86,319.55,322.3,32090043
2012-06-15,323.12,323.12,318.26,318.45,86767424
2012-06-18,318.72,320.83,316.89,320.65,34658518
2012-06-19,320.83,327.56,319.92,326.52,41557003
2012-06-20,325.51,327.36,322.48,325.69,34984250
2012-06-21,324.5,326.79,323.86,326.33,38410755
2012-06-22,323.86,328.06,320.83,325.6,32412582
2012-06-25,324.04,327.52,322.64,327.43,33797222
2012-06-26,327.25,328.93,326.79,327.16,29951607
2012-06-27,328.62,332.48,326.52,332.48,28460272
2012-06-28,332.48,333.38,328.53,331.47,39685444
2012-06-29,333.21,333.48,326.79,328.62,50939009
2012-07-02,329.08,330.77,323.68,328.9,39668799
2012-07-03,328.26,329.42,308.82,329.18,30296037
2012-07-04,328.35,333.23,328.17,330.92,23103412
2012-07-05,330.46,334.49,328.08,334.49,43897565
2012-07-06,334.49,335.72,330.55,331.56,22532722
2012-07-09,332.84,335.24,330.28,332.38,26722077
2012-07-10,333.67,334.4,330.73,333.02,29169735
2012-07-11,333.58,339.05,331.65,337.42,43747143
2012-07-12,335.68,336.42,331.38,333.48,32002612
2012-07-13,335.22,336.42,333.3,335.22,32647473
2012-07-16,335.22,339.65,333.48,336.05,33255194
2012-07-17,337.9,337.9,332.2,335.0,29315397
2012-07-18,336.78,339.53,335.41,339.53,32582506
2012-07-19,340.08,342.83,332.48,335.59,63332082
2012-07-20,331.65,334.77,325.11,330.0,77083336
2012-07-23,328.9,330.95,326.25,328.53,30435736
2012-07-24,328.26,329.91,323.95,325.32,31624152
2012-07-25,325.88,329.52,324.32,325.97,35301502
2012-07-26,327.89,331.93,326.61,329.45,35155312
2012-07-27,330.73,334.02,328.99,332.57,32712425
2012-07-30,333.3,335.04,331.38,334.58,31476783
2012-07-31,335.96,338.7,334.77,334.77,37166374
2012-08-01,336.05,346.78,334.86,345.95,56746393
2012-08-02,346.78,347.05,341.55,344.58,38228853
2012-08-03,345.58,349.52,342.38,348.61,33037549
2012-08-06,348.33,349.71,345.12,348.98,23106673
2012-08-07,348.79,350.9,346.13,348.79,25181240
2012-08-08,348.33,351.45,346.38,350.62,28121228
2012-08-09,350.62,351.08,346.69,348.15,27539192
2012-08-10,347.23,350.48,346.59,349.16,19094530
2012-08-13,349.07,350.99,346.5,348.7,15033493
2012-08-14,349.89,351.89,348.52,349.43,24902234
2012-08-15,345.58,348.15,344.02,346.04,32959274
2012-08-16,341.58,346.04,339.53,340.18,40675900
2012-08-17,341.64,342.11,337.52,340.91,29050807
2012-08-20,341.37,343.58,340.54,342.38,23070321
2012-08-21,342.92,343.75,340.27,342.1,22164020
2012-08-22,339.9,340.88,336.97,337.06,22800359
2012-08-23,338.43,339.26,335.04,337.52,22076457
2012-08-24,338.25,340.54,337.06,338.71,19199535
2012-08-28,342.1,342.1,337.3,339.2,27125070
2012-08-29,338.43,340.46,336.42,337.52,21444399
2012-08-30,337.15,339.08,335.68,335.68,20124855
2012-08-31,336.05,336.32,332.57,332.75,61350704
2012-09-03,333.02,336.16,332.48,335.87,13915263
2012-09-04,331.83,332.75,325.66,327.16,51879786
2012-09-05,327.98,335.1,323.22,323.58,53726400
2012-09-06,325.42,334.75,320.05,328.17,65165570
2012-09-07,328.72,329.72,323.22,324.68,45197616
2012-09-10,323.31,326.33,322.45,323.77,26940765
2012-09-11,323.95,326.12,321.93,323.86,34615387
2012-09-12,322.7,324.5,316.6,319.0,65742480
2012-09-13,319.73,327.39,318.54,325.14,53074225
2012-09-14,328.62,329.08,321.11,322.39,51761353
2012-09-17,319.0,321.87,317.26,318.36,36196276
2012-09-18,318.82,324.92,317.81,321.57,51525326
2012-09-19,321.84,323.8,317.81,319.82,36922470
2012-09-20,319.37,322.71,318.83,320.83,42031806
2012-09-21,323.03,327.32,322.3,327.16,72151470
2012-09-24,325.97,326.37,324.04,326.33,26147807
2012-09-25,326.33,329.54,325.42,327.89,25413775
2012-09-26,326.7,327.16,323.58,325.23,28025091
2012-09-27,326.7,327.16,323.22,324.32,26348023
2012-09-28,326.06,326.33,321.66,322.21,49529415
2012-10-01,322.58,324.63,321.38,323.31,31238235
2012-10-02,322.39,324.68,320.92,322.67,27437337
2012-10-03,322.21,326.06,321.29,325.42,25962376
2012-10-04,326.52,327.89,325.14,326.33,28954829
2012-10-05,327.43,332.93,327.43,331.19,41756513
2012-10-08,329.45,332.98,329.45,330.64,15248102
2012-10-09,330.82,331.83,326.79,328.81,25830304
2012-10-10,328.81,329.18,326.42,326.42,22733881
2012-10-11,325.88,328.53,324.68,326.98,24702426
2012-10-12,326.3,326.3,319.9,320.5,44342708
2012-10-15,320.01,321.88,316.98,317.72,35763013
2012-10-16,318.91,319.97,316.62,317.17,38097867
2012-10-17,317.72,321.24,316.25,320.38,48764346
2012-10-18,321.2,326.7,320.38,324.13,64330453
