Date,Open,High,Low,Close,Volume
2016-03-31,178.45,179.5,175.6,179.0,0
2016-04-01,178.89,179.5,175.5,179.5,80500
2016-04-04,178.88,178.89,176.0,176.0,0
2016-04-05,179.5,180.0,176.1,176.5,7123
2016-04-06,177.15,179.75,177.0,177.0,453
2016-04-11,185.3,187.77,184.25,187.77,0
2016-04-12,187.5,189.0,186.5,188.82,11150
2016-04-13,188.83,189.26,187.15,189.2,0
2016-04-14,189.24,189.6,187.81,189.46,0
2016-04-15,190.0,192.0,189.6,191.47,11988
2016-04-18,191.62,192.5,190.25,190.75,8000
2016-04-19,192.25,192.25,190.25,191.7,3000
2016-04-20,191.71,191.71,190.25,191.34,7849
2016-04-21,191.96,193.0,190.5,192.37,2500
2016-04-22,192.37,193.48,191.0,192.35,0
2016-04-25,190.75,192.5,190.75,192.5,35300
2016-04-26,192.25,192.25,191.0,191.0,0
2016-04-27,194.0,194.0,191.0,194.0,9998
2016-04-28,192.0,192.0,191.0,191.0,0
2016-04-29,191.0,191.5,191.0,191.0,15093
2016-05-03,191.0,191.75,191.0,191.25,0
2016-05-04,191.3,191.5,191.0,191.0,10000
2016-05-05,191.01,191.75,191.01,191.49,0
2016-05-06,191.0,191.5,191.0,191.0,5000
2016-05-09,191.0,191.9,190.0,190.0,5000
2016-05-10,192.0,192.0,191.0,191.0,0
2016-05-11,192.0,192.0,191.0,191.1,9999
2016-05-12,191.51,192.5,191.51,192.5,35000
2016-05-13,191.99,191.99,190.0,191.5,19529
2016-05-16,191.99,192.0,191.3,192.0,2524
2016-05-17,192.75,192.75,191.5,192.0,11008
2016-05-18,192.0,192.75,191.5,191.75,0
2016-05-19,191.5,193.0,191.0,191.0,19999
2016-05-20,191.5,192.25,191.5,191.9,0
2016-05-23,191.5,192.5,191.0,191.0,5625
2016-05-24,191.5,191.85,191.5,191.5,0
2016-05-25,191.65,191.75,191.5,191.5,1300
2016-05-26,191.62,191.75,191.5,191.5,0
2016-05-27,191.75,192.5,191.5,191.5,25001
2016-05-31,191.5,192.85,191.5,192.0,946
2016-06-01,192.0,193.0,191.5,191.7,452
2016-06-02,191.75,193.0,191.5,192.25,20356
2016-06-03,192.0,193.04,191.5,193.04,19548
2016-06-06,195.0,195.0,192.5,192.75,2
2016-06-07,192.0,194.5,192.0,193.0,66311
2016-06-08,195.01,196.5,194.11,196.5,102148
2016-06-09,195.5,203.96,195.5,198.5,42111
2016-06-10,203.8,204.0,197.0,201.0,1615
2016-06-13,200.0,201.66,199.12,200.0,43000
2016-06-14,201.75,203.67,200.0,202.0,107060
2016-06-15,201.5,203.68,199.5,201.5,200795
2016-06-16,199.5,200.75,199.5,199.5,238062
2016-06-17,200.0,210.0,200.0,201.95,5791665
2016-06-20,205.0,206.62,202.25,205.0,463748
2016-06-21,206.5,206.5,202.75,203.0,92321
2016-06-22,204.0,204.0,203.0,203.0,178184
2016-06-23,203.75,203.75,201.0,202.0,65432
2016-06-24,200.0,205.75,193.5,205.0,250448
2016-06-27,206.5,206.5,200.0,203.25,247624
2016-06-28,202.0,204.75,202.0,203.5,370304
2016-06-29,206.0,208.75,202.25,208.0,99666
2016-06-30,209.0,211.5,206.25,211.0,276650
2016-07-01,213.5,222.5,210.25,217.75,223061
2016-07-04,218.0,222.0,218.0,220.0,314286
2016-07-05,220.0,222.5,219.54,222.0,270264
2016-07-06,220.25,223.25,220.25,222.0,73706
2016-07-07,223.25,224.05,221.04,223.0,54845
2016-07-08,224.5,225.0,221.0,223.5,310965
2016-07-11,225.75,225.88,222.62,225.0,173557
2016-07-12,225.0,225.0,218.25,220.0,243157
2016-07-13,221.0,226.5,220.62,225.7,830242
2016-07-14,225.75,227.0,223.0,223.9,390563
2016-07-15,225.0,225.0,223.0,225.0,57282
2016-07-18,225.25,226.0,224.59,225.75,176888
2016-07-19,225.75,230.0,225.0,230.0,258868
2016-07-20,230.0,230.0,226.75,230.0,47508
2016-07-21,228.25,228.25,225.0,226.0,226979
2016-07-22,225.75,225.75,224.5,225.0,35488
2016-07-25,224.0,224.75,222.0,223.0,217194
2016-07-26,223.0,225.0,221.5,222.5,83522
2016-07-27,222.5,226.0,221.57,225.0,116499
2016-07-28,226.0,226.0,223.25,224.0,256154
2016-07-29,221.5,226.0,221.5,224.5,157632
2016-08-01,224.5,224.66,222.75,222.75,24202
2016-08-02,218.0,219.32,215.1,216.0,178283
2016-08-03,215.25,215.88,214.5,215.0,190675
2016-08-04,215.25,219.75,214.96,219.25,179950
