Date,Open,High,Low,Close,Volume
2012-01-04,,,,222.5,0.0
2012-01-06,219.0,219.0,214.5,214.5,2137.0
2012-01-09,226.75,226.75,212.25,223.25,3787.0
2012-01-10,225.88,225.88,219.5,225.88,212.0
2012-01-11,214.5,214.75,213.5,214.75,8980.0
2012-01-12,213.5,0.0,213.5,213.5,2198.0
2012-01-13,212.0,0.0,212.0,212.0,3714.0
2012-01-16,212.0,219.0,212.0,219.0,5994.0
2012-01-17,220.0,220.0,213.0,213.0,969.0
2012-01-18,211.88,220.0,211.88,220.0,4499.0
2012-01-19,211.4,220.0,211.4,211.4,14207.0
2012-01-20,211.4,216.5,211.4,211.4,7952.0
2012-01-23,,,,212.0,0.0
2012-01-25,211.4,0.0,211.4,211.4,2200.0
2012-01-26,220.0,220.0,216.5,220.0,3097.0
2012-01-27,220.49,225.97,220.49,225.97,1216.0
2012-01-30,221.4,227.05,221.4,225.0,313902.0
2012-01-31,223.25,235.0,223.25,225.0,10825.0
2012-02-01,236.1,236.1,0.0,228.45,3259.0
2012-02-02,236.1,236.25,228.45,236.25,19750.0
2012-02-03,232.57,233.0,0.0,233.0,3342.0
2012-02-06,236.1,236.1,227.25,227.25,17152.0
2012-02-07,232.25,243.42,232.25,235.25,3940.0
2012-02-08,239.75,243.0,232.4,243.0,22910.0
2012-02-09,245.0,248.25,239.52,248.25,23219.0
2012-02-10,253.25,257.5,252.5,253.5,24676.0
2012-02-13,252.0,257.48,247.25,256.0,8678.0
2012-02-14,247.25,257.75,246.0,246.0,1662.0
2012-02-15,246.25,256.37,246.25,247.0,534.0
2012-02-16,,,,248.22,0.0
2012-02-17,,,,246.83,0.0
2012-02-20,,,,253.5,0.0
2012-02-21,247.25,247.25,247.25,247.25,1608.0
2012-02-22,257.75,257.75,256.5,256.5,2409.0
2012-02-23,,,,246.8,0.0
2012-02-24,,,,253.0,0.0
2012-02-27,,,,246.6,0.0
2012-02-28,249.5,249.5,246.5,246.5,651.0
2012-02-29,249.75,252.25,245.0,246.5,212.0
2012-03-01,246.5,248.25,243.15,243.15,1138.0
2012-03-02,,,,243.15,0.0
2012-03-05,248.0,248.0,241.76,243.0,545.0
2012-03-06,,,,243.0,0.0
2012-03-07,243.25,243.25,240.75,240.75,2502.0
2012-03-08,249.0,249.0,246.75,246.75,350.0
2012-03-09,240.0,240.0,240.0,240.0,403.0
2012-03-12,242.0,248.0,240.0,240.0,1742.0
2012-03-13,240.0,245.74,240.0,240.0,60.0
2012-03-14,240.0,248.0,240.0,247.0,2771.0
2012-03-15,253.0,253.8,250.0,250.0,2208.0
2012-03-16,253.25,258.0,252.25,258.0,1756.0
2012-03-19,,,,255.99,0.0
2012-03-20,250.0,250.0,250.0,250.0,500.0
2012-03-21,250.0,252.38,246.46,250.0,676.0
2012-03-22,252.0,252.0,245.0,245.0,5900.0
2012-03-23,250.36,250.36,239.57,240.0,612.0
2012-03-26,,,,241.45,0.0
2012-03-27,251.75,253.35,240.0,240.0,12.0
2012-03-28,,,,240.5,0.0
2012-03-29,246.25,246.25,240.94,242.58,115.0
2012-03-30,250.0,252.0,238.84,252.0,422.0
2012-04-02,250.05,245.0,242.35,245.0,17.0
2012-04-03,239.62,250.0,239.62,249.25,6.0
2012-04-04,250.0,250.0,236.0,250.0,16107.0
2012-04-05,,,,243.35,0.0
2012-04-10,249.75,250.05,243.71,250.0,2955.0
2012-04-11,242.25,254.25,242.25,254.25,2706.0
2012-04-12,,,,248.65,0.0
2012-04-13,256.75,257.0,245.0,255.75,1357.0
2012-04-16,,,,255.92,0.0
2012-04-17,245.5,250.0,245.5,250.0,142.0
2012-04-18,250.0,250.0,250.0,250.0,2616.0
2012-04-19,245.25,245.25,245.0,245.0,102.0
2012-04-20,253.25,259.9,249.87,250.0,4086.0
2012-04-23,263.25,263.5,250.6,260.0,800.0
2012-04-24,248.75,257.4,248.5,248.5,712.0
2012-04-25,,,,259.9,0.0
2012-04-26,260.0,269.0,253.0,269.0,6647.0
2012-04-27,268.75,269.0,259.61,269.0,510.0
2012-04-30,,,,259.3,0.0
2012-05-01,267.6,267.6,257.0,257.0,38.0
2012-05-02,258.0,262.42,251.5,251.5,12139.0
2012-05-03,251.5,252.47,240.0,240.0,10673.0
2012-05-04,240.0,248.0,240.0,240.0,3022.0
2012-05-08,241.25,243.25,241.0,241.0,405.0
2012-05-09,240.25,244.49,236.5,241.92,4367.0
2012-05-10,236.5,246.0,234.75,234.75,4661.0
2012-05-11,244.0,249.75,235.25,240.25,7064.0
2012-05-14,240.25,249.31,235.0,235.0,10166.0
2012-05-15,,,,248.0,0.0
2012-05-16,235.25,235.25,235.25,235.25,8.0
2012-05-17,245.0,245.0,237.0,237.0,1866.0
2012-05-18,,,,249.86,0.0
2012-05-21,237.25,237.25,237.0,237.0,274.0
2012-05-22,237.25,248.0,237.0,237.0,414.0
