Date,Open,High,Low,Close,Volume
2012-12-17,604.0,650.0,604.0,642.68,658402
2012-12-18,633.0,645.5,633.0,645.0,498044
2012-12-19,325.0,342.7,317.8,324.0,1870694
2012-12-20,323.6,353.4,323.6,352.0,1758056
2012-12-21,351.5,352.5,343.8,345.0,1460138
2012-12-24,343.1,354.1,343.1,347.9,245438
2012-12-27,345.0,357.1,344.5,345.0,815445
2012-12-28,343.5,348.0,343.5,346.6,584420
2012-12-31,343.5,346.6,343.3,346.0,47902
2013-01-02,348.0,358.8,344.3,356.2,1382774
2013-01-03,358.3,369.8,355.8,367.1,1194129
2013-01-04,364.6,383.9,363.7,382.02,1728357
2013-01-07,379.8,380.5,365.1,370.6,1460996
2013-01-08,367.2,380.0,367.2,372.1,1274117
2013-01-09,375.5,381.0,374.3,380.3,951865
2013-01-10,380.0,380.7,374.2,379.1,1691478
2013-01-11,380.5,381.7,371.7,374.1,2120267
2013-01-14,372.59,376.6,366.4,367.2,1447314
2013-01-15,366.3,368.3,357.4,359.6,1255217
2013-01-16,358.3,360.7,356.55,358.0,582493
2013-01-17,363.0,366.64,357.3,366.6,597029
2013-01-18,367.5,367.5,359.1,365.3,801223
2013-01-21,365.3,369.3,364.7,367.5,326045
2013-01-22,365.1,374.3,363.1,371.6,608423
2013-01-23,374.4,374.4,369.5,371.0,626802
2013-01-24,373.7,373.8,371.6,373.4,618279
2013-01-25,376.0,379.4,374.6,376.0,668140
2013-01-28,377.5,378.1,373.4,375.7,355444
2013-01-29,376.0,376.0,366.6,368.0,737470
2013-01-30,372.5,372.5,359.5,363.1,534304
2013-01-31,363.4,365.6,358.5,362.4,925498
2013-02-01,364.6,375.9,363.3,374.5,698451
2013-02-04,372.7,375.1,367.1,371.86,635369
2013-02-05,369.5,375.4,369.22,372.3,448131
2013-02-06,374.1,380.19,373.8,376.6,453490
2013-02-07,380.4,380.6,375.8,378.05,462509
2013-02-08,376.5,383.8,376.1,382.46,448889
2013-02-11,383.4,383.8,378.1,380.85,445751
2013-02-12,382.2,385.04,378.9,385.0,260975
2013-02-13,387.0,393.1,378.9,391.5,373388
2013-02-14,390.0,393.9,377.6,385.0,896548
2013-02-15,393.9,393.9,379.0,382.4,659622
2013-02-18,383.8,386.3,377.0,380.9,425169
2013-02-19,381.1,381.1,376.0,379.6,696509
2013-02-20,380.2,387.6,380.2,382.7,629185
2013-02-21,380.9,381.1,373.8,379.5,642170
2013-02-22,382.2,388.2,382.2,383.2,1175822
2013-02-25,386.3,387.7,376.4,380.1,743354
2013-02-26,371.2,375.7,370.1,372.3,436221
2013-02-27,375.5,381.1,373.3,380.2,683130
2013-02-28,384.2,387.6,381.3,382.7,439085
2013-03-01,380.5,382.8,371.3,376.9,385634
2013-03-04,374.8,375.0,368.5,373.9,544679
2013-03-05,377.4,388.9,372.78,388.0,1254156
2013-03-06,390.6,393.7,387.3,393.6,862124
2013-03-07,394.4,398.6,394.0,395.3,699336
2013-03-08,397.1,399.5,386.3,392.5,570155
2013-03-11,393.5,396.7,384.6,388.6,765514
2013-03-12,388.5,393.0,387.7,390.7,1198487
2013-03-13,391.1,392.0,383.4,383.9,618094
2013-03-14,385.7,391.0,384.1,391.0,819124
2013-03-15,393.5,402.1,388.4,402.1,1856421
2013-03-18,391.8,398.0,388.5,389.4,781482
2013-03-19,389.4,391.0,384.7,386.0,525411
2013-03-20,389.4,389.7,384.0,386.9,394186
2013-03-21,388.6,388.6,365.0,373.6,909139
2013-03-22,373.2,373.6,364.4,365.3,1110088
2013-03-25,370.7,371.6,365.9,366.9,492289
2013-03-26,370.1,370.2,362.8,365.97,533844
2013-03-27,366.0,366.7,350.7,353.2,674130
2013-03-28,354.1,354.5,349.7,352.6,561928
2013-04-02,356.8,356.8,349.7,351.8,676911
2013-04-03,353.5,355.2,347.7,350.93,1018452
2013-04-04,351.1,352.9,348.3,349.9,909975
2013-04-05,351.9,351.9,332.0,332.4,2406356
2013-04-08,333.2,339.5,329.0,330.0,1033524
2013-04-09,333.2,334.6,326.6,334.4,963219
2013-04-10,328.0,349.6,328.0,347.6,1035198
2013-04-11,350.0,350.0,338.1,343.2,757015
2013-04-12,340.1,344.7,335.8,338.3,343383
2013-04-15,340.3,345.3,329.2,331.5,648400
2013-04-16,331.7,332.6,326.4,330.3,507705
2013-04-17,333.5,333.5,324.4,327.1,614102
2013-04-18,329.4,333.3,325.6,329.1,669682
2013-04-19,332.3,332.3,321.0,322.1,718791
2013-04-22,325.5,332.5,323.8,326.8,1060728
2013-04-23,327.0,338.1,325.0,337.0,961170
2013-04-24,339.5,343.2,337.2,340.14,606206
2013-04-25,341.5,346.8,340.3,343.1,517786
2013-04-26,342.9,346.7,339.4,346.0,510801
2013-04-29,347.3,350.9,342.6,345.2,325694
2013-04-30,348.1,348.5,341.74,344.0,628831
2013-05-01,350.2,350.8,347.2,350.5,252940
2013-05-02,349.8,349.8,343.2,347.2,576850
2013-05-03,349.0,352.7,345.1,352.7,811310
2013-05-07,352.3,358.6,352.3,355.0,587801
2013-05-08,356.5,365.9,356.5,363.2,560670
2013-05-09,366.2,370.7,366.2,369.1,517029
2013-05-10,367.2,376.2,367.2,371.3,478903
2013-05-13,374.1,377.5,364.7,372.7,395501
2013-05-14,375.5,375.5,366.5,373.3,396612
2013-05-15,364.9,370.9,360.3,363.1,413793
2013-05-16,357.2,363.2,357.2,361.8,501634
2013-05-17,364.1,367.29,361.7,365.4,380377
2013-05-20,365.8,367.1,361.1,366.6,301191
2013-05-21,366.7,373.8,366.0,373.0,436107
2013-05-22,375.9,379.7,367.3,374.5,695762
2013-05-23,369.8,371.5,365.9,370.1,866997
2013-05-24,373.7,373.8,366.41,367.6,455002
2013-05-28,374.8,375.3,371.3,373.5,219734
2013-05-29,370.0,374.8,367.6,373.9,469636
2013-05-30,373.4,378.15,372.71,377.8,264661
2013-05-31,379.8,381.5,369.3,380.6,682943
2013-06-03,377.2,383.7,376.9,382.1,566814
2013-06-04,385.7,386.5,379.3,382.1,465935
2013-06-05,383.2,385.1,379.69,382.7,664364
2013-06-06,383.9,385.1,371.7,372.0,455536
2013-06-07,376.2,376.2,370.1,374.5,412474
2013-06-10,375.2,383.6,370.1,380.9,371056
2013-06-11,386.8,386.8,369.4,377.3,640065
2013-06-12,379.2,382.5,377.4,382.5,828871
2013-06-13,378.0,384.3,376.1,376.5,587442
2013-06-14,378.9,381.0,371.6,380.5,912953
2013-06-17,381.0,383.9,378.2,378.2,565629
2013-06-18,369.5,374.3,360.3,371.1,973512
2013-06-19,373.9,373.9,364.7,368.0,671417
2013-06-20,364.0,365.9,355.5,357.7,538859
2013-06-21,361.0,362.2,349.6,353.6,1969397
2013-06-24,353.9,354.0,344.85,346.0,476354
2013-06-25,351.5,355.0,345.5,348.8,696954
2013-06-26,350.2,359.1,347.55,354.3,542565
2013-06-27,357.2,370.0,354.0,366.6,445465
2013-06-28,368.3,372.5,364.5,367.6,612000
2013-07-01,372.6,377.06,366.6,377.06,404210
2013-07-02,377.3,377.3,370.8,375.5,187966
2013-07-03,374.6,378.8,369.8,375.9,262161
2013-07-04,381.1,389.99,379.1,389.6,165690
2013-07-05,390.1,392.0,379.5,379.5,264775
2013-07-08,379.6,394.3,379.6,393.1,325086
2013-07-09,395.0,399.3,390.4,394.7,338582
2013-07-10,394.9,397.0,384.2,391.6,318234
2013-07-11,398.0,398.0,388.5,390.3,282205
2013-07-12,393.4,397.2,388.5,396.0,242364
2013-07-15,397.9,400.7,395.88,397.75,361524
2013-07-16,400.2,400.8,395.5,400.0,272403
2013-07-17,401.9,408.1,401.3,407.1,352618
2013-07-18,408.1,412.5,405.97,408.0,319814
2013-07-19,408.5,413.4,405.4,411.2,247459
2013-07-22,418.6,419.7,410.4,413.2,342190
2013-07-23,416.6,416.6,409.0,411.21,331222
2013-07-24,412.6,414.1,408.2,409.66,319675
2013-07-25,412.3,412.7,406.8,412.0,320231
2013-07-26,416.9,416.9,411.6,412.7,242805
2013-07-29,419.6,419.6,412.6,417.2,273677
2013-07-30,415.1,422.0,415.1,417.0,352124
2013-07-31,422.9,428.3,418.7,424.0,494875
2013-08-01,423.6,440.6,423.6,440.0,513870
2013-08-02,450.0,530.0,449.3,480.0,1656164
2013-08-05,482.4,482.4,475.0,478.94,433359
2013-08-06,472.3,476.7,451.2,452.0,978703
2013-08-07,450.0,461.6,440.0,448.1,512128
2013-08-08,447.2,451.2,443.0,447.9,373308
2013-08-09,450.2,453.1,447.2,450.0,296653
2013-08-12,452.0,454.0,446.9,448.3,198911
2013-08-13,450.4,454.1,446.2,454.1,263137
2013-08-14,452.4,460.8,450.6,460.0,716046
2013-08-15,458.3,460.0,453.0,455.0,535315
2013-08-16,458.3,460.6,454.0,459.6,310553
2013-08-19,463.8,469.4,459.9,469.4,493661
2013-08-20,470.3,470.9,461.4,465.5,444263
2013-08-21,470.6,473.3,464.5,469.9,344766
2013-08-22,471.8,478.2,470.8,476.6,195919
2013-08-23,479.8,483.0,475.0,477.9,208740
2013-08-27,477.5,479.9,471.7,476.0,441178
2013-08-28,472.7,472.9,457.9,468.8,336033
2013-08-29,475.9,475.9,461.9,470.1,251700
2013-08-30,474.7,475.2,460.7,463.03,628132
2013-09-02,467.1,475.4,462.4,472.2,260214
2013-09-03,474.5,474.7,467.0,473.0,195632
2013-09-04,474.6,474.7,468.4,471.7,114277
2013-09-05,473.7,476.9,471.0,472.7,444811
2013-09-06,473.7,484.7,470.2,483.0,350537
2013-09-09,485.9,485.9,481.0,482.8,249304
2013-09-10,483.0,489.7,481.4,486.3,435474
2013-09-11,482.7,507.0,482.7,487.6,392463
2013-09-12,490.5,490.5,481.4,486.2,205086
2013-09-13,488.5,488.5,482.5,485.0,400900
2013-09-16,489.1,493.2,484.9,486.8,236248
2013-09-17,477.1,478.7,464.0,464.2,805765
2013-09-18,461.2,463.7,453.9,456.06,313451
2013-09-19,462.5,465.5,455.9,457.0,344402
2013-09-20,457.7,457.7,432.2,453.42,2018701
2013-09-24,445.6,454.7,444.9,453.6,249134
2013-09-25,452.1,457.2,449.6,449.6,315693
2013-09-26,451.3,452.2,445.1,445.4,345982
2013-09-27,445.0,446.4,435.1,441.0,221165
2013-09-30,438.2,447.7,435.8,446.8,379709
2013-10-01,448.8,448.8,440.6,440.6,362990
2013-10-02,442.9,445.3,440.7,444.8,408729
2013-10-03,445.9,451.2,445.0,445.0,205697
2013-10-04,445.8,453.2,442.3,449.4,317391
2013-10-07,450.8,453.0,446.1,451.7,248673
2013-10-08,448.1,451.2,446.8,448.2,233062
2013-10-09,444.3,446.2,441.9,443.6,158210
2013-10-10,443.9,460.1,443.4,460.1,182377
2013-10-11,460.1,463.6,458.8,460.1,131582
2013-10-14,459.5,463.9,458.9,462.7,137325
2013-10-15,464.6,468.7,461.3,464.9,203114
2013-10-16,463.0,470.0,461.2,466.1,208221
2013-10-17,466.0,467.2,459.7,465.0,186433
2013-10-18,465.9,472.9,465.7,471.6,105117
2013-10-21,471.6,480.5,471.6,479.3,137132
2013-10-22,479.9,484.2,474.0,480.8,133140
2013-10-23,478.3,493.0,,487.2,265186
2013-10-24,491.8,492.1,486.3,490.6,242063
2013-10-25,484.7,494.5,482.8,485.0,202454
2013-10-28,488.8,488.8,478.5,481.0,232507
2013-10-29,478.7,481.1,475.1,480.0,154529
2013-10-30,479.8,488.1,479.2,485.1,174501
2013-10-31,485.2,485.4,477.2,485.4,232438
2013-11-01,484.0,487.6,482.0,485.0,339341
2013-11-04,484.2,496.1,484.1,486.17,213847
2013-11-05,488.0,490.0,483.1,488.8,105411
2013-11-06,490.0,500.5,488.5,496.0,130010
2013-11-07,492.3,503.0,491.0,491.3,118518
2013-11-08,488.8,492.8,485.1,490.0,144100
2013-11-11,492.0,494.6,490.1,493.5,75860
2013-11-12,494.3,494.3,489.1,490.0,73125
2013-11-13,483.3,489.1,478.3,480.6,184635
2013-11-14,482.8,487.9,482.8,486.8,48465
2013-11-15,487.8,490.4,484.9,486.4,109317
2013-11-18,486.1,491.9,479.0,490.8,137975
2013-11-19,488.7,493.8,485.6,493.0,71925
2013-11-20,490.6,493.6,478.7,481.2,210817
2013-11-21,490.5,490.5,476.9,480.2,331144
2013-11-22,478.3,479.6,473.7,479.6,157072
2013-11-25,482.6,490.7,480.4,490.7,101282
2013-11-26,492.5,495.4,484.0,484.0,296569
2013-11-27,483.0,489.6,481.0,483.5,131673
2013-11-28,482.4,489.6,482.4,486.6,66975
2013-11-29,488.9,492.5,485.2,485.8,191054
2013-12-02,484.6,485.9,474.1,477.6,148126
2013-12-03,480.0,484.4,472.0,472.0,220357
2013-12-04,476.1,476.1,466.4,469.8,137753
2013-12-05,465.5,476.9,464.3,473.6,208033
2013-12-06,471.0,478.3,468.0,477.7,107205
2013-12-09,478.7,480.6,474.5,477.0,83805
2013-12-10,474.4,479.2,474.4,476.5,191898
2013-12-11,474.9,477.7,470.5,475.2,145416
2013-12-12,472.6,472.6,461.1,466.3,120517
2013-12-13,465.0,469.7,463.8,468.1,165667
2013-12-16,467.8,475.4,467.8,475.4,111735
2013-12-17,472.3,474.6,466.1,470.0,315905
2013-12-18,470.4,471.8,468.2,470.1,359356
2013-12-19,470.1,483.5,470.0,480.3,200276
2013-12-20,478.3,482.5,473.4,478.0,512522
2013-12-23,480.3,489.5,480.3,489.4,168010
2013-12-24,477.0,496.5,477.0,495.0,21729
2013-12-27,493.7,509.5,488.8,509.5,187991
2013-12-30,510.5,523.5,510.0,510.5,257250
2013-12-31,514.0,515.0,510.0,510.0,64202
2014-01-02,510.0,510.5,497.6,497.6,196345
2014-01-03,499.0,503.5,493.3,497.0,169372
2014-01-06,494.2,502.0,494.2,497.0,95921
2014-01-07,499.3,499.3,491.0,494.9,105947
2014-01-08,494.0,494.9,487.2,487.2,213385
2014-01-09,487.9,489.2,474.0,474.0,265236
2014-01-10,476.2,484.5,471.6,479.7,231196
2014-01-13,481.2,481.9,474.7,479.5,212474
2014-01-14,475.2,475.7,468.1,471.3,229350
2014-01-15,475.1,476.5,469.8,470.8,143288
2014-01-16,473.0,473.0,467.7,470.1,180977
2014-01-17,470.0,473.4,467.4,471.1,87781
2014-01-20,474.1,479.8,467.6,469.9,184281
2014-01-21,469.8,470.1,465.1,466.3,88774
2014-01-22,468.5,469.2,464.0,467.1,125660
2014-01-23,463.3,470.9,460.1,460.8,184222
2014-01-24,463.9,463.9,451.2,456.0,152388
2014-01-27,456.5,456.5,440.0,441.5,211001
2014-01-28,444.9,448.1,441.1,447.0,229425
2014-01-29,448.8,451.6,440.7,446.4,200169
2014-01-30,453.1,453.1,438.3,445.8,174769
2014-01-31,448.6,449.7,439.7,447.6,211767
2014-02-03,441.2,449.1,434.3,436.5,220975
2014-02-04,433.2,442.9,433.2,434.0,149720
2014-02-05,433.2,437.4,432.4,435.3,90480
2014-02-06,441.8,447.7,433.5,446.0,93753
2014-02-07,446.2,455.5,445.8,454.2,169455
2014-02-10,454.6,459.6,452.0,456.3,109657
2014-02-11,457.0,461.6,450.9,461.3,123428
2014-02-12,461.0,467.3,459.2,464.9,158231
2014-02-13,460.1,465.0,458.0,460.0,100716
2014-02-14,457.4,465.6,456.9,462.2,85371
2014-02-17,461.8,469.5,461.8,466.9,82618
2014-02-18,466.1,468.3,458.1,462.9,226533
2014-02-19,458.9,467.3,456.0,466.3,145529
2014-02-20,460.0,473.0,458.4,471.7,177439
2014-02-21,460.8,470.9,457.5,461.4,235184
2014-02-24,458.9,464.2,458.0,460.36,152646
2014-02-25,457.8,463.2,450.4,460.0,322157
2014-02-26,461.8,461.8,454.2,458.4,120334
2014-02-27,457.0,463.2,451.2,461.6,100738
2014-02-28,460.5,469.7,457.8,468.7,170653
2014-03-03,472.2,472.2,442.1,442.1,348435
2014-03-04,450.0,464.2,442.8,459.9,319492
2014-03-05,456.2,456.2,433.7,440.7,350050
2014-03-06,439.1,445.1,432.9,443.9,217265
2014-03-07,441.2,452.8,439.5,440.4,188656
2014-03-10,444.9,448.5,431.1,438.7,396254
2014-03-11,438.5,441.7,432.2,435.6,275760
2014-03-12,432.7,435.9,430.9,432.8,372346
2014-03-13,435.5,437.3,431.1,431.1,338770
2014-03-14,429.0,433.0,423.0,429.3,186867
2014-03-17,422.1,433.5,422.1,430.8,95155
2014-03-18,429.7,432.9,427.2,430.2,106342
2014-03-19,433.9,440.0,427.7,432.6,164708
2014-03-20,432.8,433.8,429.2,429.9,130864
2014-03-21,428.8,436.9,428.8,430.7,415123
2014-03-24,428.9,432.9,424.3,426.8,153547
2014-03-25,426.5,433.9,426.5,428.6,96967
2014-03-26,432.9,438.2,429.76,436.2,176070
2014-03-27,433.8,438.2,428.3,431.4,67685
2014-03-28,428.2,435.0,428.2,429.7,89997
2014-03-31,434.9,436.6,427.9,435.5,160874
